Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.07186654731572,86.89330763341681,1
40.8,-23.956689475535185,86.527152129169,2
41.616,-23.45107745478563,87.26812244832524,2
42.44832,-23.57650445983333,86.89862177070243,2
43.297286400000004,-23.240601291980717,86.49254190740774,1
44.163232128000004,-23.17056068155693,86.34438128897331,1
45.046496770560005,-23.07834428679283,86.56107966353505,1
45.9474267059712,-23.048197694139095,87.4652101201448,2
46.866375240090626,-22.60955422558382,87.37128406992036,1
47.80370274489244,-22.556868740964195,87.64639604954793,2
48.75977679979029,-22.158034736942838,85.54985532238908,2
49.7349723357861,-22.119680907705167,86.62609522880109,1
50.72967178250182,-21.856069834357054,86.28737314299224,1
51.74426521815185,-21.788617058003553,86.2268344761539,1
52.77915052251489,-21.484096544485208,86.02198713773913,1
53.83473353296519,-21.692142146823173,85.31258860048322,1
54.911428203624496,-21.066996670496735,85.80445500837206,1
56.00965676769699,-21.11916327934176,85.44022157262208,1
57.12984990305093,-20.69927218678972,86.36098988278547,1
58.27244690111195,-20.767891194653203,86.22469790147846,1
59.437895839134185,-20.508867943932373,85.3416492520576,1
60.62665375591687,-20.470099330466525,85.64422195673137,1
61.83918683103521,-20.200760348520916,85.713992069565,1
63.075970567655915,-20.071172902651877,85.97158272583079,1
64.33748997900904,-19.790354846170988,84.90766655053899,1
65.62423977858921,-19.700671078104637,85.56904283937929,1
66.936724574161,-19.462810947033507,85.77642959093032,1
68.27545906564423,-19.44850511330485,85.02448365805209,1
69.64096824695712,-19.10979128322247,85.09343671421837,1
71.03378761189626,-19.054475309776382,84.23076673356353,1
72.45446336413418,-18.787211830959027,84.57937884402992,1
73.90355263141687,-18.666210132844103,84.58914187576445,1
75.38162368404521,-18.484498479306705,85.27379934441515,1
76.88925615772611,-18.236109051841204,84.4372075651055,1
78.42704128088063,-18.303565879864177,84.32964855614165,1
79.99558210649825,-17.92357508269894,84.62535938509781,1
81.59549374862821,-17.766668859711753,84.2369963773425,1
83.22740362360078,-17.671282026154813,83.94396444114868,1
84.8919516960728,-17.44661968984397,84.07676183518481,1
86.58979072999425,-17.15124125154467,83.88824689928208,1
88.32158654459414,-17.154187373320823,83.36909048310928,1
90.08801827548602,-16.975119557331965,83.58748516432647,1
91.88977864099574,-16.614327560227864,84.02579433875076,1
93.72757421381566,-16.606295689024144,83.51664920951099,1
95.60212569809197,-16.466126990575493,82.91240002178948,1
97.5141682120538,-16.31202100335667,82.99727223584766,1
99.46445157629488,-16.032537475884016,82.62594700804192,1
101.45374060782078,-15.816610679043878,82.89574457623849,1
103.4828154199772,-15.74560930069121,82.3992064702115,1
105.55247172837674,-15.473473667431621,82.92540497756835,1
107.66352116294428,-15.472487778037017,82.29242491474642,1
109.81679158620317,-15.108005006284355,82.36370295839605,1
112.01312741792724,-15.128586792565839,81.7248286426875,1
114.25338996628578,-14.758198849239527,82.14457769829454,1
116.5384577656115,-14.681091629562145,81.52920655151974,1
118.86922692092372,-14.35345405673533,81.84368265882308,1
121.2466114593422,-14.36426742760874,81.21055053532264,1
123.67154368852906,-14.038041273726867,81.4276589892578,1
126.14497456229964,-13.954647684141575,81.12619352347934,1
128.66787405354563,-13.61793056237869,81.247261120246,1
131.24123153461656,-13.573590393205167,80.7300087111226,1
133.8660561653089,-13.284990437154049,80.78211452514108,1
136.54337728861506,-13.255133726484123,80.2443663730314,1
139.27424483438736,-12.912744945854167,80.57043889465139,1
142.05972973107512,-12.963437124857636,79.59726169873424,1
144.90092432569662,-12.596178207908421,79.76483592290833,1
147.79894281221056,-12.486340705993438,79.72182854732945,1
150.75492166845476,-12.287138793760528,78.91839301941594,1
153.77002010182386,-11.919078323326863,79.14713248339922,1
156.84542050386034,-11.94246165825068,78.48094720078228,1
159.98232891393755,-11.681187301642046,78.59691430667175,1
163.1819754922163,-11.483837227811792,78.48379960617723,1
166.44561500206063,-11.409206513108373,78.02111299458514,1
169.77452730210186,-11.1173915135529,78.06309198054863,1
173.17001784814389,-10.904957723448845,77.72106347086196,1
176.63341820510678,-10.785115006912289,77.06675607273047,1
180.16608656920891,-10.558373107574322,77.07544913602827,1
183.76940830059308,-10.316161771968849,76.67650542002298,1
187.44479646660494,-10.149487190480045,76.47573469815505,1
191.19369239593703,-10.087919949556271,76.13293820926789,1
195.01756624385578,-9.797678212434729,75.80653088647571,1
198.9179175687329,-9.534739202980184,75.58411302044688,1
202.89627592010754,-9.344189705933255,75.36323199882929,1
206.9542014385097,-9.208256776306968,74.95056105767102,1
211.09328546727988,-9.065870300127244,74.17234144088806,1
215.31515117662548,-8.927356828445408,74.0376432330778,1
219.62145420015798,-8.519216458981123,74.28428450943818,1
224.01388328416115,-8.53892983103903,73.26626772521399,1
228.49416094984437,-8.13786825028747,73.3384230104727,1
233.06404416884126,-8.064448542339004,72.4139366280006,1
237.7253250522181,-7.741024988831351,72.48934428472374,1
242.47983155326247,-7.620056876609088,71.7953593942238,1
247.32942818432772,-7.36236814757091,71.59902181725079,1
252.27601674801429,-7.243089919005001,70.781140809443,1
257.3215370829746,-6.910646645403924,70.75216207116088,1
262.4679678246341,-6.783502677471431,70.02002157807243,1
267.7173271811268,-6.49608257829538,70.07714675330783,1
273.07167372474936,-6.3904302483416116,69.19480647596029,1
278.53310719924434,-6.027823292159564,69.00312456699413,1
284.10376934322926,-5.953082359872043,67.92341259576563,1
289.78584473009386,-5.596438607189477,67.85416961113236,1
295.5815616246957,-5.4513625067127105,67.30442757802781,1
301.4931928571896,-5.20302257732182,66.4331105961024,1
307.52305671433345,-4.897730586529802,66.21681404647205,1
313.6735178486201,-4.7790435592653235,65.27934800914434,1
319.9469882055925,-4.4683284675399255,64.87796500874676,1
326.34592796970435,-4.234716084712233,64.08338848051574,1
332.87284652909847,-4.081467535731713,63.010177895715685,1
339.53030345968045,-3.756830370516958,62.76559041531582,1
346.3209095288741,-3.5029236733998492,62.03975823036615,1
353.24732771945156,-3.3392610610811135,60.87112045194882,1
360.3122742738406,-3.044899210539796,60.27763472769352,1
367.5185197593174,-2.684458451218123,59.61617952042957,1
374.8688901545038,-2.5145034779314868,58.50421129799368,1
382.3662679575939,-2.2994804605146073,57.221995282972145,1
390.01359331674576,-1.96888166309237,56.61367047014531,1
397.8138651830807,-1.6577432321617198,56.023386822415766,1
405.7701424867423,-1.39877316833688,54.67205663270238,1
413.88554533647715,-1.1864730060181465,53.295019369622075,1
422.1632562432067,-0.9354047665083304,52.02635632337507,1
430.60652136807084,-0.5858514804624471,50.83198861940773,1
439.21865179543227,-0.2864113681109589,49.66226165328915,1
448.0030248313409,0.04676538533839191,48.39429485567517,1
456.96308532796775,0.3601080356241947,47.1597006010894,1
466.1023470345271,0.6530614255890695,45.41678804226342,1
475.42439397521764,0.9697994143385017,43.80648949347943,1
484.932881854722,1.256933545565005,41.97358052689708,1
494.63153949181645,1.581647986246043,40.240452288143764,1
504.5241702816528,1.926628610618533,38.298865232987225,1
514.6146536872859,2.182058327767327,35.81328219974307,1
524.9069467610317,2.563640336164114,34.3186878189498,1
535.4050856962523,2.8112125502930536,31.189417029845956,1
546.1131874101774,3.15732042578782,29.28754577193686,1
557.035451158381,3.4657961760455414,26.02712139272019,1
568.1761601815485,3.7887852213169912,23.491676497509786,1
579.5396833851795,4.09201278680826,20.248751795457594,1
591.1304770528831,4.352912274244194,17.04135259576317,1
602.9530865939407,4.622354378047229,13.773106550602172,1
615.0121483258196,4.8562606641995085,9.890216719227851,1
627.312391292336,5.069660490961029,6.1347621074511665,1
639.8586391181827,5.24781533557573,2.1591547710811234,1
652.6558119005464,5.396849319430415,-1.8870034024990048,1
665.7089281385573,5.510869612863603,-6.168770019768971,1
679.0231067013285,5.552142756180218,-10.542473226835753,1
692.6035688353551,5.575497924062206,-15.132536653100267,1
706.4556402120622,5.530678473574882,-19.183787276579793,1
720.5847530163035,5.481287867368758,-23.920221468543488,1
734.9964480766296,5.316291659616496,-27.750568494021923,1
749.6963770381622,5.208354158220951,-32.24610801594841,1
764.6903045789254,4.985565645105573,-36.09130192613952,1
779.9841106705039,4.718672974194015,-39.784495446616845,1
795.583792883914,4.523406158429315,-44.02162675661418,1
811.4954687415924,4.190337797117823,-47.23034629447898,1
827.7253781164243,3.8924691032025924,-50.65862705674368,1
844.2798856787527,3.638797490722949,-54.21409409397127,1
861.1654833923278,3.243568053764664,-56.90964897334544,1
878.3887930601744,2.8930188116673325,-59.64706046386275,1
895.9565689213779,2.6537936258366592,-62.66131313134064,1
913.8757002998054,2.2884544122508172,-65.18477030180155,1
932.1532143058016,1.8779708217356472,-67.19467318627245,1
950.7962785919177,1.5744807571842905,-69.63991192606564,1
969.8122041637561,1.297547803240721,-72.0038272062371,1
989.2084482470312,0.9276068985534021,-73.99257733788838,1
1008.9926172119718,0.5235478238908757,-75.82417472568261,1
1029.1724695562114,0.16849714679830957,-77.5595645959422,1
1049.7559189473357,-0.13751306995042603,-79.45248305293914,1
1070.7510373262824,-0.3938476818095667,-81.2545907981331,1
1092.166058072808,-0.7217095450323976,-82.93543543299113,1
1114.0093792342643,-1.0409745090691727,-84.33404739723369,1
1136.2895668189497,-1.3916991149704803,-85.82984905899953,1
1159.0153581553286,-1.7299412552017208,-87.19747813535014,1
1182.1956653184352,-2.0729667341592584,-88.71773246739917,1
1205.8395786248038,-2.3772190729530935,-90.22616882173753,1
1229.9563701973,-2.677872310363977,-91.39722288943057,1
1254.555497601246,-2.9856560477753638,-92.7860431705102,1
1279.646607553271,-3.2759571878809823,-93.79600426377175,1
1305.2395397043365,-3.56486688599043,-95.21393868759895,1
1331.3443304984232,-3.8181561525460745,-96.33085468413913,1
1357.9712171083918,-4.071441051159581,-97.42886152151723,1
1385.1306414505596,-4.334819504838925,-98.70692318395875,1
1412.8332542795708,-4.614743378793085,-99.63351619152309,1
1441.0899193651624,-4.943109132370502,-100.94301455430866,1
1469.9117177524656,-5.260209866119076,-101.94643544384792,1
1499.3099521075148,-5.532205293304931,-103.0013233944693,1
1529.296151149665,-5.766171451602708,-104.08198430337775,1
1559.8820741726583,-6.016955087165356,-105.17876370010055,1
1591.0797156561116,-6.323436968826894,-106.20741183352072,1
1622.9013099692338,-6.625077326811056,-107.1836510762567,1
1655.3593361686185,-6.7998883211793855,-108.15786814288339,1
1688.466522891991,-7.121213696700384,-109.37584446863713,1
1722.235853349831,-7.39353053928491,-110.139321407922,1
1756.6805704168275,-7.580479466457932,-111.095781638723,1
1791.814181825164,-7.892136143201403,-112.3006125198628,1
1827.6504654616674,-8.13870760411271,-113.03587026280265,1
1864.2034747709008,-8.417064020111908,-113.99971018094917,1
1901.4875442663188,-8.633817479826085,-115.08537750276878,1
1939.5172951516452,-8.956970660551073,-116.305994724909,1
1978.307641054678,-9.174910986783898,-117.23512921749109,1
2017.8737938757715,-9.46051200267195,-118.1990208133968,1
2058.231269753287,-9.441573583468431,-118.115882021517,1
2099.395895148353,-10.117581577246233,-119.6685375207328,1
2141.38381305132,-10.164595306930034,-121.12300659071548,1
2184.211489312346,-10.473504454471204,-122.56832849921364,1
2227.895719098593,-10.982976963839624,-130.13062008053313,1
2272.453633480565,-11.33784923666014,-126.84444189628292,1
2317.902706150176,-10.935112232993363,-126.43213373698919,1
2364.2607602731796,-11.339841190706192,-125.53486944225773,1
2411.5459754786434,-11.778180080737396,-127.09736575104512,1
2459.776894988216,-12.469120604594954,-136.04637028242183,1
2508.9724328879806,-12.647634330495846,-127.89318896631241,1
