Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.109148692709926,88.14145968684845,2
40.8,-24.10138373394827,88.33449258578185,1
41.616,-23.89505595253131,88.3781778066622,2
42.44832,-23.911100015627262,87.41273065027036,2
43.297286400000004,-23.72162701277424,87.56544317948163,1
44.163232128000004,-23.499649431842876,87.5677491174135,1
45.046496770560005,-23.325524535144755,88.16794685125039,1
45.9474267059712,-23.01221200073628,88.49600929515395,1
46.866375240090626,-23.071492364588604,87.62245054236973,1
47.80370274489244,-22.876204756215735,87.56886121502056,1
48.75977679979029,-22.654080089802914,88.50598570480628,1
49.7349723357861,-22.277288430247488,87.47491638927978,2
50.72967178250182,-22.485607409499437,87.63589468786819,1
51.74426521815185,-22.033084572436668,88.22211709289171,1
52.77915052251489,-22.17876048612657,88.01704444650625,1
53.83473353296519,-21.868841677498214,88.15832413809648,1
54.911428203624496,-21.355953247413407,87.08994544385014,1
56.00965676769699,-21.45378936125663,87.14728461708741,1
57.12984990305093,-21.20140809910185,88.22977772484194,1
58.27244690111195,-21.27146250200503,87.72378070825454,1
59.437895839134185,-21.07425645125101,88.24237010181953,1
60.62665375591687,-20.7058175455114,87.58973002181614,1
61.83918683103521,-20.335540668754486,87.44606498926407,1
63.075970567655915,-20.42905485491316,86.96772715954539,1
64.33748997900904,-20.099519173256613,87.58479485841049,1
65.62423977858921,-20.081613901781825,86.65807935164682,1
66.936724574161,-19.89383669061214,86.9980780966032,1
68.27545906564423,-19.792080104382087,87.14911533577587,1
69.64096824695712,-19.329848013860897,87.50780573885156,1
71.03378761189626,-19.36331697290209,86.59269738207087,1
72.45446336413418,-19.047428598872845,86.96192154504513,1
73.90355263141687,-19.073442147206613,86.14440181368568,1
75.38162368404521,-18.85513901653484,86.76176234643191,1
76.88925615772611,-18.61311515399572,86.61996883402844,1
78.42704128088063,-18.618225826503718,85.38913166322588,1
79.99558210649825,-18.31061739237658,86.23227187112903,1
81.59549374862821,-18.09203825385484,86.53400928117821,1
83.22740362360078,-18.037311903430474,86.04171064300868,1
84.8919516960728,-17.80342063473218,86.63952769631943,1
86.58979072999425,-17.574384575410274,86.11262372317947,1
88.32158654459414,-17.641360435856676,85.99047966548082,1
90.08801827548602,-17.232145155897314,85.53319558458307,1
91.88977864099574,-16.996036713583685,86.27551947216125,1
93.72757421381566,-16.997728869901348,86.01827193533148,1
95.60212569809197,-16.80883399990849,86.08414902732437,1
97.5141682120538,-16.662282272340267,85.62038442385747,1
99.46445157629488,-16.39591785841225,85.40975568946885,1
101.45374060782078,-16.227233769758346,85.49727869606556,1
103.4828154199772,-16.169234581749556,85.26872572241032,1
105.55247172837674,-15.92503912657103,85.5167956548155,1
107.66352116294428,-15.907364483680803,85.21340640340324,1
109.81679158620317,-15.465315728342746,85.37104701047471,1
112.01312741792724,-15.542169624393223,84.66875580676557,1
114.25338996628578,-15.152317496504919,85.66175447373223,1
116.5384577656115,-15.126211093195147,84.642083554613,1
118.86922692092372,-14.879908325410002,84.90271609200398,1
121.2466114593422,-14.776046319422745,84.39209541140195,1
123.67154368852906,-14.523093585779018,85.09237978108035,1
126.14497456229964,-14.429133021716595,84.62592306454236,1
128.66787405354563,-14.184469714280405,85.05289350961424,1
131.24123153461656,-14.139152968200362,84.22044106005877,1
133.8660561653089,-13.83347157844525,84.8937473119293,1
136.54337728861506,-13.83320313467261,84.2372052893607,1
139.27424483438736,-13.506974607094007,83.7705918432298,1
142.05972973107512,-13.535580707382225,83.67707311323109,1
144.90092432569662,-13.15409651092835,83.71977742076126,1
147.79894281221056,-13.072524148814171,83.24128969145222,1
150.75492166845476,-12.846314087015694,83.3754534826414,1
153.77002010182386,-12.594071136251804,83.20071955693902,1
156.84542050386034,-12.633113798524791,83.05108815516135,1
159.98232891393755,-12.293156336178454,83.266387875975,1
163.1819754922163,-12.204556887676027,83.15613565106827,1
166.44561500206063,-12.116506412728128,82.47849723744343,1
169.77452730210186,-11.77075992442634,82.62147792084025,1
173.17001784814389,-11.676470753912222,82.61875686401288,1
176.63341820510678,-11.575258408254482,82.18003408246834,1
180.16608656920891,-11.313930943933517,82.52833322785295,1
183.76940830059308,-11.141098478800822,82.16372298775036,1
187.44479646660494,-11.072379060953427,81.49044885299763,1
191.19369239593703,-10.903125167111025,81.68437870995281,1
195.01756624385578,-10.71384418000645,81.38763903017214,1
198.9179175687329,-10.475225053503417,81.462675376785,1
202.89627592010754,-10.337610527694734,81.4473817856682,1
206.9542014385097,-10.247179041689995,80.76239240067154,1
211.09328546727988,-10.105956474973956,80.77951547003167,1
215.31515117662548,-10.030249125432501,80.33319332435056,1
219.62145420015798,-9.564224206321928,80.7626473473298,1
224.01388328416115,-9.659416535275286,80.2846395951789,1
228.49416094984437,-9.279477551655148,80.43123854244453,1
233.06404416884126,-9.268932352537359,79.59608042575103,1
237.7253250522181,-8.952904424988551,80.03214960693406,1
242.47983155326247,-8.905053720846766,79.42510702312615,1
247.32942818432772,-8.665037785531942,79.44671425805024,1
252.27601674801429,-8.586404275644702,79.11570352960395,1
257.3215370829746,-8.338690056328728,78.8946106033529,1
262.4679678246341,-8.220330605151487,78.48058518798646,1
267.7173271811268,-7.990134627964709,78.58614568501446,1
273.07167372474936,-7.991371024831397,77.92478973008829,1
278.53310719924434,-7.605379918455125,78.09991632977983,1
284.10376934322926,-7.6114584420606555,77.35595890993739,1
289.78584473009386,-7.258968226180644,77.67453255877308,1
295.5815616246957,-7.191082429406465,77.21303817688792,1
301.4931928571896,-7.039517425415257,76.88961946469753,1
307.52305671433345,-6.799447019827778,76.97243065533343,1
313.6735178486201,-6.788555430689973,76.43177988051586,1
319.9469882055925,-6.464235767761178,76.48500320329512,1
326.34592796970435,-6.305375003845618,76.09055053487663,1
332.87284652909847,-6.235559631474597,75.85206120621798,1
339.53030345968045,-5.939631047825833,75.77851185176867,1
