Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.276370475801013,86.0326533340198,2
40.8,-25.527363058866474,88.24538688856308,1
41.616,-26.05773849969915,89.25086087373856,2
42.44832,-25.839622105387313,87.98844562510432,2
43.297286400000004,-25.941106701397732,87.95174225732222,2
44.163232128000004,-25.841710143354156,86.65611666427264,2
45.046496770560005,-26.098426705442773,87.61276959137994,2
45.9474267059712,-26.148022304991304,87.21129394336859,2
46.866375240090626,-26.081257931099483,88.81239323329788,2
47.80370274489244,-25.87073288518408,87.26387037681445,2
48.75977679979029,-25.52486975428636,85.5253130534993,2
49.7349723357861,-25.322315903051937,87.62705049840355,2
50.72967178250182,-24.88046334236651,86.79676239879194,1
51.74426521815185,-24.720181945840636,87.11253205067344,2
52.77915052251489,-24.477007922309006,88.24126768118344,2
53.83473353296519,-24.512110877801923,87.21855599504497,2
54.911428203624496,-24.28347164925691,87.11608100739451,2
56.00965676769699,-24.304533261779955,86.70514736741205,1
57.12984990305093,-23.791344315603965,88.03480203152543,2
58.27244690111195,-23.911690914225268,86.10750233370182,1
59.437895839134185,-23.61216836747895,87.43171938405033,1
60.62665375591687,-23.46349612032772,86.63752990193107,1
61.83918683103521,-23.11264210857699,87.58089794415406,1
63.075970567655915,-23.123241456357064,87.16459600081492,1
64.33748997900904,-22.634327380389106,87.11602343604683,1
65.62423977858921,-22.918799607611703,86.63463176161463,1
66.936724574161,-22.597407893539547,87.71822239933334,1
68.27545906564423,-22.435751964368404,87.188979160098,1
69.64096824695712,-22.268458511696227,88.36148464384422,1
71.03378761189626,-22.59373598885769,86.26852144189107,1
72.45446336413418,-22.506729862204647,86.41394474006654,1
73.90355263141687,-22.194760859152826,86.48789496448622,1
75.38162368404521,-22.149267337348224,85.56519361454815,1
76.88925615772611,-21.91869387829857,85.54953599386226,1
78.42704128088063,-21.747739535177548,86.20993643638653,1
79.99558210649825,-21.4191668676533,85.52357166199084,1
81.59549374862821,-21.128538847895175,85.64736724895056,1
83.22740362360078,-20.92350609362463,85.54196446965248,1
84.8919516960728,-20.625088598323345,86.79517249015713,1
86.58979072999425,-20.382775947658438,85.987813580671,1
88.32158654459414,-20.276167097423894,85.03895972271675,1
90.08801827548602,-20.136464463025778,85.20958064798864,1
91.88977864099574,-19.925832700587236,84.3501564225138,1
93.72757421381566,-19.833200311136054,84.5161574732219,1
95.60212569809197,-19.526997683068988,84.4509761265557,1
97.5141682120538,-19.265350434588836,84.8068021087289,1
99.46445157629488,-19.12267396219415,85.38539853869256,1
101.45374060782078,-19.067917010840308,84.97454413888676,1
103.4828154199772,-18.96317610956239,84.64127624908978,1
105.55247172837674,-18.721466407356314,84.76473338315702,1
107.66352116294428,-18.808447555095128,83.94507155197832,1
109.81679158620317,-18.345886272513773,84.21049970355381,1
112.01312741792724,-18.373457435879676,83.98905074750948,1
114.25338996628578,-17.974057717534876,84.23992747345812,1
116.5384577656115,-18.02658483701598,83.78876179593898,1
118.86922692092372,-17.69664072010968,84.47041242794239,1
121.2466114593422,-17.671122584433004,83.1574506012272,1
123.67154368852906,-17.456779593744212,83.75059342768964,1
126.14497456229964,-17.164818172911644,83.77302623828562,1
128.66787405354563,-16.73610403823306,83.14526990124546,1
131.24123153461656,-16.67073694380791,83.33539669734374,1
133.8660561653089,-16.447500487829252,83.6990006803727,1
136.54337728861506,-16.503327474959338,83.35423307788338,1
139.27424483438736,-16.15199361728719,82.82640109412101,1
142.05972973107512,-16.093372962943278,82.47902848396622,1
144.90092432569662,-15.705801192107208,83.02090769047004,1
147.79894281221056,-15.570821658110281,82.62119522183134,1
150.75492166845476,-15.361175030791244,82.23943891779153,1
153.77002010182386,-14.974876994302257,82.49703520530971,1
156.84542050386034,-14.993301703080528,81.98951943340612,1
159.98232891393755,-14.640549101714338,82.1075910759052,1
163.1819754922163,-14.552986059168717,81.90020747804425,1
166.44561500206063,-14.370069830015051,81.66816940896555,1
169.77452730210186,-14.10379753669745,81.69422518276974,1
173.17001784814389,-13.95748014755274,81.3288898813264,1
176.63341820510678,-13.75395964227882,81.15579075732833,1
180.16608656920891,-13.660024230183843,81.16142403963164,1
183.76940830059308,-13.484892744030114,80.84748796281758,1
187.44479646660494,-13.437590835233385,80.31011698143551,1
191.19369239593703,-13.45418798706103,80.64351230491867,1
195.01756624385578,-13.09484483834854,80.65601027822703,1
198.9179175687329,-12.829477002469817,80.46834723692388,1
202.89627592010754,-12.750494882583233,79.69577784034715,1
206.9542014385097,-12.604326795439349,80.01886456468243,1
211.09328546727988,-12.45105952766819,79.67908744229942,1
215.31515117662548,-12.189332432844207,79.34596283564122,1
219.62145420015798,-11.76246429286925,79.63668226970357,1
224.01388328416115,-11.736936036172363,78.99814457330721,1
228.49416094984437,-11.492974818071497,79.3632122046049,1
233.06404416884126,-11.483291249643655,78.34068459840611,1
237.7253250522181,-11.279648081389041,78.3168774673896,1
242.47983155326247,-11.088644754739528,78.23587842212412,1
247.32942818432772,-10.838941492054413,77.91273894584367,1
252.27601674801429,-10.762952866604747,77.88269791635372,1
257.3215370829746,-10.501905728385452,77.62700669216892,1
262.4679678246341,-10.347466472394675,77.55051084077147,1
267.7173271811268,-9.974471864971871,77.34971573638296,1
273.07167372474936,-10.045600385411836,76.90594850042413,1
278.53310719924434,-9.803914113460925,76.59281335049437,1
284.10376934322926,-9.807957946798805,75.99988951659276,1
289.78584473009386,-9.446228547345731,76.24331685878133,1
295.5815616246957,-9.48766243431338,75.60885136061165,1
301.4931928571896,-9.372983739809802,75.3210984309249,1
307.52305671433345,-9.111587264193416,75.23797829338736,1
313.6735178486201,-9.033046487346555,74.37034380599734,1
319.9469882055925,-8.743777469185899,74.93291350220723,1
326.34592796970435,-8.630790422165598,74.30180380202745,1
332.87284652909847,-8.48574604103786,73.8984836320065,1
339.53030345968045,-8.135729659498557,73.98984845356846,1
346.3209095288741,-8.053275302165973,73.39725959829804,1
353.24732771945156,-7.93196136073941,73.14348271355337,1
360.3122742738406,-7.733134271443454,73.22930498063397,1
367.5185197593174,-7.441884432842091,73.03235596415027,1
374.8688901545038,-7.371112724747432,72.49269614237652,1
382.3662679575939,-7.101445141285203,72.20986886447,1
390.01359331674576,-6.84129022045473,72.04654624278936,1
397.8138651830807,-6.607066705706614,72.15391991677562,1
405.7701424867423,-6.5021531196393925,71.48095602749083,1
413.88554533647715,-6.376067579016106,71.03052618812126,1
422.1632562432067,-6.247664283820841,70.71764999417123,1
430.60652136807084,-6.056104253496534,70.40931613285912,1
439.21865179543227,-5.873533202721803,70.07015432983783,1
448.0030248313409,-5.651117135505322,69.79542467111656,1
456.96308532796775,-5.501936632114154,69.51145969385199,1
466.1023470345271,-5.319043607074012,69.32877770833619,1
475.42439397521764,-5.121886567668695,69.02564893853503,1
484.932881854722,-4.892774659463262,68.58017995022772,1
494.63153949181645,-4.832570087193998,68.13794964702299,1
504.5241702816528,-4.644348139930747,67.67417149112987,1
514.6146536872859,-4.570224221308968,67.0737642535445,1
524.9069467610317,-4.269215732495454,67.31352629153542,1
535.4050856962523,-4.220026746037975,66.18478994698428,1
546.1131874101774,-3.8480664879652107,66.73694407527532,1
557.035451158381,-3.859714530141413,65.55590396140886,1
568.1761601815485,-3.6498986851171984,65.70041562188885,1
579.5396833851795,-3.5388274624724216,64.99729588603714,1
591.1304770528831,-3.3305051456103167,64.65345231440834,1
602.9530865939407,-3.0905760989832074,64.39630693435154,1
615.0121483258196,-2.9486340029602873,63.98958609200284,1
627.312391292336,-2.708705678778296,63.84528805515707,1
639.8586391181827,-2.584304270297491,63.308226953271856,1
652.6558119005464,-2.3964865965108477,63.004025261324344,1
665.7089281385573,-2.240967599157843,62.60902993533948,1
679.0231067013285,-2.0826012692636184,62.05544849428442,1
692.6035688353551,-1.846952269800182,61.99161199748886,1
706.4556402120622,-1.7596885911556304,61.278854546510125,1
720.5847530163035,-1.4588641264724878,61.12491887927126,1
734.9964480766296,-1.3887761327287371,60.41851966422027,1
749.6963770381622,-1.1735474466277516,60.219438533477714,1
764.6903045789254,-1.0177802001922345,59.82506919048022,1
779.9841106705039,-0.9126957920425363,59.00306115907029,1
795.583792883914,-0.5150806218293064,59.444855838775055,1
811.4954687415924,-0.5153326540809885,58.39915679658169,1
827.7253781164243,-0.33491879292757626,58.07772418997821,1
844.2798856787527,-0.032834015986071725,58.0956430467189,1
861.1654833923278,0.05435956586866796,57.34571964207052,1
878.3887930601744,0.28988690769651165,57.15169025096323,1
895.9565689213779,0.5520576652672744,57.07125579498698,1
913.8757002998054,0.725163508741216,56.680264346413935,1
932.1532143058016,0.8608172290985119,56.187558980477135,1
950.7962785919177,1.0360691047063193,55.70588367141029,1
969.8122041637561,1.3693826566955665,55.716422474267176,1
989.2084482470312,1.6009121491519873,55.56748191977626,1
1008.9926172119718,1.6747280420972726,54.76667964753403,1
1029.1724695562114,1.883755142445308,54.44894612838548,1
1049.7559189473357,2.071602366296957,54.21068562266417,1
1070.7510373262824,2.275740727572884,54.0175912579422,1
1092.166058072808,2.4449330753886773,53.56475783704942,1
1114.0093792342643,2.5987756205450045,53.07807524773216,1
1136.2895668189497,2.7620843045621615,52.61530139476122,1
1159.0153581553286,2.9525663100146384,52.247798335067586,1
1182.1956653184352,3.1040342757190245,51.75178902621246,1
1205.8395786248038,3.274809057076338,51.2590401012484,1
1229.9563701973,3.505100618343373,51.22679729719408,1
1254.555497601246,3.603760219157218,50.31398890025257,1
1279.646607553271,3.7927173283526074,49.978098834363465,1
1305.2395397043365,4.045990654359852,49.85477404540124,1
1331.3443304984232,4.192313905567888,49.43226198002533,1
1357.9712171083918,4.379583683244095,49.07795841314845,1
1385.1306414505596,4.61281115497674,48.999638076126985,1
1412.8332542795708,4.780639286330712,48.5573225517802,1
1441.0899193651624,4.97503532648134,48.16169630624624,1
1469.9117177524656,5.13534976442931,47.7842891579251,1
1499.3099521075148,5.299766670560988,47.22288635513246,1
1529.296151149665,5.440223597561058,46.43516492585869,1
1559.8820741726583,5.676019759281381,46.40216937079663,1
1591.0797156561116,5.71193223792278,45.295868985881356,1
1622.9013099692338,5.912738632894264,45.04519915921375,1
1655.3593361686185,6.130153432018883,44.842612204881846,1
1688.466522891991,6.31517295661292,44.356446778371435,1
1722.235853349831,6.4182591812510825,43.63413078191502,1
