Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.497121475320224,88.10894970364491,2
40.8,-29.166007809161698,85.48417297764763,2
41.616,-28.795161248479904,87.22915514651916,2
42.44832,-29.011749959000362,86.11344067189427,2
43.297286400000004,-28.90658101687537,88.32377171758779,2
44.163232128000004,-28.498295288722314,87.43052314392871,2
45.046496770560005,-28.42323763922602,85.89930480978971,2
45.9474267059712,-27.877415597459372,89.19012701290787,2
46.866375240090626,-28.36900630324469,86.8633805716193,2
47.80370274489244,-27.775075480681412,88.34895042830642,2
48.75977679979029,-27.832576598890313,88.4914059220871,2
49.7349723357861,-27.42256101413481,85.33146618351367,2
50.72967178250182,-27.249316229425503,86.86831485671291,2
51.74426521815185,-27.385793599574665,88.82384021957108,2
52.77915052251489,-27.309400489131548,88.00628856451073,2
53.83473353296519,-26.862470544784518,87.81427947316223,2
54.911428203624496,-26.893401863686734,87.49742348362376,2
56.00965676769699,-26.82767199353217,86.78090404664937,2
57.12984990305093,-26.149683219083467,87.77221270887173,2
58.27244690111195,-26.33645467967058,86.8111423162886,2
59.437895839134185,-25.924269857435213,87.13561990511275,2
60.62665375591687,-25.821813313735227,87.55568974546401,2
61.83918683103521,-25.790852783008223,87.48951807595449,2
63.075970567655915,-25.523506709156734,87.44023918344129,2
64.33748997900904,-25.146161804235355,86.63765549923764,2
65.62423977858921,-25.12873304958163,87.09604475575105,2
66.936724574161,-24.906316177406207,86.01812865517405,2
68.27545906564423,-24.830851401762974,86.73771585580364,2
69.64096824695712,-24.56912722161415,87.05043825698604,2
71.03378761189626,-24.591037800926735,87.32122473940925,2
72.45446336413418,-24.048381822774004,86.65390191845654,2
73.90355263141687,-24.130901822619386,86.66047471811927,2
75.38162368404521,-24.130902793796917,86.76128188503671,2
76.88925615772611,-23.651170236254014,85.60166030330834,2
78.42704128088063,-23.6425052492244,85.84191690125309,1
79.99558210649825,-23.20339957680387,84.7622078973226,2
81.59549374862821,-23.037824429677833,86.7227579822063,2
83.22740362360078,-23.00961051448109,85.46012282301416,2
84.8919516960728,-22.816085439541823,85.62060346365625,1
86.58979072999425,-22.574202848533485,86.3766709355449,2
88.32158654459414,-22.735501398256627,84.81900128647342,1
90.08801827548602,-22.286401423017924,85.737637554421,1
91.88977864099574,-22.126051972672798,85.71638177106462,1
93.72757421381566,-22.05860553867757,85.4591074274266,1
95.60212569809197,-21.944250715525996,84.32168113922637,1
97.5141682120538,-21.70504832432489,84.98131185142701,1
99.46445157629488,-21.479804012003406,84.72209524698133,1
101.45374060782078,-21.097995895316032,84.76424051455774,1
103.4828154199772,-21.21355457879558,85.07216053250079,1
105.55247172837674,-20.864978954802723,84.84329382851018,1
107.66352116294428,-20.890986183854988,84.47579717054387,1
109.81679158620317,-20.493206767544848,84.57455200057714,1
112.01312741792724,-20.5161571987678,84.60261083211054,1
114.25338996628578,-20.081070423807937,84.88568535768746,1
116.5384577656115,-20.11666211152911,84.72481026416148,1
118.86922692092372,-19.850577605113347,83.81769807693853,1
121.2466114593422,-19.77613293288126,84.13339746278699,1
123.67154368852906,-19.397068625002966,84.24838681681229,1
126.14497456229964,-19.428550818993642,83.74718066594133,1
128.66787405354563,-19.153830312571813,83.05173573658371,1
131.24123153461656,-19.115965159155586,83.61711773497137,1
133.8660561653089,-18.782090066085157,83.55864617804548,1
136.54337728861506,-18.754149765452024,83.62866535889897,1
139.27424483438736,-18.437650776902807,83.0342506335086,1
142.05972973107512,-18.37985943999042,82.7585945015571,1
144.90092432569662,-18.0353536721297,82.85895382987985,1
147.79894281221056,-17.934565435965585,82.36304076353812,1
150.75492166845476,-17.860520758365375,82.72417465310184,1
153.77002010182386,-17.52886596616941,82.879954157827,1
156.84542050386034,-17.49342220645423,82.093028203149,1
159.98232891393755,-17.20842448837126,82.48610991787443,1
163.1819754922163,-17.069760332526975,81.95592776938514,1
166.44561500206063,-16.95758317836372,82.23672666242331,1
169.77452730210186,-16.716285866968512,81.81710123081355,1
173.17001784814389,-16.528633143393016,81.3760239306132,1
176.63341820510678,-16.475321887023416,81.38065237296013,1
180.16608656920891,-16.29387049788739,81.79186640575476,1
183.76940830059308,-16.06327361273688,81.45165972731536,1
187.44479646660494,-15.906139810646868,80.83416073119393,1
191.19369239593703,-15.800222722062447,80.00867451267959,1
195.01756624385578,-15.535233306837183,80.32939648921206,1
198.9179175687329,-15.319384027145237,80.1806228251358,1
202.89627592010754,-15.162125042394907,79.88794562092954,1
206.9542014385097,-14.960331892741056,79.67999936085455,1
211.09328546727988,-14.880990574649372,79.43830585223071,1
215.31515117662548,-14.76345292091701,79.4119025882697,1
219.62145420015798,-14.346338888556357,79.42874092847532,1
224.01388328416115,-14.411937273684579,78.8794486508082,1
228.49416094984437,-14.017951957625497,79.25824040592693,1
233.06404416884126,-13.971197751899604,78.42297166144074,1
237.7253250522181,-13.64388553288485,78.48696621610151,1
242.47983155326247,-13.661970824904275,77.36092761519905,1
247.32942818432772,-13.323732105185272,77.88979351758053,1
252.27601674801429,-13.242760342613742,77.26305741144725,1
257.3215370829746,-13.045767954705635,77.28929506990957,1
262.4679678246341,-12.889064486008351,76.47262589784573,1
267.7173271811268,-12.648373200701112,76.45962723793178,1
273.07167372474936,-12.595288474920556,75.76727635002854,1
278.53310719924434,-12.168546282146483,76.39405355658698,1
284.10376934322926,-12.1653727582209,75.66727101971306,1
