Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.706552715783573,89.11184967086467,2
40.8,-29.441277650097113,89.00790656846021,2
41.616,-29.326331845508076,88.68139768072221,2
42.44832,-29.59064443772391,88.96417493537419,2
43.297286400000004,-29.269455267727054,86.98721040543234,2
44.163232128000004,-29.043467454347525,88.27249635662693,2
45.046496770560005,-28.946645745742906,87.78002088930396,2
45.9474267059712,-28.701658659156,87.27549418768538,2
46.866375240090626,-28.248839688419405,91.11053114172353,2
47.80370274489244,-28.21239266961366,86.452847144585,2
48.75977679979029,-28.103922166184287,87.52202249418002,2
49.7349723357861,-27.748118915150318,87.86528761810607,2
50.72967178250182,-27.839409050348568,86.49809999349736,2
51.74426521815185,-27.336030387117074,88.9596360677936,2
52.77915052251489,-27.22510096888947,88.56441061168181,2
53.83473353296519,-27.13097642765961,86.88674107486747,2
54.911428203624496,-27.093702995824938,87.84511533028794,2
56.00965676769699,-26.71954162531583,87.35853275592257,2
57.12984990305093,-26.56771209282783,87.52746272065599,2
58.27244690111195,-26.694548976568406,86.22515790330229,2
59.437895839134185,-26.064875058234676,88.1906650944011,2
60.62665375591687,-25.917221999425486,89.46533304362886,2
61.83918683103521,-25.80659231449419,87.33848266905738,1
63.075970567655915,-25.770735257670516,86.70261344672821,2
64.33748997900904,-25.32524890828292,87.70356585492831,2
65.62423977858921,-25.35737343716712,86.81256173209628,2
66.936724574161,-25.06105276209873,86.00194506771328,2
68.27545906564423,-25.10851333089615,88.01921641124335,2
69.64096824695712,-24.746470300549554,87.23953159078997,2
71.03378761189626,-24.65384952556311,88.2193691158566,2
72.45446336413418,-24.474615321993536,87.85221304279764,2
73.90355263141687,-24.34990695799153,87.24854033633112,2
75.38162368404521,-24.248330377311554,87.81508646300561,2
76.88925615772611,-23.83782500325206,87.82552614577247,2
78.42704128088063,-23.87307007358804,87.21080439238872,2
79.99558210649825,-23.569059380550602,86.58108622283663,2
81.59549374862821,-23.54334273775415,87.53454885048188,2
83.22740362360078,-23.45639329220383,87.38347033674049,1
84.8919516960728,-23.246098812086178,86.80132224128516,2
86.58979072999425,-22.990157210946187,87.09095414589291,1
88.32158654459414,-22.877871870849614,86.52481982175746,2
90.08801827548602,-22.664209868354092,87.23855198887686,1
91.88977864099574,-22.368235083871895,86.09298749356952,1
93.72757421381566,-22.313096379376496,86.97611295288456,1
95.60212569809197,-22.21139356646887,88.02921481827742,1
97.5141682120538,-21.855679722709944,86.0000230945674,1
99.46445157629488,-21.655157719636772,86.35790836948036,1
101.45374060782078,-21.56939692024613,86.3696326106845,1
103.4828154199772,-21.38480635700869,87.05880142427095,1
105.55247172837674,-21.164364085206262,87.10691564285975,1
107.66352116294428,-21.131731931071702,85.50009477472307,1
109.81679158620317,-20.784984139530934,86.7888348861419,1
112.01312741792724,-20.895526772793385,85.77799076762435,1
114.25338996628578,-20.425296494659605,86.51502663555942,1
116.5384577656115,-20.437632810545406,85.65158803196425,1
118.86922692092372,-20.112878919770917,86.12453627669132,1
121.2466114593422,-20.01951294968715,85.8218473787675,1
123.67154368852906,-19.78025356614849,85.85119520014723,1
126.14497456229964,-19.777272434283056,85.63840490395381,1
128.66787405354563,-19.479478391298276,86.03976479540624,1
131.24123153461656,-19.374013902519565,86.2785513487059,1
133.8660561653089,-18.985146917632374,85.64755607991293,1
136.54337728861506,-19.161142910066662,85.68145229644304,1
139.27424483438736,-18.84483927879712,85.36702526893856,1
142.05972973107512,-18.823198223068392,84.29403959093536,1
144.90092432569662,-18.50436588414802,84.32437434887083,1
147.79894281221056,-18.400829403798493,84.31666891905415,1
150.75492166845476,-18.209745407703164,85.27391508338083,1
153.77002010182386,-17.93962412542899,84.38515571723701,1
156.84542050386034,-17.89555058807022,84.31344317151066,1
159.98232891393755,-17.62555686388668,84.42068890025323,1
163.1819754922163,-17.532191100294572,84.37801671965371,1
166.44561500206063,-17.42430532155543,84.23994060651319,1
169.77452730210186,-17.160273971731147,83.98720874643665,1
173.17001784814389,-16.94904134488412,83.71081273244295,1
176.63341820510678,-16.840417582118487,84.10296905290956,1
180.16608656920891,-16.7442324386312,83.72778174272794,1
183.76940830059308,-16.391144192683786,83.48107729461606,1
187.44479646660494,-16.333252899011846,83.81427028901764,1
191.19369239593703,-16.25193306818566,83.5795233577453,1
195.01756624385578,-15.988059175371948,83.60124383409317,1
198.9179175687329,-15.755516163292455,82.97706795792075,1
202.89627592010754,-15.605800478797853,82.81521303094894,1
206.9542014385097,-15.445269751056728,82.70237088249337,1
211.09328546727988,-15.345430722929391,82.64936369038529,1
215.31515117662548,-15.192356728172399,82.29682066910426,1
219.62145420015798,-14.829415947715859,82.35023596599524,1
224.01388328416115,-14.916849340199873,81.76396214733779,1
228.49416094984437,-14.513213302741706,82.59977442729098,1
233.06404416884126,-14.493831634078408,81.97742367867312,1
237.7253250522181,-14.249568099979898,82.14832845859644,1
242.47983155326247,-14.125122364651592,81.38687337605771,1
247.32942818432772,-13.898751094923488,81.56233244798256,1
252.27601674801429,-13.82330020340009,81.21342047478956,1
257.3215370829746,-13.589236451687146,81.10185676731864,1
262.4679678246341,-13.552238210341226,81.17131901459219,1
267.7173271811268,-13.191212491028335,81.32271428664978,1
273.07167372474936,-13.160319337086792,80.41095678074282,1
278.53310719924434,-12.84594929066001,80.69211041673015,1
284.10376934322926,-12.877716559879994,80.16933546291735,1
289.78584473009386,-12.576571568660931,79.8862165861567,1
295.5815616246957,-12.445764204165686,79.80723397671893,1
301.4931928571896,-12.30995694623209,79.57678872885779,1
307.52305671433345,-12.01237168538478,79.51955697097458,1
313.6735178486201,-11.996929054019889,79.29936801766812,1
319.9469882055925,-11.761905501338376,79.43145337619102,1
326.34592796970435,-11.604551587830084,78.91607522409936,1
332.87284652909847,-11.553216264914736,78.58157090433264,1
339.53030345968045,-11.255576495058131,78.65800525336664,1
346.3209095288741,-11.106345412846867,78.26970745930066,1
353.24732771945156,-11.009427214523622,78.28186701636879,1
360.3122742738406,-10.811597386770861,77.88760505587766,1
367.5185197593174,-10.587742380437644,77.74764460157905,1
374.8688901545038,-10.491418316584735,77.48337246106146,1
382.3662679575939,-10.360711910622245,77.30774894596732,1
390.01359331674576,-10.160170119752728,76.70710339819185,1
397.8138651830807,-9.945422487718588,77.0053119100801,1
405.7701424867423,-9.766101646399513,76.70247128120195,1
413.88554533647715,-9.641128642186919,76.36351891120674,1
422.1632562432067,-9.539712574602072,75.91333579726111,1
430.60652136807084,-9.412375753100582,75.49879905042282,1
439.21865179543227,-9.184720601844294,75.49744460965277,1
448.0030248313409,-9.007914996564818,75.07478820943021,1
456.96308532796775,-8.800020719481623,75.17265202853265,1
466.1023470345271,-8.613482149526934,74.67629519126842,1
475.42439397521764,-8.488443219224548,74.1790278387235,1
484.932881854722,-8.295822709859152,74.21290077145898,1
494.63153949181645,-8.150585534753624,73.73985440111552,1
504.5241702816528,-8.015006120244811,73.71554051036486,1
514.6146536872859,-7.958440822669169,73.17177279834009,1
524.9069467610317,-7.61334357671889,73.45821679705557,1
535.4050856962523,-7.69338434000233,72.3896391543116,1
546.1131874101774,-7.310881284124809,72.79596873490351,1
557.035451158381,-7.326558155898972,72.20473760578088,1
568.1761601815485,-7.059384166190025,71.86424791981227,1
579.5396833851795,-6.950302637381818,71.38988423752163,1
591.1304770528831,-6.775205977766589,71.09317592077156,1
602.9530865939407,-6.578903435531544,70.85325735909935,1
615.0121483258196,-6.476125598761723,70.56387529376163,1
627.312391292336,-6.268916900916552,70.32112308287927,1
639.8586391181827,-6.1360251173912514,69.72997254316347,1
652.6558119005464,-5.97982400765575,69.58418691891919,1
665.7089281385573,-5.788028251316579,69.27443578360186,1
679.0231067013285,-5.684838897495502,68.70282066301556,1
692.6035688353551,-5.442641678574155,68.7247834328481,1
706.4556402120622,-5.422930451105239,67.89828905407954,1
720.5847530163035,-5.087464516841527,67.96801672214781,1
734.9964480766296,-5.106902137510242,67.2413158109483,1
749.6963770381622,-4.828820325108149,67.20387833940262,1
764.6903045789254,-4.68601219812625,66.88083053076468,1
779.9841106705039,-4.622256504212556,65.9564138157001,1
795.583792883914,-4.312070640066581,66.09875433231304,1
811.4954687415924,-4.275624354882814,65.44187016333133,1
827.7253781164243,-4.131437944674615,64.97665935307433,1
844.2798856787527,-3.85358089763466,64.84132628424267,1
861.1654833923278,-3.7839270738678596,64.29441215509064,1
878.3887930601744,-3.662665130223083,63.66499986717853,1
895.9565689213779,-3.4102800175376924,63.636080863551484,1
913.8757002998054,-3.284603403416038,63.241855067213464,1
932.1532143058016,-3.1875723732925927,62.464403638620496,1
950.7962785919177,-3.0406769539975063,62.22835056755302,1
969.8122041637561,-2.7919522880996777,61.87404574970532,1
989.2084482470312,-2.649326609708069,61.50793699661894,1
1008.9926172119718,-2.5348461421486097,60.78799835248054,1
1029.1724695562114,-2.41822157347868,60.08614583783468,1
1049.7559189473357,-2.2707267920835443,59.844024454211876,1
1070.7510373262824,-2.0427942659973066,59.39226012345256,1
1092.166058072808,-1.8580077812984903,58.9007563953535,1
1114.0093792342643,-1.7303534289115812,58.62866524981723,1
1136.2895668189497,-1.5682795031616272,58.045876822282644,1
1159.0153581553286,-1.4301210940159244,57.36148683487589,1
1182.1956653184352,-1.3113765028656594,56.70490796137809,1
1205.8395786248038,-1.1433138948300166,56.20274527971816,1
1229.9563701973,-0.9942548147104722,55.72094239541933,1
1254.555497601246,-0.8343518785196142,55.17875032134147,1
1279.646607553271,-0.6468797136538,54.560541232094124,1
1305.2395397043365,-0.49955543452068385,54.12227837216558,1
1331.3443304984232,-0.34153921762706985,53.472369247167606,1
1357.9712171083918,-0.1548916967415638,52.98078290041258,1
1385.1306414505596,0.009719692149597309,52.35345153829447,1
1412.8332542795708,0.15929839262188245,51.80815554134125,1
1441.0899193651624,0.2863503947811501,51.0728046729259,1
1469.9117177524656,0.4488741835067374,50.40778043934421,1
1499.3099521075148,0.6015764035067839,49.79115021749134,1
1529.296151149665,0.8134079691247873,49.26582594648331,1
1559.8820741726583,0.9656534980622592,48.625193717768184,1
1591.0797156561116,1.0773565319590188,47.78559311482428,1
1622.9013099692338,1.248339941663968,47.08611753670208,1
1655.3593361686185,1.4477156674247658,46.47090554209876,1
1688.466522891991,1.58751000234174,45.58896732118405,1
1722.235853349831,1.7448057065210998,44.73730614138188,1
1756.6805704168275,1.9341096169307377,44.28458693544815,1
