Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.983438815894374,-93.86729668298977,2
40.8,-30.80625031355458,-93.33457332454284,2
41.616,-30.865905510496596,-90.28354049799479,2
42.44832,-30.69673666228632,-94.73987692072023,2
43.297286400000004,-30.44382473936483,-93.76702283342428,2
44.163232128000004,-30.671143892816062,-94.47316295738369,2
45.046496770560005,-29.990706126640593,-94.74242211538146,2
45.9474267059712,-30.34188488938696,-93.32048609002493,2
46.866375240090626,-29.638049514204745,-95.66660891919564,2
47.80370274489244,-29.977072392841016,-97.23922989093387,2
48.75977679979029,-29.49474633365834,-92.71160690394497,2
49.7349723357861,-29.479529772301014,-96.35716663232304,2
50.72967178250182,-29.305729597483154,-94.86691750690211,2
51.74426521815185,-29.14462099017983,-95.95608714554544,2
52.77915052251489,-28.819657438451767,-95.30453146532768,2
53.83473353296519,-28.88836973911521,-95.76860026405555,2
54.911428203624496,-28.260132947788048,-94.76165590297786,2
56.00965676769699,-28.51122845723663,-94.72330505563298,2
57.12984990305093,-28.119401583349692,-94.29202953246674,2
58.27244690111195,-28.349740727353378,-94.18602353883472,2
59.437895839134185,-27.808734101609367,-94.72685041487179,2
60.62665375591687,-27.712299839525677,-95.60228771540051,2
61.83918683103521,-27.246504626895717,-94.21788207924943,2
63.075970567655915,-27.187592221027202,-96.09531498855608,2
64.33748997900904,-26.813270370657857,-95.63085618730024,2
65.62423977858921,-26.76329322904943,-97.59727543273306,2
66.936724574161,-26.685036833644986,-96.38604953744056,2
68.27545906564423,-26.64949481992367,-95.20275203963489,2
69.64096824695712,-26.142440369788616,-97.58227431763063,2
71.03378761189626,-26.237438186488333,-95.89900532687079,2
72.45446336413418,-25.79927645525874,-95.25785368719968,2
73.90355263141687,-25.77919764696077,-95.53804192570819,2
75.38162368404521,-25.873297900611306,-96.82869969059112,2
76.88925615772611,-25.379670840944375,-96.17282637616812,2
78.42704128088063,-25.46000198745125,-96.87944984125309,2
79.99558210649825,-25.317222390719518,-96.54389226449649,2
81.59549374862821,-24.883489844757285,-96.84397851453006,2
83.22740362360078,-24.90821765039297,-97.28966237730273,2
84.8919516960728,-24.47544307730322,-96.88748523686658,2
86.58979072999425,-24.326621331936305,-96.48866257561804,2
88.32158654459414,-24.362966937710404,-97.20485387274877,2
90.08801827548602,-24.2249277710416,-97.28647275679589,2
91.88977864099574,-23.88564075108694,-97.08747768113443,2
93.72757421381566,-23.682838426204945,-97.6309074464484,2
95.60212569809197,-23.71300114101097,-97.69378735551476,2
97.5141682120538,-23.426654622539807,-98.45740432736801,2
99.46445157629488,-23.227803692075216,-98.37345876402091,2
101.45374060782078,-22.992856364000456,-98.4239218227153,1
103.4828154199772,-22.84430350656832,-97.84441867669689,2
105.55247172837674,-22.61905856496421,-98.76188714100066,1
107.66352116294428,-22.472468782476152,-98.42377492159866,1
