Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.248696421957867,-92.87407391115659,2
40.8,-30.672849946396358,-92.05197410562856,2
41.616,-30.490909721908793,-92.48758865655556,2
42.44832,-30.4633004595896,-93.08462743900566,2
43.297286400000004,-29.855577915123128,-92.52051890268126,2
44.163232128000004,-29.991317604960873,-92.99528529684142,2
45.046496770560005,-29.8723339636782,-90.33605524672485,2
45.9474267059712,-29.74621636098139,-92.45008525555068,2
46.866375240090626,-29.654056067903003,-94.13034053474772,2
47.80370274489244,-29.298206163744766,-90.88865380940312,2
48.75977679979029,-28.67650909534549,-93.53431170506778,2
49.7349723357861,-29.210582139364448,-95.29311742032714,2
50.72967178250182,-28.72408444141148,-94.03812869481695,2
51.74426521815185,-28.688077461730614,-91.93335517856652,2
52.77915052251489,-28.247147651079885,-94.52399010118133,2
53.83473353296519,-28.18543687726612,-94.04351218406026,2
54.911428203624496,-28.134918262498736,-93.35864102211889,2
56.00965676769699,-28.22943315263855,-93.32543328008575,2
57.12984990305093,-27.5918317457077,-93.98592004832707,2
58.27244690111195,-27.56349015399236,-93.45228665085875,2
59.437895839134185,-27.271150254354996,-94.45439224102091,2
60.62665375591687,-27.3217232168669,-93.04041853613262,2
61.83918683103521,-27.119364375622304,-94.55572303895336,2
63.075970567655915,-26.931640086959277,-93.06086864887776,2
64.33748997900904,-26.56454031544248,-93.78759317288467,2
65.62423977858921,-26.557340078713768,-95.48320921328337,2
66.936724574161,-26.38596666445009,-95.35764632712541,2
68.27545906564423,-26.442536543716695,-96.21273391290408,2
69.64096824695712,-25.716899150894115,-94.53896878256265,2
71.03378761189626,-25.968278213092542,-94.02841753560801,2
72.45446336413418,-25.64765070745069,-95.89785049853023,2
73.90355263141687,-25.37023623352092,-95.8507262706264,2
75.38162368404521,-25.480507505042496,-94.69101923054359,2
76.88925615772611,-25.072559377186412,-95.19074324368196,2
78.42704128088063,-25.12116038344197,-94.74844869629598,2
79.99558210649825,-24.71285876427057,-95.70974567726739,2
81.59549374862821,-24.66311315768596,-95.77004224017816,2
83.22740362360078,-24.586121151303075,-95.56627678933134,2
84.8919516960728,-24.312916999354343,-95.79991231212799,2
86.58979072999425,-24.08732702400616,-95.63456911594105,2
88.32158654459414,-24.276252917258216,-96.49616851520688,2
90.08801827548602,-23.80758437580104,-95.44677452240319,2
91.88977864099574,-23.524367098639093,-97.44488872385136,1
93.72757421381566,-23.427337629102084,-96.72773055940098,2
95.60212569809197,-23.473105112502957,-96.37274048397762,2
97.5141682120538,-23.10552339787826,-96.32711401008909,1
99.46445157629488,-23.169450597960793,-97.64252831627803,2
101.45374060782078,-22.773814587643713,-97.22879699037156,1
103.4828154199772,-22.739881585572952,-97.1504955529812,1
105.55247172837674,-22.452832231799903,-96.43153330095802,1
107.66352116294428,-22.611201307768848,-97.38673853540121,2
109.81679158620317,-22.01929036395507,-97.09170951602016,2
112.01312741792724,-21.925356106556688,-97.4495119018714,1
114.25338996628578,-21.67480742679001,-97.62879510229095,1
116.5384577656115,-21.929675184832238,-97.75068974832445,1
118.86922692092372,-21.51820403385042,-97.25755654495103,1
121.2466114593422,-21.524703412765408,-98.24775887127714,1
123.67154368852906,-21.21221891328354,-98.10437981432587,1
126.14497456229964,-21.092818685511585,-98.47792255579766,1
128.66787405354563,-20.836965801855875,-98.2625898237406,1
131.24123153461656,-20.8707491950544,-99.56245415489173,1
133.8660561653089,-20.512320215802692,-99.05674541639996,1
136.54337728861506,-20.47208320951958,-98.80492999621275,1
139.27424483438736,-20.174608011642764,-98.96115321758668,1
