Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.713478288337257,-92.49643034478049,2
40.8,-30.345771443273918,-92.33690982112269,2
41.616,-30.4522757090742,-92.4025675610279,2
42.44832,-30.20903556320258,-94.16982807264185,2
43.297286400000004,-30.366445894315905,-93.32185136952819,2
44.163232128000004,-30.099127504497577,-92.91872893475863,2
45.046496770560005,-29.737975020001088,-93.5686660809439,2
45.9474267059712,-29.670852564464894,-94.3495227096451,2
46.866375240090626,-29.453212561928165,-93.99026410771549,2
47.80370274489244,-29.557646810606478,-92.9265062737054,2
48.75977679979029,-28.65916759608732,-93.68234561848246,2
49.7349723357861,-29.36282734874181,-93.97484372971489,2
50.72967178250182,-28.76850380240681,-94.11587975441438,2
51.74426521815185,-28.7343480314827,-93.60760356792662,2
52.77915052251489,-28.937723969306173,-93.53480470316097,2
53.83473353296519,-28.677608762782338,-93.91001569939812,2
54.911428203624496,-28.247779559916886,-94.45479832316386,2
56.00965676769699,-28.165072337417588,-94.8053545690978,2
57.12984990305093,-28.015147555931023,-94.7079016955953,2
58.27244690111195,-28.031131445304464,-94.71878425859782,2
59.437895839134185,-27.774832530136212,-94.74705557022091,2
60.62665375591687,-27.507736500919947,-93.32615817547259,2
61.83918683103521,-27.297106334083477,-95.15407263579594,2
63.075970567655915,-27.2133350820883,-94.32149405965633,2
64.33748997900904,-27.01358839745729,-94.12481041330511,2
65.62423977858921,-27.081476780311007,-96.53300139311807,2
66.936724574161,-26.718281013485882,-94.21748274172373,2
68.27545906564423,-26.650292115006533,-95.73194378640883,2
69.64096824695712,-26.45003450272014,-95.6228012573159,2
71.03378761189626,-26.44936658172562,-95.89974383439039,2
72.45446336413418,-26.035771009863726,-95.04380065720693,2
73.90355263141687,-25.77011818714309,-96.25511673183756,2
75.38162368404521,-25.88123335778664,-95.32610369918831,2
76.88925615772611,-25.506219357975972,-94.98750517465643,2
78.42704128088063,-25.50351436965236,-95.14871048879124,2
79.99558210649825,-25.322665496395285,-95.49605576738666,2
81.59549374862821,-24.94874170369389,-95.8857919441736,2
83.22740362360078,-25.152392296108424,-96.37578263266118,2
84.8919516960728,-24.60167376639624,-95.85911366789189,2
86.58979072999425,-24.426792938783713,-95.16461209927614,2
88.32158654459414,-24.413513694115487,-96.56683087905967,2
90.08801827548602,-24.31397730637414,-95.92214362823819,2
91.88977864099574,-23.931316815300747,-94.67271507354776,2
93.72757421381566,-23.908101568526902,-96.19372780532285,2
95.60212569809197,-23.98430335368691,-96.74654641456948,2
97.5141682120538,-23.489239250808204,-98.09587369063547,1
99.46445157629488,-23.43712838148904,-96.78432072015576,2
101.45374060782078,-23.207255900621632,-96.80117192951673,2
103.4828154199772,-23.247016129862374,-96.64324041872364,2
105.55247172837674,-23.04275019017435,-97.25458917584142,2
107.66352116294428,-22.916317139865274,-97.29878616656848,1
109.81679158620317,-22.549831722708173,-97.46339473629251,1
112.01312741792724,-22.52634132004681,-97.78557750106461,1
114.25338996628578,-22.336218532445688,-97.32973317232683,1
116.5384577656115,-22.16546483212823,-98.11525256984385,1
118.86922692092372,-21.926357309408246,-97.48193970556748,1
121.2466114593422,-21.94642197272522,-98.68702938282144,1
123.67154368852906,-21.662375790394385,-98.53561510319402,1
126.14497456229964,-21.49165204803852,-99.12548243868925,1
128.66787405354563,-21.286266509122015,-98.2604683269323,1
131.24123153461656,-21.337883649411623,-98.22026096092748,1
133.8660561653089,-21.173817588416053,-98.83672083211451,1
136.54337728861506,-21.008090931877234,-99.21180154042085,1
139.27424483438736,-20.554895348300867,-99.560903255225,1
142.05972973107512,-20.652644711491515,-99.63092682876692,1
144.90092432569662,-20.399881498311238,-99.04965597737221,1
147.79894281221056,-20.257183416072053,-99.45059342910349,1
150.75492166845476,-20.03643989846734,-99.53477012324993,1
153.77002010182386,-19.80233066453627,-99.70145233655009,1
156.84542050386034,-19.818370210674487,-100.74814241098268,1
159.98232891393755,-19.636588190875184,-99.99030074528119,1
163.1819754922163,-19.380659620897617,-100.3899282582424,1
166.44561500206063,-19.287269815707393,-100.99169025762006,1
169.77452730210186,-19.065527024335267,-100.55095084386119,1
173.17001784814389,-18.927089253847132,-100.79368361634822,1
176.63341820510678,-18.840174075242746,-101.13310308005109,1
180.16608656920891,-18.63665031371183,-101.8350863063281,1
183.76940830059308,-18.30549120110446,-101.25476254108078,1
187.44479646660494,-18.304619139385643,-101.40263576754994,1
191.19369239593703,-18.34035351528473,-101.72911748854358,1
195.01756624385578,-18.044763411258387,-101.9924785937179,1
198.9179175687329,-17.78342138628688,-102.2278842558804,1
202.89627592010754,-17.62766899002144,-102.37362366978482,1
206.9542014385097,-17.545914584422924,-102.7664966017328,1
211.09328546727988,-17.466828852057905,-102.55774046162384,1
215.31515117662548,-17.27717516615403,-103.3098662677779,1
219.62145420015798,-16.929256689597977,-103.40400852215586,1
224.01388328416115,-17.04083172014461,-104.11632689376819,1
228.49416094984437,-16.76375932420269,-103.44697326643887,1
233.06404416884126,-16.744087133826298,-103.7265959228728,1
237.7253250522181,-16.416713379588963,-104.40699542161651,1
242.47983155326247,-16.36835239059372,-104.40350959318283,1
247.32942818432772,-16.07729956842779,-104.02488812516387,1
252.27601674801429,-16.098841082295692,-105.1978614337594,1
257.3215370829746,-15.853071738292078,-105.10971449802446,1
262.4679678246341,-15.815690387314525,-105.0971754323445,1
267.7173271811268,-15.492859118777234,-105.12019003658298,1
273.07167372474936,-15.420433867154618,-106.0957060523854,1
278.53310719924434,-15.113707818296126,-105.54722793215916,1
284.10376934322926,-15.20575068120756,-106.1441545910682,1
289.78584473009386,-14.902016064252226,-105.81530332158275,1
295.5815616246957,-14.827596807185001,-106.33901107848635,1
301.4931928571896,-14.761639216368046,-106.89214406331274,1
307.52305671433345,-14.4419345529034,-106.54316969396903,1
313.6735178486201,-14.38709608680389,-107.16076375757994,1
319.9469882055925,-14.15222083565643,-107.40653633632178,1
326.34592796970435,-14.053841839864392,-107.71272405878261,1
332.87284652909847,-13.996643556655739,-108.4382107580162,1
339.53030345968045,-13.712882743952855,-107.8504032646845,1
346.3209095288741,-13.550956504709234,-108.07640757473492,1
353.24732771945156,-13.486139809558592,-108.77734584214329,1
360.3122742738406,-13.201243787401095,-109.09787159716964,1
367.5185197593174,-13.04415895933397,-108.68503792904781,1
374.8688901545038,-12.909990061407155,-109.3459947338668,1
382.3662679575939,-12.850341579384189,-109.69166231653014,1
390.01359331674576,-12.72048366265677,-110.13445033508212,1
397.8138651830807,-12.460854097626122,-110.24913659787589,1
405.7701424867423,-12.347506677226821,-110.21022825431392,1
413.88554533647715,-12.171489285633186,-110.65752262479319,1
422.1632562432067,-12.10120912779242,-111.14657189173147,1
430.60652136807084,-12.002186310555286,-111.4741043473478,1
439.21865179543227,-11.816110139436256,-111.30776934298257,1
448.0030248313409,-11.599546434891757,-111.69523225340079,1
456.96308532796775,-11.440246206831645,-111.85503047084691,1
466.1023470345271,-11.318806193665605,-112.28367513390376,1
475.42439397521764,-11.14256135406383,-112.76644600984726,1
484.932881854722,-11.031773741379869,-112.66191843106262,1
494.63153949181645,-10.857807907530853,-112.97502536271479,1
504.5241702816528,-10.697278998135925,-113.27122831221959,1
514.6146536872859,-10.61417437259821,-113.89157449455539,1
524.9069467610317,-10.323252808396923,-113.67200814480458,1
535.4050856962523,-10.36316856174781,-114.7517750503248,1
546.1131874101774,-10.06547227879192,-114.21596502900469,1
557.035451158381,-10.01290253249612,-115.14549372468116,1
568.1761601815485,-9.795269297784017,-115.04609185778634,1
579.5396833851795,-9.645515902192772,-115.62260282807102,1
591.1304770528831,-9.546720538616052,-115.85227701312105,1
602.9530865939407,-9.34860681771207,-115.98064490917918,1
615.0121483258196,-9.212811463906503,-116.51100042957134,1
627.312391292336,-9.021853881158693,-116.47533294051254,1
639.8586391181827,-8.965583470746791,-117.10836954585128,1
652.6558119005464,-8.67260793603102,-117.46150191410564,1
665.7089281385573,-8.56123830479584,-117.7811124186282,1
679.0231067013285,-8.459930177352854,-118.3151660145518,1
692.6035688353551,-8.228205846905379,-118.37633716183798,1
706.4556402120622,-8.197175210326963,-119.04889643122044,1
720.5847530163035,-7.879611969355372,-118.74684288515465,1
734.9964480766296,-7.861727671277156,-119.39724667439182,1
749.6963770381622,-7.614212589575675,-119.55821503642005,1
764.6903045789254,-7.4943876804217116,-120.15067814716771,1
779.9841106705039,-7.425420745766583,-120.84127310878765,1
795.583792883914,-7.183355256408232,-121.0118514605285,1
811.4954687415924,-7.121929202267966,-121.51548779463326,1
827.7253781164243,-6.965552998177399,-121.96461313815766,1
844.2798856787527,-6.729875225508421,-121.80891814197238,1
861.1654833923278,-6.637183246866398,-122.70446993630173,1
878.3887930601744,-6.507235885986961,-123.37393791510401,1
895.9565689213779,-6.239196604883699,-123.13259283385548,1
913.8757002998054,-6.1234100914409755,-123.52147197674478,1
932.1532143058016,-6.056305380924367,-124.30119431280332,1
950.7962785919177,-5.865553290147439,-124.54711359772506,1
969.8122041637561,-5.600520998766233,-124.54028540296572,1
989.2084482470312,-5.522451517205796,-125.05111657083904,1
1008.9926172119718,-5.345626116392423,-125.66931960582613,1
1029.1724695562114,-5.283300701532078,-126.26101763346827,1
1049.7559189473357,-5.0515186631091655,-126.65345905947277,1
1070.7510373262824,-4.855404917839022,-126.70284428223343,1
1092.166058072808,-4.706977637425998,-127.24629529132433,1
1114.0093792342643,-4.5503361684271635,-127.58356174769884,1
1136.2895668189497,-4.406689101062088,-128.29703798120926,1
1159.0153581553286,-4.265490690323488,-128.54101080427554,1
1182.1956653184352,-4.168608349638483,-129.15689552110592,1
1205.8395786248038,-3.994153597758846,-129.72270802671878,1
1229.9563701973,-3.834069247892447,-130.29167256143148,1
1254.555497601246,-3.698054412654695,-130.75055557248743,1
1279.646607553271,-3.53657184857695,-131.20787972372813,1
1305.2395397043365,-3.390914065218572,-131.69923523195143,1
1331.3443304984232,-3.2063020847922177,-132.06450544512683,1
1357.9712171083918,-3.0403175936427216,-132.48210633723497,1
1385.1306414505596,-2.9156735722533815,-133.03388688351131,1
1412.8332542795708,-2.7462366017837416,-133.52964146696567,1
