Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.067025760234024,86.57016289997628,1
40.8,-21.752114970606588,86.79240358931133,1
41.616,-21.67726417808411,86.28160610286675,1
42.44832,-21.439910049378145,85.9488710978808,1
43.297286400000004,-21.23007422103261,86.26940787247204,1
44.163232128000004,-21.083946159517836,86.05248760142835,1
45.046496770560005,-20.92015479261452,86.73213421178323,1
45.9474267059712,-20.64536674760954,85.16670667233966,1
46.866375240090626,-20.64212544692999,86.48769074178523,1
47.80370274489244,-20.423777532078365,85.63475045544185,1
48.75977679979029,-20.07171316962807,85.68419216512245,1
49.7349723357861,-20.071758385456793,85.84808923306177,1
50.72967178250182,-19.76776703032139,86.37726892687954,1
51.74426521815185,-19.68037367834222,85.66652532065864,1
52.77915052251489,-19.406666024747064,85.63941323977446,1
53.83473353296519,-19.433601726040063,85.86030615412241,1
54.911428203624496,-19.02389560600438,86.02169609805156,1
56.00965676769699,-19.06824569965671,84.4501993309435,1
57.12984990305093,-18.562157446663115,84.71107072875964,1
58.27244690111195,-18.78035195072387,85.33858375482279,1
59.437895839134185,-18.442378010973776,85.15598302633099,1
60.62665375591687,-18.324089327988858,85.73685367535205,1
61.83918683103521,-18.089915446082482,84.81049569447197,1
63.075970567655915,-17.964651897485968,84.46097100468315,1
64.33748997900904,-17.69891170433227,84.97711610287523,1
65.62423977858921,-17.62604911981942,84.35453885433598,1
66.936724574161,-17.40010640349547,84.2294060487036,1
68.27545906564423,-17.25982228934941,84.69282383058551,1
69.64096824695712,-16.946080710829772,84.21734154673945,1
71.03378761189626,-16.96234387467827,84.08197700664,1
72.45446336413418,-16.642448984403384,83.86092451751779,1
73.90355263141687,-16.563317994112257,83.84115199605841,1
75.38162368404521,-16.402426211532575,83.61682246986898,1
76.88925615772611,-16.028255646096476,83.70039695276421,1
78.42704128088063,-16.060899706229876,83.11327652244671,1
79.99558210649825,-15.740018997576144,82.96536807676526,1
81.59549374862821,-15.555876865962265,82.86703636523367,1
83.22740362360078,-15.51430434730473,82.548231186918,1
84.8919516960728,-15.246503690006147,82.95260077943868,1
86.58979072999425,-15.062497131049252,83.0103964745648,1
88.32158654459414,-14.987843464821815,82.59367109616753,1
90.08801827548602,-14.68801171738031,82.59480837635223,1
91.88977864099574,-14.486472592035275,82.45383768317788,1
93.72757421381566,-14.426817228893142,82.57238700058538,1
95.60212569809197,-14.27484867757027,82.09883395976925,1
97.5141682120538,-14.03737258060014,81.7627685984374,1
99.46445157629488,-13.744367107616656,81.65602826477479,1
101.45374060782078,-13.596281482879096,81.4968980731374,1
103.4828154199772,-13.501757009774819,81.15437588236942,1
105.55247172837674,-13.260103087903955,81.43428440148756,1
107.66352116294428,-13.207361020055993,80.9591131252613,1
109.81679158620317,-12.873040422545593,81.0213325974635,1
112.01312741792724,-12.844142177127532,80.389780087488,1
114.25338996628578,-12.490009086701509,80.46771941438305,1
116.5384577656115,-12.44517712335952,80.02099007347044,1
118.86922692092372,-12.133913097175427,80.11366798783334,1
121.2466114593422,-12.052753228451689,79.8488687799857,1
123.67154368852906,-11.781037692228642,79.60247178677605,1
126.14497456229964,-11.684916703481314,79.25193951201473,1
128.66787405354563,-11.422100358216397,78.92538395017625,1
131.24123153461656,-11.322183158962602,78.68887108452553,1
133.8660561653089,-11.032689462670287,78.80329249418816,1
136.54337728861506,-11.016017340940207,77.85840821873364,1
139.27424483438736,-10.612362922480079,78.28906880639522,1
142.05972973107512,-10.636834482235432,77.8271371650205,1
144.90092432569662,-10.267954747248872,77.44693634229986,1
147.79894281221056,-10.22439040292031,77.1877809102575,1
150.75492166845476,-9.9872743327882,77.02468868024192,1
153.77002010182386,-9.706138012859173,76.9466992525073,1
156.84542050386034,-9.68474263107274,76.40600834915563,1
159.98232891393755,-9.394510304181004,76.0792024857808,1
163.1819754922163,-9.167321366914551,75.67622935021768,1
166.44561500206063,-9.100661164643931,75.34102748706373,1
169.77452730210186,-8.787257463297701,75.01155611704321,1
173.17001784814389,-8.581139340560897,74.83975170267877,1
176.63341820510678,-8.474819523027218,74.36070715741292,1
180.16608656920891,-8.22480438608895,73.9971651178756,1
183.76940830059308,-7.9488998501147785,73.86559837181028,1
187.44479646660494,-7.791642278898277,73.26532398974739,1
191.19369239593703,-7.678513242988016,72.7063607550391,1
195.01756624385578,-7.414939474673789,72.6422869648812,1
198.9179175687329,-7.169817368484373,72.10660529574608,1
202.89627592010754,-6.9678591423873995,71.67684202251053,1
206.9542014385097,-6.815338412840723,71.17344950880741,1
211.09328546727988,-6.6476413396488185,70.44274228213672,1
215.31515117662548,-6.484323297004615,69.80321399364107,1
219.62145420015798,-6.079954664480873,70.15867482115242,1
224.01388328416115,-6.058882193076434,68.96619579175001,1
228.49416094984437,-5.679635422393113,69.28006898006964,1
233.06404416884126,-5.615740064619242,67.963933446293,1
237.7253250522181,-5.281668886785522,67.85292330028737,1
242.47983155326247,-5.137373544400684,66.92594386034688,1
247.32942818432772,-4.8431870513662,66.44933388193635,1
252.27601674801429,-4.690944374781809,65.63747381019813,1
257.3215370829746,-4.385958722049357,65.28261651743539,1
262.4679678246341,-4.24951568218931,64.28746253689616,1
267.7173271811268,-3.9036617814902046,63.979415909796614,1
273.07167372474936,-3.8459085720586685,62.83290268990155,1
278.53310719924434,-3.4308086107802245,62.66809274057012,1
284.10376934322926,-3.3572256708991395,61.110035864166335,1
289.78584473009386,-2.978077432806882,60.973775536808645,1
295.5815616246957,-2.7879468169588497,59.83750694615452,1
301.4931928571896,-2.5809258746776655,58.79127101595796,1
307.52305671433345,-2.2615025617150093,58.57208960089122,1
313.6735178486201,-2.092900343291488,56.808542547302764,1
319.9469882055925,-1.782254998646712,56.215593716344046,1
326.34592796970435,-1.5330479063353646,55.033147780397826,1
332.87284652909847,-1.3310255149839425,53.512413223459795,1
339.53030345968045,-1.028335798035645,53.06026511861742,1
346.3209095288741,-0.7840078037241897,51.51957143198126,1
353.24732771945156,-0.5986331876173703,50.027811789913464,1
360.3122742738406,-0.25168451559414706,48.95132369969619,1
367.5185197593174,0.029694167552375996,47.525455199714656,1
374.8688901545038,0.25372826418877586,45.83243559051766,1
382.3662679575939,0.4952927380785439,44.03620583644741,1
390.01359331674576,0.7942702561791452,42.54491230128039,1
397.8138651830807,1.0863478257778336,41.021168048434276,1
405.7701424867423,1.3454766980628328,39.00962716497395,1
413.88554533647715,1.5710255196991856,36.90166566476173,1
422.1632562432067,1.8222623993455973,34.682004019023154,1
430.60652136807084,2.07924977964609,32.551206084271456,1
439.21865179543227,2.340153511409895,30.429540388276635,1
448.0030248313409,2.5709267195426655,28.128603963876984,1
456.96308532796775,2.799213986502121,25.627766583478195,1
466.1023470345271,3.015308385128667,22.77552557831291,1
475.42439397521764,3.2074795033268826,20.01047692216688,1
484.932881854722,3.391529045509653,17.121793717324408,1
494.63153949181645,3.5584742463366204,14.096556849056244,1
