Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.968857481160462,88.6534476010056,1
40.8,-22.745047846069394,88.32348534425495,1
41.616,-22.646406683228168,87.6119418627872,1
42.44832,-22.524539490559413,87.96643874380123,1
43.297286400000004,-22.496080949813425,88.15243628389953,1
44.163232128000004,-22.089517936278725,88.140791843129,1
45.046496770560005,-21.773021153588857,87.69015393227932,1
45.9474267059712,-21.70478456790485,88.10198515100262,1
46.866375240090626,-21.581790286117,87.62677144481927,1
47.80370274489244,-21.4361660935978,87.65841357458888,1
48.75977679979029,-21.17463078896828,88.12958125797888,1
49.7349723357861,-21.120723087089267,87.21461001410874,1
50.72967178250182,-20.88898795093539,87.50250433313818,1
51.74426521815185,-20.744616389298546,87.1119669076635,1
52.77915052251489,-20.569318562146535,88.44695577990666,1
53.83473353296519,-20.495345974482014,87.53048380331234,1
54.911428203624496,-20.079060982157408,86.97785591536453,1
56.00965676769699,-20.1477682650358,87.89484832736824,1
57.12984990305093,-19.78452004647951,87.21082278168478,1
58.27244690111195,-19.82419951092808,87.58200544208835,1
59.437895839134185,-19.564147014036017,87.60856387545334,1
60.62665375591687,-19.442875064268144,87.71514614834838,1
61.83918683103521,-19.1577227764323,86.96919999650959,1
63.075970567655915,-19.126930862417055,87.60911296027753,1
64.33748997900904,-18.793096100136996,87.15134589941071,1
65.62423977858921,-18.79432951034717,87.1968455734482,1
66.936724574161,-18.475412878618354,87.37214420037691,1
68.27545906564423,-18.489615109615897,86.73919945080812,1
69.64096824695712,-18.221129986611075,87.47090321164441,1
71.03378761189626,-18.067043569640813,86.72731057340691,1
72.45446336413418,-17.753901273907847,86.87144792916746,1
73.90355263141687,-17.65857859682098,86.76596310404692,1
75.38162368404521,-17.543857012897945,87.29931181661567,1
76.88925615772611,-17.256196107133682,87.04562892550632,1
78.42704128088063,-17.235379255531498,86.5703982611833,1
79.99558210649825,-16.919887040945333,86.70978875059228,1
81.59549374862821,-16.58035062126494,86.89935713100965,1
83.22740362360078,-16.662150988946923,86.43464507918716,1
84.8919516960728,-16.407833962911262,86.26660628011146,1
86.58979072999425,-16.21191697273109,86.4557804794311,1
88.32158654459414,-16.198087219133296,86.25016202024888,1
90.08801827548602,-16.03338263032679,86.62078877805823,1
91.88977864099574,-15.65537812186315,86.47311490831873,1
93.72757421381566,-15.601927803200342,86.22252728960595,1
95.60212569809197,-15.560146192600085,85.78051380140477,1
97.5141682120538,-15.337859491774502,86.18408504892626,1
99.46445157629488,-15.068452256188053,86.1532158113973,1
101.45374060782078,-14.885992793245544,85.61874520910612,1
103.4828154199772,-14.751322583550502,85.80669592300053,1
105.55247172837674,-14.456076293107715,85.48637755459094,1
107.66352116294428,-14.484963234403477,85.64607078909083,1
109.81679158620317,-14.143871578732538,85.64911007468618,1
112.01312741792724,-14.101906870793586,85.41602043924135,1
114.25338996628578,-13.749247800896136,85.5132855252923,1
116.5384577656115,-13.791217406468867,85.09592258966453,1
118.86922692092372,-13.470114544352814,84.97945961264996,1
121.2466114593422,-13.38472940758628,85.00563642274034,1
123.67154368852906,-13.100736791389464,84.69746603732108,1
126.14497456229964,-13.014505520717996,84.65548971679178,1
128.66787405354563,-12.783444511779631,84.88040993097228,1
131.24123153461656,-12.755068436382683,84.2612059887701,1
133.8660561653089,-12.45590106612229,84.57067866424245,1
136.54337728861506,-12.447250465122517,84.44588661788976,1
139.27424483438736,-12.073355483865798,84.55154832859326,1
142.05972973107512,-12.071909869052716,83.82256824398915,1
144.90092432569662,-11.77161203714378,84.23582525549261,1
147.79894281221056,-11.731111644194717,83.95413305306278,1
150.75492166845476,-11.52157979063869,83.89807314326772,1
153.77002010182386,-11.240567692005905,83.80637640206112,1
156.84542050386034,-11.213267748592955,83.30781547568702,1
159.98232891393755,-10.970677331537782,83.57852692962517,1
163.1819754922163,-10.7844046623473,83.14656832926505,1
166.44561500206063,-10.711803236871196,83.00671087506358,1
169.77452730210186,-10.405871966796104,83.23887295190639,1
173.17001784814389,-10.265990316036369,83.13937240260003,1
176.63341820510678,-10.183620228966594,82.81182256638166,1
180.16608656920891,-9.931939899540334,82.74013928271862,1
183.76940830059308,-9.680715421217057,82.59054947565551,1
187.44479646660494,-9.596998790138622,82.59293918243566,1
191.19369239593703,-9.528648631563408,82.02149360892606,1
195.01756624385578,-9.271268541278278,81.80823586983536,1
198.9179175687329,-9.049959689918229,82.03190483848137,1
202.89627592010754,-8.864531563607153,81.99474760948198,1
206.9542014385097,-8.782779071101666,81.31497010656466,1
211.09328546727988,-8.634066507867782,81.32165757229579,1
215.31515117662548,-8.450844975819976,81.08475008085028,1
219.62145420015798,-8.0901455389294,81.1560979861459,1
224.01388328416115,-8.156033429265191,80.51439311034929,1
228.49416094984437,-7.790615661580633,81.05686664120554,1
233.06404416884126,-7.797286189946371,80.42604076279228,1
237.7253250522181,-7.49118053067221,80.34435422040801,1
242.47983155326247,-7.384444456357145,80.36911636987818,1
247.32942818432772,-7.159941009596261,80.0325640026075,1
252.27601674801429,-7.079824111888352,79.52682700434197,1
257.3215370829746,-6.832033368531578,79.5902785507973,1
262.4679678246341,-6.730784645813608,79.07337553333556,1
267.7173271811268,-6.469683155586851,79.31834042350192,1
273.07167372474936,-6.406270082605422,78.83542657430712,1
278.53310719924434,-6.122043598420409,78.99036769618559,1
284.10376934322926,-6.104723775645198,78.45205385166213,1
289.78584473009386,-5.790529071542819,78.4291664540911,1
295.5815616246957,-5.727493102996897,77.91259567795197,1
301.4931928571896,-5.502404486490731,77.64809571464059,1
307.52305671433345,-5.271894529428416,77.65209853365457,1
313.6735178486201,-5.239672539284067,77.13526072946826,1
319.9469882055925,-4.928728400968016,77.1673171142481,1
326.34592796970435,-4.78491094959446,76.98869255537295,1
332.87284652909847,-4.718220983309465,76.41752000223568,1
339.53030345968045,-4.469739609734392,76.36483822049314,1
346.3209095288741,-4.307593636473416,76.14906927258505,1
353.24732771945156,-4.173857624298809,75.50356844999672,1
360.3122742738406,-3.975916755197465,75.70775243130983,1
367.5185197593174,-3.733688780850593,75.32410272002437,1
374.8688901545038,-3.619222348722889,74.80989503483951,1
382.3662679575939,-3.5248607468283435,74.441533848472,1
390.01359331674576,-3.3054212184968477,74.3685206644911,1
397.8138651830807,-3.0543882844607384,74.11457380552415,1
405.7701424867423,-2.9077169886237173,73.64485216088815,1
413.88554533647715,-2.8007269746277936,73.4633802971131,1
422.1632562432067,-2.643411927946142,73.1353893570458,1
430.60652136807084,-2.4786605810313187,72.5551437721847,1
439.21865179543227,-2.2645073506804687,72.43591259624442,1
448.0030248313409,-2.0741791627512254,72.10154236151527,1
456.96308532796775,-1.890752012787827,71.63666239017027,1
466.1023470345271,-1.718710246030583,71.52528373634868,1
475.42439397521764,-1.5539274184018532,71.05740482676437,1
484.932881854722,-1.412039917939601,70.68372051530503,1
494.63153949181645,-1.2523164050469326,70.25108749655922,1
504.5241702816528,-1.0467953059110424,70.10329096267174,1
514.6146536872859,-1.001110183459962,69.12844891758402,1
524.9069467610317,-0.6630117947839537,69.46319720190229,1
535.4050856962523,-0.7083255656639312,68.29272193007799,1
546.1131874101774,-0.358344355277074,68.63038294833305,1
557.035451158381,-0.29502654244285087,67.64817972904697,1
568.1761601815485,-0.02796239268415406,67.459410072509,1
579.5396833851795,0.08594252824259106,66.95381340337583,1
591.1304770528831,0.2467154473025795,66.50006988270115,1
602.9530865939407,0.4714345248877723,66.00020140011517,1
615.0121483258196,0.5730655761135078,65.39357053177356,1
627.312391292336,0.8019346255616356,65.24366023338423,1
639.8586391181827,0.9330274087617118,64.44735999060295,1
652.6558119005464,1.153760362004491,64.08579148222628,1
665.7089281385573,1.2817887966814898,63.57223483617997,1
679.0231067013285,1.4675162766233525,62.88050329684772,1
692.6035688353551,1.6557995117091622,62.6050563408311,1
706.4556402120622,1.7232648030005406,61.7415541946354,1
720.5847530163035,2.035699031859781,61.80112437203752,1
734.9964480766296,2.0657354878975442,60.57769759107021,1
749.6963770381622,2.349213029657026,60.42290011805414,1
764.6903045789254,2.442916762589819,59.61920869771231,1
779.9841106705039,2.5878461449521053,58.834689062551334,1
795.583792883914,2.855110855117286,58.76495075621023,1
811.4954687415924,2.921199611515477,57.617162053200516,1
827.7253781164243,3.125076551321225,57.02283456737268,1
844.2798856787527,3.368265099307848,56.76091114538788,1
861.1654833923278,3.4491883040012095,55.65122204507354,1
878.3887930601744,3.6174382420688023,54.96402846939489,1
895.9565689213779,3.8546182637588458,54.58112658073906,1
913.8757002998054,4.015704904751089,53.69421202060556,1
932.1532143058016,4.1114914323352885,52.81503664207047,1
950.7962785919177,4.329840072187139,52.0671075935289,1
969.8122041637561,4.538605736048624,51.59937255836924,1
989.2084482470312,4.7073937707893165,50.679170444742454,1
1008.9926172119718,4.846331441366464,49.63125378641395,1
1029.1724695562114,5.014804519394015,48.678961840193374,1
1049.7559189473357,5.192647729983132,48.160359927649154,1
1070.7510373262824,5.418682931732255,47.372786529487584,1
1092.166058072808,5.588030656435064,46.60291319043885,1
1114.0093792342643,5.760929954908296,45.62141823829944,1
1136.2895668189497,5.924714233744019,44.6215013690732,1
1159.0153581553286,6.0850233446420745,43.57932641638287,1
1182.1956653184352,6.265163925662411,42.55265796829555,1
1205.8395786248038,6.424308363329373,41.541382795548714,1
1229.9563701973,6.594955507142785,40.4468376801148,1
1254.555497601246,6.773743858354008,39.41098632422742,1
1279.646607553271,6.965589404433541,38.27016264934493,1
1305.2395397043365,7.139397449572647,37.18528258488816,1
1331.3443304984232,7.318420864932787,36.11273857213246,1
1357.9712171083918,7.501691433198182,34.99125591125835,1
1385.1306414505596,7.696837582881353,33.800347334233635,1
1412.8332542795708,7.869650250280912,32.60024873723967,1
1441.0899193651624,8.041779380573065,31.080403759730164,1
1469.9117177524656,8.196488249091667,29.689184764828582,1
1499.3099521075148,8.369509153845554,28.28927729973259,1
1529.296151149665,8.567028191048086,26.912483295926776,1
1559.8820741726583,8.749764760432502,25.47423767708625,1
1591.0797156561116,8.910454941458546,23.973873472868526,1
1622.9013099692338,9.073782132829152,22.156371209027377,1
1655.3593361686185,9.256135712415551,20.709766055311434,1
1688.466522891991,9.44021893896032,19.086541018675018,1
1722.235853349831,9.59236331988732,17.190730558263105,1
1756.6805704168275,9.737564842006169,15.521150401745075,1
1791.814181825164,9.900709530539817,13.601860142074258,1
1827.6504654616674,10.064207189224922,11.691932154247116,1
1864.2034747709008,10.221902581967077,9.709053166404914,1
1901.4875442663188,10.359305508528063,7.666066532781883,1
1939.5172951516452,10.506931806121342,5.576227139306241,1
1978.307641054678,10.641362158889617,3.351549592659027,1
2017.8737938757715,10.758014708100845,1.132282491167885,1
2058.231269753287,10.887114025612766,-1.3554376759172442,1
2099.395895148353,10.981210215276155,-3.6416560578455233,1
2141.38381305132,11.085518983372122,-6.083760721210297,1
2184.211489312346,11.20786570096046,-8.699243855130447,1
2227.895719098593,11.326286249309527,-11.392975287046625,1
2272.453633480565,11.380897903103987,-13.994550354640339,1
2317.902706150176,11.359112724145957,-16.423612578455305,1
2364.2607602731796,11.366506198640675,-19.06371423604484,1
2411.5459754786434,11.47385167119477,-22.11781033841495,1
2459.776894988216,11.583851573199027,-25.1175931923118,1
2508.9724328879806,11.546330794878294,-27.90700951477487,1
2559.1518815457403,11.366669592388016,-30.64416320814459,1
2610.334919176655,11.283128590002487,-33.50113047842245,1
2662.541617560188,11.391395588754492,-36.65506694147511,1
2715.792449911392,11.454048419343662,-39.41727956419594,1
2770.10829890962,11.218748902201385,-42.4118984494508,1
2825.5104648878123,10.953401171794194,-45.38733464889365,1
2882.0206741855686,10.939453355074225,-48.14520071851677,1
2939.66108766928,11.017310475794892,-50.69506199036855,1
2998.4543094226656,10.781523133441375,-53.56373586042986,1
3058.423395611119,10.396240147923525,-56.99615340627713,1
3119.591863523341,10.294115404580653,-59.45722247311002,1
3181.983700793808,10.325531464551966,-61.45220839423137,1
3245.6233748096843,10.011341153228603,-64.46477788210615,1
3310.535842305878,9.59512386705761,-67.82975296759263,1
