Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.154816576258316,88.4045971771246,1
40.8,-21.822635510615765,89.05097626694453,1
41.616,-21.662926247028153,89.09468803778996,1
42.44832,-21.587692842735525,89.11289894720532,1
43.297286400000004,-21.43460174393912,88.44355121378612,1
44.163232128000004,-21.248280193525126,88.77673074834279,1
45.046496770560005,-21.110445084410575,88.33208439230576,1
45.9474267059712,-20.706336651445536,88.8133221435969,1
46.866375240090626,-20.458795601650806,95.07028343746919,1
47.80370274489244,-20.56391996016619,89.50009381582056,1
48.75977679979029,-20.05977183122709,90.43260243668453,1
49.7349723357861,-20.01702586581935,88.53133763724495,1
50.72967178250182,-19.861480382042092,88.51626463446837,1
51.74426521815185,-19.866258295413054,89.05691165633324,1
52.77915052251489,-19.495531339992755,88.60490159571361,1
53.83473353296519,-19.525457472332185,88.08677517572802,1
54.911428203624496,-19.30156487137241,88.73451961028175,1
56.00965676769699,-19.219011979385733,88.69303256863896,1
57.12984990305093,-18.816704256326915,89.11757762298828,1
58.27244690111195,-18.959102414871825,88.03104170082341,1
59.437895839134185,-18.6193881066863,88.89181328933489,1
60.62665375591687,-18.616939946253993,88.38982107432462,1
61.83918683103521,-18.195197874234513,88.9069406169254,1
63.075970567655915,-18.237166547134056,88.72516538936812,1
64.33748997900904,-17.889493168029095,88.57302793383838,1
65.62423977858921,-17.808067970470248,88.81275764438661,1
66.936724574161,-17.542501375215004,88.36525616577723,1
68.27545906564423,-17.47086716945491,88.29100681870719,1
69.64096824695712,-17.01953935500452,87.41869296650756,1
71.03378761189626,-17.188649943133914,88.36822202160711,1
72.45446336413418,-16.86022040278449,88.25564631198597,1
73.90355263141687,-16.708752437525302,88.07604522176449,1
75.38162368404521,-16.584024374905027,87.92580502562254,1
76.88925615772611,-16.354720849524437,88.14887266503115,1
78.42704128088063,-16.297256886164213,88.27162979221907,1
79.99558210649825,-16.0619020382258,87.9241038458371,1
81.59549374862821,-15.811003086880378,88.64431930922166,1
83.22740362360078,-15.771358835743001,88.20249632625747,1
84.8919516960728,-15.545482150402444,87.80225326648765,1
86.58979072999425,-15.33287432185146,88.39384787491485,1
88.32158654459414,-15.252709689983645,87.61311560111976,1
90.08801827548602,-15.054640098037227,87.67214265497786,1
91.88977864099574,-14.910009309331407,88.13493709467389,1
93.72757421381566,-14.763332531440598,87.20276949602207,1
95.60212569809197,-14.602685831329076,87.74442858832339,1
97.5141682120538,-14.361298572935814,88.20205970317409,1
99.46445157629488,-14.114729795200919,87.35374204321883,1
101.45374060782078,-13.963797120294695,87.12526180029118,1
