Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.170813440365393,87.48759888686921,2
41.6,-27.74887494188143,87.81401307783227,2
43.264,-27.705701355461574,86.84827071521424,2
44.99456000000001,-27.111465558203893,89.5441019756627,2
46.79434240000001,-26.841843576430396,84.36653123838717,2
48.66611609600002,-26.50497634993833,87.63345953796696,2
50.61276073984002,-26.210987662309524,88.26533176152356,2
52.637271169433625,-25.995783872756853,86.7660460320022,2
54.742762016210975,-25.668426670166753,86.72922130578334,2
56.93247249685942,-25.06669648771606,86.44300771178935,2
59.2097713967338,-24.80392848312962,86.30007023052978,2
61.57816225260316,-24.487440130687123,85.0933469276413,2
64.04128874270728,-24.233000709918205,86.45692929859831,2
66.60294029241557,-23.911737621114654,85.23106237693693,2
69.26705790411219,-23.36869223736026,86.45387270829181,2
72.03774022027669,-23.094655874303736,85.47724879267008,2
74.91924982908776,-22.687939773042725,85.78765877806455,1
77.91601982225127,-22.521853502680223,85.1459674632303,1
81.03266061514132,-22.199108280540166,86.89036798537988,1
84.27396703974698,-21.641957334682537,85.059664798511,1
87.64492572133686,-21.39837970010687,84.64827240850354,1
91.15072275019034,-21.058107221438352,84.71864374445522,1
94.79675166019796,-20.744292922680124,83.88634410337932,1
98.58862172660588,-20.259975010737506,84.4403708265218,1
102.53216659567012,-20.01073492426998,84.68162533942355,1
106.63345325949693,-19.66924700649735,83.4192681833127,1
110.89879138987682,-19.241449365492247,83.63203381611049,1
115.3347430454719,-18.815576467699152,83.01224267320538,1
119.94813276729077,-18.482453589391675,82.96257847219965,1
124.74605807798241,-18.115958220656676,82.6851735833165,1
129.7359004011017,-17.8107097051786,82.51048340244799,1
134.9253364171458,-17.488230931073762,82.17428806737036,1
140.32234987383163,-17.079346140311994,81.79439865174659,1
145.9352438687849,-16.837617944753227,81.71319102013486,1
151.7726536235363,-16.48195535375079,81.29913957404354,1
157.84355976847777,-16.00424690286471,81.04396062385439,1
164.1573021592169,-15.644689285306828,80.25378027179153,1
170.7235942455856,-15.463637644966608,80.1574373958548,1
177.55253801540903,-15.094792481047858,79.36353297972002,1
184.6546395360254,-14.68624943562416,79.58346906163202,1
192.04082511746643,-14.316196108549832,78.58006515663183,1
199.72245812216508,-13.928975000180152,78.51282800700488,1
207.71135644705168,-13.52692498184236,78.05151367666365,1
216.01981070493375,-13.305757428936737,77.08996851911999,1
224.6606031331311,-12.901588943696247,76.31972446842951,1
233.64702725845635,-12.508651152714426,76.02768981460389,1
242.9929083487946,-12.136767450063651,76.21699506114489,1
252.7126246827464,-11.711297129517087,74.35895194495495,1
262.8211296700563,-11.383299714013619,74.68943716679573,1
273.33397485685856,-10.957776670197847,73.4182304323815,1
284.2673338511329,-10.499837669837657,72.9736638812744,1
295.6380272051782,-10.134281735209372,72.25755150142292,1
307.4635482933854,-9.61757934757401,70.76974460677634,1
319.7620902251208,-9.197317595398466,70.27376742018413,1
332.55257383412567,-8.876739762718556,68.99122201449,1
345.8546767874907,-8.339000831055186,68.54048768938668,1
359.6888638589903,-7.930044074593852,67.46643202435068,1
374.0764184133499,-7.548668773009546,66.02597065162723,1
389.0394751498839,-7.003865859531736,65.01929293274449,1
404.6010541558793,-6.563648693550454,63.485127942665926,1
420.7850963221145,-6.117122284017587,62.09324983602715,1
437.6165001749991,-5.556615351260947,60.83372665615593,1
455.1211601819991,-5.070733973501379,59.076213155787975,1
473.3260065892791,-4.573736242998996,57.17293411630159,1
492.25904685285025,-4.0582892860141575,55.14171269273474,1
511.9494087269643,-3.592070266035748,52.49173196460811,1
532.4273850760429,-3.003591306786108,50.36750708473947,1
553.7244804790846,-2.3639200880331517,47.66382575592223,1
575.873459698248,-1.7337875043743174,44.73255658493082,1
598.908398086178,-1.1826738713636993,41.631700297234296,1
622.8647340096251,-0.5179478182416557,37.504421631353225,1
647.77932337001,0.04981355914884311,33.198908246107166,1
673.6904963048105,0.6330520490908406,28.049461417258584,1
700.638116157003,1.1992279239340993,22.378574211337323,1
728.6636408032831,1.6872790075893334,16.06138899319204,1
757.8101864354145,2.1105243961493576,9.150408522030375,1
788.1225938928311,2.448744903694118,1.6285605364245725,1
819.6474976485443,2.6277878056999815,-6.421253927911227,1
852.4333975544862,2.682176567115962,-14.555488977385707,1
886.5307334566656,2.564739150420353,-22.94243730683249,1
921.9919627949323,2.2987117474380288,-31.10905582264337,1
958.8716413067297,1.9117268176650102,-38.29822814465544,1
997.2265069589989,1.4479778291459988,-45.28003470808336,1
1037.1155672373588,0.8898517754769474,-51.56056728132044,1
1078.6001899268533,0.17709375312088316,-57.07190063866078,1
1121.7441975239276,-0.38217559627322806,-62.22756928857193,1
1166.6139654248848,-1.0252342687441154,-66.95999011658505,1
1213.2785240418802,-1.643704959284476,-70.88911226353443,1
1261.8096650035554,-2.2908568101743394,-74.5049649518208,1
1312.2820516036977,-2.9189858161721207,-77.57623160582361,1
1364.7733336678457,-3.5423754999547548,-80.70605493101209,1
1419.3642670145596,-4.207176635469348,-83.49350869342824,1
1476.138837695142,-4.792120418397796,-86.11676244573124,1
1535.1843912029478,-5.318371456691285,-88.73959067746763,1
1596.5917668510658,-5.924830762727941,-90.93111882709763,1
1660.4554375251084,-6.403296948374242,-93.11359947345898,1
1726.8736550261128,-7.0095116705762806,-95.2257210981331,1
1795.9486012271575,-7.534113158488781,-97.35874462976437,1
1867.786545276244,-8.078458389042101,-99.29790661566562,1
1942.4980070872937,-8.59704030213597,-100.89540552549025,1
2020.1979273707855,-9.108193347438853,-102.84011744744504,1
2101.005844465617,-9.09590665833634,-102.85163221933162,1
2185.046078244242,-10.023610299026325,-106.23980361327145,1
2272.4479213740115,-10.801259736782564,-108.84145324579208,1
2363.345838228972,-11.150102960213811,-109.12547089548264,1
2457.879671758131,-12.07347646085778,-110.84713376417065,1
2556.194858628456,-12.345786959508041,-112.07929719238945,1
2658.4426529735942,-12.531329572208012,-109.00547088618525,1
2764.780359092538,-12.981031245537235,-114.48760828405696,1
2875.3715734562397,-13.530471903307902,-118.66308275021608,1
2990.3864363944895,-14.374349753718317,-120.58211958275453,1
3110.001893850269,-14.48290923659512,-121.88320778163276,1
3234.4019696042797,-15.10562442718575,-125.05489419523064,1
3363.7780483884508,-15.510128825083182,-124.86281017599163,1
3498.329170323989,-16.114014813948742,-125.68986226327695,1
3638.2623371369486,-16.418055831408946,-128.67474511790547,1
3783.7928306224267,-16.83647278737766,-129.73927579238247,1
3935.144543847324,-17.48818028542528,-132.0697221229346,1
4092.550325601217,-17.78215558027329,-133.7346548919646,1
4256.252338625266,-18.409044240355627,-135.8222976010711,1
4426.502432170277,-18.67352581758314,-138.61267512349173,1
4603.562529457088,-19.28445422851288,-138.2224679993753,1
4787.705030635372,-19.687979750841674,-140.82700396804768,1
4979.213231860787,-20.117095329937392,-142.44634928572023,1
5178.381761135219,-20.754281030451054,-145.33728625814854,1
5385.517031580628,-21.03843050127921,-146.4664531804979,1
5600.937712843854,-21.78316101581086,-148.0603866602826,1
5824.975221357608,-21.909850485752855,-150.79075265964747,1
6057.974230211912,-22.383574244602013,-153.54688163363426,1
6300.293199420389,-22.647008044675662,-155.46557995318977,1
6552.304927397205,-23.14452261992174,-156.2222198199182,1
6814.397124493093,-23.411753049818298,-160.31414971685223,1
7086.973009472817,-23.78868125556219,-164.05451467273494,1
7370.45192985173,-23.89773935907487,-167.34920429443406,1
7665.2700070457995,-24.08809578072911,-170.25116158681942,1
7971.880807327631,-24.258063701782,-175.32497413739276,1
8290.756039620737,-24.301182454972707,179.69381484944432,1
8622.386281205567,-24.36574892742143,171.79099892063232,1
8967.28173245379,-24.36083072670518,163.61989174420611,1
9325.973001751941,-24.88582094970245,154.41793365269544,1
9699.011921822019,-25.987749333908823,137.85913758360448,1
10086.9723986949,-26.7125902073504,124.38829200029268,1
10490.451294642695,-28.387489962590564,114.72197974464055,2
10910.069346428403,-30.498466181208137,103.37038336556567,2
11346.47212028554,-31.981821958480367,97.92284539189288,2
11800.331005096961,-33.81789257320049,95.13335046672493,2
12272.34424530084,-35.43422191964492,93.62779720937755,2
12763.238015112873,-36.10344364811318,93.48076984981833,2
13273.767535717388,-36.96670753682482,92.8786500245233,2
13804.718237146084,-38.81826712900301,91.43165745729908,2
14356.906966631928,-38.368914932592226,90.09088046174077,2
14931.183245297207,-38.74768888463239,81.99277576581068,2
15528.430575109096,-39.623531632202926,85.47865108534683,2
16149.567798113461,-39.670907296557196,82.49775774951058,2
16795.550510038,-39.38133195348489,80.69794686101841,2
17467.37253043952,-39.297297634600646,75.83291646929214,2
18166.067431657102,-39.467243828777946,77.15406735584617,2
18892.710128923387,-39.325639856521654,72.1677818425195,2
19648.418534080323,-39.33177487629215,71.12118060841536,2
