Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.425537307271064,88.74083712721551,1
40.8,-28.109060579656447,88.9820628542698,1
41.616,-28.22877132706773,88.55830414033218,1
42.44832,-27.53744936291349,89.60586754409798,2
43.297286400000004,-27.78827081191629,87.55011544429647,2
44.163232128000004,-27.667082485230747,90.14852020658198,1
45.046496770560005,-27.357779449237217,87.59805799287949,2
45.9474267059712,-27.42226460112574,90.33433521388974,1
46.866375240090626,-26.658963688918355,88.74410004765265,1
47.80370274489244,-26.694152215154237,86.86872117708967,2
48.75977679979029,-25.96567455840364,86.57023560416502,1
49.7349723357861,-26.227806454053905,89.75049733507728,2
50.72967178250182,-26.191031008859518,90.22664128457926,2
51.74426521815185,-26.026160007808254,88.74643451833659,2
52.77915052251489,-25.523857515996447,86.80060018612858,2
53.83473353296519,-25.80916604642858,89.17073570441895,2
54.911428203624496,-25.33411774399833,87.86937435095786,1
56.00965676769699,-25.597471471537798,87.54002528137266,2
57.12984990305093,-25.025818011275828,87.53728057086673,2
58.27244690111195,-24.936234907059514,87.65241193151495,2
59.437895839134185,-24.728986601269757,88.62655535815257,1
60.62665375591687,-24.535616103584356,88.13604448663915,2
61.83918683103521,-24.480213845634818,88.67457767483336,1
63.075970567655915,-24.20900661210817,89.2345533770935,2
64.33748997900904,-24.037595741444804,88.98205545323621,1
65.62423977858921,-23.916962284412396,88.23674175078293,2
66.936724574161,-23.79682809107441,88.34740188877322,1
68.27545906564423,-23.706412706887335,87.90926886430441,1
69.64096824695712,-23.313314609179166,87.15370467683596,1
71.03378761189626,-23.335422212959966,88.15624175593545,1
72.45446336413418,-23.059264619127926,88.16323266676063,1
73.90355263141687,-23.06764480728347,87.8955864247358,1
75.38162368404521,-22.962433398950548,87.38361341595326,1
76.88925615772611,-22.335633778785567,87.66241064147509,1
78.42704128088063,-22.363311176696254,89.03039602195895,1
79.99558210649825,-22.218163006008098,86.76294582295895,1
81.59549374862821,-22.079503824680003,87.36088504870747,1
83.22740362360078,-22.02783639486796,87.89607457445895,1
84.8919516960728,-21.665550742588728,88.15880950254132,1
86.58979072999425,-21.550334741535902,87.90526721741232,1
88.32158654459414,-21.31058326277949,87.89860827176398,1
90.08801827548602,-21.057317720405585,87.56515970383782,1
91.88977864099574,-20.951150116364456,88.14245914344761,1
93.72757421381566,-20.92794559149881,89.36068165224366,1
95.60212569809197,-20.706489552370936,86.49652400883626,1
97.5141682120538,-20.437149299568212,87.01925799559007,1
99.46445157629488,-20.39201963794981,87.28261724131318,1
101.45374060782078,-20.17531746475181,86.84273367170442,1
103.4828154199772,-19.98057397221055,87.1604655352267,1
105.55247172837674,-19.80379585614865,87.71619569144741,1
107.66352116294428,-19.79849204458246,86.59005910043767,1
109.81679158620317,-19.44357588324802,87.06208295040625,1
112.01312741792724,-19.377611542280896,88.14828182869589,1
114.25338996628578,-19.06705387517904,87.13783432592493,1
116.5384577656115,-18.97404850826486,86.86162501975964,1
118.86922692092372,-18.768051931599242,86.70640583614986,1
121.2466114593422,-18.681359426955037,87.19190040040831,1
123.67154368852906,-18.36941186911536,86.48443457683175,1
126.14497456229964,-18.294033935080744,86.19712606641754,1
128.66787405354563,-18.09624898621039,86.64558411230408,1
131.24123153461656,-17.986848266181667,86.02554132823255,1
133.8660561653089,-17.73300546436118,86.04430807078097,1
136.54337728861506,-17.71739708159815,86.21489248638738,1
139.27424483438736,-17.393969663577,85.9760186427293,1
142.05972973107512,-17.3505918373294,86.51258345725304,1
144.90092432569662,-17.082526092270236,85.60941645161078,1
147.79894281221056,-16.984328779209427,85.64399259656699,1
150.75492166845476,-16.768820786816292,85.78814229149253,1
153.77002010182386,-16.52437590523713,85.40738626189169,1
156.84542050386034,-16.455516401630902,86.59216115557251,1
159.98232891393755,-16.165823607707853,85.84279334958761,1
163.1819754922163,-16.078286041844056,85.62642527119327,1
166.44561500206063,-15.971945136111511,85.8990551607998,1
169.77452730210186,-15.709907499431724,85.30098749067878,1
173.17001784814389,-15.495043263304877,85.18739885065798,1
176.63341820510678,-15.426790252554035,85.25000309694347,1
180.16608656920891,-15.315677042159603,85.31799063464258,1
183.76940830059308,-15.018583670052722,85.41171237910322,1
187.44479646660494,-14.871599022837707,84.95745354272856,1
191.19369239593703,-14.783803589805473,85.19461643722406,1
195.01756624385578,-14.488056796387568,84.66031346227722,1
198.9179175687329,-14.275395939086096,84.54500832442379,1
202.89627592010754,-14.144788162128673,84.56289851819976,1
206.9542014385097,-14.044789487691537,84.24686063196955,1
211.09328546727988,-13.872639393470262,84.56045832551114,1
215.31515117662548,-13.84801863408578,84.48583143032141,1
219.62145420015798,-13.419261366521274,83.74321956231825,1
224.01388328416115,-13.461150269068128,84.72860290773318,1
228.49416094984437,-13.094632920391302,83.74845623393604,1
