Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.451002775412483,-92.26209366154973,2
41.6,-28.063243584338487,-92.4595923355438,2
43.264,-28.270443342201887,-92.66418736001219,2
44.99456000000001,-27.593795204956866,-91.93758887489305,2
46.79434240000001,-26.78127430008971,-94.04620557784423,2
48.66611609600002,-26.579867401152462,-94.08472977159346,2
50.61276073984002,-26.457295404958714,-93.55216348921111,2
52.637271169433625,-26.139498282196673,-92.17883089922384,2
54.742762016210975,-25.511043383606594,-94.49050766940881,2
56.93247249685942,-25.393720601886777,-92.43906848571788,2
59.2097713967338,-24.98321188119943,-92.04103813864127,2
61.57816225260316,-24.688896415232417,-92.73412696765693,2
64.04128874270728,-24.39716298279949,-94.80385139919899,2
66.60294029241557,-23.779757320654692,-94.95062609495255,2
69.26705790411219,-23.680507869981835,-93.43491158897507,2
72.03774022027669,-23.191352950645136,-94.3483616080892,2
74.91924982908776,-22.79501676133461,-94.61699348745105,1
77.91601982225127,-22.590623897306205,-93.46814675507545,1
81.03266061514132,-22.311685545047343,-93.90415094536166,1
84.27396703974698,-21.791053121128233,-94.9627988666792,1
87.64492572133686,-21.418154110654907,-94.72734902910472,1
91.15072275019034,-21.092836786148332,-94.76339746263095,1
94.79675166019796,-20.76877429317463,-95.91285037278868,1
98.58862172660588,-20.383334446599278,-95.67255364779193,1
102.53216659567012,-20.19194883662962,-95.43180494418249,1
106.63345325949693,-19.899810633733992,-95.8699436520559,1
110.89879138987682,-19.385587276981795,-96.54349254264031,1
115.3347430454719,-18.937394782419364,-96.80038097128718,1
119.94813276729077,-18.609117925979078,-97.23416256289738,1
124.74605807798241,-18.218357478639565,-97.31961515624016,1
129.7359004011017,-17.894519250701638,-97.56494843906526,1
134.9253364171458,-17.56903719164057,-97.55941517512927,1
140.32234987383163,-17.18429683642126,-98.37560540190896,1
145.9352438687849,-16.881221592101774,-97.71218783995562,1
151.7726536235363,-16.643868182554463,-98.38579052337263,1
157.84355976847777,-16.188472075243084,-99.07529115543781,1
164.1573021592169,-15.756089732023968,-99.11680805522896,1
170.7235942455856,-15.540033544317522,-99.51294590759065,1
177.55253801540903,-15.176947772963297,-100.21172373509654,1
184.6546395360254,-14.70943588362952,-100.65422963804636,1
192.04082511746643,-14.401278981080049,-100.78326132759008,1
199.72245812216508,-14.000782459007182,-101.59364813760047,1
207.71135644705168,-13.634160760343093,-101.8588546906484,1
216.01981070493375,-13.372001992271265,-102.13994838113808,1
224.6606031331311,-12.988822233450769,-103.14234408682256,1
233.64702725845635,-12.57684637956535,-103.20235644428294,1
242.9929083487946,-12.213020128875648,-104.19001366452227,1
252.7126246827464,-11.76957669992412,-104.66347929592811,1
262.8211296700563,-11.43203096831997,-105.05932318683328,1
273.33397485685856,-11.059680805701136,-105.98061717305558,1
284.2673338511329,-10.652420401051627,-106.97769060814235,1
295.6380272051782,-10.19881039461021,-107.47733399661038,1
307.4635482933854,-9.64787089166619,-108.1009940266589,1
319.7620902251208,-9.301536891936825,-109.05863699175298,1
332.55257383412567,-8.990167890106425,-109.73864879402655,1
345.8546767874907,-8.488307676219884,-110.81270988163683,1
359.6888638589903,-8.044480537765763,-111.91972474721638,1
374.0764184133499,-7.601301838120027,-113.5526013321414,1
389.0394751498839,-7.1269764937439115,-114.44390680480049,1
404.6010541558793,-6.624249395628882,-115.63239085426629,1
420.7850963221145,-6.193314979951308,-117.31629985682412,1
437.6165001749991,-5.62691316063543,-118.3463847588863,1
455.1211601819991,-5.116919659793138,-120.10406924533908,1
473.3260065892791,-4.650471924590254,-122.09668373188109,1
492.25904685285025,-4.0813892637757005,-124.00644131252534,1
511.9494087269643,-3.619472705295991,-126.19923586235826,1
532.4273850760429,-3.0113536756294836,-128.6734691144743,1
