Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.450811987681668,-92.3960333778328,2
41.6,-27.755163690819224,-93.25849182253802,2
43.264,-27.635803588979915,-91.04028466516894,2
44.99456000000001,-27.431539578898974,-92.27636444886438,2
46.79434240000001,-27.10786499690765,-93.52341062885425,2
48.66611609600002,-27.587521239213725,-93.40276022788993,2
50.61276073984002,-26.96355449796722,-92.61862251206504,2
52.637271169433625,-26.397565499647158,-91.61517415371443,2
54.742762016210975,-26.425246010936522,-93.75575911672514,2
56.93247249685942,-26.091698466529298,-91.14957678663056,2
59.2097713967338,-25.751224626952553,-92.12757982516348,2
61.57816225260316,-25.58886066463068,-92.33895946245227,2
64.04128874270728,-25.272434776697697,-92.38966280692762,2
66.60294029241557,-24.81281384168971,-89.42317705987442,2
69.26705790411219,-24.433576924204786,-92.28603135646492,2
72.03774022027669,-24.28353190861055,-93.24840829269414,2
74.91924982908776,-23.668179825374782,-93.70617660178766,2
77.91601982225127,-23.37558276353528,-92.79225896756591,1
81.03266061514132,-23.08961967800936,-93.4818956822258,1
84.27396703974698,-22.66931531713135,-93.54575216929376,1
87.64492572133686,-22.342193577510997,-93.80601817277166,1
91.15072275019034,-22.00494284378711,-94.11491195318155,1
94.79675166019796,-21.752130495931482,-93.06246180627937,1
98.58862172660588,-21.441535166109503,-93.93638706722362,1
102.53216659567012,-21.13888563889297,-94.31045309327625,1
106.63345325949693,-20.84959917955742,-94.129306315489,1
110.89879138987682,-20.42537376767178,-94.38019401116911,1
115.3347430454719,-20.115943605409292,-94.15456880499995,1
119.94813276729077,-19.748452905331867,-94.57249814431192,1
124.74605807798241,-19.359991588390155,-94.97017735748797,1
129.7359004011017,-18.974173123361847,-95.01837188274762,1
134.9253364171458,-18.66204835054348,-95.55202289804782,1
140.32234987383163,-18.357517278188407,-95.59046958682752,1
145.9352438687849,-18.026150523086976,-95.14374931344886,1
151.7726536235363,-17.87423518612474,-95.17573888305938,1
157.84355976847777,-17.44409762969494,-95.81159913807636,1
164.1573021592169,-17.119949630703736,-97.52563256027187,1
170.7235942455856,-16.845008554975795,-96.09975240588722,1
177.55253801540903,-16.45220861570589,-96.44687777179172,1
184.6546395360254,-16.20390906411137,-96.89919381432597,1
192.04082511746643,-15.853489893707724,-97.2086424705941,1
199.72245812216508,-15.41258168626696,-97.33025035023572,1
207.71135644705168,-15.18232895455607,-98.15465714238928,1
216.01981070493375,-14.851367821506127,-98.2219826198382,1
224.6606031331311,-14.583307060399786,-98.49491045794963,1
