Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.777827059403684,-91.58998700999778,2
41.6,-28.14895381013602,-91.99665331243125,2
43.264,-28.249600877188936,-90.5657168287729,2
44.99456000000001,-27.44224601992566,-89.90213114686071,2
46.79434240000001,-27.434929416919072,-91.69952672402658,2
48.66611609600002,-26.804541089479628,-90.3722892912821,2
50.61276073984002,-26.190228768126936,-91.69376148046969,1
52.637271169433625,-25.941325906288032,-92.60366643757766,1
54.742762016210975,-25.730947148327548,-92.84585865846748,1
56.93247249685942,-25.23656757423146,-91.87999452723693,2
59.2097713967338,-25.012812340529976,-90.50451056340431,1
61.57816225260316,-24.472858929219807,-90.26280768096726,2
64.04128874270728,-24.241840162353217,-91.20490983316648,1
66.60294029241557,-24.074420719120315,-94.16503459375929,2
69.26705790411219,-23.534200715497278,-92.08141766980216,2
72.03774022027669,-23.19429287123648,-92.04898358120201,1
74.91924982908776,-22.69308616355101,-91.85396580367158,1
77.91601982225127,-22.51868174673544,-91.54576796005324,1
81.03266061514132,-22.34469253474526,-91.92074951842912,1
84.27396703974698,-21.47150770334787,-89.93799148246566,1
87.64492572133686,-21.50837654232267,-92.71746185062666,1
91.15072275019034,-21.21827918420585,-92.56390154666019,1
94.79675166019796,-20.74248215189979,-91.86581542138173,1
98.58862172660588,-20.464437886387728,-91.98425428463202,1
102.53216659567012,-20.2335471745132,-93.58145515409772,1
106.63345325949693,-19.936182406131934,-92.75497369723398,1
110.89879138987682,-19.545731643003855,-92.43596068623367,1
115.3347430454719,-19.18439837127938,-93.26956890217144,1
119.94813276729077,-18.767364826166204,-93.62658482866729,1
124.74605807798241,-18.39992136457537,-93.5614662077328,1
129.7359004011017,-18.220155335323675,-94.20999888191562,1
134.9253364171458,-17.690387966604963,-94.02856107939598,1
140.32234987383163,-17.461029973812693,-93.78742126185219,1
145.9352438687849,-17.127921803513356,-93.98531852162564,1
151.7726536235363,-16.88772930084664,-93.60319304580855,1
157.84355976847777,-16.570601227211334,-93.6023759756962,1
164.1573021592169,-16.03700727147247,-94.00302089707712,1
170.7235942455856,-15.818234259892344,-94.16975520129913,1
177.55253801540903,-15.519086743926668,-94.43163973488208,1
184.6546395360254,-15.118303061756457,-94.68836620502596,1
192.04082511746643,-14.719246330603038,-94.62815063432447,1
199.72245812216508,-14.457090808692183,-95.11974035641342,1
207.71135644705168,-14.001036812668765,-95.38547995962612,1
216.01981070493375,-13.911612770920739,-95.3605148472617,1
224.6606031331311,-13.568886830175432,-95.68866854287717,1
233.64702725845635,-13.204439068077303,-95.96058527874345,1
242.9929083487946,-12.835093183932823,-95.43060652057301,1
252.7126246827464,-12.501052381657122,-96.01646049457867,1
262.8211296700563,-12.16937537927682,-95.95310990243904,1
273.33397485685856,-11.823084980950359,-96.45006896512723,1
284.2673338511329,-11.478702309383541,-97.21096064089357,1
295.6380272051782,-11.111024415870704,-96.982539000867,1
307.4635482933854,-10.69217317068591,-97.4499117240498,1
319.7620902251208,-10.393551809222524,-97.83238025758872,1
332.55257383412567,-10.159293857762473,-98.55535581616122,1
345.8546767874907,-9.705105601710033,-98.60340815085246,1
359.6888638589903,-9.401868022509444,-98.86763295229312,1
374.0764184133499,-9.110663284972347,-98.9478481614384,1
389.0394751498839,-8.807254828468915,-99.41616327914006,1
404.6010541558793,-8.41829361105907,-99.90076053509165,1
420.7850963221145,-8.139404560443579,-100.26337524202671,1
437.6165001749991,-7.719114004428513,-100.98944867774965,1
455.1211601819991,-7.372718738121126,-101.09814672618792,1
473.3260065892791,-7.086638756448846,-101.2712936815933,1
492.25904685285025,-6.793155081902662,-101.78430544453175,1
511.9494087269643,-6.560307522467281,-102.55736120543008,1
532.4273850760429,-6.193900714947001,-102.25769772595174,1
553.7244804790846,-5.7671444367317655,-103.22716980758963,1
575.873459698248,-5.419233846719303,-103.28071871727688,1
598.908398086178,-5.017250405241541,-104.2292525834155,1
622.8647340096251,-4.701798861531626,-104.88151092017151,1
647.77932337001,-4.411867525977318,-105.41170775267642,1
673.6904963048105,-4.105662330638573,-105.96176538337055,1
700.638116157003,-3.801425156443279,-106.0272685228434,1
728.6636408032831,-3.5484007935249564,-106.80373715581165,1
757.8101864354145,-3.3024770187355474,-107.43312164831961,1
788.1225938928311,-2.9154840138534617,-108.01364556211365,1
819.6474976485443,-2.5223654581679633,-108.93118183151773,1
852.4333975544862,-2.318569366675394,-109.50011896380789,1
886.5307334566656,-1.9802594580782704,-110.02874825265474,1
921.9919627949323,-1.6093537802398872,-110.71299203083,1
958.8716413067297,-1.3844301962042131,-111.43393172493973,1
997.2265069589989,-1.0157049179856574,-112.26447736709456,1
1037.1155672373588,-0.6949904775099157,-113.10107479601288,1
1078.6001899268533,-0.4201574131383049,-114.20677247628282,1
1121.7441975239276,-0.09650590106750441,-114.76577467686221,1
1166.6139654248848,0.25466449298901034,-115.68474229220944,1
1213.2785240418802,0.5756506733374916,-116.29681454249268,1
1261.8096650035554,0.8700295325692808,-117.30019403703322,1
1312.2820516036977,1.1529962398073876,-118.33112710854076,1
1364.7733336678457,1.4342140873547058,-119.00140443430072,1
1419.3642670145596,1.6987537296411395,-120.12383720762585,1
1476.138837695142,1.9644399408766935,-121.20939810538181,1
1535.1843912029478,2.328022652103228,-122.31701892405087,1
1596.5917668510658,2.5622220551348835,-123.41610029398652,1
1660.4554375251084,2.9112039690971265,-124.21195582678357,1
1726.8736550261128,3.2006430111341055,-125.26161853161577,1
1795.9486012271575,3.451007624649186,-126.66028266558374,1
1867.786545276244,3.743744698841497,-127.8568351926948,1
1942.4980070872937,4.050936130835063,-129.04271857247193,1
2020.1979273707855,4.355275283966785,-130.13959229643046,1
2101.005844465617,4.365926476156632,-130.12801871560163,1
2185.046078244242,4.969047488467708,-132.27355821823252,1
2272.4479213740115,5.268400208022251,-136.4459487036707,1
2363.345838228972,5.644862994545382,-134.85397524416462,1
2457.879671758131,5.569373822778401,-138.02513369329046,1
2556.194858628456,6.298641030202557,-139.30815483010906,1
2658.4426529735942,6.47986819424438,-139.93821669542425,1
2764.780359092538,7.0544534852874,-140.9526388806893,1
2875.3715734562397,7.1077969172612905,-143.26049250667245,1
2990.3864363944895,7.253471072665115,-146.05893014297806,1
3110.001893850269,7.798253502103367,-146.3295686054173,1
3234.4019696042797,8.306378554749832,-148.6978889540244,1
3363.7780483884508,8.462353979720106,-150.04327075520263,1
3498.329170323989,8.859988143893935,-152.6343410694187,1
3638.2623371369486,9.237104747280979,-154.06241085972178,1
3783.7928306224267,9.688077129747883,-155.805953483049,1
3935.144543847324,10.037290995402982,-158.75433292136188,1
4092.550325601217,10.513871897040026,-160.76411258013408,1
4256.252338625266,11.003621627766861,-163.76812494659106,1
4426.502432170277,11.507210591178481,-166.7902426724178,1
4603.562529457088,12.092948738745763,-169.7006565036208,1
4787.705030635372,12.656586671660842,-173.11692406533905,1
4979.213231860787,13.314182556264527,-177.3340532096168,1
5178.381761135219,13.984936565056108,177.83934053901396,1
5385.517031580628,14.735378435187144,172.05843926663988,1
5600.937712843854,15.502038962302823,165.05953363154072,1
5824.975221357608,16.20783190037662,156.16211916331713,1
6057.974230211912,17.0261010229211,145.38800146568775,1
