Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.4195408173531,-94.1406533083856,1
40.4,-22.25965636860161,-93.53369789229933,1
40.804,-22.239674998619325,-93.70294969425954,1
41.21204,-22.28144780643215,-93.51516813187496,1
41.6241604,-22.06312925766108,-93.1919506508541,2
42.040402004,-21.980709179068693,-92.57228603113595,1
42.460806024040004,-22.095301690149835,-93.20917721690068,2
42.885414084280406,-22.023264457227814,-93.35319705870323,1
43.31426822512321,-22.03726954086151,-93.31075376548452,1
43.74741090737444,-21.880658133487263,-93.53868267995784,1
44.184885016448185,-21.676454810612423,-93.44695562816639,1
44.62673386661267,-21.66721355981552,-94.09638618828298,1
45.07300120527879,-21.487927662522228,-94.1073568201519,1
45.52373121733158,-21.246026419212495,-93.73849881827047,1
45.9789685295049,-21.353615049164894,-94.01850941822892,1
46.43875821479995,-21.195873538390167,-93.81629633122967,1
46.903145796947946,-21.128581046274164,-93.8127854845082,1
47.372177254917425,-20.939170569465904,-93.94490395312003,1
47.8458990274666,-20.88804848458326,-93.31747386436295,1
48.32435801774127,-20.88221559122877,-94.72736203793306,1
48.80760159791868,-20.717213645308725,-93.78344007106656,1
49.29567761389787,-20.706764602786777,-94.0607862619473,1
49.788634390036854,-20.489640542859362,-93.85124117513419,1
50.28652073393722,-20.49848451252875,-94.33130748332957,1
50.7893859412766,-20.41185566573421,-93.64773550247617,1
51.29727980068937,-20.293915409149292,-94.48003965350142,1
51.81025259869626,-20.09146688086994,-94.2778835119283,1
52.32835512468322,-19.878235656300035,-93.79194367544059,1
52.851638675930054,-19.84129868632322,-94.72586404081952,1
53.380155062689354,-20.006549493430086,-94.42737792672389,1
53.91395661331625,-20.006379745216094,-93.71317799891901,1
54.45309617944942,-19.656511043979474,-94.2525079998479,1
54.99762714124391,-19.51655945538415,-94.46423338709184,1
55.54760341265635,-19.493794096807356,-94.18960631001778,1
56.103079446782914,-19.484562624105596,-94.25517160537947,1
56.66411024125075,-19.449295153811835,-95.18032736217128,1
57.23075134366326,-19.22523316198338,-94.30524711802423,1
57.80305885709989,-19.24119740085419,-94.38870864681138,1
58.38108944567089,-19.235252075089964,-94.63401083557363,1
58.9649003401276,-19.159446148707,-94.41565815820583,1
59.554549343528876,-18.915990889608484,-94.52974887845485,1
60.150094836964165,-18.82697199603765,-94.42986260774192,1
60.751595785333805,-18.768961317641445,-95.40937003996532,1
61.35911174318714,-18.665307695893,-94.18315995776487,1
61.972702860619016,-18.568843851187054,-95.18008329105714,1
62.59242988922521,-18.369009458033762,-94.94185045874771,1
63.21835418811746,-18.474835558909337,-94.72961865401379,1
63.850537729998635,-18.37336097691127,-95.2208031932659,1
64.48904310729863,-18.173599704803145,-95.0425642249009,1
65.13393353837161,-18.13236220662003,-94.86947410742593,1
65.78527287375532,-18.082066031249887,-95.42865543962444,1
66.44312560249287,-18.045802209986014,-95.36353419761326,1
67.1075568585178,-17.737444321443753,-94.83273124135155,1
67.77863242710298,-17.7637554038865,-94.68088644454524,1
68.456418751374,-17.822781637200446,-95.39059385532701,1
69.14098293888775,-17.6873050828485,-95.79740557810942,1
69.83239276827662,-17.4542237339168,-95.89222612608602,1
70.53071669595938,-17.57830096964728,-95.64794586109593,1
71.23602386291898,-17.409142545896422,-95.5399778838717,1
71.94838410154817,-17.09455468788566,-95.51590029864265,1
72.66786794256366,-17.195573211432542,-95.9610742607049,1
73.39454662198929,-17.135445580449087,-95.74102870754767,1
74.12849208820919,-16.905884476164307,-96.17924480612665,1
74.86977700909128,-16.86428002660545,-96.17542351237259,1
75.6184747791822,-16.967054507801567,-95.85345234058116,1
76.37465952697401,-16.80019168915997,-96.11420967730936,1
77.13840612224375,-16.546338233740045,-96.33839626226626,1
77.90979018346619,-16.674348017143682,-96.19453222374197,1
78.68888808530085,-16.592442904359963,-96.1982146368847,1
79.47577696615386,-16.313748203418733,-96.10297633385497,1
80.2705347358154,-16.345118316491845,-96.72961334836066,1
81.07324008317356,-16.306360971538787,-96.90734798667404,1
81.8839724840053,-16.067743311860678,-96.65433141474779,1
82.70281220884536,-16.070899419352333,-96.45383883656658,1
83.52984033093381,-16.02331584554801,-96.6849326138805,1
84.36513873424315,-15.831880828949545,-96.63062252071107,1
85.20879012158558,-15.783642857063047,-97.03418698280097,1
86.06087802280143,-15.780590005723313,-96.8949758767751,1
86.92148680302945,-15.563696194761912,-96.93076241963004,1
87.79070167105975,-15.512176492588411,-97.23841540402917,1
88.66860868777034,-15.425163556042257,-97.16547832560612,1
89.55529477464805,-15.208556703748553,-96.9955068563105,1
