Frequency [Hz],Magnitude [dB],Phase [deg],Quality
10.0,-34.74031409756836,-89.18080267981068,2
10.1,-34.81314583267815,-91.05432101972428,2
10.201,-34.87321400153237,-93.39200659811854,2
10.30301,-34.41594607905008,-89.57718197277218,2
10.4060401,-34.84883652905408,-88.14726705909652,2
10.510100501,-34.13751202848237,-91.24074230560424,2
10.615201506010001,-34.13229026379495,-90.60162852828695,2
10.721353521070101,-34.522397604785404,-83.20785364464736,2
10.828567056280802,-33.99975253897266,-90.09912598722192,2
10.93685272684361,-33.988158230611184,-92.19237822397923,2
11.046221254112046,-33.955760648300235,-89.50366756026214,2
11.156683466653167,-33.8873664528867,-93.32545225445631,2
11.268250301319698,-33.94141689058063,-96.65489835845125,2
11.380932804332895,-33.50167789760174,-89.77655662584769,2
11.494742132376224,-33.329426463156,-92.2514276846119,2
11.609689553699987,-33.47005005842096,-89.29090471810079,2
11.725786449236987,-33.678885100554,-92.14805558113493,2
11.843044313729356,-32.1219063419264,-89.29755789771508,2
11.96147475686665,-34.940612139084266,-87.44553820264109,2
12.081089504435317,-33.604007539917056,-90.91235690978772,2
12.20190039947967,-32.88554202125481,-88.85492435609575,2
12.323919403474468,-33.17883797055369,-91.15304291795945,2
12.447158597509214,-32.478196545014406,-89.41217172450433,2
12.571630183484306,-32.53148170395069,-89.45065124584856,2
12.69734648531915,-33.32015134303729,-89.55332955752954,2
12.824319950172342,-32.51486110633112,-91.85106294615845,2
12.952563149674065,-32.43543851236033,-90.70767509513874,2
13.082088781170805,-32.642478673931464,-89.36149037386815,2
13.212909668982514,-32.42758494489335,-91.63536208178027,2
13.345038765672339,-32.03327302185326,-88.09037031101231,2
13.478489153329063,-32.39086581121093,-88.65555708532187,2
13.613274044862354,-32.18356215152258,-90.40880027799656,2
13.749406785310978,-31.963841395161904,-90.02283320344777,2
13.886900853164088,-32.10948634747046,-92.06821572964135,2
14.025769861695728,-31.37519527260302,-90.02611898030912,2
14.166027560312687,-31.853853980342254,-91.9216239052937,2
14.307687835915814,-31.40952358440056,-90.31253520622856,2
14.450764714274973,-31.848914515908326,-90.27541055237717,2
14.595272361417722,-31.758154256035382,-89.37511409671254,2
14.7412250850319,-31.26583510477955,-90.25941981668629,2
14.888637335882219,-31.528417461012847,-90.9531773175865,2
15.037523709241041,-31.14847588009945,-92.3993275106356,2
15.187898946333451,-31.080027095855595,-89.05487027295112,2
15.339777935796786,-31.139177346183974,-91.4673322866812,2
15.493175715154754,-31.12923833127008,-89.05052928443251,2
15.648107472306302,-30.85476034042848,-90.51303161676456,2
15.804588547029365,-30.797214491714804,-87.4838401994225,2
15.962634432499659,-30.527465059756018,-89.40276207677198,2
16.122260776824657,-30.77187722848516,-91.19774647855945,2
16.283483384592902,-30.219800634003906,-91.07417205044949,2
16.44631821843883,-30.448178248785673,-91.08763416980065,2
16.610781400623218,-30.126900425557913,-90.3501141980943,2
16.77688921462945,-30.52990282330039,-92.04900067384736,2
16.944658106775744,-30.379703668083557,-89.71645764942915,2
17.1141046878435,-29.960910681468604,-90.94133221040352,2
17.285245734721936,-30.0709761697518,-91.7182536637888,2
17.458098192069155,-30.016281976360577,-92.62946516774322,2
17.632679173989846,-29.871214839064532,-92.66916445014799,2
17.809005965729746,-29.923535704209314,-92.33840096213025,2
17.987096025387043,-29.684906699041306,-90.55207728855106,2
18.166966985640915,-29.540894423769277,-90.10609099546969,2
18.348636655497323,-29.56771148792952,-91.80688556374841,2
18.532123022052296,-29.574262934361208,-89.9284731712543,2
18.71744425227282,-29.57491966495467,-91.04914348739533,2
