Frequency [Hz],Magnitude [dB],Phase [deg],Quality
10.0,-34.332275014067676,-93.05664099123848,1
10.1,-33.75637251358651,-86.80852376382336,1
10.201,-34.168233067749824,-89.63124989842879,1
10.30301,-33.970588560285115,-94.27003568293637,1
10.4060401,-34.41847887877665,-92.38534019768748,1
10.510100501,-33.81059988477232,-91.44906582062545,1
10.615201506010001,-33.826804760994364,-88.31831298774314,1
10.721353521070101,-34.187896321413525,-87.66876905971004,1
10.828567056280802,-33.1844789378491,-94.27471755442727,1
10.93685272684361,-33.59591727009171,-90.35324679076426,1
11.046221254112046,-33.84613187820082,-88.80726158190717,1
11.156683466653167,-33.75525717435664,-92.05141051894475,1
11.268250301319698,-33.65233149594721,-91.09224142230295,1
11.380932804332895,-33.079734478608486,-89.02471875378046,1
11.494742132376224,-33.16210301052215,-91.63243225144461,1
11.609689553699987,-33.31073518082557,-90.54071187790018,1
11.725786449236987,-32.610688645447304,-90.99548185898237,1
11.843044313729356,-39.063126654397436,-98.68139451498783,1
11.96147475686665,-31.93345038283775,-92.34341675758947,1
12.081089504435317,-32.865456248577615,-90.1563823666793,1
12.20190039947967,-32.939640827601096,-88.54319561793847,1
12.323919403474468,-32.620444915815135,-87.49463182223434,1
12.447158597509214,-32.50088061968719,-93.0455977632137,1
12.571630183484306,-32.04798184377175,-89.20690308542746,1
12.69734648531915,-32.1425034932616,-90.85601172390055,1
12.824319950172342,-32.09468896718577,-89.2698409358369,1
12.952563149674065,-31.93917773980313,-91.83495852720284,1
13.082088781170805,-31.96118540099626,-93.19307215817969,1
13.212909668982514,-32.19126421477695,-92.027545791894,1
13.345038765672339,-31.633357281196517,-89.52414111841635,1
13.478489153329063,-31.778564993880117,-90.12166335602022,1
13.613274044862354,-31.977815244758744,-89.96392899951661,1
13.749406785310978,-32.074831951108614,-94.74801957866558,1
13.886900853164088,-31.391262913961633,-91.1442559260401,1
14.025769861695728,-31.106526789056904,-88.48779878424989,1
14.166027560312687,-31.227124063717074,-92.253015930088,1
14.307687835915814,-30.943107069389924,-92.6094317035631,1
14.450764714274973,-30.989243722454884,-90.80841179248054,1
14.595272361417722,-31.25858350017837,-90.5510346360005,1
14.7412250850319,-31.509927085005575,-94.70142921822574,1
14.888637335882219,-31.519857795816634,-90.40884816072109,1
15.037523709241041,-30.9877863239057,-91.83812908170029,1
15.187898946333451,-30.561519041380475,-89.99089206033636,1
15.339777935796786,-30.26675768599696,-91.32713487460319,1
15.493175715154754,-30.70167880440036,-88.85481450031816,1
15.648107472306302,-30.684895105087946,-91.89688411823988,1
15.804588547029365,-30.420543291343524,-91.06049383544749,1
15.962634432499659,-30.444702248741898,-91.52532148830778,1
16.122260776824657,-30.29234364274567,-90.74325684103962,1
16.283483384592902,-29.783120856023896,-91.16912193978206,1
16.44631821843883,-30.19447913575096,-91.25514443359543,1
16.610781400623218,-30.065211436557853,-90.39692581573456,1
16.77688921462945,-29.830278871798203,-92.14446431468929,1
16.944658106775744,-29.45382649978248,-90.56790041921688,1
17.1141046878435,-29.590154569282866,-88.62521123574265,1
17.285245734721936,-29.349952245138514,-89.34603165628567,1
17.458098192069155,-29.603552856649195,-91.24309492923206,1
17.632679173989846,-29.229749847440814,-90.00990674170139,1
17.809005965729746,-31.559968425800918,-90.41499484184095,1
17.987096025387043,-29.28831905613923,-90.93698297002497,1
18.166966985640915,-29.08160348405635,-92.38248111184805,1
18.348636655497323,-28.987168483826462,-89.87995542949983,1
18.532123022052296,-29.114315883208455,-90.74750112164094,1
18.71744425227282,-28.943506408537594,-91.62032517230732,2
18.90461869479555,-28.752260536007622,-90.47869072766156,1
19.093664881743504,-28.686538411296468,-89.42043843549362,1
19.284601530560938,-28.662097497609057,-89.23180974015004,1
19.477447545866546,-28.481387580736406,-90.49496198324404,2
19.67222202132521,-28.45832579378009,-90.82094820105777,1
19.868944241538465,-28.341791682002288,-90.52128967324633,1
20.06763368395385,-27.92099253153324,-90.08377556147889,1
20.26831002079339,-27.96824337435764,-89.59297316520295,2
20.470993121001325,-28.222777631029654,-91.23832758604743,2
20.67570305221134,-27.965459564223263,-91.49825434588894,1
20.882460082733452,-27.928896828960088,-91.33306709736621,1
21.091284683560787,-27.751596521476227,-92.03659607120373,1
21.302197530396395,-27.840525128748318,-90.2757893717817,1
21.515219505700358,-27.939124133801037,-89.73746463143591,2
21.730371700757363,-27.771233868900044,-89.81579032093244,1
21.947675417764938,-27.37386573382318,-90.48955773324033,1
22.167152171942586,-27.55951054933116,-91.6024710870023,1
22.38882369366201,-27.57629377471822,-90.72173109676794,1
22.612711930598632,-27.26012684177368,-92.55175985508123,1
22.838839049904617,-27.26003934274873,-90.59445913346073,2
23.067227440403663,-27.12925614486542,-90.14145981099695,1
23.2978997148077,-26.9801536241298,-90.96654046124668,1
23.530878711955776,-27.21639687513282,-92.98125319445876,2
23.766187499075333,-26.026492049999,-89.80352066533175,2
24.003849374066085,-26.77608179959622,-90.89328028615748,1
24.243887867806748,-26.51969709448717,-90.86329358046186,2
24.486326746484817,-26.588397334682654,-90.72915889873343,2
24.731190013949664,-26.57157026386481,-90.8457169505744,2
24.97850191408916,-26.535007225064806,-90.56336931003065,1
25.228286933230052,-26.367115845766968,-91.11616493665493,1
25.480569802562353,-26.293475987319912,-91.47134279520708,2
25.735375500587978,-26.186766362664127,-91.52349680463624,1
25.992729255593858,-26.01745376190783,-91.57933702115811,2
26.252656548149798,-26.03795593377382,-91.02702671621569,1
26.515183113631295,-25.886339312697604,-90.95096265767813,2
26.78033494476761,-25.817147073875073,-92.49096579491913,1
27.048138294215285,-25.601077277776728,-91.8145103255571,1
27.31861967715744,-25.95032491562694,-89.49592946011984,1
27.591805873929015,-25.688676270051058,-91.02229914019252,1
27.867723932668305,-25.4373800742289,-90.44862196594187,2
28.146401171994988,-25.401391119124302,-90.43142228214055,1
28.42786518371494,-25.194822425097044,-91.63480470387992,2
28.712143835552087,-25.376639647358598,-90.08151955512392,2
28.999265273907607,-24.9436550481585,-90.74752134465156,1
29.289257926646684,-25.06518869208457,-90.33203106791045,1
29.58215050591315,-24.92374926453004,-90.99570689762676,1
29.877972010972282,-24.79174767886008,-91.12624148050085,1
30.176751731082007,-24.900874540351516,-91.22415408382066,1
30.47851924839283,-24.821004131173385,-92.17691968730617,1
30.78330444087676,-24.513772796535736,-91.55809015887705,2
31.091137485285525,-24.476791770924844,-91.2712652271162,1
31.402048860138382,-24.656762707815865,-90.59386447734059,1
31.716069348739765,-24.343642032199313,-91.80725455494479,2
32.03323004222716,-24.226637709044567,-91.65276145682158,1
32.35356234264943,-24.192449403496347,-90.89457534893546,1
32.67709796607593,-24.04191589762473,-90.89931481927957,1
33.003868945736684,-24.13284167273102,-91.96176869994727,2
33.33390763519405,-23.944383022443187,-91.41094038663897,1
33.66724671154599,-23.651106891946906,-90.66753821607551,1
34.003919178661455,-23.681167128669802,-90.64096331075217,1
34.34395837044807,-23.616701149467012,-90.59780354770453,1
34.68739795415255,-23.577049111734535,-91.23608343376281,1
35.03427193369408,-23.422985534366404,-90.73540793809204,1
35.38461465303102,-23.579017605418677,-90.98565042212053,1
35.73846079956133,-23.209585652252336,-91.67463241823498,1
36.09584540755694,-23.353579921401035,-91.91368931407834,1
36.456803861632515,-23.240413964188875,-91.72121804418617,1
36.82137190024884,-23.001592310628066,-91.48476104604532,1
37.18958561925133,-23.17963232768892,-90.51168460206895,1
37.56148147544385,-22.8293525257441,-91.81807714524051,1
37.93709629019829,-22.764116652671802,-91.7795051316636,1
38.31646725310027,-22.69609603688146,-91.50394353654741,1
38.69963192563127,-22.601819063298315,-91.96421239988804,1
39.086628244887585,-22.521431437820496,-92.69441525910956,1
39.47749452733646,-22.656592634999832,-91.92439995677077,1
39.87226947260982,-22.246265997692564,-91.6720908500424,1
40.27099216733592,-22.47477462544642,-92.31433798571595,1
40.673702089009275,-22.13787496470767,-91.4744567600214,1
41.080439109899366,-22.133875714317305,-91.25414054119629,1
41.49124350099836,-22.020889757495514,-91.70097107843958,1
41.90615593600834,-21.91568905311463,-91.1256932866009,1
42.32521749536842,-21.76107308637984,-91.47244535188577,1
42.7484696703221,-21.621948994248918,-91.63977602318313,1
43.17595436702533,-21.78889787205805,-91.11751192427124,1
43.60771391069558,-21.499057938608313,-91.37579342575073,1
44.043791049802536,-21.62695963293771,-91.65060021242675,1
44.48422896030056,-21.474566807438723,-92.20448949382171,1
44.92907124990357,-21.330860497579646,-91.1041656176535,1
45.37836196240261,-21.189654861880893,-91.9802806920045,1
45.832145582026634,-21.133396435037504,-91.39160490842241,1
46.2904670378469,-20.954652458142675,-91.126858751817,1
46.75337170822537,-21.13616878151837,-92.35091053047663,1
47.22090542530763,-20.925721660101892,-91.53811784813888,1
47.693114479560705,-20.659642060284177,-91.04957854826156,1
48.17004562435631,-20.838662495863275,-92.20543668050652,1
48.65174608059988,-20.50269743563158,-92.34457593496879,1
49.13826354140588,-20.524552592421074,-91.66623515307953,1
49.62964617681994,-20.42676926592245,-92.52677252494965,1
50.12594263858814,-20.460460610400034,-92.53096351872188,1
50.62720206497402,-20.14119448229555,-91.60620295466616,1
51.13347408562376,-20.173882409730346,-91.69631135279795,1
51.644808826479995,-20.16498436947251,-92.45434939667734,1
52.1612569147448,-19.944258334555634,-92.47900441960361,1
52.68286948389225,-19.814728157417665,-91.92901118487983,1
53.20969817873117,-19.91774676583888,-92.68025220267027,1
53.741795160518485,-19.993931699587314,-92.21600057011403,1
54.27921311212367,-19.64178399871108,-92.54077905883163,1
54.82200524324491,-19.58857547515498,-92.54933192612707,1
55.37022529567736,-19.469040422146715,-92.01467158571526,1
55.92392754863413,-19.605183451343613,-91.64586173075384,1
56.483166824120474,-19.411759421983103,-92.16931977078644,1
57.04799849236168,-19.16307264673342,-92.16702875754736,1
57.618478477285294,-18.997856843835734,-92.42078535820028,1
58.19466326205815,-19.23554880540363,-92.30895844694926,1
58.776609894678735,-19.236045341796547,-91.8827618426217,1
59.36437599362552,-18.934901092450932,-92.47372555954216,1
59.95801975356178,-18.742236415229375,-91.94651605098883,1
60.557599951097394,-18.860820350366144,-91.95962961371583,1
61.16317595060837,-18.82188035522034,-91.81382195057148,1
61.77480771011445,-18.570329337063907,-92.94946401579254,1
62.3925557872156,-18.356857028944653,-92.19684791456584,1
63.016481345087755,-18.50021910026673,-93.41940868288442,1
63.64664615853863,-18.476290142857682,-92.3556411638955,1
64.28311262012402,-18.164088861102655,-92.33050184298837,1
64.92594374632526,-18.158697472403702,-92.87813215626062,1
65.57520318378852,-18.077018305355505,-92.70703350539173,1
66.23095521562641,-18.088576859096907,-92.42045389932917,1
66.89326476778267,-17.790772555633144,-92.8163039901286,1
67.56219741546049,-17.77680727517348,-92.72128449437706,1
68.2378193896151,-17.717759667414754,-92.91803557373359,1
68.92019758351125,-17.73985320206681,-92.61552226169125,1
69.60939955934637,-17.418828514450887,-91.91366528432496,1
70.30549355493983,-17.49759332800062,-92.563899024078,1
71.00854849048923,-17.415620020101265,-92.74240851094476,1
71.71863397539413,-17.26312515063289,-92.19569588728314,1
72.43582031514806,-17.095645797970533,-92.78928587448185,1
73.16017851829955,-17.172610773304413,-92.79542611569191,1
73.89178030348255,-17.08968189330496,-93.12599527166694,1
74.63069810651737,-16.84998670558728,-92.73096867501087,1
75.37700508758255,-16.91572578275774,-92.81590575784031,1
76.13077513845838,-16.884807315652395,-92.75231455264202,1
76.89208288984295,-16.64158581772741,-93.2373989335974,1
77.66100371874138,-16.590282182049553,-92.79421189676061,1
78.4376137559288,-16.630384660728556,-93.02312232443025,1
79.22198989348809,-16.29368396277432,-92.48696848900748,1
80.01420979242297,-16.309113266724598,-93.05672616534237,1
80.81435189034721,-16.360373471581998,-93.5480719863001,1
81.62249540925069,-16.183125987108642,-92.7706828619228,1
82.4387203633432,-16.010083371365365,-93.17612820132821,1
83.26310756697663,-16.036953292914177,-93.24768591725758,1
84.0957386426464,-15.873154853116985,-93.09464883477496,1
84.93669602907286,-15.762869656966073,-92.97832798258528,1
85.78606298936359,-15.816501636169823,-93.37522885683842,1
86.64392361925722,-15.55449992188217,-92.83322694131245,1
87.5103628554498,-15.549129339907822,-93.3392535628817,1
88.3854664840043,-15.57229597015516,-93.61549818287173,1
89.26932114884434,-15.389447678460074,-93.24097228371886,1
90.16201436033279,-15.31751401657055,-93.53836196386814,1
91.06363450393611,-15.287047140712238,-93.66608532915666,1
91.97427084897548,-15.076152556596327,-93.45639593543201,1
92.89401355746523,-15.059207016488498,-93.57446138708852,1
93.82295369303988,-14.931008297740505,-93.71468337006701,1
94.76118322997027,-14.894736319653845,-93.1374666200587,1
95.70879506226997,-14.840119553924456,-93.79301102404747,1
96.66588301289268,-14.633198300435218,-93.10727688674629,1
97.6325418430216,-14.701017873221724,-93.65250960205444,1
98.60886726145182,-14.617401181195987,-93.66452443505204,1
99.59495593406633,-14.38720460031561,-93.82468061220547,1
100.59090549340699,-14.45590612368011,-94.0600077048058,1
101.59681454834106,-14.23541079491927,-93.82270888204414,1
102.61278269382447,-14.263662642136062,-93.86321489720117,1
103.63891052076272,-14.139141000998011,-94.02826844103842,1
104.67529962597035,-13.918884688796888,-93.89397525956521,1
105.72205262223005,-13.931248067794552,-93.88555784657123,1
106.77927314845235,-13.902644744930702,-94.45327110292422,1
107.84706587993688,-13.8388583037952,-94.01123643028923,1
108.92553653873625,-13.653168869520805,-94.47360204030922,1
110.01479190412361,-13.446080137613134,-92.9280180747406,1
111.11493982316485,-13.517095308217558,-94.31487550923458,1
112.22608922139649,-13.567874407123842,-94.45556212002407,1
113.34835011361046,-13.320835958064182,-94.46507702463578,1
114.48183361474658,-13.176442959532677,-94.06059254576384,1
115.62665195089404,-13.153053470282067,-94.15189795994584,1
116.78291847040299,-13.185703254496229,-94.66674039931866,1
117.95074765510702,-13.007393462618221,-94.33841040131408,1
119.13025513165809,-12.843818485687772,-94.4206925456035,1
120.32155768297467,-12.74739742987368,-94.13471150464103,1
121.52477325980442,-12.790207116178381,-94.74935162335373,1
122.74002099240246,-12.750294519917817,-94.4102816873193,1
123.96742120232649,-12.522946481555508,-94.57753052667363,1
125.20709541434975,-12.436694130129826,-94.87801615966029,1
126.45916636849326,-12.365737181436186,-95.05895577741222,1
127.7237580321782,-12.36355111061144,-94.7473337161248,1
129.0009956125,-12.138103062387934,-94.46715084570019,1
130.291005568625,-12.067268536700123,-94.79780260363601,1
131.59391562431125,-12.135164833962367,-95.10630219804153,1
132.90985478055435,-12.03377274833929,-95.21470178020786,1
134.2389533283599,-11.771321435819704,-94.7765540477049,1
135.58134286164352,-11.787732686488903,-95.22906082548745,1
136.93715629025996,-11.796716260916694,-95.25947776891789,1
138.30652785316258,-11.652528963197017,-95.33023063048951,1
139.6895931316942,-11.479672519363648,-95.08578325188958,1
141.08648906301116,-11.488560587861397,-95.35761038980621,1
142.49735395364127,-11.492812903565525,-95.37972178048187,1
143.92232749317768,-11.215855793675821,-95.40287108998538,1
145.36155076810945,-11.164974657819139,-95.46589035409497,1
146.81516627579055,-11.245259461913518,-95.45491296635214,1
148.28331793854846,-11.048268157908863,-95.28769609844117,1
149.76615111793396,-10.895760664938093,-95.48201981286863,1
151.2638126291133,-10.95771854885895,-95.57417133568595,1
152.77645075540443,-10.792632616590646,-95.77225160916794,1
154.30421526295848,-10.618636034663531,-95.44375895464077,1
155.84725741558807,-10.647284530392392,-95.91153086101284,1
157.40572998974395,-10.578354161872989,-95.84801462590588,1
158.9797872896414,-10.400175844865908,-95.97472293078846,1
160.5695851625378,-10.373348008077496,-96.03244836066358,1
162.17528101416318,-10.33035207962452,-96.1018349294194,1
163.7970338243048,-10.126733383478454,-95.91430409325417,1
165.43500416254784,-10.147291346288567,-96.46012669289848,1
167.08935420417333,-10.05173849742638,-96.17356065175358,1
168.76024774621507,-9.946845478435344,-96.372559697498,1
170.44785022367722,-9.886000120908598,-96.13698917979637,1
172.152328725914,-9.847809335675448,-96.19378591817741,1
173.87385201317315,-9.626014674092488,-96.40058630903785,1
175.61259053330488,-9.650625594358463,-96.6911913375248,1
177.36871643863793,-9.572712221368937,-96.38337218011364,1
179.14240360302432,-9.376622089376633,-96.24537650948575,1
180.93382763905456,-9.39181113395565,-96.62711546457894,1
182.7431659154451,-9.275556109961489,-96.67871607022539,1
184.57059757459956,-9.17317286634669,-96.67812778448317,1
186.41630355034556,-9.18116714192555,-96.6034240187502,1
188.280466585849,-8.932384375147832,-96.81358403578098,1
190.1632712517075,-8.920793320971823,-96.89772793461827,1
192.06490396422458,-8.90090388958088,-97.12150167384505,1
193.98555300386684,-8.731888036564996,-96.90849731411305,1
195.9254085339055,-8.740409216446709,-97.06912625387818,1
197.88466261924458,-8.572500404911084,-97.19116345221096,1
199.86350924543703,-8.51569038272504,-97.37198995786193,1
201.8621443378914,-8.459996690688257,-97.20024202713421,1
203.88076578127033,-8.27578047639003,-97.26712655361385,1
205.91957343908302,-8.299646488638196,-97.26049834051372,1
207.97876917347386,-8.13494856352704,-97.24070542495485,1
210.0585568652086,-8.079432527008038,-97.54917715551045,1
212.1591424338607,-7.991534082868196,-97.67950176246507,1
214.2807338581993,-8.042908278854044,-97.7693836162878,1
216.42354119678131,-7.896526261396622,-97.69422677733087,1
218.58777660874912,-7.630823428198304,-97.71450281430202,1
220.7736543748366,-7.5570350630569685,-97.59952903050697,1
222.981390918585,-7.655030641637949,-97.97104508814755,1
225.21120482777084,-7.622918399203008,-98.1811683793897,1
227.46331687604857,-7.387097759132937,-98.1509237167619,1
229.73795004480905,-7.252186621582454,-97.77493900864648,1
232.03532954525716,-7.282534736880939,-98.28270612579414,1
234.35568284070973,-7.278363998628762,-98.43767284989579,1
236.69923966911682,-7.093345726291616,-98.37029742368522,1
239.06623206580798,-6.904967736008194,-98.5220599014851,1
241.45689438646608,-6.892167965487999,-98.23196119975432,1
243.87146333033073,-6.954810786968469,-98.77023665136079,1
246.31017796363403,-6.776014324041696,-98.66469656968854,1
