Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.541893500054883,-93.80354524242199,1
40.4,-22.57433483612646,-93.21364866203538,1
40.804,-22.598466051523285,-93.83811844778732,1
41.21204,-22.510014049219023,-93.1868572723167,1
41.6241604,-22.329434428626676,-94.23336260332565,1
42.040402004,-22.235111219000782,-92.98427279022087,1
42.460806024040004,-22.04931972694925,-92.97830912628365,1
42.885414084280406,-22.091458877421026,-93.18548107714753,1
43.31426822512321,-22.073559220720917,-93.28325988210123,1
43.74741090737444,-21.780042549747762,-93.36602768125948,1
44.184885016448185,-21.712453363098998,-94.39297629909044,1
44.62673386661267,-21.614649314619296,-93.42000938528966,1
45.07300120527879,-21.781934342743867,-93.85920715482843,1
45.52373121733158,-21.49575287357608,-93.87591050712416,1
45.9789685295049,-21.62491286860264,-93.44995095642776,1
46.43875821479995,-21.391818641932627,-93.25708429283009,1
46.903145796947946,-21.143149236763918,-93.50891118350721,1
47.372177254917425,-21.24589303021891,-94.46259429728102,1
47.8458990274666,-21.036075478357265,-93.46446318001438,1
48.32435801774127,-21.033055696619456,-93.65016478097948,1
48.80760159791868,-20.869453212867214,-93.33972217234314,1
49.29567761389787,-20.76229349133712,-94.0038146763375,1
49.788634390036854,-20.660227737483613,-93.24580922113023,1
50.28652073393722,-20.6507925022537,-94.0670949353069,1
50.7893859412766,-20.645996443165973,-94.09563908617423,1
51.29727980068937,-20.653945055121763,-94.56931273011452,1
51.81025259869626,-20.33392201870628,-94.12299084323699,1
52.32835512468322,-20.28018747689177,-94.67864113553523,1
52.851638675930054,-19.980081541696137,-93.98461101953438,1
53.380155062689354,-20.151482023457234,-94.20563968338706,1
53.91395661331625,-20.15322813847308,-94.27423446633767,1
54.45309617944942,-19.88336340017875,-93.38836855828197,1
54.99762714124391,-19.74577908818117,-94.54489770596764,1
55.54760341265635,-19.83982743516516,-94.07929113307972,1
56.103079446782914,-19.765316955700424,-95.54339455024234,1
56.66411024125075,-19.714739154900553,-94.68690513231098,1
57.23075134366326,-19.328340469599443,-94.33109413838756,1
57.80305885709989,-19.434512917564646,-95.75465615066801,1
58.38108944567089,-19.434448916443152,-95.04167800030095,1
58.9649003401276,-19.402489256434023,-94.66520027071324,1
59.554549343528876,-19.007012496465947,-94.3131229374205,1
60.150094836964165,-18.958147042859423,-95.33703109033837,1
60.751595785333805,-19.07752456376646,-94.71407884064786,1
61.35911174318714,-18.860230298105236,-94.94125899008975,1
61.972702860619016,-18.760434420984573,-94.53521122180747,1
62.59242988922521,-18.64728506956516,-94.35114489257796,1
63.21835418811746,-18.682824515437424,-95.48669850525604,1
63.850537729998635,-18.55956428574264,-95.55521948145925,1
64.48904310729863,-18.336116815543612,-94.65684762127393,1
65.13393353837161,-18.36656643425153,-95.35668037207292,1
65.78527287375532,-18.351900813194476,-94.89081408543842,1
66.44312560249287,-18.12238668346374,-95.35389674891658,1
67.1075568585178,-18.011878465630694,-95.33729389587458,1
67.77863242710298,-17.989042617522912,-95.59457334655504,1
68.456418751374,-18.036538744829166,-95.58531862044501,1
69.14098293888775,-17.917140862864283,-95.25262746425872,1
69.83239276827662,-17.614862222424673,-95.34862941878364,1
70.53071669595938,-17.705272524728567,-95.68224528784708,1
71.23602386291898,-17.61631277577259,-96.0324790706502,1
71.94838410154817,-17.344617130449677,-95.9513472773391,1
72.66786794256366,-17.384588422595517,-96.17416416088068,1
73.39454662198929,-17.453003069915905,-96.00549947389715,1
74.12849208820919,-17.154618991514297,-95.72128470563833,1
74.86977700909128,-17.06258932058703,-96.008529079162,1
75.6184747791822,-17.1022094914806,-96.49442089230911,1
76.37465952697401,-16.980187827947276,-96.36368671150655,1
77.13840612224375,-16.804971073496976,-96.02007207660881,1
77.90979018346619,-16.888481709210375,-96.28820791651307,1
78.68888808530085,-16.760692123532102,-96.89432687960645,1
79.47577696615386,-16.524911681773006,-96.27486766394868,1
80.2705347358154,-16.541367156768796,-96.39773933051714,1
81.07324008317356,-16.481057838150925,-96.81919096233884,1
81.8839724840053,-16.21907665736559,-96.35278504333056,1
