Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.95670820323806,-92.50753056524991,1
40.4,-23.7892498602078,-92.6033160343062,2
40.804,-23.692988563320107,-93.87008671114705,2
41.21204,-23.90633161825843,-93.52620296989672,2
41.6241604,-23.885092472107793,-93.48697471265208,2
42.040402004,-23.834687822741888,-93.13105054372568,2
42.460806024040004,-23.541410880861616,-92.01236012368827,2
42.885414084280406,-23.35751655945766,-92.79048732392747,2
43.31426822512321,-23.267162376442574,-93.202002952595,1
43.74741090737444,-22.68143999079619,-93.81650263327849,2
44.184885016448185,-22.993418785745682,-92.5277166658139,1
44.62673386661267,-22.701453863035805,-92.61408526960426,1
45.07300120527879,-22.545339616105363,-91.77675497858544,1
45.52373121733158,-22.5788358768449,-91.9465084503017,1
45.9789685295049,-22.719278755279557,-91.23319467591858,2
46.43875821479995,-22.26170672995959,-94.17366327044044,1
46.903145796947946,-22.39734599908561,-92.04771586731059,1
47.372177254917425,-22.294381867358137,-93.0764149299314,2
47.8458990274666,-22.117822287692604,-92.42771070757965,1
48.32435801774127,-21.959030766469542,-92.84910590596007,1
48.80760159791868,-21.83209587082869,-93.42922808363281,1
49.29567761389787,-21.763531052399543,-92.55446321192994,1
49.788634390036854,-21.552765130504596,-92.95282553160037,1
50.28652073393722,-21.622205955499865,-92.7699546810448,1
50.7893859412766,-21.437277247830085,-92.42555743293791,1
51.29727980068937,-21.45756519100994,-92.40590365256162,1
51.81025259869626,-21.149171765655904,-93.35420324126098,1
52.32835512468322,-21.087795240841256,-93.11164786029411,1
52.851638675930054,-20.877848595281005,-93.21849375736029,1
53.380155062689354,-21.277178079197654,-94.0045270385832,1
53.91395661331625,-21.02833197233896,-94.31068087644232,1
54.45309617944942,-20.881181313501195,-93.28042977267626,1
54.99762714124391,-20.549591901896164,-93.19964429779408,1
55.54760341265635,-20.632762599794724,-93.76164383691633,1
56.103079446782914,-20.81801142946786,-93.95839101789488,1
56.66411024125075,-20.588059804425235,-93.28858918704395,1
57.23075134366326,-20.489720223403065,-93.47975703372141,1
57.80305885709989,-20.414083744538573,-93.58902979175464,1
58.38108944567089,-20.38184305840302,-93.72780480147404,1
58.9649003401276,-20.319191763460474,-93.54778461545874,1
59.554549343528876,-20.104394910417007,-92.99416943710204,1
60.150094836964165,-20.109309343150535,-94.6662429524316,1
60.751595785333805,-20.004145743854544,-93.78034483743357,1
61.35911174318714,-19.99392048292587,-93.81539029685524,1
61.972702860619016,-19.75711876868813,-94.52615024538659,1
62.59242988922521,-19.61090414717694,-94.00942512630556,1
63.21835418811746,-19.865123626995743,-93.36149683746882,1
63.850537729998635,-19.707537562114588,-94.21748951208902,1
64.48904310729863,-19.35818627934107,-94.36076858469167,1
65.13393353837161,-19.27591713185997,-93.69290751524669,1
65.78527287375532,-19.45606516872976,-94.07956171718149,1
66.44312560249287,-19.275467353568168,-94.44404203554893,1
67.1075568585178,-19.15359595191243,-93.87462274666018,1
67.77863242710298,-19.015943958657424,-94.64247378013329,1
68.456418751374,-19.153974800708806,-94.16184073170818,1
69.14098293888775,-18.83886637159346,-94.79053695708338,1
69.83239276827662,-18.685642961549764,-94.32506862186646,1
70.53071669595938,-18.78926834000804,-94.56152201037304,1
71.23602386291898,-18.701196729839516,-94.37106467129308,1
71.94838410154817,-18.518584229512584,-94.26750234973744,1
72.66786794256366,-18.548608853051068,-94.4402641160105,1
73.39454662198929,-18.52659604377147,-94.80326106902604,1
74.12849208820919,-18.302559839717688,-94.42770065907848,1
74.86977700909128,-18.1771824849007,-94.37531429812435,1
75.6184747791822,-18.22960915867567,-94.71519340045154,1
76.37465952697401,-18.16849600563542,-94.52431367578606,1
77.13840612224375,-17.82396721817422,-94.75139755098044,1
77.90979018346619,-17.97721342729408,-95.00510146047361,1
78.68888808530085,-17.901630062919317,-95.4116713577295,1
79.47577696615386,-17.685034355018853,-95.06598207428078,1
80.2705347358154,-17.584558364592056,-94.98941172133254,1
81.07324008317356,-17.474621765843114,-94.90455442100733,1
81.8839724840053,-17.422691359982274,-95.20885449490655,1
82.70281220884536,-17.39741984810155,-95.45911033113033,1
83.52984033093381,-17.38415134955041,-95.31495679306803,1
84.36513873424315,-17.127620073405694,-95.39533000568511,1
85.20879012158558,-17.172296480929564,-95.52816736810496,1
86.06087802280143,-17.025704339554846,-95.21016310295857,1
86.92148680302945,-16.861448178536957,-94.7450251405271,1
87.79070167105975,-16.90487506518231,-95.26706215651504,1
88.66860868777034,-16.811330505632476,-95.09953348715123,1
89.55529477464805,-16.63908046486059,-95.68442508561498,1
90.45084772239453,-16.597673154520656,-95.6084837944777,1
91.35535619961847,-16.447714084692564,-95.26006122531629,1
92.26890976161465,-16.301869726132875,-95.54391908050846,1
93.1915988592308,-16.318840026833268,-95.39426612818868,1
94.1235148478231,-16.071210936519737,-95.02331255024743,1
95.06474999630133,-16.067930232588335,-95.6560267550426,1
96.01539749626434,-16.017693456725695,-95.64644594348363,1
96.97555147122699,-15.861246302583783,-96.21771643259838,1
97.94530698593927,-15.89865592938685,-95.798425342896,1
98.92476005579866,-15.78202195543274,-96.11917311805124,1
99.91400765635665,-15.679712785933145,-96.24871886800912,1
100.91314773292021,-15.663590173186002,-95.73420791109663,1
101.92227921024941,-15.428545848382885,-96.09336268911062,1
102.94150200235191,-15.56276601107284,-96.21557175939228,1
103.97091702237543,-15.325557758776936,-96.11089322884666,1
105.01062619259919,-15.148549473050341,-95.83417634612636,1
106.06073245452518,-15.205168893969935,-96.57268096140204,1
107.12133977907044,-15.111354157635231,-96.61650426639918,1
108.19255317686114,-15.027153998553919,-96.49948648940337,1
109.27447870862976,-14.838115340322947,-96.79476685021618,1
110.36722349571606,-14.839085233415277,-97.19738227135079,1
111.47089573067322,-14.87466906962161,-97.23402626725942,1
112.58560468797995,-14.812749726580337,-97.24788349943475,1
113.71146073485976,-14.555779902060372,-97.13528200658791,1
114.84857534220835,-14.46621328241974,-96.66095923826961,1
115.99706109563043,-14.51417742325905,-96.81234974511874,1
117.15703170658674,-14.525885647639612,-97.30109159386475,1
118.3286020236526,-14.336588364847042,-97.20904648960574,1
119.51188804388913,-14.109992341936909,-97.37914377346802,1
120.70700692432803,-14.146037346648827,-97.08384598339,1
121.91407699357131,-14.135658503123802,-97.41765898422705,1
123.13321776350703,-13.94805987255994,-97.69148892857504,1
124.3645499411421,-13.759479265682543,-97.28673311878458,1
125.60819544055353,-13.81923779676393,-97.65314991333403,1
126.86427739495906,-13.760798504036746,-97.95280993766882,1
128.13292016890864,-13.625454398026982,-97.32044094203322,1
129.41424937059773,-13.426275061495778,-97.68799679648365,1
130.7083918643037,-13.446208786754708,-97.9904157225169,1
132.01547578294674,-13.449602680659785,-98.18238800878191,1
133.3356305407762,-13.305183817622021,-97.6811331763003,1
134.66898684618397,-13.140570919756778,-98.26724181944638,1
136.01567671464582,-13.202372801233668,-98.47211717612468,1
137.37583348179228,-13.172034143746528,-98.57469238261262,1
138.7495918166102,-12.925367874100026,-98.31618292237629,1
140.13708773477632,-12.844752489394526,-98.14074365617884,1
141.5384586121241,-12.906146268194176,-98.7009760667504,1
142.95384319824532,-12.780530567338653,-98.89335819828148,1
144.38338163022777,-12.560900493609083,-98.56982573727285,1
145.82721544653006,-12.580023063405353,-99.06500806863201,1
147.28548760099537,-12.55891919901527,-99.10428238207008,1
148.75834247700533,-12.38188341777231,-98.6390861563521,1
