Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.1043128258578,-92.8373771139785,2
40.4,-23.220458544682067,-92.43919145162958,1
40.804,-23.04042817293323,-92.2080292875897,1
41.21204,-22.906959526326393,-91.90093624593852,1
41.6241604,-22.828246881862214,-91.92429499353172,1
42.040402004,-22.765173462031118,-91.4700280834151,1
42.460806024040004,-22.92903720571581,-91.89929432612604,1
42.885414084280406,-22.53147421561951,-93.17937207550708,1
43.31426822512321,-22.59847535663028,-92.64759998531434,1
43.74741090737444,-22.537430526118506,-91.8378254308803,1
44.184885016448185,-22.42414513767555,-92.44792877713803,1
44.62673386661267,-22.702306801052526,-91.434385115465,1
45.07300120527879,-22.69634337635903,-93.12361694157416,1
45.52373121733158,-22.304848462632314,-92.87680537195858,1
45.9789685295049,-22.398975664265368,-91.97097785038659,1
46.43875821479995,-22.184455543301453,-91.3124816066329,1
46.903145796947946,-22.220332329159575,-92.81085277386313,1
47.372177254917425,-22.008566624984734,-91.94884058106128,1
47.8458990274666,-22.178448826382738,-92.05328739365996,1
48.32435801774127,-22.026459787786536,-92.64467063535932,1
48.80760159791868,-21.69902395759238,-92.17203691122086,1
49.29567761389787,-21.757162924853155,-90.72400124125298,1
49.788634390036854,-21.56962146136981,-92.23541950143817,1
50.28652073393722,-21.19338837706851,-92.2896639538692,1
50.7893859412766,-20.61664706435305,-92.29925197517545,1
51.29727980068937,-20.628494097105538,-90.81007692038708,1
51.81025259869626,-20.470453192832466,-91.65900989504502,1
52.32835512468322,-20.33728217809115,-91.96885494825676,1
52.851638675930054,-20.621531673164593,-92.9383953233562,1
53.380155062689354,-20.78323002537983,-92.61760190332089,1
53.91395661331625,-20.980192588719234,-91.71512054391582,1
54.45309617944942,-20.937543111426187,-92.9326136629161,1
54.99762714124391,-20.804885194466696,-91.8916317181191,1
55.54760341265635,-20.871163339167392,-92.32299647137415,1
56.103079446782914,-20.73480287664744,-92.94370872904113,1
56.66411024125075,-20.779243622403587,-92.6168217740908,1
57.23075134366326,-20.380322302350194,-92.23771048522124,1
57.80305885709989,-20.43287935523252,-92.62534135110525,1
58.38108944567089,-20.457331439644086,-92.97063101223543,1
58.9649003401276,-20.518044951763514,-92.22461111816668,1
59.554549343528876,-20.1831789803174,-92.60861917474834,1
60.150094836964165,-19.997498712931105,-92.22949159904368,1
