Frequency [Hz],Magnitude [dB],Phase [deg],Quality
10.0,-34.17765428462651,-89.59324221066052,2
10.1,-34.60830860123973,-90.6924515413873,2
10.201,-34.89342927026116,-88.61174249308357,2
10.30301,-33.61128897029677,-88.21128430842172,2
10.4060401,-34.44224854313337,-92.25887198463838,2
10.510100501,-34.38305205529148,-88.36627241441897,2
10.615201506010001,-34.12095613315223,-93.03494910375737,2
10.721353521070101,-34.21748951056656,-87.74336399353959,2
10.828567056280802,-33.970235920036465,-89.53992170443846,2
10.93685272684361,-33.59247503202583,-93.34527883933492,2
11.046221254112046,-34.31700801238812,-88.45349082300561,2
11.156683466653167,-33.20761523392053,-89.01846823589744,2
11.268250301319698,-33.67366614291993,-91.34333859664457,2
11.380932804332895,-33.35069226278737,-89.03653942888477,2
11.494742132376224,-33.635248807921904,-92.20945358303572,2
11.609689553699987,-33.51202413555585,-89.13715194523417,2
11.725786449236987,-33.21074525407469,-91.39633851891466,2
11.843044313729356,-32.73957549784195,-89.16239462398914,2
11.96147475686665,-33.10645276914287,-89.62070055784058,2
12.081089504435317,-33.149554305308264,-92.98430837600537,2
12.20190039947967,-32.88667750818986,-88.09268668481332,2
12.323919403474468,-32.943722730250244,-91.22478669891501,2
12.447158597509214,-32.62498561190385,-88.3741671683943,2
12.571630183484306,-32.714316638121005,-87.77834767244477,2
12.69734648531915,-32.7341603060717,-91.08328253900594,2
12.824319950172342,-31.998189328937148,-89.47998047265256,2
12.952563149674065,-32.10837671797548,-91.19162662247612,2
13.082088781170805,-32.03888675785727,-90.59603541506522,2
13.212909668982514,-32.71432715896412,-90.89279852577317,2
13.345038765672339,-32.03794918401136,-91.91306774342665,2
13.478489153329063,-31.491384533051225,-89.41345022240455,2
13.613274044862354,-31.473503254430064,-89.14307934675941,2
13.749406785310978,-31.841052261323803,-89.9395685171705,2
13.886900853164088,-31.662224514490717,-91.02745591427734,2
14.025769861695728,-31.65916867876442,-89.52524540852487,2
14.166027560312687,-31.68567240133141,-91.20381047781916,2
14.307687835915814,-31.535680095697632,-89.23160078871308,2
14.450764714274973,-30.97840562089351,-92.18499806380805,2
14.595272361417722,-31.336906647733795,-90.6979304287889,2
14.7412250850319,-31.33688575571794,-92.47713602004741,2
14.888637335882219,-31.10917701422369,-90.60268044462254,2
15.037523709241041,-31.042660508972617,-92.40747456566415,2
15.187898946333451,-31.12465464399542,-90.04197423873052,2
15.339777935796786,-31.058789661049964,-91.74697062815528,2
15.493175715154754,-30.791566464374455,-92.9203371086146,2
15.648107472306302,-30.437940486376736,-97.53971207940398,2
15.804588547029365,-30.74599290694797,-90.53867457694227,2
15.962634432499659,-30.480464946555383,-90.22391252317803,2
16.122260776824657,-30.51108132177798,-91.51771038958077,2
16.283483384592902,-30.05923251578491,-89.19239174625258,2
16.44631821843883,-30.151886630406523,-92.54924326290087,2
16.610781400623218,-30.1519368511381,-90.25114064315898,2
16.77688921462945,-30.09111064343723,-90.96041846260266,2
16.944658106775744,-29.46411908222896,-93.7474745425662,2
17.1141046878435,-29.766632515961096,-93.40027868917161,2
17.285245734721936,-29.37331578441833,-89.55917594794637,2
17.458098192069155,-29.567255547852866,-90.9807108937299,2
17.632679173989846,-29.674894558505034,-91.65269449866109,2
17.809005965729746,-29.652233172254075,-90.542030198938,2
17.987096025387043,-29.52440416354513,-92.72768937224926,2
18.166966985640915,-29.311947287955533,-91.2559638627502,2
18.348636655497323,-29.074307554622177,-91.51649188274007,2
18.532123022052296,-29.065115059280206,-91.65511319914845,2
18.71744425227282,-29.156237005569526,-91.44314769408422,2
18.90461869479555,-29.008193416025286,-92.37752349375135,2
19.093664881743504,-28.910883607508243,-91.32906620756467,2
19.284601530560938,-28.41337815118992,-91.65871284703948,2
19.477447545866546,-28.658834557238354,-90.61770093818464,2
19.67222202132521,-28.584194286689243,-90.92891821181261,2
19.868944241538465,-28.540657503406102,-91.70780859139632,2
20.06763368395385,-28.580516487573863,-93.50817111863626,2
20.26831002079339,-28.190394950116026,-92.1071350540725,2
20.470993121001325,-28.248270027210054,-92.40437779605554,2
20.67570305221134,-28.250914366549182,-91.11048017367108,2
20.882460082733452,-27.997890908135265,-90.45723943887216,2
21.091284683560787,-27.913675191415557,-92.30856525271516,2
21.302197530396395,-27.924035320683434,-91.08906422557477,2
21.515219505700358,-27.62565503495545,-91.9566230767616,2
21.730371700757363,-27.8335508471883,-90.98009233597452,2
21.947675417764938,-27.53503139594266,-91.70159468941291,2
22.167152171942586,-27.61971119410001,-92.92232409076081,2
22.38882369366201,-27.54874666116892,-90.42091115591995,2
22.612711930598632,-27.41847333106316,-92.0550158688958,2
22.838839049904617,-27.166265816282184,-91.93153888147941,2
23.067227440403663,-27.259245827757695,-92.91946831115798,2
23.2978997148077,-27.329360760908845,-91.08992896930538,2
23.530878711955776,-26.981395206536117,-91.29175766994032,2
23.766187499075333,-27.009211568608972,-90.36196748237526,2
24.003849374066085,-26.82323035410634,-91.8045751815938,2
24.243887867806748,-26.715322627825905,-92.43122881658064,2
24.486326746484817,-26.746564151708593,-92.10052646884401,2
24.731190013949664,-26.434589349264463,-90.48219037332554,2
24.97850191408916,-26.468788018638506,-92.85074909322748,2
25.228286933230052,-26.5896711285449,-91.93671207135569,2
25.480569802562353,-26.52154677506776,-92.51816909142829,2
25.735375500587978,-26.21169786885739,-91.44024604038353,2
25.992729255593858,-26.019544685871324,-92.6846235026746,2
26.252656548149798,-26.254269119467867,-91.20838468093109,2
26.515183113631295,-26.155328576365143,-91.96937215205816,2
26.78033494476761,-26.16261914846374,-93.01161304980666,2
27.048138294215285,-25.833989019178333,-92.69706128212155,2
27.31861967715744,-25.96533869714522,-92.6868002163303,2
27.591805873929015,-25.94093258292245,-92.2939409223929,2
27.867723932668305,-25.47709951319257,-93.0803643892732,2
28.146401171994988,-25.501639056854838,-92.26988067069959,2
28.42786518371494,-25.424207835946493,-92.15850544309808,2
28.712143835552087,-25.407720398767612,-91.83983597164786,2
28.999265273907607,-25.26849328892744,-92.75326137995879,2
29.289257926646684,-25.10323100644542,-92.40941805753064,2
29.58215050591315,-25.048195627790292,-91.19338083322177,2
29.877972010972282,-24.916221326330284,-91.6665742615847,2
30.176751731082007,-25.039313843260928,-92.67334296764568,2
30.47851924839283,-24.948529503289688,-91.90877059581419,2
30.78330444087676,-24.796545224759384,-90.52635271540925,2
31.091137485285525,-24.66075688443794,-93.48505761862071,2
31.402048860138382,-24.738700088089665,-91.24517896088383,2
31.716069348739765,-24.35714411707035,-92.74015688870878,2
32.03323004222716,-24.363706727230976,-91.85161425484914,2
32.35356234264943,-24.257751749234398,-93.1131335410073,2
32.67709796607593,-24.068848527736286,-92.80722445663577,2
33.003868945736684,-23.94804428225921,-93.35572037862929,2
