Frequency [Hz],Magnitude [dB],Phase [deg],Quality
10.0,-33.910379090213816,-103.31746392226317,1
10.1,-34.109362193679104,-90.75426753528848,1
10.201,-34.49775190690238,-90.37755521376198,1
10.30301,-34.7757714260711,-94.72429271816083,1
10.4060401,-33.639334695760866,-92.4235892205158,1
10.510100501,-33.94535889156105,-89.55848025782147,1
10.615201506010001,-33.961229139309566,-96.73658170384638,1
10.721353521070101,-34.05461047442768,-87.92202483096021,1
10.828567056280802,-33.77743798622585,-88.99924969514512,1
10.93685272684361,-34.26997418653122,-90.54329520963239,1
11.046221254112046,-33.88176206782069,-87.66616259995921,1
11.156683466653167,-33.81889124972865,-94.03737854570204,1
11.268250301319698,-33.522135464514086,-89.85605458456479,1
11.380932804332895,-33.73051230279564,-88.44163494963567,1
11.494742132376224,-32.84156983800195,-88.14568305708426,1
11.609689553699987,-33.406702177056005,-90.11355386861658,1
11.725786449236987,-32.92792474864522,-89.72828417214096,1
11.843044313729356,-32.38231676123759,-93.42071058420463,1
11.96147475686665,-57.97585985848201,-4.410213373554601,2
12.081089504435317,-32.493524337042,-89.23943655523294,1
12.20190039947967,-32.93688172122626,-91.3536155241664,1
12.323919403474468,-33.10958511139434,-90.00587379637358,1
12.447158597509214,-32.75503278710611,-91.55345749172338,1
12.571630183484306,-32.861413806370315,-91.62622116440853,1
12.69734648531915,-32.48559840325859,-93.22877072854133,1
12.824319950172342,-31.906685443672174,-89.6317606043755,1
12.952563149674065,-32.14359574212195,-90.20890539115337,1
13.082088781170805,-32.38010324910553,-88.96544849967177,1
13.212909668982514,-32.289410643023274,-92.31187231925088,1
13.345038765672339,-32.40133832043621,-89.38455699056242,1
13.478489153329063,-31.912846901743645,-90.99299725821847,1
13.613274044862354,-31.753025044199116,-88.81077428137851,1
13.749406785310978,-31.859504083806733,-88.34930823131747,1
13.886900853164088,-31.813109636263558,-94.9385372201517,1
14.025769861695728,-31.63817026806633,-89.27201868259743,1
14.166027560312687,-31.830416498465972,-91.8289525438505,1
14.307687835915814,-31.14655620871167,-90.93133261088747,1
14.450764714274973,-31.51969211685846,-90.58544275341322,1
14.595272361417722,-30.97087280806726,-93.39118142489924,1
14.7412250850319,-31.12333778203147,-91.5233021036169,1
14.888637335882219,-30.665216949557326,-88.94859898163129,1
15.037523709241041,-31.015671508456414,-89.74020315670043,1
15.187898946333451,-30.704604942439314,-91.53252712585322,1
15.339777935796786,-30.656217344047956,-91.20086822791865,1
15.493175715154754,-30.734894488035817,-90.15465394642553,1
15.648107472306302,-30.38972499198119,-90.48851214035747,1
15.804588547029365,-30.094326830371163,-92.64288989505872,1
15.962634432499659,-30.272809900418494,-90.20722956169709,1
16.122260776824657,-30.110348183993572,-91.67714153457638,1
16.283483384592902,-30.032190445974404,-91.65301855973009,1
16.44631821843883,-30.21459717677743,-91.37013464132329,1
16.610781400623218,-29.977977778248345,-92.32154246030036,1
16.77688921462945,-30.292679954900585,-92.37969187162334,1
16.944658106775744,-30.043210730962937,-90.98264062981492,1
17.1141046878435,-29.65454147566663,-91.82144206630426,1
17.285245734721936,-29.883910340790127,-93.08060053958697,1
17.458098192069155,-29.816238438167932,-89.26106748390642,1
