Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.342505860591977,87.40316236539122,2
40.8,-25.296967660942684,87.47804745420626,2
41.616,-25.24319663843641,87.00636613492887,2
42.44832,-24.955403667350947,87.29144900171724,2
43.297286400000004,-24.99529883878362,88.44938348399683,2
44.163232128000004,-24.78112432750967,88.10152621622034,2
45.046496770560005,-24.55522356575413,86.87479071918932,2
45.9474267059712,-24.344992643551222,86.67182135229483,2
46.866375240090626,-24.071144329767883,88.8135151045646,2
47.80370274489244,-24.013846118562697,88.60991417085758,2
48.75977679979029,-23.646750537892324,87.7649193715464,2
49.7349723357861,-23.51730014557776,88.12205395862276,1
50.72967178250182,-23.266986490543953,87.45430026466909,1
51.74426521815185,-23.179696127647397,87.81134946324609,1
52.77915052251489,-22.89013248734103,87.23415321968378,1
53.83473353296519,-23.129499369993685,86.87446758393614,1
54.911428203624496,-22.689669338109944,85.73566373639649,1
56.00965676769699,-22.57030287316437,86.68529122129037,1
57.12984990305093,-22.197406710490412,87.00635029899041,1
58.27244690111195,-22.281107029958335,86.92220331895466,1
59.437895839134185,-21.95036196749148,87.25023346255404,1
60.62665375591687,-21.797479883975697,86.3962217275015,1
61.83918683103521,-21.562857408232574,86.78973288339529,1
63.075970567655915,-21.39340296290331,85.92764569324284,1
64.33748997900904,-21.152958274327215,86.29760955893558,1
65.62423977858921,-21.19928337168497,87.00659946197875,1
66.936724574161,-20.810199104176828,86.87005170892945,1
68.27545906564423,-20.845131219914613,86.4256781070691,1
69.64096824695712,-20.441616904205475,86.18659514075091,1
71.03378761189626,-20.606655776339203,86.28484984457359,1
72.45446336413418,-20.174454139791496,86.32818038174975,1
73.90355263141687,-20.050039157491266,86.13481036479816,1
75.38162368404521,-19.959564759852366,85.27120464518198,1
76.88925615772611,-19.534984922152425,85.97213751909601,1
78.42704128088063,-19.54993593008536,86.20833064140106,1
79.99558210649825,-19.296005957230985,85.93873884674699,1
81.59549374862821,-19.115710549379127,85.28515085190392,1
83.22740362360078,-19.010783141308035,85.53191945735209,1
84.8919516960728,-18.64941089603884,85.74330853039048,1
86.58979072999425,-18.3848077187816,86.09880683118809,1
88.32158654459414,-18.329624679779755,85.07725400048665,1
90.08801827548602,-18.06753883317101,84.89402868444077,1
91.88977864099574,-17.86933545260781,85.42244310781194,1
93.72757421381566,-17.830119514474166,85.5819079436879,1
95.60212569809197,-17.57132018478632,85.52022758774234,1
97.5141682120538,-17.378245117653897,84.86026363444319,1
99.46445157629488,-17.22636370293998,84.95368233785837,1
101.45374060782078,-16.98674308566391,84.59371869238254,1
103.4828154199772,-16.99490575611796,84.56781478653419,1
105.55247172837674,-16.614023257349803,84.16680367627146,1
107.66352116294428,-16.7254589665479,84.57418365330594,1
109.81679158620317,-16.274201901186476,84.61876974273127,1
112.01312741792724,-16.370136303322816,84.46957352343196,1
114.25338996628578,-15.900284109575582,84.0766800034379,1
116.5384577656115,-15.896849889082747,84.15232007661213,1
118.86922692092372,-15.636831774941012,84.11688585583232,1
121.2466114593422,-15.54067214302461,83.80702571415463,1
123.67154368852906,-15.306676920136791,83.965485728185,1
126.14497456229964,-15.207660721511116,83.36110635884873,1
128.66787405354563,-15.04608836948776,83.37874461243234,1
131.24123153461656,-14.987999514211229,82.78267322858771,1
133.8660561653089,-14.613696465656144,83.14853195528406,1
136.54337728861506,-14.647316876985109,82.68271742370742,1
139.27424483438736,-14.285844146817762,82.35809536245176,1
142.05972973107512,-14.350548084688228,82.37750004751274,1
144.90092432569662,-13.925037200795238,82.5492636765274,1
147.79894281221056,-13.956197007449761,82.29729580608213,1
150.75492166845476,-13.728367965931927,81.855651268501,1
153.77002010182386,-13.392594597558135,81.71654651009288,1
156.84542050386034,-13.430934629770618,81.45646442895114,1
159.98232891393755,-13.04010122415248,81.59026586175753,1
163.1819754922163,-12.882610984917092,81.54267358276718,1
166.44561500206063,-12.865965741426256,80.94884671974998,1
169.77452730210186,-12.542939277296012,81.02296633996829,1
173.17001784814389,-12.361755760336,80.93795208261494,1
176.63341820510678,-12.249226436393785,80.60937067549858,1
180.16608656920891,-11.99499883345353,80.3936154563529,1
183.76940830059308,-11.796299613231563,80.55050379396312,1
187.44479646660494,-11.742075242794348,80.1382370585616,1
191.19369239593703,-11.58236130471415,79.99239767638593,1
195.01756624385578,-11.324286201309185,79.63464544537983,1
198.9179175687329,-11.028501438481939,79.38480952576023,1
202.89627592010754,-10.935146011849884,79.17147908189281,1
206.9542014385097,-10.781743405024644,79.13550240529165,1
211.09328546727988,-10.68230684653659,78.85244761729317,1
215.31515117662548,-10.541316759014233,78.5303725462957,1
219.62145420015798,-10.144239103865182,78.20411627723112,1
224.01388328416115,-10.176801170170775,77.96318836414143,1
