Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.21576479293212,88.72789075732085,1
40.8,-24.32780267390818,89.62338119442211,1
41.616,-24.0150036121865,90.85205607552703,1
42.44832,-23.351808909785287,89.44306484299219,1
43.297286400000004,-23.756167598840932,88.35437495319522,1
44.163232128000004,-23.251339446085236,88.85949464523657,1
45.046496770560005,-23.041814424153117,89.61189320903755,1
45.9474267059712,-22.944377537363746,89.61985886380684,1
46.866375240090626,-22.77761026825538,89.29039585774524,2
47.80370274489244,-22.649056737006752,88.81616579146225,1
48.75977679979029,-22.49635719877104,89.84451634706852,1
49.7349723357861,-22.15702346375562,89.35858133401715,1
50.72967178250182,-21.69925385187786,87.42491586052131,1
51.74426521815185,-21.643525813128168,87.69221558849256,1
52.77915052251489,-21.705093547441844,88.6865615851965,1
53.83473353296519,-21.658069290985992,89.75364738161525,1
54.911428203624496,-21.10447877112188,88.24472726874839,1
56.00965676769699,-21.1383024703822,88.75329495949705,1
57.12984990305093,-20.841705843185355,89.67288501563519,1
58.27244690111195,-20.82740900939139,89.09409252980339,1
59.437895839134185,-20.454064486785377,88.42333349318451,1
60.62665375591687,-20.503965944374976,89.6592657893838,1
61.83918683103521,-20.32685053686324,88.79687361642016,1
63.075970567655915,-20.12771966099759,88.1062955966633,1
64.33748997900904,-19.986279674801672,88.04561415699949,1
65.62423977858921,-19.91374984526609,89.23487751699952,1
66.936724574161,-19.608583331554545,88.61082562286339,1
68.27545906564423,-19.481668811719665,89.17117321458684,1
69.64096824695712,-19.183148088155974,88.02043231830997,1
71.03378761189626,-19.194949970536484,89.23777533453531,1
72.45446336413418,-18.779068459994907,89.0822036581626,1
73.90355263141687,-18.741622883576284,88.97311650422525,1
75.38162368404521,-18.544480501875597,88.22987933875365,1
76.88925615772611,-18.497107344858502,88.0738479597909,1
78.42704128088063,-18.392887408331706,88.42603908291737,1
79.99558210649825,-18.14833888551097,88.12393394492827,1
81.59549374862821,-18.12774540973469,88.52973023838139,1
83.22740362360078,-18.006233562160308,88.33252427419418,1
84.8919516960728,-17.704747133985958,88.42387918510153,1
86.58979072999425,-17.489818426048508,87.94292172759202,1
88.32158654459414,-17.596253039419167,88.14553510763233,1
90.08801827548602,-17.204025029619896,88.54787231582569,1
91.88977864099574,-16.936051384887513,88.40264053075458,1
93.72757421381566,-16.8560269271554,87.99929210044515,1
95.60212569809197,-16.867438671296,87.49536029854667,1
97.5141682120538,-16.48868867045065,88.30423029246583,1
99.46445157629488,-16.31233846886265,87.73204450409398,1
101.45374060782078,-16.227572322414172,88.14008782026212,1
103.4828154199772,-16.119324400012676,87.35349666077636,1
105.55247172837674,-15.995643944996313,87.12979940158357,1
107.66352116294428,-15.84899176357239,87.54859124112977,1
109.81679158620317,-15.40535079740409,87.78033162236468,1
112.01312741792724,-15.396958812465039,87.6432760198418,1
114.25338996628578,-15.102662525067919,87.61543581232604,1
116.5384577656115,-15.182746218686995,87.24601448784185,1
118.86922692092372,-14.928465544036783,87.74613081414137,1
121.2466114593422,-14.813881413921425,87.52690149730392,1
123.67154368852906,-14.599884070669097,87.49645460673554,1
126.14497456229964,-14.504764673369316,87.50318989768878,1
128.66787405354563,-14.298451488314448,87.32235714073492,1
131.24123153461656,-14.214991332918311,87.24895302337379,1
133.8660561653089,-13.83533691830812,87.32770242179805,1
136.54337728861506,-13.925348671998504,86.54643795611052,1
139.27424483438736,-13.562239005092186,86.84919691425613,1
142.05972973107512,-13.57844647654093,86.92516634507126,1
144.90092432569662,-13.20136033928617,86.76086622363613,1
147.79894281221056,-13.237623573338507,86.66592229428407,1
150.75492166845476,-13.002155515801274,86.59139896136485,1
153.77002010182386,-12.696880377276909,86.9525113298929,1
156.84542050386034,-12.718713562190677,86.39955428699218,1
159.98232891393755,-12.445418629151531,86.5434598633083,1
163.1819754922163,-12.208824913416038,86.14306264846758,1
166.44561500206063,-12.199221087462194,86.25459879997032,1
169.77452730210186,-11.889350482872599,86.23828727910524,1
173.17001784814389,-11.810620007518324,85.91158093505959,1
176.63341820510678,-11.713859012397375,85.71527703418784,1
180.16608656920891,-11.416355266878641,85.81918204201452,1
183.76940830059308,-11.209114422036702,85.66312239346917,1
187.44479646660494,-11.065635870892704,85.59102251132366,1
191.19369239593703,-11.01293278085545,85.5125520621674,1
195.01756624385578,-10.732029976551651,85.42655780087819,1
198.9179175687329,-10.609303197198077,85.28559353851067,1
202.89627592010754,-10.399881731049405,85.48301465686586,1
206.9542014385097,-10.33624837010159,85.11325505097706,1
211.09328546727988,-10.202113768108287,85.05871783648229,1
215.31515117662548,-10.113011014436221,84.6577255214334,1
219.62145420015798,-9.75901862491588,84.66082773603742,1
224.01388328416115,-9.791003478841054,84.44030934445061,1
228.49416094984437,-9.38169568858063,84.7950437847868,1
233.06404416884126,-9.42757025909921,84.25598997794698,1
237.7253250522181,-9.145650467968618,84.39508313839526,1
242.47983155326247,-9.012924630094608,84.27241067138701,1
247.32942818432772,-8.864735934254696,83.95693912551178,1
252.27601674801429,-8.796746532696302,84.11991390482918,1
257.3215370829746,-8.554182399282237,83.89232090840319,1
262.4679678246341,-8.48029882677215,83.83931061865565,1
267.7173271811268,-8.173928763632002,83.49619452038922,1
273.07167372474936,-8.155615329957381,83.53183971757414,1
278.53310719924434,-7.843801494549631,83.60708329637524,1
284.10376934322926,-7.861700928040053,83.14526057390606,1
289.78584473009386,-7.533736937410958,83.32086953311693,1
295.5815616246957,-7.4750266647413,82.94537127307285,1
301.4931928571896,-7.286683482553571,82.89577462941708,1
307.52305671433345,-7.031793679246849,82.51342280523414,1
313.6735178486201,-7.0433351404549205,82.5940848185264,1
319.9469882055925,-6.7052573145165715,82.58889411245144,1
326.34592796970435,-6.560081791033315,82.56739236628118,1
332.87284652909847,-6.518831881756037,82.28834095877542,1
339.53030345968045,-6.227523831070222,82.1616660661416,1
346.3209095288741,-6.056902121403037,82.06461489971048,1
353.24732771945156,-6.027944595345595,81.64515136308782,1
360.3122742738406,-5.76671266413001,81.81400760662343,1
367.5185197593174,-5.522497366924327,81.40505069109736,1
374.8688901545038,-5.439997874493683,81.39278885243569,1
382.3662679575939,-5.3557538292479006,81.24989471272397,1
390.01359331674576,-5.116529409676983,81.07189987015022,1
397.8138651830807,-4.897038223133066,81.03434391411608,1
405.7701424867423,-4.7514190928887805,80.76189440848168,1
413.88554533647715,-4.635381589149165,80.58343987929678,1
422.1632562432067,-4.525862721359212,80.4809900201053,1
430.60652136807084,-4.341976325843171,79.89053045563183,1
439.21865179543227,-4.131956465829226,79.9995411344034,1
448.0030248313409,-3.9104559896119135,79.790895534291,1
456.96308532796775,-3.762864387378736,79.67833658242127,1
466.1023470345271,-3.584155329499223,79.4034893793741,1
475.42439397521764,-3.410545832714701,79.27304875214273,1
484.932881854722,-3.2793964256628945,78.79955615113369,1
494.63153949181645,-3.111530212231127,78.76962170216633,1
504.5241702816528,-2.9363761566054034,78.40488918790355,1
514.6146536872859,-2.890927316338153,78.23123233405943,1
524.9069467610317,-2.501376005947609,78.1724194265986,1
535.4050856962523,-2.5910042532178506,77.9401954856988,1
546.1131874101774,-2.2071854681048,77.837156458621,1
557.035451158381,-2.2192416796565637,77.50146006047997,1
568.1761601815485,-1.9755183777819207,77.24627981520439,1
579.5396833851795,-1.860473157189784,76.95575784073596,1
591.1304770528831,-1.694353346241147,76.67525788251342,1
602.9530865939407,-1.465104629238437,76.63427522556148,1
615.0121483258196,-1.3488545815231783,76.37964774952715,1
627.312391292336,-1.1170656399829948,76.17577506649263,1
