Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.65061391620792,87.47765012007513,1
40.8,-25.06354405512447,88.16038814956875,1
41.616,-25.308567929516794,89.89000197867357,1
42.44832,-24.951414636705156,88.72912263105147,1
43.297286400000004,-23.893800814650373,88.32972527815814,1
44.163232128000004,-24.912026276592808,88.35832561990804,1
45.046496770560005,-24.299088670928054,89.70893449165904,1
45.9474267059712,-23.84335553350714,88.51471990325776,1
46.866375240090626,-23.471535400051792,88.55260286874386,1
47.80370274489244,-23.524962324365564,84.63759737617465,1
48.75977679979029,-23.685924778547818,89.04842714773645,1
49.7349723357861,-23.335159384938887,90.303839736886,1
50.72967178250182,-23.213193664717487,88.60187522445881,1
51.74426521815185,-23.247057590750185,88.85627214932482,1
52.77915052251489,-23.013210931478994,89.77619508704356,1
53.83473353296519,-23.030964086761564,88.68909445092592,1
54.911428203624496,-22.549837795115337,88.6190882693123,1
56.00965676769699,-22.525656548716157,87.71596331551685,1
57.12984990305093,-22.23640883585468,88.12314160379435,1
58.27244690111195,-22.24189339074906,88.25301663117106,1
59.437895839134185,-21.706076428269732,89.0953201533624,1
60.62665375591687,-21.84118782583514,88.16478573413725,1
61.83918683103521,-21.753536315675202,87.95169890178033,1
63.075970567655915,-21.77590085063131,88.33422166329198,1
64.33748997900904,-21.30520904801357,87.56298385039186,1
65.62423977858921,-21.39229395868524,88.62906919848439,1
66.936724574161,-21.09305243530324,87.39156238056717,1
68.27545906564423,-21.024562119692167,88.46311622189609,1
69.64096824695712,-20.815658566685975,88.70184186067583,1
71.03378761189626,-20.855682612089595,87.67410552300079,1
72.45446336413418,-20.41071832060912,88.0261965574258,1
73.90355263141687,-20.341267387950822,87.62092219863891,1
75.38162368404521,-20.033815395243806,87.87566196615309,1
76.88925615772611,-19.852323294956854,87.751581475325,1
78.42704128088063,-19.820172535611995,87.34569275517951,1
79.99558210649825,-19.528087595335045,86.82305057013042,1
81.59549374862821,-19.329794873265683,86.9917187644008,1
83.22740362360078,-19.304390468106153,87.91386136902777,1
84.8919516960728,-19.030333984486326,87.01058685179278,1
86.58979072999425,-18.856078004305353,87.05963218272154,1
88.32158654459414,-18.74841019006067,87.61336537258012,1
90.08801827548602,-18.46241318338936,87.27771705083515,1
91.88977864099574,-18.232743418247175,87.70610408442315,1
93.72757421381566,-18.14841061434375,86.71879409888342,1
95.60212569809197,-18.062153048266918,87.66610313509454,1
97.5141682120538,-17.864435752578036,86.78907758121215,1
99.46445157629488,-17.603992594771036,87.39840413576732,1
101.45374060782078,-17.4580758281234,86.93909218262593,1
103.4828154199772,-17.393347587329078,86.59257193703635,1
105.55247172837674,-16.718707717432256,87.12455769615065,1
107.66352116294428,-17.284430135097836,86.7742584262461,1
109.81679158620317,-16.714141298645124,86.8218610562219,1
112.01312741792724,-16.748345739227272,86.39863145256012,1
114.25338996628578,-16.39713321327872,86.78230036205787,1
116.5384577656115,-16.367833378567646,86.31651170193207,1
118.86922692092372,-15.984995571469854,86.62337137861904,1
121.2466114593422,-16.01478813277899,86.46437522545322,1
123.67154368852906,-15.648332536833228,86.13730288227481,1
126.14497456229964,-15.62765890101169,86.68023634960915,1
128.66787405354563,-15.398367531180197,86.28685309623103,1
131.24123153461656,-15.286804305290232,86.51958340853626,1
133.8660561653089,-15.042606428428403,86.23334096404761,1
136.54337728861506,-15.01795062165411,85.81530688053087,1
139.27424483438736,-14.586577118137852,85.80085310771761,1
142.05972973107512,-14.63102508064009,85.6427849734,1
144.90092432569662,-14.258926008111477,85.82219611735945,1
147.79894281221056,-14.280215699586448,85.77261225866111,1
150.75492166845476,-14.022242028967698,85.36562429386105,1
153.77002010182386,-13.797445322034134,85.27152408047908,1
156.84542050386034,-13.808388728238508,85.27684499207722,1
159.98232891393755,-13.42126319194112,85.51800146457778,1
163.1819754922163,-13.32782822273385,85.09568275081375,1
166.44561500206063,-13.275604445285087,85.20043074938145,1
169.77452730210186,-12.99300171602416,85.15426009175931,1
173.17001784814389,-12.80353531989228,85.0042156716669,1
176.63341820510678,-12.741498335123927,84.71458542227842,1
180.16608656920891,-12.500079605369272,84.71367125613544,1
183.76940830059308,-12.259132802518748,84.82312740596115,1
187.44479646660494,-12.096457368146154,84.57453190427027,1
191.19369239593703,-12.056579116577442,84.68399684086106,1
195.01756624385578,-11.75711135743552,83.95576636284937,1
198.9179175687329,-11.547861731345822,84.59668384294952,1
202.89627592010754,-11.428053891773034,84.07099283845218,1
206.9542014385097,-11.358360332779545,84.0467671102227,1
211.09328546727988,-11.23779896738868,83.99474056336996,1
215.31515117662548,-11.091970473032386,83.76345982608305,1
219.62145420015798,-10.732785565104766,83.8844661374243,1
224.01388328416115,-10.806803798145616,83.50747551626624,1
228.49416094984437,-10.40278162817736,83.38618649784024,1
233.06404416884126,-10.425925344717948,83.23270359664635,1
237.7253250522181,-10.13823492770885,83.08219743102903,1
242.47983155326247,-10.038425598626493,83.03664396747958,1
247.32942818432772,-9.799214452010094,82.85591857941063,1
252.27601674801429,-9.726584445864805,82.88576944487632,1
257.3215370829746,-9.494788727215001,82.75185097529314,1
262.4679678246341,-9.386179709149268,82.54357086952538,1
267.7173271811268,-9.162133450812192,82.40106275768738,1
273.07167372474936,-9.118973307099383,82.11800714532268,1
278.53310719924434,-8.78945928697815,82.0672032533118,1
284.10376934322926,-8.833196877420848,81.93631345593664,1
289.78584473009386,-8.463387311749525,81.49679050525901,1
295.5815616246957,-8.435543875341374,81.51875679035419,1
301.4931928571896,-8.27400904054387,81.56440323221757,1
307.52305671433345,-7.994449333836833,81.32743578600298,1
313.6735178486201,-7.9574013473278455,80.94821741004009,1
319.9469882055925,-7.697263126907318,81.06866001544378,1
326.34592796970435,-7.546842778095967,80.87727411931508,1
332.87284652909847,-7.462871973564173,80.83043733518502,1
339.53030345968045,-7.183783086564287,80.6015583169767,1
346.3209095288741,-7.057731609256463,80.20039009167506,1
353.24732771945156,-6.973011033402722,80.07737676634403,1
360.3122742738406,-6.710622730606556,80.15627326426346,1
367.5185197593174,-6.505188224265967,79.8394245064681,1
374.8688901545038,-6.412257408765894,79.55752618592496,1
382.3662679575939,-6.314628431433534,79.60465335770206,1
390.01359331674576,-6.076046204499247,79.27578653254227,1
397.8138651830807,-5.842303260124616,79.07691876114785,1
405.7701424867423,-5.721736200111,79.00568354896541,1
413.88554533647715,-5.600725491459442,78.62004260484052,1
422.1632562432067,-5.45337642360974,78.57318085881252,1
430.60652136807084,-5.284617036916137,78.27422904282264,1
