Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.614724988094718,87.14664017012132,1
40.8,-22.37815519775919,87.12185929897612,1
41.616,-22.265346887497373,88.21318186344101,1
42.44832,-22.086511899532017,87.25214217432605,1
43.297286400000004,-21.998856249182797,87.33468336814684,1
44.163232128000004,-21.983591125124157,87.68162990841618,1
45.046496770560005,-21.601072316252775,87.47760141415922,1
45.9474267059712,-21.297878238575247,87.60645298007721,1
46.866375240090626,-21.136961726036454,86.30645776858944,1
47.80370274489244,-21.058627998457414,86.83601963803723,1
48.75977679979029,-20.818428443552083,86.68417775753375,1
49.7349723357861,-20.658687836328877,85.74284596191889,1
50.72967178250182,-20.57196035882475,86.60625113662752,1
51.74426521815185,-20.56732998743414,86.16280032283585,1
52.77915052251489,-20.02382849553533,86.87583402970523,1
53.83473353296519,-20.404203151113613,85.74220916125469,1
54.911428203624496,-19.787599955879596,87.33254468892696,1
56.00965676769699,-19.850489096484612,86.48115328710338,1
57.12984990305093,-19.369534373626124,86.21070243036263,1
58.27244690111195,-19.361342110523317,85.97144270527932,1
59.437895839134185,-19.229453531634164,86.16609251516005,1
60.62665375591687,-19.151901938526105,85.32964269055188,1
61.83918683103521,-18.774655462801537,86.33186782714643,1
63.075970567655915,-18.731292848678475,85.91697387681012,1
64.33748997900904,-18.370021762628532,85.64575805266804,1
65.62423977858921,-18.359784798340193,85.46642401935917,1
66.936724574161,-18.09958448501722,85.43948574206223,1
68.27545906564423,-17.99044520881423,85.09874150643454,1
69.64096824695712,-17.737000228798863,85.4597853893323,1
71.03378761189626,-17.729103270902307,84.87456039087952,1
72.45446336413418,-17.322501262394734,84.75475452500467,1
73.90355263141687,-17.240644745968876,85.03789922514645,1
75.38162368404521,-17.119446663678108,85.09045413425183,1
76.88925615772611,-16.757292897786122,85.16997072401028,1
78.42704128088063,-16.81993232593988,85.03928218566874,1
79.99558210649825,-16.514671788077976,84.66939333277934,1
81.59549374862821,-16.333572181214453,84.98425848306334,1
83.22740362360078,-16.335845204148452,84.70867078374698,1
84.8919516960728,-15.94484951426042,84.33137434545823,1
86.58979072999425,-15.827171215309836,84.38795630952438,1
88.32158654459414,-15.727722058947592,83.81837506265825,1
90.08801827548602,-15.524420268431147,84.1340574051003,1
91.88977864099574,-15.43374002955671,83.87910154513213,1
93.72757421381566,-15.215752942980341,83.93488174351252,1
95.60212569809197,-15.019658133632122,83.2856007513017,1
97.5141682120538,-14.7861284477392,83.53238563604805,1
99.46445157629488,-14.508259344333348,83.696321918611,1
101.45374060782078,-14.387493998464912,82.9045966378377,1
103.4828154199772,-14.374102767889275,83.09736575698116,1
105.55247172837674,-13.974309937181436,82.91075902117126,1
107.66352116294428,-14.01384916081383,82.5368298138724,1
109.81679158620317,-13.600635883109035,82.68952935842043,1
112.01312741792724,-13.675163461404182,82.14546667275314,1
114.25338996628578,-13.297823644841191,82.24231996826694,1
116.5384577656115,-13.252697954392621,82.26976833557688,1
118.86922692092372,-12.993873386258723,82.01386217829324,1
121.2466114593422,-12.87317233960614,81.59632169417296,1
123.67154368852906,-12.645988923045824,81.48361021343806,1
126.14497456229964,-12.468707909881797,81.45577203864856,1
128.66787405354563,-12.246006022348228,81.22174004326644,1
131.24123153461656,-12.181562594975418,80.91613285823506,1
133.8660561653089,-11.831570327928937,80.81662218234135,1
136.54337728861506,-11.765008299255944,80.4779733302722,1
139.27424483438736,-11.435321713370444,80.544272191222,1
142.05972973107512,-11.468240009016252,80.34273370302063,1
144.90092432569662,-11.155729341882871,80.32383138044099,1
147.79894281221056,-11.050803533836495,79.65990482259375,1
150.75492166845476,-10.824141657893746,79.72226267728536,1
153.77002010182386,-10.527767576820645,79.61737670357667,1
156.84542050386034,-10.514264296805027,79.03143022254028,1
159.98232891393755,-10.172707537968133,79.01072492824122,1
163.1819754922163,-10.051448478510247,78.80075401572765,1
166.44561500206063,-9.965315548805807,78.27942015049888,1
169.77452730210186,-9.61305635797432,78.19590049348805,1
173.17001784814389,-9.47395161741676,78.04751109194825,1
176.63341820510678,-9.355742727048098,77.71000325035332,1
180.16608656920891,-9.094572177611989,77.5319429442442,1
183.76940830059308,-8.857981323992592,77.29484112137243,1
187.44479646660494,-8.78850137699283,76.71351007177077,1
191.19369239593703,-8.637317421709453,76.70202068090119,1
195.01756624385578,-8.322646625954919,76.40711265227259,1
198.9179175687329,-8.07765060238329,76.2311084712501,1
202.89627592010754,-7.94335991615948,76.01530314735629,1
206.9542014385097,-7.763564717976565,75.44236976172614,1
211.09328546727988,-7.614133865272322,74.91642748170753,1
215.31515117662548,-7.468377135378801,74.62616892210139,1
219.62145420015798,-7.075742795403547,74.7241078365173,1
224.01388328416115,-7.066811883723473,73.78485847041071,1
228.49416094984437,-6.666825108268896,73.89223477061876,1
233.06404416884126,-6.606520349719497,73.23372614943602,1
237.7253250522181,-6.260579260545656,73.13325380300613,1
242.47983155326247,-6.159109611467453,72.45509815063427,1
247.32942818432772,-5.87454175778333,72.18190784059504,1
252.27601674801429,-5.722310705713725,71.73086314279156,1
257.3215370829746,-5.461689140811751,71.42369855198467,1
262.4679678246341,-5.315003916178441,70.55294548132534,1
267.7173271811268,-5.011449968387467,70.46349978656542,1
273.07167372474936,-4.924738541518565,69.82547872322202,1
278.53310719924434,-4.54997872811265,69.7851366488479,1
284.10376934322926,-4.488851357477347,68.7936297224342,1
289.78584473009386,-4.109451328583103,68.38413626185502,1
295.5815616246957,-3.964517898837665,67.73043468856152,1
301.4931928571896,-3.7426423021548687,67.20448297857041,1
307.52305671433345,-3.429378609809731,66.9702337201295,1
313.6735178486201,-3.3159067345125237,65.93686784028148,1
319.9469882055925,-2.9680621859060365,65.59323365946138,1
326.34592796970435,-2.757360106037942,64.93449716635126,1
332.87284652909847,-2.5966838393143115,63.976739617780154,1
339.53030345968045,-2.2222027470954506,63.62330355473853,1
346.3209095288741,-1.972840052064081,62.96299432407835,1
353.24732771945156,-1.822334814147402,61.727298754843225,1
360.3122742738406,-1.4954479639092277,61.081848550230546,1
367.5185197593174,-1.209518832548914,60.42927367905162,1
374.8688901545038,-1.0041024691467548,59.412529433997705,1
382.3662679575939,-0.7615604606746021,58.39887916021092,1
390.01359331674576,-0.42457849791801017,57.631136785635945,1
397.8138651830807,-0.10521108543845906,56.81783884771383,1
405.7701424867423,0.1684874513845348,55.6493394076648,1
413.88554533647715,0.38099248562299365,54.1450754814156,1
422.1632562432067,0.6627817316089951,53.04005963107862,1
430.60652136807084,1.0044626332473685,51.679271024324066,1
439.21865179543227,1.314459970339843,50.73760644591091,1
448.0030248313409,1.6391228916787446,49.336174577226004,1
456.96308532796775,1.9669864755130297,47.80728511261758,1
466.1023470345271,2.267403184696294,46.179654068850255,1
475.42439397521764,2.5704265001367252,44.50292531413612,1
484.932881854722,2.8727235114832683,42.72514885911471,1
494.63153949181645,3.201390614048218,40.67358855413185,1
504.5241702816528,3.5300964861273663,38.71197239511673,1
514.6146536872859,3.8222635114851617,36.08012585495992,1
524.9069467610317,4.223191774513802,34.46494562384359,1
535.4050856962523,4.481958456309239,31.09577451116956,1
546.1131874101774,4.843097541564736,29.08230076184508,1
557.035451158381,5.152851103430965,25.671425414027794,1
568.1761601815485,5.455515474096529,22.72194142099744,1
579.5396833851795,5.756584986869531,19.393520070496635,1
591.1304770528831,6.03093542110745,15.739318583328092,1
602.9530865939407,6.268895758778612,12.230889409562522,1
615.0121483258196,6.497186458814202,8.219923516082986,1
627.312391292336,6.682331266371043,4.141611531282379,1
639.8586391181827,6.829821930979678,-0.21704027755196975,1
652.6558119005464,6.937942839633872,-4.764404627934482,1
665.7089281385573,7.009966405619766,-9.266619242314789,1
679.0231067013285,6.997641303045286,-13.78187149567384,1
692.6035688353551,6.953634832405835,-18.556242025853848,1
706.4556402120622,6.842640735194106,-22.76776811215396,1
720.5847530163035,6.721223786822374,-27.685463180605353,1
734.9964480766296,6.4944284149990565,-31.44137966475611,1
749.6963770381622,6.318996139170144,-35.962892943898154,1
764.6903045789254,6.033100398062663,-39.715696576213986,1
779.9841106705039,5.734831840597839,-43.26714358265933,1
795.583792883914,5.50290854530775,-47.20568226401559,1
811.4954687415924,5.078498858882664,-50.08762226316321,1
827.7253781164243,4.7615060782605125,-53.36130266266164,1
844.2798856787527,4.478892970685473,-56.58328498940383,1
861.1654833923278,4.0526586116194885,-58.937003240247236,1
878.3887930601744,3.6871100147276326,-61.53570652371486,1
895.9565689213779,3.4236834714388693,-64.15578551408646,1
913.8757002998054,2.9966979932430626,-66.21413545701392,1
932.1532143058016,2.591058515986571,-68.0518691872796,1
950.7962785919177,2.294444290239407,-70.32741234577848,1
969.8122041637561,2.0177752098260684,-72.26902565745573,1
989.2084482470312,1.6264676537960996,-74.0664376353372,1
1008.9926172119718,1.2083037341657217,-75.61637339046763,1
1029.1724695562114,0.8645767177704506,-77.08048245220408,1
1049.7559189473357,0.5604035696467518,-78.77364857094119,1
1070.7510373262824,0.28468891028079346,-80.2812670690709,1
1092.166058072808,-0.025268128760992707,-81.56918842759504,1
1114.0093792342643,-0.3667207142724567,-82.80918325776588,1
1136.2895668189497,-0.7199024181996324,-84.1555198851617,1
1159.0153581553286,-1.0624906174469548,-85.3361572393386,1
1182.1956653184352,-1.3997734249718945,-86.35683395932152,1
1205.8395786248038,-1.7123982812148058,-87.48192779105432,1
1229.9563701973,-2.022642493840488,-88.77250511998572,1
1254.555497601246,-2.313935864226433,-89.63172951131008,1
1279.646607553271,-2.5926501754912077,-90.61591911671343,1
1305.2395397043365,-2.8843294567814177,-91.55139447747973,1
1331.3443304984232,-3.1526665376155933,-92.58306611755796,1
1357.9712171083918,-3.4127384301788544,-93.44029666317294,1
1385.1306414505596,-3.673578930485583,-94.33333147268056,1
1412.8332542795708,-3.9477091776651134,-95.48751437163689,1
1441.0899193651624,-4.234750858221134,-96.22592785385581,1
1469.9117177524656,-4.54013641977499,-96.8328844130516,1
1499.3099521075148,-4.849636226643947,-97.5273209398245,1
1529.296151149665,-5.081689597346658,-98.63106921028661,1
1559.8820741726583,-5.295318219863157,-99.26726778324444,1
1591.0797156561116,-5.586161785752323,-100.152213658426,1
1622.9013099692338,-5.90810067366637,-101.11241673717831,1
1655.3593361686185,-6.118760146954645,-101.73300329215374,1
1688.466522891991,-6.333170427190486,-102.19451072221966,1
1722.235853349831,-6.67262269541096,-103.14089403986242,1
1756.6805704168275,-6.83721767756871,-103.76438475861524,1
1791.814181825164,-7.158077629230924,-104.70683739133725,1
1827.6504654616674,-7.372853970384993,-105.3727749280207,1
1864.2034747709008,-7.660998593113799,-106.06565563466309,1
1901.4875442663188,-7.886439018334431,-106.60966931157871,1
1939.5172951516452,-8.179687070303451,-107.61984960674701,1
1978.307641054678,-8.391771194932144,-108.24016533146197,1
2017.8737938757715,-8.688816758482739,-108.81260555548047,1
2058.231269753287,-8.919133118794758,-110.37137766195997,1
2099.395895148353,-9.325861081115146,-112.41138288909252,1
2141.38381305132,-9.52233278096217,-112.30067738482524,1
2184.211489312346,-9.639109098775744,-111.31144191261802,1
2227.895719098593,-9.795768461711893,-110.69657405937426,1
2272.453633480565,-10.10375095235107,-112.22979012443534,1
2317.902706150176,-10.43461026646702,-115.05932077177184,1
2364.2607602731796,-10.735041793012943,-116.41325666354689,1
2411.5459754786434,-10.858339568115815,-115.41049203655527,1
2459.776894988216,-11.036337116682564,-114.54258422997529,1
2508.9724328879806,-11.342103161988657,-115.53576204025393,1
2559.1518815457403,-11.692829568721193,-118.06639637256097,1
2610.334919176655,-11.94750497809627,-119.02946259484935,1
2662.541617560188,-12.16459327021481,-118.1322154607388,1
2715.792449911392,-12.334965123731324,-118.02300044262257,1
2770.10829890962,-12.586873440874259,-119.90994493803015,1
2825.5104648878123,-12.89296475251099,-122.01526220417429,1
2882.0206741855686,-13.140181478640358,-121.91625205178616,1
2939.66108766928,-13.376906610449462,-121.08217396103899,1
2998.4543094226656,-13.626535535922255,-121.95835112162837,1
3058.423395611119,-13.919198432341615,-124.38632221629655,1
3119.591863523341,-14.184264748709396,-124.54849799209613,1
3181.983700793808,-14.43619519593756,-123.72091517471122,1
3245.6233748096843,-14.676544171984776,-125.43110501479347,1
3310.535842305878,-14.936280468079275,-127.51779780392206,1
3376.7465591519954,-15.324410572703915,-128.1914807624686,1
3444.2814903350354,-15.47916710400256,-127.2802338681289,1
3513.167120141736,-15.741199653501901,-128.88097793599417,1
3583.430462544571,-15.965974462433186,-130.2525541020127,1
3655.099071795463,-16.23790849106091,-129.25448322076753,1
3728.201053231372,-16.53906576883963,-130.61124228980725,1
3802.7650742959995,-16.802376117601955,-132.47320556035703,1
3878.8203757819197,-17.049837583955515,-132.05270138634256,1
3956.396783297558,-17.30126485050782,-132.41592043823508,1
4035.5247189635093,-17.5805821850882,-134.52392193815837,1
4116.235213342779,-17.879364346295773,-134.38828252668765,1
4198.559917609635,-18.174075668863175,-135.05375970479236,1
4282.531115961828,-18.425978533704544,-137.3976572725338,1
4368.181738281064,-18.698136451941004,-137.16121453731535,1
4455.545373046685,-18.975788104025355,-138.35831791694704,1
4544.656280507619,-19.283266602855072,-139.51408843247367,1
4635.5494061177715,-19.61113056760523,-139.9545177290734,1
4728.260394240127,-19.822432212125204,-141.13116821888354,1
4822.82560212493,-20.157151962628536,-141.99896762810005,1
4919.2821141674285,-20.45078509884508,-142.7490854236169,1
5017.667756450777,-20.726583005550186,-144.51778388425691,1
5118.021111579793,-20.952900343336687,-145.64707137565838,1
5220.381533811389,-21.325765289971184,-147.03080515082019,1
5324.789164487617,-21.67282659924772,-146.50442860635602,1
5431.28494777737,-21.987207008291723,-146.92409757237363,1
5539.9106467329175,-22.29577128008206,-148.23038293561657,1
5650.708859667576,-22.43258013239358,-149.524024309875,1
5763.723036860927,-22.65852512745263,-149.934794683771,1
5878.997497598146,-23.113450993886048,-150.47766373370644,1
5996.577447550108,-23.48514945078552,-151.02926226203243,1
6116.508996501111,-23.723131403732776,-152.3255469307966,1
6238.839176431134,-24.032808064399745,-153.0644083458743,1
6363.615959959757,-24.31628971564432,-153.7836806113625,1
6490.888279158952,-24.77775227379018,-154.37339893939694,1
6620.706044742132,-24.745675114657274,-155.61527500506884,1
6753.120165636975,-25.1519743601276,-157.1958338820644,1
6888.182568949715,-25.495644117033578,-157.05773185670648,1
7025.946220328709,-25.87940820829804,-158.43938762555683,1
7166.4651447352835,-26.127650148546547,-159.36251034175703,1
7309.794447629989,-26.522770542944116,-159.72864121144656,1
7455.9903365825885,-26.851402308858948,-158.31704849609685,1
7605.11014331424,-27.147131524188403,-161.38555571452255,1
7757.212346180525,-27.504360083567065,-161.07514204902114,1
7912.356593104136,-27.700811686626466,-161.84243558936146,1
8070.603724966219,-27.938567691951338,-162.90523875531176,2
8232.015799465544,-28.498791016610816,-166.30313452722854,2
8396.656115454854,-28.881118583886153,-165.2799767549248,2
8564.589237763952,-28.91497428840473,-167.3363574507655,2
8735.881022519232,-29.137246677322572,-166.65452655035475,2
8910.598642969617,-29.65509803584825,-168.55493623248327,2
9088.810615829008,-30.059211674648825,-169.78618195979328,2
9270.58682814559,-30.302465664466844,-170.6564742346538,2
9455.998564708501,-30.798663058481125,-170.76990244091456,2
9645.118536002672,-30.810584539993428,-173.31953386464477,2
9838.020906722726,-31.183940604264272,-173.54518949561412,2
10034.78132485718,-31.588687245149963,-175.34375106919072,2
10235.476951354323,-31.873177090947507,-177.1258543308649,2
10440.18649038141,-32.17164095132266,-178.34628151935934,2
10648.990220189038,-32.636746833045216,-179.66027658746876,2
10861.97002459282,-33.229784990474656,179.42894132833504,2
11079.209425084677,-33.76086463302569,176.58784779371436,2
11300.793613586371,-33.71689519360367,174.47587683794654,2
11526.809485858099,-34.27964820983413,175.0460215001337,2
11757.345675575261,-34.61244163403142,173.50602061005267,2
11992.492589086767,-34.75518350520991,167.69009752209698,2
12232.342440868502,-35.2737288566157,166.23976310410325,2
12476.989289685873,-35.64993089126702,166.18654720557024,2
12726.52907547959,-36.22427579662901,163.39892718413643,2
12981.059656989182,-37.03681533674332,160.257825263889,2
13240.680850128967,-36.33919092887019,155.9161448762621,2
13505.494467131546,-37.13531242402725,154.3649581337746,2
13775.604356474178,-37.22776017455464,150.13026261187633,2
14051.116443603662,-37.67149919020326,143.37425773720759,2
14332.138772475735,-37.94125616592154,144.09674923081434,2
14618.78154792525,-38.343748482893126,141.56103855792654,2
14911.157178883755,-38.75095921550474,134.98683068040833,2
15209.380322461431,-38.99743052508357,134.01983891032364,2
15513.56792891066,-39.310335078994314,127.45163988707266,2
15823.839287488872,-39.48107270535483,127.37240661885104,2
16140.31607323865,-39.49544633035825,126.10692379190482,2
16463.122394703423,-39.98010411732221,120.85092510480996,2
16792.38484259749,-40.36307461689352,120.85734681941108,2
17128.23253944944,-39.30536003869122,118.13444424668037,2
