Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.33789573595206,88.80879207242239,1
40.8,-24.21815733717847,88.45821157536597,1
41.616,-23.98788724518221,88.23575103023194,1
42.44832,-23.84723270329888,87.10599287566009,1
43.297286400000004,-23.842366163572333,87.36818948189085,1
44.163232128000004,-23.41469186623817,87.88655245324661,1
45.046496770560005,-23.299484986588784,86.92792901749183,1
45.9474267059712,-23.023969073185334,88.50106835724074,1
46.866375240090626,-23.061422024176938,86.11514917065983,1
47.80370274489244,-22.784249767398087,87.8935205515835,1
48.75977679979029,-22.552634223565402,89.71778452273168,1
49.7349723357861,-22.40122612033937,87.82736650257561,1
50.72967178250182,-22.17328940209524,86.78421903028368,1
51.74426521815185,-22.060956807919485,88.11471469660343,1
52.77915052251489,-21.809914928967284,87.26501316756355,1
53.83473353296519,-21.696862445161063,87.43024707396937,1
54.911428203624496,-21.428458683566873,87.04886377182629,1
56.00965676769699,-21.465738157026607,86.87323476370588,1
57.12984990305093,-21.15762941958157,88.24196029590473,1
58.27244690111195,-21.206672675633243,88.09590240363733,1
59.437895839134185,-20.852116947731027,87.42209447124723,1
60.62665375591687,-20.78798295404169,86.7347591850318,1
61.83918683103521,-20.414070461611228,86.72687741743164,1
63.075970567655915,-20.117829374962888,86.8975281400396,1
64.33748997900904,-20.15659811409739,87.27552509759528,1
65.62423977858921,-20.140944583899916,86.70910284475077,1
66.936724574161,-19.598824330261063,87.20027613120573,1
68.27545906564423,-19.76020721946287,86.95299158956034,1
69.64096824695712,-19.379999044053452,87.5121595343427,1
71.03378761189626,-19.432999260310364,86.48699503398885,1
72.45446336413418,-19.154372836678633,87.7308361113798,1
73.90355263141687,-18.970770446946936,86.87248700289412,1
75.38162368404521,-18.822232479234167,86.64550244693017,1
76.88925615772611,-18.624169945902803,86.24846689110336,1
78.42704128088063,-18.594491812984405,86.72297037069322,1
79.99558210649825,-18.28233994491194,86.27071383803734,1
