Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.491066033565648,85.88538328752789,1
40.8,-21.24462419168482,86.40391286757108,1
41.616,-21.096979197489805,86.19960050805079,1
42.44832,-20.95955686941052,85.16737651811208,1
43.297286400000004,-20.854329492110082,85.47676956270212,1
44.163232128000004,-20.66305796768041,85.61553424450062,1
45.046496770560005,-20.4574049965047,85.8129889422762,1
45.9474267059712,-20.18837917518344,85.19526910655412,1
46.866375240090626,-20.031398740519172,85.09740405621028,1
47.80370274489244,-19.9540888618616,84.56689481399242,1
48.75977679979029,-19.54794702449074,84.94376607408867,1
49.7349723357861,-19.544567276385948,84.9595967413107,1
50.72967178250182,-19.430067348743083,85.300817278414,1
51.74426521815185,-19.184155400073166,85.14775363919341,1
52.77915052251489,-18.999559217449733,85.03122644314305,1
53.83473353296519,-19.06010128227805,84.83240414946994,1
54.911428203624496,-18.517728771748715,85.17051428248735,1
56.00965676769699,-18.59636880671784,84.36999691891609,1
57.12984990305093,-18.20915678232416,84.68258134698738,1
58.27244690111195,-18.221055830991126,84.44900536362707,1
59.437895839134185,-17.994428372836794,84.26137989007817,1
60.62665375591687,-17.87529015206778,84.05018403006608,1
61.83918683103521,-17.57058845549321,84.10820177808091,1
63.075970567655915,-17.617807285352047,83.76586690424983,1
64.33748997900904,-17.21303917041416,83.91898670926571,1
65.62423977858921,-17.224775658857588,83.71277417466123,1
66.936724574161,-16.949633696185554,83.50155903167376,1
68.27545906564423,-16.84140585429042,83.21101929530863,1
69.64096824695712,-16.50602177882147,83.72106665844505,1
71.03378761189626,-16.561819255258378,83.07776798357617,1
72.45446336413418,-16.188384366368194,83.11294007526948,1
73.90355263141687,-15.9997472651793,82.76033082830496,1
75.38162368404521,-15.949523699522505,83.08579295077435,1
76.88925615772611,-15.629595722714173,82.50150153248859,1
78.42704128088063,-15.655030183855654,82.00584380870842,1
79.99558210649825,-15.377024745190367,82.31053453176123,1
81.59549374862821,-15.16159081103562,82.49542455572669,1
83.22740362360078,-15.068399855868439,82.04432329603029,1
84.8919516960728,-14.836486823804107,81.9111225883087,1
86.58979072999425,-14.620572792894357,81.50676574702106,1
88.32158654459414,-14.494245139261334,81.43822902965036,1
90.08801827548602,-14.312449767238483,81.396884684312,1
91.88977864099574,-14.047700308620527,81.19741071937892,1
93.72757421381566,-13.946321898062267,80.63917365590936,1
95.60212569809197,-13.84220738250331,80.79438833665998,1
97.5141682120538,-13.62686606575793,80.56547025204655,1
99.46445157629488,-13.355587577417516,80.53669764642856,1
101.45374060782078,-13.145379182736505,80.03599091327948,1
103.4828154199772,-13.070980129506852,79.71742747141147,1
105.55247172837674,-12.84976850793693,79.51136775006313,1
107.66352116294428,-12.804653285789104,79.05821797693966,1
109.81679158620317,-12.393179381972274,79.37600551148394,1
112.01312741792724,-12.424336951131806,79.07432526201751,1
114.25338996628578,-12.034716663109204,78.97553001824258,1
116.5384577656115,-12.041387741537445,78.20948962035725,1
118.86922692092372,-11.751085890874952,78.58405262348683,1
121.2466114593422,-11.617098240323413,77.89789739397676,1
123.67154368852906,-11.328626191198236,78.05740013185095,1
126.14497456229964,-11.25997344989214,77.48975461933476,1
128.66787405354563,-10.999248297632835,77.53302955355659,1
131.24123153461656,-10.924050008727784,76.80151113842155,1
133.8660561653089,-10.585297780085899,76.55839109063504,1
136.54337728861506,-10.576712991816871,76.08147666756143,1
139.27424483438736,-10.205841668880897,76.24685250099317,1
