Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.342504792241126,87.45483788597647,1
40.8,-22.08084179045567,88.33881916516953,1
41.616,-21.92004916139283,87.81165905578904,1
42.44832,-21.62525315044301,88.21487335864147,1
43.297286400000004,-21.61756764160604,88.20265569919954,1
44.163232128000004,-21.389195862713272,88.09137686959343,1
45.046496770560005,-21.188326149251036,87.59614002657887,1
45.9474267059712,-20.971146425667918,87.6361749536679,1
46.866375240090626,-20.785201006039625,88.36178908475239,1
47.80370274489244,-20.690817807470747,87.15403361737874,1
48.75977679979029,-20.587479871555026,89.1146874611648,1
49.7349723357861,-20.32365751689435,87.3204729117107,1
50.72967178250182,-19.932285778871837,87.74536585412841,1
51.74426521815185,-19.961088691128577,87.96792074740586,1
52.77915052251489,-19.585773034034755,87.11505052944892,1
53.83473353296519,-19.763892048154435,86.6598225487372,1
54.911428203624496,-19.419128844017546,88.31504348865084,1
56.00965676769699,-19.356334785597266,87.20706495736295,1
57.12984990305093,-19.084560909277116,87.6775996470185,1
58.27244690111195,-19.031131394759203,87.14659930730714,1
59.437895839134185,-18.776142103349034,86.99728540900213,1
60.62665375591687,-18.768967513869576,87.35922525013045,1
61.83918683103521,-18.439582292252886,87.22014729291078,1
63.075970567655915,-18.60873458355673,86.85399528414702,1
64.33748997900904,-17.957652677540302,87.33479394996004,1
65.62423977858921,-18.047854220339698,86.66411656714733,1
66.936724574161,-17.726987359896707,86.72248558603474,1
68.27545906564423,-17.66572864197885,86.75293871399563,1
69.64096824695712,-17.285778915239238,86.4182026563922,1
71.03378761189626,-17.3462198237905,86.55406308087271,1
72.45446336413418,-17.052973941963117,86.61609058120507,1
73.90355263141687,-16.87000887204738,86.73842336135007,1
75.38162368404521,-16.80210522084077,85.84421248599362,1
76.88925615772611,-16.530769572908554,85.89422965042547,1
78.42704128088063,-16.46934565269009,86.15914025657713,1
79.99558210649825,-16.217207234865306,86.3766885789432,1
81.59549374862821,-16.03880641615702,86.13770661021982,1
83.22740362360078,-15.898644333622098,85.79502161393827,1
84.8919516960728,-15.647990531347142,85.79549031189502,1
86.58979072999425,-15.516683756793379,85.9458637181462,1
88.32158654459414,-15.439494706361488,85.99156927242872,1
90.08801827548602,-15.224637937881088,85.94581900028874,1
91.88977864099574,-14.943996243278509,85.84328127689054,1
93.72757421381566,-14.88204266954515,85.56741461471626,1
95.60212569809197,-14.793751028989478,85.36912533581221,1
97.5141682120538,-14.594807284524135,85.22010440413807,1
99.46445157629488,-14.327216565636087,85.13720702280062,1
101.45374060782078,-14.128828966202544,85.4133068425067,1
103.4828154199772,-14.09302347810792,84.70685128839483,1
105.55247172837674,-13.782667322183084,85.01763692858202,1
107.66352116294428,-13.76657318954186,84.72457537557443,1
109.81679158620317,-13.364861180625164,85.08319344235969,1
112.01312741792724,-13.426495928245863,84.36023399540599,1
114.25338996628578,-13.034235458802035,84.9323482966958,1
116.5384577656115,-13.035388453600579,84.34190271407849,1
118.86922692092372,-12.766625765967014,84.1711261083493,1
121.2466114593422,-12.67917036724621,83.85695525291263,1
123.67154368852906,-12.403383441030606,83.74457334275291,1
126.14497456229964,-12.366387043572283,83.81489080602692,1
128.66787405354563,-12.109610783870005,84.0217630253262,1
131.24123153461656,-12.044590834132173,83.6121379596206,1
133.8660561653089,-11.689614605217777,83.50326235820592,1
136.54337728861506,-11.689871212852855,83.29325456148881,1
139.27424483438736,-11.355196425698674,83.46055849179676,1
142.05972973107512,-11.300513429996549,82.89498804640672,1
144.90092432569662,-11.116092504828076,83.04618986528902,1
147.79894281221056,-10.967137471815448,82.56586310169148,1
150.75492166845476,-10.831681731414731,82.8796028973413,1
153.77002010182386,-10.48863753351464,82.62114195869191,1
156.84542050386034,-10.490578312020745,82.16855332690469,1
159.98232891393755,-10.21257408157041,82.14070693989173,1
163.1819754922163,-10.052231538062868,82.30461519592677,1
166.44561500206063,-10.00990897182453,81.87862300990797,1
169.77452730210186,-9.746704693053454,81.70822623959735,1
173.17001784814389,-9.500662500570263,81.7993160089681,1
176.63341820510678,-9.462528308604206,81.52751646785305,1
180.16608656920891,-9.268480970282472,81.3530492334512,1
183.76940830059308,-8.998758556648523,81.23674350786871,1
187.44479646660494,-8.894795420439026,81.07831638683132,1
191.19369239593703,-8.80751150795668,80.72162400585258,1
195.01756624385578,-8.545149765378861,80.40331770425621,1
198.9179175687329,-8.352494148519913,80.35674318587593,1
202.89627592010754,-8.140061835781678,80.36492371997622,1
206.9542014385097,-8.021088460722037,80.02261048584828,1
211.09328546727988,-7.9038475783609945,79.74129022968444,1
215.31515117662548,-7.836275424246257,79.37178037972328,1
219.62145420015798,-7.449436881036473,79.61884758697563,1
224.01388328416115,-7.488612418108843,78.8377356525259,1
228.49416094984437,-7.097675401424057,79.32172345231334,1
233.06404416884126,-7.102710434056956,78.71752237666888,1
237.7253250522181,-6.772994213787065,78.62834768860121,1
