Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.800923706970245,88.36271100605101,1
40.8,-20.661712785757107,88.50602787099388,1
41.616,-20.58352769910723,89.19537060210058,1
42.44832,-20.42261771329967,89.0197428423303,1
43.297286400000004,-20.31350818294334,89.3916219148609,1
44.163232128000004,-20.020963986428136,89.10683366197026,1
45.046496770560005,-19.85374103140179,88.58961393105784,1
45.9474267059712,-19.658457902946544,87.69328550325558,1
46.866375240090626,-19.62814219914833,88.5417142992672,1
47.80370274489244,-19.280567867411282,88.21317291724021,1
48.75977679979029,-19.09688153300108,87.10111189926755,1
49.7349723357861,-19.008007131833985,89.13721390220164,1
50.72967178250182,-18.876466870406425,88.92375173936739,1
51.74426521815185,-18.717940505646435,89.07977678687007,1
52.77915052251489,-18.38384947668619,88.90547836357445,1
53.83473353296519,-18.360038258050213,88.59469855059815,1
54.911428203624496,-17.93497270919286,88.40536265424959,1
56.00965676769699,-17.97480051126787,89.19412191180231,1
57.12984990305093,-17.55547977177554,88.60335403117273,1
58.27244690111195,-17.491340028633257,88.69551452230101,1
59.437895839134185,-17.318287464489455,88.6417213306723,1
60.62665375591687,-17.0956520116624,88.15417209016849,1
61.83918683103521,-16.833625517395355,87.88663098723384,1
63.075970567655915,-16.98625545730675,88.09505204615473,1
64.33748997900904,-16.558229931280703,88.66504605589333,1
65.62423977858921,-16.469147734838756,88.18038040719003,1
66.936724574161,-16.326606857664338,88.81205430166716,1
68.27545906564423,-16.192217178882498,87.90495605257892,1
69.64096824695712,-15.830294455961129,88.0881226731724,1
71.03378761189626,-15.898647143137662,88.27635506057058,1
72.45446336413418,-15.605709931260247,88.32979702617206,1
73.90355263141687,-15.535928562863036,87.33998276171536,1
75.38162368404521,-15.319435479729371,88.20298002349205,1
76.88925615772611,-15.007473310105253,88.01220097333066,1
78.42704128088063,-15.063694217082862,87.90023771870955,1
79.99558210649825,-14.777203126109384,88.20012493289393,1
81.59549374862821,-14.610898799632809,88.11348283514042,1
83.22740362360078,-14.491607486142891,87.87953999178455,1
84.8919516960728,-14.221334867960856,87.89822247436268,1
86.58979072999425,-14.070757777944591,88.40231933745224,1
88.32158654459414,-13.979722885117916,87.89660522513739,1
90.08801827548602,-13.707499654163835,87.06510572626853,1
91.88977864099574,-13.514177279463821,87.9706105503422,1
93.72757421381566,-13.346102248443046,87.62346638556077,1
95.60212569809197,-13.284632572254264,87.47153978334691,1
97.5141682120538,-13.196864360528492,87.76751799980343,1
99.46445157629488,-12.930938915990254,87.09376552940377,1
101.45374060782078,-12.688006174663922,87.41811295221117,1
103.4828154199772,-12.726148109368237,87.076351095883,1
105.55247172837674,-12.441455763072746,87.32750407127821,1
107.66352116294428,-12.408752017088297,86.88798998182396,1
109.81679158620317,-12.067128894067093,87.22338340286221,1
112.01312741792724,-12.03624843127656,86.47959620441995,1
114.25338996628578,-11.723617493866213,87.11349591382083,1
116.5384577656115,-11.713698711398271,86.86946286457277,1
118.86922692092372,-11.393998028347838,87.2855502384242,1
121.2466114593422,-11.2424194870373,86.74605394629585,1
123.67154368852906,-10.963539135521826,86.85640394289283,1
126.14497456229964,-10.911349153535111,86.82332982099601,1
128.66787405354563,-10.639552510617888,86.6120984438318,1
131.24123153461656,-10.575682691333654,86.58639705682039,1
133.8660561653089,-10.235786023388997,86.7653790351169,1
136.54337728861506,-10.237783057987764,86.05822780407236,1
139.27424483438736,-9.893914287205307,86.27512766052976,1
142.05972973107512,-9.929231015590847,86.29142322037973,1
144.90092432569662,-9.627123232766968,86.43244931767009,1
147.79894281221056,-9.529202136429062,86.34340755530843,1
150.75492166845476,-9.358352528908595,86.27684343688361,1
153.77002010182386,-9.065433859087001,86.30348682258688,1
156.84542050386034,-9.036433403789111,85.9814711082571,1
159.98232891393755,-8.795644804384494,86.27279980669628,1
163.1819754922163,-8.59830081157155,85.99277694588255,1
166.44561500206063,-8.54430978951581,85.31998293132425,1
169.77452730210186,-8.280151273394676,85.64130451716882,1
173.17001784814389,-8.116604941727806,85.63495517987593,1
176.63341820510678,-8.015046249140447,85.44428825708633,1
180.16608656920891,-7.885111819163345,85.37070250425839,1
183.76940830059308,-7.55313675447403,85.32310347796192,1
187.44479646660494,-7.435233538240927,85.12906853651975,1
191.19369239593703,-7.377316029830868,84.92556916839013,1
195.01756624385578,-7.163015176137762,84.98866898810199,1
198.9179175687329,-6.935081684367898,84.92222849495786,1
202.89627592010754,-6.779830107164285,84.72082875808212,1
206.9542014385097,-6.643949788452557,84.59046468441795,1
211.09328546727988,-6.563203302388432,84.6531784704203,1
215.31515117662548,-6.405441714888023,84.25790658604336,1
219.62145420015798,-6.0167261951530895,84.57025006955533,1
224.01388328416115,-6.095268258496797,83.93249469355604,1
228.49416094984437,-5.721629895852384,84.06228277787488,1
233.06404416884126,-5.737661515716911,83.74368428142276,1
237.7253250522181,-5.403766770666955,83.82599272684459,1
242.47983155326247,-5.412635270677032,83.46474773328691,1
247.32942818432772,-5.10913920106589,83.8828273360449,1
252.27601674801429,-5.107395273483691,83.37723199999641,1
257.3215370829746,-4.80189097571336,83.43089063864221,1
262.4679678246341,-4.739463800387751,83.28599350476608,1
267.7173271811268,-4.452404456623778,83.05805162511768,1
273.07167372474936,-4.431203643725683,82.72324088720234,1
278.53310719924434,-4.129759057889851,82.86005443285752,1
284.10376934322926,-4.107551118085625,82.47035996106811,1
289.78584473009386,-3.8181357242182297,82.65940325765553,1
295.5815616246957,-3.7089186707818147,82.28430012468347,1
301.4931928571896,-3.5926385271974812,82.21354670921393,1
307.52305671433345,-3.308666721387407,82.36131491920196,1
