Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.271327725384896,-91.60057106264463,2
41.6,-29.023400714177182,-93.79486210660811,2
43.264,-28.394325913037303,-92.13127741739663,2
44.99456000000001,-28.148501717923047,-94.52527301231805,2
46.79434240000001,-27.7192666362301,-91.93550473711005,2
48.66611609600002,-27.40872261249481,-93.86942026348176,2
50.61276073984002,-27.300258418233785,-92.33838508288181,2
52.637271169433625,-26.56370722198528,-91.60699927870962,2
54.742762016210975,-26.206583641398506,-94.5790759443133,2
56.93247249685942,-25.913851397305155,-95.00998103105806,2
59.2097713967338,-25.705047077887368,-94.88949978049136,2
61.57816225260316,-25.354873767431652,-95.13956753161109,2
64.04128874270728,-25.121826844517024,-94.66549540506816,2
66.60294029241557,-24.592079438160578,-95.93870470981255,2
69.26705790411219,-23.89192582555356,-95.75903972535619,2
72.03774022027669,-23.61830110532612,-94.3390587749297,1
74.91924982908776,-23.114121902154352,-95.38195959969784,2
77.91601982225127,-22.723995725239572,-95.55480880610314,1
81.03266061514132,-22.202097085741084,-95.74153852362497,1
84.27396703974698,-21.7146155999864,-96.40205674482077,1
87.64492572133686,-21.51454581963245,-95.8923615776829,1
91.15072275019034,-21.090001215089348,-96.34751304723483,1
94.79675166019796,-20.818928215406135,-96.73417146515838,1
98.58862172660588,-20.395515404879564,-97.50248940477104,1
102.53216659567012,-20.036407246041485,-96.93269148642595,1
106.63345325949693,-19.819314345995593,-97.7414275618166,1
110.89879138987682,-19.35517046564359,-97.96026609610192,1
115.3347430454719,-18.89014819162807,-98.49577949717394,1
119.94813276729077,-18.513980230772177,-98.90072181154638,1
124.74605807798241,-18.16815851196594,-99.01622989767236,1
129.7359004011017,-17.816173783949115,-98.63485516406774,1
134.9253364171458,-17.582470256007404,-99.7267292397625,1
140.32234987383163,-17.220003677958896,-100.39878331705495,1
145.9352438687849,-16.97692933280886,-100.73067343546299,1
151.7726536235363,-16.66438014176495,-100.8031462380502,1
157.84355976847777,-16.129147330690234,-101.88162590873017,1
164.1573021592169,-15.746025882280332,-101.42723983765671,1
170.7235942455856,-15.554844827539966,-102.17027512502614,1
177.55253801540903,-15.098864454266238,-102.49729873112224,1
184.6546395360254,-14.768986563772073,-103.3219639983744,1
