Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.46048889836261,-91.62221611335235,2
41.6,-28.000245401010663,-93.51759502818868,2
43.264,-28.1078694097937,-93.71510733994965,2
44.99456000000001,-27.504079681330094,-91.54490312790423,2
46.79434240000001,-27.07263658521042,-92.62469367578213,2
48.66611609600002,-26.296455014673786,-91.75935058255385,2
50.61276073984002,-26.053283607040182,-92.5035261116593,2
52.637271169433625,-25.778536649066886,-91.4406165003931,2
54.742762016210975,-25.218575633975103,-91.52573305427683,2
56.93247249685942,-25.17222869707781,-92.97065647845656,2
59.2097713967338,-24.64768946363968,-92.41626412072368,2
61.57816225260316,-24.449899445346713,-92.58481480489392,2
64.04128874270728,-24.034435445635747,-93.35637495641092,2
66.60294029241557,-23.84030811696376,-91.68350855246592,2
69.26705790411219,-23.26952244620704,-93.84218108047995,1
72.03774022027669,-22.966897495648528,-93.56893886686291,2
74.91924982908776,-22.82075492593015,-93.54405379521893,2
77.91601982225127,-22.521688670589846,-93.95890731005684,1
81.03266061514132,-22.023764169119048,-92.89620745618487,1
84.27396703974698,-21.556242844064812,-93.27430413347395,1
87.64492572133686,-21.30087629412298,-94.05504879074464,1
91.15072275019034,-20.62946546703101,-93.28959634316811,1
94.79675166019796,-20.193105338827795,-94.39225470127016,1
98.58862172660588,-19.757586731636007,-94.11558074646338,1
102.53216659567012,-19.523352002852043,-94.0370399639245,1
106.63345325949693,-19.05201064356959,-93.55693993176331,1
110.89879138987682,-18.642204395262155,-94.03215586608115,1
115.3347430454719,-18.266920962134453,-94.24058968626642,1
119.94813276729077,-17.88624216715774,-94.41756692914514,1
124.74605807798241,-17.55402359506253,-94.68996461690038,1
129.7359004011017,-17.204855583765905,-94.55921018385723,1
134.9253364171458,-16.892437337241535,-94.63863363154518,1
140.32234987383163,-16.498546163232064,-94.4961769200027,1
145.9352438687849,-16.39535770115093,-95.89986293536197,1
151.7726536235363,-16.198125641734258,-95.81944311798992,1
157.84355976847777,-15.851271741268018,-96.23577122421408,1
164.1573021592169,-15.500939392826313,-96.24101022358226,1
170.7235942455856,-15.200741402472222,-96.19830595338601,1
177.55253801540903,-14.947382024519785,-96.61878595084349,1
184.6546395360254,-14.424219666554855,-96.95874381157647,1
192.04082511746643,-14.082912352194072,-97.02543377792091,1
199.72245812216508,-13.827803429238534,-97.26554380110906,1
207.71135644705168,-13.387459081191517,-97.62471489295187,1
216.01981070493375,-13.229550275087458,-98.5016590421842,1
224.6606031331311,-12.914127498652173,-98.58857363571548,1
233.64702725845635,-12.571146811922468,-98.89263001019663,1
242.9929083487946,-12.204922341972917,-98.87166816037234,1
252.7126246827464,-11.904242416787412,-99.71056934272589,1
262.8211296700563,-11.499075298405895,-100.17478535770908,1
273.33397485685856,-11.144161571949526,-100.19738363126618,1
284.2673338511329,-10.83991791411063,-100.78725561688918,1
295.6380272051782,-10.375006916173954,-100.22825750752324,1
307.4635482933854,-10.004815870518526,-101.26419427236047,1
319.7620902251208,-9.656285072696118,-101.29408679310767,1
332.55257383412567,-9.523479869206176,-102.43568846563994,1
345.8546767874907,-9.182633963327678,-102.7702189447652,1
359.6888638589903,-8.789238499045563,-103.12204926755425,1
374.0764184133499,-8.63459953492304,-104.09933358021823,1
389.0394751498839,-8.212805881636342,-104.33912911979358,1
404.6010541558793,-7.874174433662469,-104.91246976278106,1
420.7850963221145,-7.634577554791683,-105.47551479902347,1
437.6165001749991,-7.157139390799776,-105.49176677131206,1
455.1211601819991,-6.80829427051155,-106.35623359794155,1
473.3260065892791,-6.513064602700448,-106.81116617470325,1
492.25904685285025,-6.1547420466675185,-107.27104659333563,1
511.9494087269643,-5.928997115795012,-108.29415721262927,1
532.4273850760429,-5.5058047499550415,-108.76940900845517,1
553.7244804790846,-5.062644630834125,-109.05800174130636,1
575.873459698248,-4.680901018949941,-109.56229435312619,1
