Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.827060818320668,-93.01080116626639,2
41.6,-26.616356558644107,-91.82009753365728,2
43.264,-26.38277790184151,-89.97198014083108,2
44.99456000000001,-26.041551135657258,-89.53862653704391,2
46.79434240000001,-25.859038192156962,-91.88319921664633,2
48.66611609600002,-25.394962192955266,-92.74816464131335,2
50.61276073984002,-24.747007311437198,-90.94823449655789,2
52.637271169433625,-24.471484880762866,-90.19693056354393,2
54.742762016210975,-24.26444585066403,-90.93236366263201,2
56.93247249685942,-23.817764801098804,-92.76609447595486,2
59.2097713967338,-23.464105705484645,-91.41527348669194,2
61.57816225260316,-23.324758105261232,-91.15880501135571,2
64.04128874270728,-22.907279037525207,-91.36474305634182,2
66.60294029241557,-22.532425881103347,-91.46805917583788,2
69.26705790411219,-21.955480395289573,-91.59214627750443,1
72.03774022027669,-21.64754546882318,-92.10936182201323,1
74.91924982908776,-21.396840416581725,-92.30401358218339,1
77.91601982225127,-21.131638992695564,-92.62092623116955,1
81.03266061514132,-20.742451342490362,-92.42179730038828,1
84.27396703974698,-20.22071002255228,-92.28590473397624,1
87.64492572133686,-20.06884182959749,-92.34300760754212,1
91.15072275019034,-19.67955102579597,-92.12037301820766,1
94.79675166019796,-19.402025283912806,-92.56788520516412,1
98.58862172660588,-19.070066332997392,-92.60020325955615,1
102.53216659567012,-18.741624352723363,-92.36113608151996,1
106.63345325949693,-18.38465733495701,-94.018035522737,1
110.89879138987682,-17.984545848846768,-92.961004461426,1
115.3347430454719,-17.627257436589442,-92.73785834124381,1
119.94813276729077,-17.128777880507066,-92.95715132759435,1
124.74605807798241,-16.83209776352369,-93.1740831975535,1
129.7359004011017,-16.49886883670802,-93.26327791481127,1
134.9253364171458,-16.139200732283417,-93.30693426988192,1
140.32234987383163,-15.960229940583249,-93.90185940078716,1
145.9352438687849,-15.705972382919564,-93.93649695765313,1
151.7726536235363,-15.408757181854789,-94.3967313874806,1
157.84355976847777,-15.105243061390805,-93.87582465508794,1
164.1573021592169,-14.61836131259675,-94.49478457179521,1
170.7235942455856,-14.396991645422132,-94.79304223656538,1
177.55253801540903,-14.12330198358754,-95.06249516892143,1
184.6546395360254,-13.893266830299043,-95.08821263344153,1
192.04082511746643,-13.27307004994033,-94.93488029657493,1
199.72245812216508,-12.887731099009615,-95.29969672368873,1
207.71135644705168,-12.489178233895847,-95.02743802433804,1
216.01981070493375,-12.33505578520339,-95.23421614527328,1
224.6606031331311,-11.974251602068476,-95.69219635035853,1
233.64702725845635,-11.622891713452013,-96.13793968990254,1
242.9929083487946,-11.295497275338397,-96.11524753817622,1
252.7126246827464,-11.08285311241476,-96.70654336951551,1
262.8211296700563,-10.74692336112934,-97.04038491023715,1
273.33397485685856,-10.641011116979955,-97.46877396036992,1
284.2673338511329,-10.185448937722493,-97.81621493991327,1
295.6380272051782,-9.713027535456359,-97.79677005073032,1
307.4635482933854,-9.272332763592866,-97.8564254826413,1
319.7620902251208,-9.03177420359876,-98.45893335875682,1
332.55257383412567,-8.819512122230137,-99.00279063873545,1
345.8546767874907,-8.440221571519949,-99.09486395050871,1
359.6888638589903,-8.079850773304356,-99.48359536240821,1
374.0764184133499,-7.742460649720609,-99.73209011336961,1
389.0394751498839,-7.395777983821392,-99.91908780385288,1
404.6010541558793,-7.049232574422769,-100.20359191421386,1
420.7850963221145,-6.873159287538898,-101.18159096373284,1
437.6165001749991,-6.40199967325522,-101.08481695594996,1
455.1211601819991,-6.066559498579861,-101.22214922795881,1
473.3260065892791,-5.828869819467624,-102.20315860717994,1
492.25904685285025,-5.519115215207768,-102.49107537055801,1
511.9494087269643,-5.255595517601951,-103.10276682747497,1
532.4273850760429,-4.901876006877376,-103.56202734782136,1
553.7244804790846,-4.461512896363721,-103.6082768480548,1
575.873459698248,-4.104487527047164,-104.23225271207819,1
598.908398086178,-3.753918883378169,-104.44448863919969,1
622.8647340096251,-3.465421364218776,-105.23292238733636,1
647.77932337001,-3.150514783226125,-105.44965229638956,1
673.6904963048105,-2.844183850880474,-106.35116556830647,1
700.638116157003,-2.5298433396898563,-106.74959031971511,1
728.6636408032831,-2.283610364014114,-107.52547128383502,1
757.8101864354145,-1.9969693873049863,-108.35170708965254,1
788.1225938928311,-1.6330274040269863,-108.57018621293092,1
819.6474976485443,-1.217530870584388,-108.94432438397418,1
852.4333975544862,-0.9792146430744826,-109.84175983004351,1
886.5307334566656,-0.5511491408238619,-110.25335248075856,1
921.9919627949323,-0.23542928913233396,-110.76526240756625,1
958.8716413067297,0.0036572599594599923,-111.94744828765471,1
997.2265069589989,0.30861137931902755,-112.77751521663845,1
1037.1155672373588,0.6941463047050341,-113.4079259221111,1
1078.6001899268533,0.9073345112436003,-114.2053465341545,1
1121.7441975239276,1.2747327599630076,-115.24078827954887,1
1166.6139654248848,1.6345425337401616,-115.97938166165936,1
1213.2785240418802,1.9440654344583812,-117.01173998490373,1
1261.8096650035554,2.3055172022661785,-117.85081724437622,1
1312.2820516036977,2.6527879271653285,-118.4242355263872,1
1364.7733336678457,2.9762425218291546,-119.58544770024619,1
1419.3642670145596,3.262597934718103,-120.82558926827826,1
1476.138837695142,3.6063642028866525,-121.8009225851317,1
1535.1843912029478,3.953062313074022,-122.97174581200684,1
1596.5917668510658,4.222446755071621,-124.32928961327221,1
1660.4554375251084,4.540097030376951,-125.90702511376574,1
1726.8736550261128,4.769198917645067,-127.74496286183972,1
1795.9486012271575,4.955040958584613,-130.11849888651935,1
1867.786545276244,5.566074406754673,-130.1336014278471,1
1942.4980070872937,6.085602504231193,-130.8353049046629,1
2020.1979273707855,6.47230536479723,-132.37316092400712,1
2101.005844465617,6.828967424249517,-135.8878801893225,1
2185.046078244242,7.241208431512413,-135.47647601249474,1
2272.4479213740115,7.6774492286268226,-137.30752866215562,1
2363.345838228972,8.179595803739323,-140.83415880461735,1
2457.879671758131,8.616065860144785,-140.4484656826705,1
2556.194858628456,9.014798072347203,-144.9340483413611,1
2658.4426529735942,9.157967440945363,-148.25597481797527,1
2764.780359092538,9.462282193921785,-152.31147608183363,1
