Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.88223939462597,89.46506824626724,2
41.6,-26.17010822283055,87.84121707485252,2
43.264,-25.64628250101206,88.09390436605196,2
44.99456000000001,-25.514034480238106,89.18438732547871,2
46.79434240000001,-25.136117370679383,88.78253949191458,2
48.66611609600002,-24.5771772410274,87.65295181814702,2
50.61276073984002,-24.384324789575263,88.74642174444824,2
52.637271169433625,-23.908121750176353,88.99393151637344,2
54.742762016210975,-23.710667277315824,90.09007119912641,2
56.93247249685942,-23.465893366048096,89.36909104839833,1
59.2097713967338,-23.047669761977406,88.95351951854406,1
61.57816225260316,-22.822091706056124,89.76016535503396,2
64.04128874270728,-22.231349533926863,88.56150726861107,1
66.60294029241557,-21.9352304935568,87.17232545143136,1
69.26705790411219,-21.640528593557484,88.29853185058907,1
72.03774022027669,-21.250939810051605,88.09194803659454,1
74.91924982908776,-20.906789089057238,87.69190669778149,1
77.91601982225127,-20.7251818181634,88.08599269848523,1
81.03266061514132,-20.18795197309627,88.15367543984564,1
84.27396703974698,-19.863035141849767,88.86409295670981,1
87.64492572133686,-19.608515091060077,87.85064052374027,1
91.15072275019034,-19.343456866506997,87.83069532877302,1
94.79675166019796,-18.87953579328635,87.3762404763258,1
98.58862172660588,-18.602272437224645,87.41368623240079,1
102.53216659567012,-18.2826860982395,87.53608207117689,1
106.63345325949693,-18.04220175751534,87.54999125813957,1
110.89879138987682,-17.572991582109676,87.70852988193161,1
115.3347430454719,-17.19617430854698,87.24378144517232,1
119.94813276729077,-16.79383243171208,87.51275802066226,1
124.74605807798241,-16.501092577702646,87.5994835900371,1
129.7359004011017,-16.202069411427225,86.85913258305195,1
134.9253364171458,-15.785073650059546,86.8316713824367,1
140.32234987383163,-15.436922451185154,85.99874823301552,1
145.9352438687849,-15.265062524282863,86.73580238003538,1
151.7726536235363,-14.978183759005056,86.12210155946354,1
157.84355976847777,-14.526665097117725,86.54653349507147,1
164.1573021592169,-14.130563794462471,86.0598788584183,1
170.7235942455856,-13.884322527825745,85.81756948589174,1
177.55253801540903,-13.50534895997068,86.21249553264458,1
184.6546395360254,-13.134923600451643,85.73103065920219,1
192.04082511746643,-12.878931201305068,85.89460226889132,1
199.72245812216508,-12.54120732988009,85.63244835287298,1
207.71135644705168,-12.154614562353476,85.56151489393204,1
216.01981070493375,-11.905197016572258,84.88264098198808,1
224.6606031331311,-11.628827874431629,84.83607166631651,1
233.64702725845635,-11.263596224152549,84.43150526181384,1
242.9929083487946,-10.915202796367355,84.13702776556447,1
252.7126246827464,-10.533522723032693,84.24813920747671,1
262.8211296700563,-10.237271709580822,84.02342534560542,1
273.33397485685856,-9.90647106511578,83.89490732376197,1
284.2673338511329,-9.555640102208029,83.25102741374805,1
295.6380272051782,-9.174753243812699,83.39926725342912,1
307.4635482933854,-8.811689935010488,83.3026349520942,1
319.7620902251208,-8.482906049371266,83.03479073861428,1
332.55257383412567,-8.247326717441158,82.59783873657831,1
345.8546767874907,-7.786323561794986,82.23046962459006,1
359.6888638589903,-7.439438299340096,82.06651562279868,1
374.0764184133499,-7.226207663043575,81.7084378307589,1
389.0394751498839,-6.83407602430589,81.19925762767639,1
404.6010541558793,-6.5237971010258615,81.30331692952977,1
420.7850963221145,-6.251333183422945,80.72824385534236,1
437.6165001749991,-5.807775802639607,80.44380823863074,1
455.1211601819991,-5.439355238061704,80.21319742880628,1
473.3260065892791,-5.193415954395143,79.90673519841359,1
492.25904685285025,-4.901427256939375,79.54873692610472,1
511.9494087269643,-4.622979475838591,78.82469125216224,1
532.4273850760429,-4.2714800797442125,78.6966809441424,1
