Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.694425622727557,-90.59364424593707,2
41.6,-26.079847337259714,-93.1724217230704,2
43.264,-25.9924083245883,-92.4656492681296,2
44.99456000000001,-25.46036757322657,-91.61820473664903,2
46.79434240000001,-25.138807688799947,-90.59258554115311,2
48.66611609600002,-24.851049837809143,-92.12706388134785,2
50.61276073984002,-24.470557335277938,-92.29641348332919,1
52.637271169433625,-23.803310942916696,-92.94780593388246,2
54.742762016210975,-23.60058510634719,-92.29963582144313,2
56.93247249685942,-23.287249267538524,-93.43394143892542,1
59.2097713967338,-23.121866745074794,-93.04240552330252,2
61.57816225260316,-22.71316100586549,-93.59445157455144,1
64.04128874270728,-22.18608428181333,-93.38952517289022,1
66.60294029241557,-21.945013164174824,-93.6790234976769,1
69.26705790411219,-21.686393060693053,-92.3532761704954,1
72.03774022027669,-21.14187593837609,-93.19603231810241,1
74.91924982908776,-20.958574463772482,-94.09566292967011,1
77.91601982225127,-20.6225643294595,-93.94147642180629,1
81.03266061514132,-20.330120447613933,-94.1419529946204,1
84.27396703974698,-19.869308460909348,-94.64906874765767,1
87.64492572133686,-19.637055292596962,-94.0409089354732,1
91.15072275019034,-19.280919248428688,-94.25690321787988,1
94.79675166019796,-18.892592694980177,-93.3185638289491,1
98.58862172660588,-18.62918221186682,-94.34851180169545,1
102.53216659567012,-18.260784318861983,-94.89161813871128,1
106.63345325949693,-17.960365606916703,-95.76051544733193,1
110.89879138987682,-17.57972226793333,-95.13181757306499,1
115.3347430454719,-17.17528622057427,-94.99360145000938,1
119.94813276729077,-16.651124732440664,-95.27434245423231,1
124.74605807798241,-16.382931634222338,-95.73020786318283,1
129.7359004011017,-16.07014448215725,-96.30415912246761,1
134.9253364171458,-15.585993081463172,-96.09963347214435,1
140.32234987383163,-15.41694092401078,-96.49944646735966,1
145.9352438687849,-15.101886538852618,-97.15586732559143,1
151.7726536235363,-14.833862421256235,-96.94936665579485,1
157.84355976847777,-14.364351319577374,-97.65603105501116,1
164.1573021592169,-13.98051882339223,-97.02480270931767,1
170.7235942455856,-13.694020096742307,-97.84476772998721,1
177.55253801540903,-13.265895579258942,-98.4235756101166,1
184.6546395360254,-12.893343390275326,-98.68305365236625,1
192.04082511746643,-12.56641979418113,-99.0027717640632,1
199.72245812216508,-12.171562548375809,-99.65977884464007,1
