Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.292558749119088,-92.23760954029643,2
41.6,-26.73056656079782,-92.08743959279462,2
43.264,-26.463838260620825,-92.38885130889274,2
44.99456000000001,-26.479337246087283,-89.8322901319038,2
46.79434240000001,-25.362708866020736,-91.33740178843703,2
48.66611609600002,-25.257605043561153,-93.08031489063262,2
50.61276073984002,-24.894260669334958,-91.9729470458922,2
52.637271169433625,-24.6495353859213,-91.03089941321912,2
54.742762016210975,-24.465056954471077,-92.0370660925287,2
56.93247249685942,-24.195683238473823,-92.28971861321304,2
59.2097713967338,-23.935701481382804,-91.97241548531005,2
61.57816225260316,-23.611549593801133,-90.95425962557289,2
64.04128874270728,-23.214536597084333,-91.31671650029607,1
66.60294029241557,-22.90674411676279,-93.42785159551522,1
69.26705790411219,-22.574633579834195,-92.11981414929426,1
72.03774022027669,-22.10528183803748,-92.59436448333298,1
74.91924982908776,-22.041753015033,-92.38299322698137,1
77.91601982225127,-21.51463060928852,-92.57518100548582,1
81.03266061514132,-21.37939770073357,-92.93319053766874,1
84.27396703974698,-20.831484012420347,-92.84814955110366,1
87.64492572133686,-20.61532167901503,-92.38510126230071,1
91.15072275019034,-20.273091172216894,-93.21233904005572,1
94.79675166019796,-19.62026529026175,-92.66744248477431,1
98.58862172660588,-19.387746195315575,-93.42842341058406,1
102.53216659567012,-19.180111594973862,-92.80816141932121,1
106.63345325949693,-18.97748052217299,-93.89738108541697,1
110.89879138987682,-18.51112618442646,-94.08159986470929,1
115.3347430454719,-18.148783665479023,-94.02082444629077,1
119.94813276729077,-17.782866006940175,-93.83599498402894,1
124.74605807798241,-17.357063072631114,-93.99713216306436,1
129.7359004011017,-17.00791506244484,-95.03107634626431,1
134.9253364171458,-16.75063544905966,-93.86215550155202,1
140.32234987383163,-16.51889015568406,-94.92569702930386,1
145.9352438687849,-16.109825835671447,-94.81136584367984,1
151.7726536235363,-15.817274028401123,-95.15532825927926,1
157.84355976847777,-15.546226529275216,-95.12990203570685,1
164.1573021592169,-15.066986947297886,-95.2670154721626,1
170.7235942455856,-14.82993755450781,-96.2751182136293,1
177.55253801540903,-14.383562869355716,-95.67874275900223,1
184.6546395360254,-14.037865543625948,-95.72142740298983,1
192.04082511746643,-13.664922981571342,-95.83701125459936,1
199.72245812216508,-13.387773622809178,-96.32837491817531,1
207.71135644705168,-12.958642692373338,-96.69424189044027,1
216.01981070493375,-12.698918841354658,-97.06161483534176,1
224.6606031331311,-12.388710878078559,-97.37881683037898,1
233.64702725845635,-12.00196242865239,-97.2536232983225,1
242.9929083487946,-11.644894374300637,-97.72267566516643,1
252.7126246827464,-11.324819604284418,-97.91448894917666,1
262.8211296700563,-10.968420365275136,-98.24980678578686,1
273.33397485685856,-10.62703160518712,-98.71016534184254,1
284.2673338511329,-10.314937237761598,-98.98570243480998,1
295.6380272051782,-9.860584505715039,-99.40911875178574,1
307.4635482933854,-9.439922746616016,-99.40361693654826,1
319.7620902251208,-9.126707478624866,-99.8264130663085,1
332.55257383412567,-8.923785698373482,-100.52055145629122,1
345.8546767874907,-8.482599723784846,-100.748273536849,1
359.6888638589903,-8.171907377454502,-100.98909506002997,1
374.0764184133499,-7.884168427336449,-101.60556065558406,1
389.0394751498839,-7.488101631719342,-102.03119922696924,1
404.6010541558793,-7.128684241015662,-102.46989788214222,1
420.7850963221145,-6.9200284715826985,-103.24120396899616,1
437.6165001749991,-6.468219280759318,-103.88705940164009,1
455.1211601819991,-6.145821117440695,-104.23969134999959,1
473.3260065892791,-5.921025856659529,-105.08264814185135,1
492.25904685285025,-5.6498733824102185,-105.95514528230305,1
511.9494087269643,-5.3687117585516795,-106.81870432361532,1
532.4273850760429,-4.956153606952738,-107.30726314301887,1
553.7244804790846,-4.525789738859162,-107.73063068198127,1
575.873459698248,-4.158247510520983,-108.4208733582522,1
598.908398086178,-3.812044899833657,-109.03877773053766,1
622.8647340096251,-3.4602366590032188,-110.01972362245724,1
647.77932337001,-3.1541154015898574,-110.71071111896774,1
673.6904963048105,-2.750012771217542,-111.31026842799623,1
700.638116157003,-2.386461539467815,-111.92085703405644,1
728.6636408032831,-1.9827795345985306,-112.46599388374946,1
757.8101864354145,-1.6295033206367848,-112.9582796114857,1
788.1225938928311,-1.0753255410223665,-112.81215260687051,1
819.6474976485443,-0.595326529217134,-113.33741920590754,1
852.4333975544862,-0.2988663083711497,-114.21378675005201,1
886.5307334566656,0.10461088358080242,-114.89658832909886,1
