Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.284383986702032,-89.9155795714164,1
41.6,-25.888800034477416,-90.75200524162844,2
43.264,-25.598408048501465,-91.60810419080018,2
44.99456000000001,-25.24848144889411,-88.65729847793976,2
46.79434240000001,-24.955875382729193,-91.76506390970455,2
48.66611609600002,-24.388168618082986,-90.12054569285337,1
50.61276073984002,-24.08962436184469,-91.5037194855772,1
52.637271169433625,-23.703644506120895,-91.4489756509651,1
54.742762016210975,-23.2285193362251,-90.31094252708884,1
56.93247249685942,-22.950620936195616,-90.87205759876818,1
59.2097713967338,-22.758089878799098,-90.38264387635336,1
61.57816225260316,-22.33570972353049,-94.83536846200465,1
64.04128874270728,-22.015092894446354,-90.8118081041383,1
66.60294029241557,-21.66181704429871,-91.09207581736393,1
69.26705790411219,-21.304692714513994,-91.17521319840334,1
72.03774022027669,-20.924410494216385,-91.13843352951608,1
74.91924982908776,-20.646632483462913,-91.4540266064312,1
77.91601982225127,-20.417058089777473,-91.28334947510312,1
81.03266061514132,-20.079910209370485,-91.60273715375848,1
84.27396703974698,-19.56185063628197,-91.37923331917258,1
87.64492572133686,-19.308494939211627,-92.07676600937303,1
91.15072275019034,-18.849980316616428,-91.23790646590248,1
94.79675166019796,-18.611997378314726,-92.38592709967354,1
98.58862172660588,-18.30057365940673,-91.77887592825493,1
102.53216659567012,-17.956865089888247,-91.4870658043924,1
106.63345325949693,-17.728342693046095,-92.330078587455,1
110.89879138987682,-17.237640741348354,-91.89303712410975,1
115.3347430454719,-16.787557368396076,-91.94852391040018,1
119.94813276729077,-16.4596880595229,-92.15704485585846,1
124.74605807798241,-16.047851707102968,-92.01116958513957,1
129.7359004011017,-15.828340335021057,-92.35314598917333,1
134.9253364171458,-15.49259333881969,-92.02725299738894,1
140.32234987383163,-15.237467606184163,-94.16867143015759,1
145.9352438687849,-14.901196768756401,-92.99977462841296,1
151.7726536235363,-14.632270487823936,-92.45479302116581,1
157.84355976847777,-14.410734252247243,-91.94305659538541,1
164.1573021592169,-13.797157786229725,-92.78705416372944,1
170.7235942455856,-13.564180824891638,-93.08103923190896,1
177.55253801540903,-13.203523178719555,-92.95623485812179,1
184.6546395360254,-12.819241291822289,-93.08720603563287,1
192.04082511746643,-12.548161730168072,-93.32014616248495,1
199.72245812216508,-12.149800092020032,-93.62070482816148,1
207.71135644705168,-11.769556121463024,-93.72219719107575,1
216.01981070493375,-11.568055992188102,-93.31516537039639,1
224.6606031331311,-11.262609989804206,-94.07322503708792,1
233.64702725845635,-10.880091547086781,-94.55121423562332,1
242.9929083487946,-10.572157411184346,-94.13334945749824,1
252.7126246827464,-10.212552500796406,-94.83085309719227,1
262.8211296700563,-9.889172750822029,-94.76331164789616,1
273.33397485685856,-9.543879521762467,-95.07002719924756,1
284.2673338511329,-9.203606201805965,-95.29191159046474,1
295.6380272051782,-8.815966247047355,-95.31237212108458,1
307.4635482933854,-8.34345105631604,-95.34368435759669,1
319.7620902251208,-8.07403267431881,-95.56649391131344,1
332.55257383412567,-7.831083418026834,-95.8699234954693,1
345.8546767874907,-7.377834179788305,-96.13368308940817,1
359.6888638589903,-7.02528140170131,-96.16220817785141,1
374.0764184133499,-6.758948878952814,-96.38949631652977,1
389.0394751498839,-6.3871355008615,-96.81487876905274,1
404.6010541558793,-6.082595418617691,-96.99758655990172,1
420.7850963221145,-5.7691460800855,-97.29206157904525,1
437.6165001749991,-5.345144273487262,-97.68843295802887,1
455.1211601819991,-5.0051826263980885,-97.73836388768697,1
473.3260065892791,-4.720817683395935,-98.16389136572231,1
492.25904685285025,-4.39686623254066,-98.66088640248833,1
511.9494087269643,-4.164015323341537,-99.14742716323912,1
532.4273850760429,-3.799494775516212,-99.38161332776167,1
553.7244804790846,-3.363870604836014,-99.50341146943003,1
575.873459698248,-2.954114750300474,-99.88875440759793,1
598.908398086178,-2.618422067746728,-99.97006339678144,1
622.8647340096251,-2.2606725647202532,-100.53909800252,1
647.77932337001,-1.9467715432118589,-100.87968900620626,1
673.6904963048105,-1.6279990146247998,-101.38041040165352,1
700.638116157003,-1.3141649344191604,-102.02241961274831,1
728.6636408032831,-1.0749167899649916,-102.56821031355102,1
757.8101864354145,-0.7841093746153682,-103.00223762574865,1
788.1225938928311,-0.3474544361855528,-103.47111632902838,1
819.6474976485443,0.06986200916969316,-103.75066181226845,1
852.4333975544862,0.28965048053158426,-104.50850404931325,1
886.5307334566656,0.6874327051742918,-105.12116947354164,1
921.9919627949323,1.061733212520961,-105.39544019033428,1
958.8716413067297,1.3376035218937974,-106.09805478161093,1
997.2265069589989,1.7116633368039456,-106.85225604856521,1
1037.1155672373588,2.092569325649856,-107.31959799140263,1
1078.6001899268533,2.346793937096201,-108.21794794972443,1
1121.7441975239276,2.6961205142960902,-108.90149194863372,1
1166.6139654248848,3.0938259528321,-109.574154279244,1
1213.2785240418802,3.437367063862104,-110.35986931122308,1
1261.8096650035554,3.77999275897095,-110.95755425554015,1
1312.2820516036977,4.108620472977608,-111.79154975200697,1
1364.7733336678457,4.462519183951257,-112.72703710740875,1
1419.3642670145596,4.752452391927503,-113.6019730633455,1
1476.138837695142,5.117003981478755,-114.45857959265246,1
1535.1843912029478,5.534547458542107,-115.18360814576762,1
1596.5917668510658,5.831433467074485,-116.57229201845132,1
1660.4554375251084,6.256771766898445,-117.37711894923858,1
1726.8736550261128,6.599179860156576,-118.35044530007168,1
1795.9486012271575,6.926561499935633,-119.76929507719638,1
1867.786545276244,7.317562591831139,-120.88230566366558,1
1942.4980070872937,7.6651920072117825,-122.20192897960195,1
2020.1979273707855,8.10443898442663,-123.45101644684965,1
2101.005844465617,8.443860196113992,-126.67662184906101,1
2185.046078244242,8.925363505588763,-125.71353774903578,1
2272.4479213740115,9.340920188366914,-127.28357988449814,1
2363.345838228972,9.74028292919127,-130.69075713504344,1
2457.879671758131,10.171705913382981,-129.71547766026345,1
2556.194858628456,10.6441407613399,-133.59875978759453,1
