Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.338706251120946,86.99821707608245,1
40.8,-21.976125659002328,87.03102800326258,1
41.616,-22.014168097900512,86.2859613639768,1
42.44832,-21.69962219183814,85.94401715543204,1
43.297286400000004,-21.681877968791298,85.94379582421905,1
44.163232128000004,-21.507869389770377,87.27560651289788,1
45.046496770560005,-21.198033305366337,85.26181776149537,1
45.9474267059712,-20.987052798332414,85.85514189072083,1
46.866375240090626,-20.97916049918565,86.83937306613268,1
47.80370274489244,-20.685845257318256,86.40203089074227,1
48.75977679979029,-20.570772324091386,86.57564754864217,1
49.7349723357861,-20.33389245818696,86.04561542279235,1
50.72967178250182,-20.185661580153415,86.6247387198336,1
51.74426521815185,-19.83467115520541,85.7324459360905,1
52.77915052251489,-19.67548801143527,85.7591767241014,1
53.83473353296519,-19.64183022071696,86.33432846427125,1
54.911428203624496,-19.218053885397943,86.64846694380572,1
56.00965676769699,-19.284725902750186,85.19292461593201,1
57.12984990305093,-18.895915396873672,85.67519811051648,1
58.27244690111195,-18.977586839617803,84.49968396767503,1
59.437895839134185,-18.599333548950295,85.17400149037387,1
60.62665375591687,-18.50288176510611,84.8437387076458,1
61.83918683103521,-18.29160614047788,85.08470637596349,1
63.075970567655915,-18.122514568325407,84.36745266105342,1
64.33748997900904,-17.810895094015734,85.14536444202128,1
65.62423977858921,-17.80915787624511,84.49060869146278,1
66.936724574161,-17.554362465545033,84.24364841861268,1
68.27545906564423,-17.558210740485016,84.6037632808162,1
69.64096824695712,-17.1834346547261,84.45557307354971,1
71.03378761189626,-17.222286144882062,83.77301119630732,1
72.45446336413418,-16.82787747343216,84.54031530354524,1
73.90355263141687,-16.715087448530277,84.13170858723282,1
75.38162368404521,-16.530039522840205,83.74240712885003,1
76.88925615772611,-16.29317665767091,83.570438052378,1
78.42704128088063,-16.283837901034996,83.33412101901698,1
79.99558210649825,-15.955906795634407,83.29006245122626,1
81.59549374862821,-15.857864064298,83.38337806671694,1
83.22740362360078,-15.718218342297517,82.89011764145485,1
84.8919516960728,-15.46037247369121,83.09065908580693,1
86.58979072999425,-15.26822144265256,82.90636439750222,1
88.32158654459414,-15.182485329343784,82.70856235443738,1
90.08801827548602,-14.96929002586442,82.43880170588568,1
91.88977864099574,-14.735359406433282,82.37891273231179,1
93.72757421381566,-14.653180492867119,82.0516602253093,1
95.60212569809197,-14.449452973636049,81.71666616997368,1
97.5141682120538,-14.256528756497005,81.69264374165368,1
99.46445157629488,-13.99113801990674,82.12081591409398,1
101.45374060782078,-13.841349328666203,81.3509296996209,1
103.4828154199772,-13.70788786328892,81.16704164222004,1
105.55247172837674,-13.38692205849694,81.36607234998979,1
