Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.038208211551428,88.90407938330006,1
40.8,-22.972913143967947,88.3817037990284,1
41.616,-22.800503030756413,88.96892274689824,1
42.44832,-22.560330323569655,89.25995008544226,1
43.297286400000004,-22.46405070823547,88.40287220749228,1
44.163232128000004,-22.20643333773652,88.50305780201961,1
45.046496770560005,-22.06374086263744,88.85313162871616,1
45.9474267059712,-21.820514530899967,88.99081087885892,1
46.866375240090626,-21.69363004075332,87.44704227303077,1
47.80370274489244,-21.659765156396958,88.54949725025602,1
48.75977679979029,-21.405928818542602,87.70078984135432,1
49.7349723357861,-21.09250195175181,89.50416217971778,1
50.72967178250182,-20.879748304350393,87.68330155147294,1
51.74426521815185,-20.79677183634155,88.65162431248947,1
52.77915052251489,-20.62745596920051,88.77349960047678,1
53.83473353296519,-20.62541287047099,88.17438135845853,1
54.911428203624496,-20.22043719835216,88.03116814153634,1
56.00965676769699,-20.339401670825655,88.76311253605564,1
57.12984990305093,-19.93109860435776,88.01971842524449,1
58.27244690111195,-19.912549230762195,88.57078217669546,1
59.437895839134185,-19.656143569949226,88.17067895704258,1
60.62665375591687,-19.620224886484674,88.19652992251639,1
61.83918683103521,-19.24364762698767,87.96534130018892,1
63.075970567655915,-19.18950311433087,88.13159408236288,1
64.33748997900904,-18.973302962164578,87.86220208956077,1
65.62423977858921,-18.95979845803749,87.31252542726237,1
66.936724574161,-18.460237109667354,88.52957138113106,1
68.27545906564423,-18.52890624105289,87.67507079150663,1
69.64096824695712,-18.15925578623111,87.86146371586483,1
71.03378761189626,-18.231237822832465,87.36696371437941,1
72.45446336413418,-17.81540114072922,87.79969558508401,1
73.90355263141687,-17.810267145467893,87.6407325043632,1
75.38162368404521,-17.614700557232627,87.4265291034352,1
76.88925615772611,-17.363056543529062,87.94214899225022,1
78.42704128088063,-17.35885902585596,86.5210571953935,1
79.99558210649825,-17.068452637326825,87.41789088014012,1
81.59549374862821,-16.772438052865525,87.70569287552075,1
83.22740362360078,-16.85589744864039,86.99576669094483,1
84.8919516960728,-16.561264218503467,87.48821872118302,1
86.58979072999425,-16.378746192900916,87.27503631640593,1
88.32158654459414,-16.271583439389058,87.13698475551243,1
90.08801827548602,-16.05863887296951,86.43554520258158,1
91.88977864099574,-15.7495894866697,87.28144130401347,1
93.72757421381566,-15.725783491268437,86.67508172978731,1
95.60212569809197,-15.552733424332168,86.64569587208923,1
97.5141682120538,-15.405334962294399,86.73554727754323,1
99.46445157629488,-15.1001819349712,86.99742866989362,1
101.45374060782078,-14.934320579108743,86.38682544691369,1
103.4828154199772,-14.878347331480791,86.17613935898528,1
105.55247172837674,-14.64880692457191,86.7027442680494,1
107.66352116294428,-14.671351884010797,85.94418735540948,1
109.81679158620317,-14.250653566167728,86.98503744396359,1
112.01312741792724,-14.230704570857142,86.05793857016779,1
114.25338996628578,-13.895857159884654,86.18742865860037,1
116.5384577656115,-13.907302830729588,86.00709507350427,1
118.86922692092372,-13.57029908286809,86.08916541595764,1
121.2466114593422,-13.480552573766381,85.84993367827707,1
123.67154368852906,-13.266797097379351,85.3503359224544,1
126.14497456229964,-13.192612180907012,85.64984705038854,1
128.66787405354563,-12.864430488975795,85.75090393538326,1
131.24123153461656,-12.8584270253715,85.83322146682448,1
133.8660561653089,-12.548189061293192,85.44516226889237,1
136.54337728861506,-12.526395897696199,85.34045404518858,1
139.27424483438736,-12.21453476736261,85.24487201154855,1
