Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.23595074451115,89.79978132594644,1
40.8,-21.836479371828695,88.66727784997778,1
41.616,-21.930127593210663,88.68332714220642,1
42.44832,-21.703505005969664,89.43619014227576,1
43.297286400000004,-21.55221726263409,88.46473353504379,1
44.163232128000004,-21.185427585504733,90.07155327624035,1
45.046496770560005,-21.18030900466412,89.14538266080802,1
45.9474267059712,-20.583215903957203,91.50464952338129,1
46.866375240090626,-20.65215074418259,93.13052689586965,1
47.80370274489244,-20.52310101777719,89.1538820071253,1
48.75977679979029,-20.449021267820243,89.59700647862854,1
49.7349723357861,-20.2715571232413,89.31127213541376,1
50.72967178250182,-20.04661448999196,89.55407162814191,1
51.74426521815185,-19.803167770249363,88.28333116391161,1
52.77915052251489,-19.630870419231364,88.48220049891773,1
53.83473353296519,-19.75277239313661,85.11054536109302,1
54.911428203624496,-19.282614967788874,89.94633252884819,1
56.00965676769699,-19.27026366861531,88.086727548221,1
57.12984990305093,-18.94342271506544,89.2711725187911,1
58.27244690111195,-18.968360060989674,88.96393503626538,1
59.437895839134185,-18.644364656787584,89.47202348420949,1
60.62665375591687,-18.605112964455493,88.86833241304835,1
61.83918683103521,-18.34714279615748,89.06505815879922,1
63.075970567655915,-18.236993808291583,88.58858221162117,1
64.33748997900904,-17.883642320374932,88.55369474109294,1
65.62423977858921,-18.02192419001271,89.05421973206019,1
66.936724574161,-17.59526585509158,88.95900223402549,1
68.27545906564423,-17.59759543858836,88.54324846574502,1
69.64096824695712,-17.25406621345099,88.65779669153314,1
71.03378761189626,-17.24420966701268,88.54399191576157,1
72.45446336413418,-16.905990721397057,88.95809806060652,1
73.90355263141687,-16.887908677237903,89.07383976447534,1
75.38162368404521,-16.676985298862807,88.5975608250255,1
76.88925615772611,-16.432108058613785,88.69278157674995,1
78.42704128088063,-16.292238162944685,88.4139543026185,1
79.99558210649825,-16.111544051112766,88.41729871541315,1
81.59549374862821,-16.130796236990488,89.24173391213151,1
83.22740362360078,-15.887517451728359,88.15273515500367,1
84.8919516960728,-15.514834486990782,89.00921266143447,1
86.58979072999425,-15.391672082689793,88.44376571578681,1
88.32158654459414,-15.34467875852955,88.3880336763585,1
90.08801827548602,-15.160148607793646,88.15335537527919,1
91.88977864099574,-14.89404270667934,88.0450806263807,1
93.72757421381566,-14.9424881894617,89.56148321932137,1
95.60212569809197,-14.661401524932357,88.12337961324951,1
97.5141682120538,-14.434867572018195,88.18625604963108,1
99.46445157629488,-14.143821589119531,88.37467549293689,1
101.45374060782078,-14.106462841951062,88.27078762697863,1
103.4828154199772,-13.908573699821723,88.11526953611369,1
105.55247172837674,-13.434403852044404,88.40327018064067,1
107.66352116294428,-13.603535359778837,87.00906209921534,1
