Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.052878670529836,-92.77111288543347,2
40.8,-27.60687730763774,-92.31991947174662,2
41.616,-27.570368131553433,-91.37058626480224,2
42.44832,-27.455947506054972,-91.93392280737658,2
43.297286400000004,-27.22330532549561,-91.85258840747257,2
44.163232128000004,-26.991240394801046,-93.47120817968289,2
45.046496770560005,-26.87862675136873,-92.44946884078546,2
45.9474267059712,-26.518645228126516,-94.04408949185813,2
46.866375240090626,-26.563651540082798,-90.88421393035972,2
47.80370274489244,-26.447422471196983,-93.17945182409737,2
48.75977679979029,-26.171287307742958,-91.04544995134006,2
49.7349723357861,-25.772168874520514,-93.03153797627883,2
50.72967178250182,-25.877360415291108,-94.1666698061746,2
51.74426521815185,-25.77111258168272,-93.82434938141171,2
52.77915052251489,-25.76480288401811,-92.53027419791415,2
53.83473353296519,-25.324574466192434,-92.46264491012096,2
54.911428203624496,-24.932220098765345,-92.91248603888542,1
56.00965676769699,-25.019955907626045,-92.34211561173777,2
57.12984990305093,-24.770788093809195,-92.00403396509853,2
58.27244690111195,-24.590573923691483,-92.72804077740189,2
59.437895839134185,-24.487791432336213,-92.53708175462906,2
60.62665375591687,-24.390426740918457,-92.51064333355396,2
61.83918683103521,-23.985068882791666,-93.0926752004789,2
63.075970567655915,-23.928691342555638,-93.3396106450566,2
64.33748997900904,-23.660166894872145,-93.26707753094432,2
65.62423977858921,-23.725148746158705,-93.91467237496931,2
66.936724574161,-23.23240770618128,-93.3521228530773,1
68.27545906564423,-23.325868007860528,-94.06082559125294,1
69.64096824695712,-23.012496612477403,-94.03018831283282,2
71.03378761189626,-23.014195903083003,-93.37682647850687,2
72.45446336413418,-22.432839788951668,-93.4487955719851,1
73.90355263141687,-22.548478608671036,-93.12281386289948,1
75.38162368404521,-22.385303945489717,-94.00724655756028,1
76.88925615772611,-22.146621483595275,-93.7323044703129,1
78.42704128088063,-22.19677880372965,-94.57112109969475,1
79.99558210649825,-21.77349637813606,-94.52719552844539,1
81.59549374862821,-21.703953940372358,-94.14013500552052,1
83.22740362360078,-21.513322056333223,-95.19418257083555,1
84.8919516960728,-21.274604447312228,-93.83637149228458,1
86.58979072999425,-21.0714883218065,-94.98944591180424,1
88.32158654459414,-21.169674727629413,-94.07735953709685,1
90.08801827548602,-20.858169884351224,-93.78383927352206,1
91.88977864099574,-20.517762139755472,-94.26823566933288,1
93.72757421381566,-20.460809645256006,-94.758749081093,1
95.60212569809197,-20.40541603074795,-94.81784630569268,1
