Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.350730747542237,-90.85359104209925,2
40.8,-28.27590099410503,-91.90660230390019,2
41.616,-28.080373628877204,-92.5038375774221,2
42.44832,-27.80316327994914,-92.95508432953233,2
43.297286400000004,-27.69676373988438,-89.81603426666945,2
44.163232128000004,-27.350682182313214,-92.87957029667535,2
45.046496770560005,-27.426727798111752,-90.80480959075774,2
45.9474267059712,-26.924716764459376,-91.76887922355127,2
46.866375240090626,-27.09728900070943,-90.16729056312387,2
47.80370274489244,-26.875039754430226,-92.41501269206387,2
48.75977679979029,-26.47531437042505,-90.19477425585502,2
49.7349723357861,-26.377953846016915,-92.67108561469391,2
50.72967178250182,-26.287189359262715,-92.27048168573327,2
51.74426521815185,-25.935144872274112,-92.4552734795243,2
52.77915052251489,-25.797692351794915,-92.12228114768067,2
53.83473353296519,-25.73156801089887,-88.74121606562852,2
54.911428203624496,-25.528683187713867,-91.41081003371666,2
56.00965676769699,-25.511709757942985,-90.87805479862345,1
57.12984990305093,-25.317142120459902,-91.14291739464358,2
58.27244690111195,-25.1802561168477,-90.96603569140366,2
59.437895839134185,-24.710461064766925,-91.76774278748533,1
60.62665375591687,-24.75235283386704,-91.6777149655016,2
61.83918683103521,-24.464245359897088,-91.50685165430323,1
63.075970567655915,-24.250816436998907,-91.28043484784529,1
64.33748997900904,-24.118472764236436,-92.13514513655404,1
65.62423977858921,-24.082711991278533,-91.69648449308875,1
66.936724574161,-23.868145516986157,-91.27539632686,2
68.27545906564423,-23.783067699165578,-91.978715736086,2
69.64096824695712,-23.529643278372973,-91.42542950399523,1
71.03378761189626,-23.39168147641807,-91.87408371377802,1
72.45446336413418,-23.02058442200505,-91.7112719451316,1
73.90355263141687,-23.018842684058686,-92.33974818865724,1
75.38162368404521,-22.82854755130375,-92.14407483600951,1
76.88925615772611,-22.52220825116936,-91.32342281017992,1
78.42704128088063,-22.46945955455459,-92.20644502477683,1
79.99558210649825,-22.21853912700074,-92.40269615770649,1
81.59549374862821,-22.08401905359124,-91.61511180776473,1
83.22740362360078,-21.947563464209438,-92.06384759561043,1
84.8919516960728,-21.782606231903664,-92.04884076508438,1
86.58979072999425,-21.499128187743995,-91.10763181577438,1
88.32158654459414,-21.48267215335489,-93.47937151367213,1
90.08801827548602,-21.31548025898001,-92.86720979392987,1
91.88977864099574,-21.1380052279294,-92.37752109355031,1
93.72757421381566,-20.86378707815296,-93.16908206455776,1
95.60212569809197,-20.80280000803767,-93.12413260474801,1
97.5141682120538,-20.529974974913486,-93.18096052202681,1
99.46445157629488,-20.378459086797804,-93.06053052394078,1
101.45374060782078,-20.214914242248653,-92.00361531375448,1
103.4828154199772,-20.067324764459595,-93.15629914551485,1
105.55247172837674,-19.91529342487759,-93.0762918626561,1
107.66352116294428,-19.747039786626924,-93.17670558527314,1
109.81679158620317,-19.36409330272218,-92.94224295155931,1
112.01312741792724,-19.55208316335579,-93.05812536932672,1
114.25338996628578,-19.042968843400622,-92.78382544987436,1
116.5384577656115,-19.175185355816755,-92.403575766,1
118.86922692092372,-18.81199720680876,-92.68731872094041,1
121.2466114593422,-18.741078447157864,-93.41999414004329,1
123.67154368852906,-18.394048721515162,-92.58484051313067,1
126.14497456229964,-18.326337704662667,-93.70810648043317,1
128.66787405354563,-18.16521995798767,-93.66212360033347,1
131.24123153461656,-18.088391459737387,-93.50587069580251,1
133.8660561653089,-17.739488071143658,-93.29218620309692,1
136.54337728861506,-17.790975737690946,-93.98055195826967,1
139.27424483438736,-17.43532172313635,-93.94946597254341,1
142.05972973107512,-17.410526178053065,-93.50370343467807,1
144.90092432569662,-17.10871182182313,-93.96777464530183,1
147.79894281221056,-16.95899038830793,-93.56694496496037,1
150.75492166845476,-16.77471984069159,-94.52212956751515,1
153.77002010182386,-16.53908878050917,-93.49267538291994,1
156.84542050386034,-16.521593204340398,-94.04762521530678,1
159.98232891393755,-16.294492883149967,-93.91659716335714,1
163.1819754922163,-16.04903106628474,-94.40631964382854,1
166.44561500206063,-16.039129662652257,-94.32653221551652,1
169.77452730210186,-15.721788122471896,-93.99285809424345,1
173.17001784814389,-15.576693851674163,-94.18511553619324,1
176.63341820510678,-15.574638137742363,-94.66821579613081,1
180.16608656920891,-15.284343839967688,-94.93929152440961,1
183.76940830059308,-14.997509214340653,-94.76871480938914,1
187.44479646660494,-14.940225964774704,-94.74872606474196,1
191.19369239593703,-14.81861636491542,-95.16528200021042,1
195.01756624385578,-14.55844961585952,-95.22309872422758,1
198.9179175687329,-14.381131787172192,-95.03010711762587,1
202.89627592010754,-14.151633282130831,-95.30777227534077,1
206.9542014385097,-14.06482869795338,-95.47393850025038,1
211.09328546727988,-13.992220422184852,-95.85900263883809,1
215.31515117662548,-13.848474241850015,-95.55206944742633,1
219.62145420015798,-13.445198281699316,-95.12018005687057,1
224.01388328416115,-13.459722942843543,-95.8354694562695,1
228.49416094984437,-13.058571011314399,-95.7185784027456,1
233.06404416884126,-13.115739067989168,-96.06034998314496,1
237.7253250522181,-12.753880686249742,-95.86732687678168,1
242.47983155326247,-12.720290608279868,-96.31870985198066,1
247.32942818432772,-12.474294808994141,-96.18090494968769,1
252.27601674801429,-12.370932699340148,-96.59639854656473,1
257.3215370829746,-12.167282069250628,-96.6170088770219,1
262.4679678246341,-12.056493608990646,-96.93359045916964,1
267.7173271811268,-11.796482404430545,-96.93834049463845,1
