Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.03626741577939,-89.84665284813929,2
40.8,-27.822591140811898,-91.156516835691,2
41.616,-27.57729217042165,-89.44082171544215,1
42.44832,-27.39795350047665,-90.6225494954424,2
43.297286400000004,-27.561861972755253,-92.83245024298506,2
44.163232128000004,-27.095000394460463,-90.63074967492372,1
45.046496770560005,-26.72084937992923,-91.06496648856472,2
45.9474267059712,-26.820150729586214,-91.22802263385596,1
46.866375240090626,-26.28977726928401,-93.44254289161145,2
47.80370274489244,-26.293480850197366,-91.50117103082601,1
48.75977679979029,-26.195836547397523,-91.35472827069873,1
49.7349723357861,-26.0432324077133,-90.4083665639475,1
50.72967178250182,-26.08459302629271,-90.03940812829033,1
51.74426521815185,-25.68883777593276,-92.22390437782013,2
52.77915052251489,-25.48886943648865,-90.06709527483595,1
53.83473353296519,-25.642270141579214,-93.65888755936251,2
54.911428203624496,-25.2512443791619,-91.96225557171778,1
56.00965676769699,-25.404688564660237,-90.04267050415251,1
57.12984990305093,-24.80231375625929,-91.40743320247718,1
58.27244690111195,-24.695661103088224,-91.4885678840557,1
59.437895839134185,-24.486143884928456,-89.80037438861085,2
60.62665375591687,-24.433480198069127,-90.78984318829566,1
61.83918683103521,-24.277367942914914,-90.61997842256638,1
63.075970567655915,-24.214061052463226,-90.5372633879965,1
64.33748997900904,-23.895092514709468,-91.07065367843367,1
65.62423977858921,-23.479384137371046,-91.18604654082532,1
66.936724574161,-23.460449174234178,-91.65296858075959,1
68.27545906564423,-23.270235432398586,-91.59357676244126,1
69.64096824695712,-22.54827886509869,-92.22299192706107,1
71.03378761189626,-23.107971345507792,-91.09022153257115,1
72.45446336413418,-22.60792731905572,-91.41413937028955,1
73.90355263141687,-22.528294190632366,-90.32943146195898,1
75.38162368404521,-22.457680367646876,-91.57433733244983,1
76.88925615772611,-22.16254624225316,-90.35610588520393,1
78.42704128088063,-22.097823944455946,-91.21574923832871,1
79.99558210649825,-21.877673492803762,-91.46335444994786,1
81.59549374862821,-22.002249329594,-90.61395419714769,1
83.22740362360078,-21.598892090158035,-91.30535853205694,1
84.8919516960728,-21.347931052983405,-91.64785613220748,1
86.58979072999425,-21.289338233823973,-91.81701937267269,1
