Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.889665111440213,-92.10034689529328,2
40.8,-23.725077845210887,-90.96145179613971,2
41.616,-23.571373460651547,-92.57148790552355,1
42.44832,-23.396763836437803,-92.91813744358262,2
43.297286400000004,-23.173999704504133,-91.97877550508568,2
44.163232128000004,-22.964403271108726,-92.89181852758009,1
45.046496770560005,-22.7498717677687,-92.22251474069867,1
45.9474267059712,-22.699164777394863,-93.22076611551188,2
46.866375240090626,-22.44328439399549,-92.14735229955036,1
47.80370274489244,-22.19681058961358,-92.83638884845064,1
48.75977679979029,-22.095048031314832,-92.02543992745935,1
49.7349723357861,-21.79832083868207,-92.70904712045225,1
50.72967178250182,-21.71684323069993,-92.73415743918476,1
51.74426521815185,-21.60804844100266,-91.53223642360285,1
52.77915052251489,-21.246582935692743,-92.42104821948307,1
53.83473353296519,-21.341184671496286,-91.72908241766325,1
54.911428203624496,-20.957557747360383,-92.75301070088442,1
56.00965676769699,-21.053624708528055,-92.62596636541025,1
57.12984990305093,-20.48767483813586,-92.97017251201147,1
58.27244690111195,-20.519561338956734,-93.34423256540946,1
59.437895839134185,-20.353153812360492,-92.91867784451078,1
60.62665375591687,-20.196751373469755,-93.12516001884245,1
61.83918683103521,-20.018230733656495,-93.27615923382736,1
63.075970567655915,-19.871290824341433,-92.99737602080751,1
64.33748997900904,-19.488016583037258,-93.12595248843479,1
65.62423977858921,-19.552179719417687,-93.479914616521,1
66.936724574161,-19.236911591845104,-92.78516791623076,1
68.27545906564423,-19.22317478595388,-93.31607627272635,1
69.64096824695712,-18.819121823092875,-93.31514733508453,1
71.03378761189626,-18.87983837637671,-93.5041241384888,1
72.45446336413418,-18.58813160554482,-93.33901939747686,1
73.90355263141687,-18.56795467777536,-94.07914038188602,1
75.38162368404521,-18.276167840474326,-93.68708444102424,1
76.88925615772611,-17.98464485563812,-93.09421696843643,1
78.42704128088063,-17.97815492007154,-93.87175063990769,1
79.99558210649825,-17.722587265477557,-94.68838822132818,1
81.59549374862821,-17.65859979512417,-94.61637353044561,1
83.22740362360078,-17.521034550478493,-93.62376352813831,1
84.8919516960728,-17.118130975037115,-93.93669773764105,1
86.58979072999425,-17.006460132084182,-94.86756857702554,1
88.32158654459414,-16.98558820126192,-94.33963674892652,1
90.08801827548602,-16.753947680174083,-94.39999727885277,1
91.88977864099574,-16.42254619185561,-94.71422174789024,1
93.72757421381566,-16.383528392728262,-95.42792156353465,1
95.60212569809197,-16.27750260237874,-95.18998959976022,1
97.5141682120538,-16.056012134950635,-94.51577771694227,1
99.46445157629488,-15.781594875057472,-95.13334647039133,1
101.45374060782078,-15.612940476416114,-94.94984410265366,1
103.4828154199772,-15.441729679229665,-95.19411600369526,1
105.55247172837674,-15.212029956485557,-95.25157943193662,1
107.66352116294428,-15.270717851974588,-95.27314779019926,1
109.81679158620317,-14.829929061499257,-95.28465490285728,1
112.01312741792724,-14.859503532970267,-95.43773133281667,1
114.25338996628578,-14.518899295845806,-95.91658923169582,1
116.5384577656115,-14.44904241163699,-96.25429755422701,1
118.86922692092372,-14.163742649938758,-96.11892511485846,1
121.2466114593422,-14.120976717234276,-95.94967642344466,1
123.67154368852906,-13.810759904617633,-96.94658680714049,1
126.14497456229964,-13.789655711959247,-96.45543911976984,1
128.66787405354563,-13.487617991091087,-96.56751045163904,1
131.24123153461656,-13.387524057418123,-96.94761003899112,1
133.8660561653089,-13.05992921981098,-96.75610235380626,1
136.54337728861506,-13.061512094804073,-97.12583268152714,1
139.27424483438736,-12.707401908107189,-96.16657627303448,1
142.05972973107512,-12.717077061184366,-97.50109007554829,1
144.90092432569662,-12.368732629470102,-97.1977453248526,1
147.79894281221056,-12.315947661841653,-97.75228702137137,1
150.75492166845476,-12.042925650891439,-97.53904393894987,1
153.77002010182386,-11.82657724908073,-97.57832303938271,1
156.84542050386034,-11.787452032746296,-97.9912275682232,1
159.98232891393755,-11.481741642540987,-97.76230086865739,1
163.1819754922163,-11.313905633586893,-97.85952779781016,1
166.44561500206063,-11.237725230899756,-98.45694482508324,1
169.77452730210186,-10.929047858489596,-98.33141643993366,1
173.17001784814389,-10.74031438159137,-98.57465506374635,1
176.63341820510678,-10.652659286948925,-98.92085560753758,1
180.16608656920891,-10.459847285600295,-99.2552100918507,1
183.76940830059308,-10.164188927842304,-99.26575237303845,1
187.44479646660494,-10.023284969149143,-99.77410786886612,1
191.19369239593703,-9.944999359281368,-99.7456768424841,1
195.01756624385578,-9.65286618025669,-100.22076399040066,1
198.9179175687329,-9.429505326524792,-99.88049044818281,1
202.89627592010754,-9.193904204839445,-100.2056744326209,1
206.9542014385097,-9.122404773285387,-100.74897389925634,1
211.09328546727988,-8.979008694256786,-100.9642317496448,1
215.31515117662548,-8.822112422539607,-101.39647352103547,1
219.62145420015798,-8.3952876331973,-101.06678794941799,1
