Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.42909556962052,-92.13777281512006,1
40.8,-24.308394191242485,-91.20073638656348,2
41.616,-24.137487253748077,-92.42280243419933,1
42.44832,-23.980384573171296,-90.85750661988698,1
43.297286400000004,-23.890898849692693,-90.68690463772847,1
44.163232128000004,-23.76234302759349,-91.24087978504116,1
45.046496770560005,-23.45744829775794,-91.14217804392185,1
45.9474267059712,-23.221306651974228,-92.35136791138257,2
46.866375240090626,-23.350190920227554,-91.04389224572103,1
47.80370274489244,-22.881230064272984,-90.87809735449851,1
48.75977679979029,-22.836798955878933,-91.49064146808627,1
49.7349723357861,-22.526892480144674,-90.93285599297911,1
50.72967178250182,-22.41267093655355,-91.17100254701793,1
51.74426521815185,-22.249784631302777,-91.51061661187134,1
52.77915052251489,-22.095422632770873,-91.77886679611093,1
53.83473353296519,-21.97597303532093,-92.0287310595379,1
54.911428203624496,-21.722096183627343,-89.92939092891275,1
56.00965676769699,-21.761184835364794,-92.84055236359762,1
57.12984990305093,-21.14240170086859,-92.4917267482002,1
58.27244690111195,-21.25054151396418,-92.2571507003747,1
59.437895839134185,-20.988377544758517,-91.61533969461601,1
60.62665375591687,-21.043261950030573,-92.46959296700908,1
61.83918683103521,-20.71085538065557,-92.51463620415647,1
63.075970567655915,-20.602165692440376,-92.51484742792361,1
64.33748997900904,-20.248690438344433,-92.10804931162833,1
65.62423977858921,-20.212688598970324,-91.89138534234547,1
66.936724574161,-20.033207749444795,-91.78976445369426,1
68.27545906564423,-20.04350326492943,-92.67994975923102,1
69.64096824695712,-19.610482238347938,-91.98334283460457,1
71.03378761189626,-19.625433884649762,-92.51184052979193,1
72.45446336413418,-19.352313240702788,-92.19357111553506,1
73.90355263141687,-19.164411402385248,-92.55050860555674,1
75.38162368404521,-18.935225554106896,-92.42003516909188,1
76.88925615772611,-18.588942170508545,-92.36078019390897,1
78.42704128088063,-18.736238156773904,-92.56401677563385,1
79.99558210649825,-18.475447175506925,-92.28720411127978,1
81.59549374862821,-18.26078776712482,-92.87335498649787,1
83.22740362360078,-18.165699506122166,-92.81561230552461,1
84.8919516960728,-17.954390677258065,-92.86398749368486,1
86.58979072999425,-17.76903577571461,-93.05035181210383,1
88.32158654459414,-17.631206857393092,-92.51362164929724,1
90.08801827548602,-17.428201572301326,-92.57018779052252,1
91.88977864099574,-17.263319598529293,-93.09009716861601,1
93.72757421381566,-17.138357280871887,-92.91788230683818,1
95.60212569809197,-17.107780674237947,-93.06350659182647,1
97.5141682120538,-16.85315896796162,-93.05413519346038,1
99.46445157629488,-16.561986164846143,-93.36109098129867,1
101.45374060782078,-16.37330467421802,-93.41442841352558,1
103.4828154199772,-16.293524329806623,-93.41068939044072,1
105.55247172837674,-15.977754899961278,-93.46158465982127,1
107.66352116294428,-16.003187757134913,-94.1404036318337,1
109.81679158620317,-15.61513894135882,-93.0826389854944,1
112.01312741792724,-15.66045513653132,-93.68342253949339,1
114.25338996628578,-15.347412213563233,-93.81021343040607,1
116.5384577656115,-15.316566213886784,-94.04461529437174,1
118.86922692092372,-14.989910753593175,-94.18745037072694,1
121.2466114593422,-15.04016606984439,-94.04766060112837,1
123.67154368852906,-14.710391825302814,-93.84142728533669,1
126.14497456229964,-14.530106048219398,-94.19939783973334,1
128.66787405354563,-14.375455483973065,-94.3678695175605,1
131.24123153461656,-14.244397566914866,-94.25142829239542,1
133.8660561653089,-13.995310573177866,-94.20877919121165,1
136.54337728861506,-14.020231328802327,-94.35192958862069,1
139.27424483438736,-13.591529434041455,-94.61707165641963,1
142.05972973107512,-13.633622402339887,-94.41735016954794,1
144.90092432569662,-13.322580846369167,-94.94147278989307,1
147.79894281221056,-13.293787497171365,-94.99538973303112,1
150.75492166845476,-13.08258511201762,-95.08052529056567,1
153.77002010182386,-12.740880726519041,-95.05289637288577,1
156.84542050386034,-12.794716277698118,-95.38263348561009,1
159.98232891393755,-12.481655839123857,-95.56159525450907,1
163.1819754922163,-12.325849928894266,-95.46040895923633,1
166.44561500206063,-12.266411863339744,-95.49944105213044,1
169.77452730210186,-11.982386629632662,-95.43474605052157,1
173.17001784814389,-11.778110617320086,-95.76631814763064,1
176.63341820510678,-11.74320905429016,-95.97318023234655,1
180.16608656920891,-11.494186434888649,-96.13883570109817,1
183.76940830059308,-11.28040448170385,-95.98688278004974,1
187.44479646660494,-11.152196686417488,-96.44779363256463,1
191.19369239593703,-11.050840102929884,-96.4736820705391,1
195.01756624385578,-10.780379422931,-96.31982700549902,1
198.9179175687329,-10.614022107359602,-96.71035452147427,1
202.89627592010754,-10.430656577847367,-96.73978082317537,1
206.9542014385097,-10.319339026594356,-97.02757553941267,1
211.09328546727988,-10.23341514269109,-97.28879103690201,1
215.31515117662548,-10.067473444702998,-97.36478355450346,1
219.62145420015798,-9.685196660835294,-97.16375830288564,1
224.01388328416115,-9.713779729552815,-97.54058615732436,1
228.49416094984437,-9.377163050275698,-97.44743755603598,1
233.06404416884126,-9.347350271288736,-97.93866894952802,1
237.7253250522181,-9.06132586111876,-97.88145567059753,1
242.47983155326247,-8.991800038049469,-98.1254086493534,1
247.32942818432772,-8.75572620819994,-98.20789854916713,1
252.27601674801429,-8.652484898771421,-98.48902480463374,1
257.3215370829746,-8.37283893471617,-98.53432452691214,1
262.4679678246341,-8.298273123788618,-98.84963017300214,1
267.7173271811268,-8.04080724247377,-98.68485310345812,1
273.07167372474936,-8.008289609691472,-99.32397846284492,1
278.53310719924434,-7.691628981177803,-98.94170503586349,1
284.10376934322926,-7.71026168604034,-99.44674070873424,1
289.78584473009386,-7.348069962270226,-99.37470151475199,1
295.5815616246957,-7.2901165969163655,-99.83120741386159,1
301.4931928571896,-7.111989620639823,-99.88001527857506,1
307.52305671433345,-6.831647823991922,-99.95723597646617,1
313.6735178486201,-6.818073828139947,-100.34954626575286,1
319.9469882055925,-6.546897608832547,-100.38868501036157,1
326.34592796970435,-6.404267511503731,-100.67540353145043,1
332.87284652909847,-6.302812863304843,-101.03179194611701,1
339.53030345968045,-6.028427356823498,-101.16348348738406,1
346.3209095288741,-5.874870258420384,-101.34781614141843,1
353.24732771945156,-5.839289931639247,-101.59300988718394,1
360.3122742738406,-5.587406359963318,-101.91188925459005,1
367.5185197593174,-5.38038047834279,-101.94737876926361,1
374.8688901545038,-5.2592841362019715,-102.27971790286372,1
382.3662679575939,-5.196701129975898,-102.60021009045158,1
390.01359331674576,-4.959760148976107,-102.92267993498135,1
397.8138651830807,-4.696815084050088,-102.86168576351918,1
405.7701424867423,-4.535912742028615,-103.14322533354509,1
413.88554533647715,-4.457250854837132,-103.3657959954321,1
422.1632562432067,-4.313163290910193,-103.87359699760941,1
430.60652136807084,-4.136549792795152,-103.93506831335719,1
439.21865179543227,-3.9244886098516147,-104.12444544145754,1
448.0030248313409,-3.702504151925868,-104.27577532062413,1
456.96308532796775,-3.529107176599551,-104.61577147150555,1
466.1023470345271,-3.3241039399832557,-105.04410163806807,1
475.42439397521764,-3.1520499597247453,-105.3164693874368,1
484.932881854722,-3.040631720029322,-105.47759470842965,1
494.63153949181645,-2.86316729348646,-105.85146962131189,1
504.5241702816528,-2.715471235783056,-106.25855805274689,1
514.6146536872859,-2.660403723619118,-106.73077012882658,1
524.9069467610317,-2.29275621381085,-106.47549090699854,1
535.4050856962523,-2.3693203289728415,-107.52115822211576,1
546.1131874101774,-2.010059344433134,-107.08512478973563,1
557.035451158381,-1.989433334693111,-107.9106559473467,1
568.1761601815485,-1.7293755434374773,-107.84290942633034,1
579.5396833851795,-1.6046646668604714,-108.38432128485078,1
591.1304770528831,-1.4521675818457465,-108.73270282217393,1
602.9530865939407,-1.2379896712239413,-108.92009014518771,1
615.0121483258196,-1.1374686689228444,-109.4509185074991,1
627.312391292336,-0.8915066764126076,-109.68026631496865,1
639.8586391181827,-0.7915243989868415,-110.13113849781723,1
652.6558119005464,-0.5882145555633818,-110.40650254056425,1
665.7089281385573,-0.44385373721219784,-110.82056389603332,1
679.0231067013285,-0.28678998319543847,-111.3460970376681,1
692.6035688353551,-0.04375146366880681,-111.56559578184672,1
706.4556402120622,0.0022815083870118837,-112.09075939146487,1
720.5847530163035,0.303778174554227,-112.15061890127767,1
734.9964480766296,0.3087379893198205,-113.02453006955113,1
749.6963770381622,0.593039629287535,-113.21836487820542,1
764.6903045789254,0.7261133431674597,-113.62518930685616,1
779.9841106705039,0.8402159929120815,-114.38605948166035,1
795.583792883914,1.1138973434078305,-114.29936988129246,1
811.4954687415924,1.1785136974454518,-115.15183050212892,1
827.7253781164243,1.349136658489677,-115.46712860478692,1
844.2798856787527,1.622094931962117,-115.67052788458966,1
861.1654833923278,1.6825233845772416,-116.59317417850656,1
878.3887930601744,1.8420649967214695,-116.88325133492512,1
895.9565689213779,2.1013231449190686,-117.17701397669697,1
913.8757002998054,2.226098985779068,-117.66460173825864,1
932.1532143058016,2.320442050074736,-118.63128884184484,1
950.7962785919177,2.513806009272793,-118.81230127723308,1
969.8122041637561,2.7146045648412973,-119.14064829180893,1
989.2084482470312,2.8823937125889665,-119.71701939152923,1
1008.9926172119718,2.9780120121409555,-120.4817829872008,1
1029.1724695562114,3.142798874958257,-121.19310218517242,1
1049.7559189473357,3.328392447003944,-121.57673700948669,1
1070.7510373262824,3.557009802443115,-122.06672955950592,1
1092.166058072808,3.741815480825719,-122.5691220189617,1
1114.0093792342643,3.878209205782843,-123.218892367813,1
1136.2895668189497,4.0643965124517205,-123.84369085139338,1
1159.0153581553286,4.203538944812531,-124.5821467214092,1
1182.1956653184352,4.345544950247013,-125.35049104099481,1
1205.8395786248038,4.512379461051586,-126.00818772181555,1
1229.9563701973,4.685480690848565,-126.6559175465494,1
1254.555497601246,4.865919817143708,-127.4711477236574,1
1279.646607553271,5.021626234429526,-128.11198718220425,1
1305.2395397043365,5.223652171654013,-128.79042775232818,1
1331.3443304984232,5.393312047402238,-129.48309246960508,1
1357.9712171083918,5.599487632848941,-130.2161134491458,1
1385.1306414505596,5.774579060982573,-130.83232674737005,1
1412.8332542795708,5.96841797799763,-131.5908509375028,1
1441.0899193651624,6.124339593441429,-132.60721380740432,1
1469.9117177524656,6.279810881219839,-133.52446800475548,1
1499.3099521075148,6.455024481807946,-134.33965238492502,1
1529.296151149665,6.667930093975019,-135.12613989829836,1
1559.8820741726583,6.859655112642076,-136.0585885327504,1
1591.0797156561116,7.005363516168829,-137.05436691683428,1
1622.9013099692338,7.159009204604216,-138.00226816083725,1
1655.3593361686185,7.39765086430995,-138.83763563730753,1
1688.466522891991,7.5747444305875815,-139.82717650804392,1
1722.235853349831,7.732064695071179,-141.09711795307538,1
1756.6805704168275,7.961657865016307,-141.9583753882739,1
1791.814181825164,8.115126980279307,-143.30353250452873,1
1827.6504654616674,8.321071955271464,-144.2189581751867,1
1864.2034747709008,8.504968970925006,-145.44885137710756,1
1901.4875442663188,8.715284512125347,-146.62205610683293,1
1939.5172951516452,8.90239546742929,-148.00006985876212,1
1978.307641054678,9.101921754682815,-149.0915014325576,1
