Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.120408790640493,-90.33532689103288,1
40.8,-23.65370679878256,-90.0708202003207,1
41.616,-23.816420308879458,-91.53544735541784,1
42.44832,-23.524446308072527,-92.23678250109242,1
43.297286400000004,-23.299712017395144,-91.46848997176443,1
44.163232128000004,-23.118919263207243,-91.47483878189814,1
45.046496770560005,-23.16999761508779,-91.02540032787306,1
45.9474267059712,-22.45726132353461,-93.56680669323458,1
46.866375240090626,-22.591007262921696,-94.43589914160341,1
47.80370274489244,-22.486330204869322,-91.62030340269618,1
48.75977679979029,-22.095136735976308,-90.53611743672556,1
49.7349723357861,-22.02558517126339,-91.22414093670746,1
50.72967178250182,-21.908087094251183,-89.47360113017638,1
51.74426521815185,-21.921967001599892,-90.65987291707245,1
52.77915052251489,-21.461335493801172,-91.78805480402022,1
53.83473353296519,-21.367504120169734,-92.05563831275327,1
54.911428203624496,-21.132342375568996,-91.98354444810687,1
56.00965676769699,-21.196154227242438,-90.73858548829622,1
57.12984990305093,-20.732199408495365,-91.21301446603928,1
58.27244690111195,-20.81950245981002,-91.6796263611833,1
59.437895839134185,-20.453739886955944,-89.97193725574039,1
60.62665375591687,-20.426121603956815,-92.50269808365721,1
61.83918683103521,-20.226848174430987,-91.25829699025374,1
63.075970567655915,-20.169318959673408,-91.73991105607017,1
64.33748997900904,-19.761934069574355,-92.1339983581046,1
65.62423977858921,-19.82424010206383,-92.23201928667356,1
66.936724574161,-19.523914462497387,-91.70343098296476,1
68.27545906564423,-19.512426966777387,-91.43492907042804,1
69.64096824695712,-19.316446345413407,-88.9702820082828,1
71.03378761189626,-19.231618003913237,-91.89474855539686,1
72.45446336413418,-18.69724804803898,-91.76275348323917,1
73.90355263141687,-18.734887107821145,-91.31642435152257,1
75.38162368404521,-18.591664991035113,-92.17451083920156,1
76.88925615772611,-18.278217247193663,-91.83855162358151,1
78.42704128088063,-18.20270264712488,-91.55437356057973,1
79.99558210649825,-17.948649036989597,-92.0921980474898,1
81.59549374862821,-17.837889822153656,-92.16165471571342,1
83.22740362360078,-17.775029167199104,-91.73781428701363,1
84.8919516960728,-17.552436497086525,-92.29909435929393,1
86.58979072999425,-17.20282951074851,-92.54315151091188,1
88.32158654459414,-17.111322716423725,-91.66463806281709,1
90.08801827548602,-16.938177942648156,-92.13292511533922,1
