Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.80434257848813,90.16369088647033,2
41.6,-28.75931394450399,91.6053847831281,2
43.264,-28.228361267455764,87.68401724397256,2
44.99456000000001,-27.671574857511295,89.08996389683779,2
46.79434240000001,-27.40795402967426,89.09123019986083,2
48.66611609600002,-27.11140320083434,89.59658121740506,2
50.61276073984002,-27.126543432249406,88.23983150708096,2
52.637271169433625,-26.77864233570545,88.07836755229215,2
54.742762016210975,-26.70397867525282,86.85383935837007,2
56.93247249685942,-26.098640351644477,89.2605066472334,2
59.2097713967338,-26.002507130767896,89.35332679154627,2
61.57816225260316,-25.582972707130676,89.31180203294852,2
64.04128874270728,-25.032064407914163,88.65173357937736,2
66.60294029241557,-24.63165491342135,89.60256178823315,2
69.26705790411219,-24.3854996696034,89.86744685403409,2
72.03774022027669,-24.07898750188394,88.3370078916924,2
74.91924982908776,-23.821291197781637,89.16363641016554,2
77.91601982225127,-23.46612376930014,87.82768145900484,2
81.03266061514132,-23.161782900172057,89.3428701275393,2
84.27396703974698,-22.554805798008786,87.9862412452328,2
87.64492572133686,-22.455004294594872,88.60737488667048,2
91.15072275019034,-22.11732725960384,88.95404709765587,2
94.79675166019796,-21.829225738237014,87.7263101860855,2
98.58862172660588,-21.340187308149993,87.83603874222179,1
102.53216659567012,-21.040920415906097,88.83714280298464,1
106.63345325949693,-20.70119304563781,87.99015029205582,1
110.89879138987682,-20.262170028015973,87.79295761773844,1
115.3347430454719,-19.870345479895718,88.01844198774398,1
119.94813276729077,-19.603128715028372,87.52894804005442,1
124.74605807798241,-19.284176532193534,88.03759627436312,1
129.7359004011017,-19.084324532013767,87.78927341337726,1
134.9253364171458,-18.73977156832574,87.19156521771515,1
140.32234987383163,-18.410416461176503,87.42612610959948,1
145.9352438687849,-18.183142569895846,86.49664658875419,1
151.7726536235363,-17.931481669931504,87.06187333087271,1
157.84355976847777,-17.491495721491788,87.00380157015691,1
164.1573021592169,-17.10947019970926,86.72623629577083,1
170.7235942455856,-16.950579631624546,86.45801106413768,1
177.55253801540903,-16.46896554590163,86.58302434173741,1
184.6546395360254,-16.10192001823411,85.94770417716234,1
192.04082511746643,-15.843965707728955,85.70560956631783,1
199.72245812216508,-15.502006053391462,86.11313112911326,1
207.71135644705168,-15.192500219303758,85.91855263346594,1
216.01981070493375,-14.867437751007937,85.11826008909522,1
224.6606031331311,-14.562110526639444,85.08136991975185,1
233.64702725845635,-14.236860099386398,84.99512901614307,1
242.9929083487946,-13.851092160971845,84.97264662669977,1
252.7126246827464,-13.49094368667245,84.51595415580601,1
262.8211296700563,-13.189679488366485,84.21520066341174,1
273.33397485685856,-12.793120110696417,84.69314586900357,1
284.2673338511329,-12.347865410868122,84.47115679675667,1
295.6380272051782,-11.951891792769674,84.14152302346193,1
307.4635482933854,-11.59159251603926,84.16529219236918,1
319.7620902251208,-11.273606924842554,83.68684773267121,1
332.55257383412567,-11.051755269477999,83.32372905814935,1
345.8546767874907,-10.67168933712199,82.81889486813628,1
359.6888638589903,-10.351683141122704,82.88578415800362,1
374.0764184133499,-10.051947661857684,82.52597564129378,1
389.0394751498839,-9.656485305145358,82.35521055201059,1
404.6010541558793,-9.382929197976143,82.17199497583161,1
420.7850963221145,-9.099903467839447,81.81563722627597,1
437.6165001749991,-8.680662860002482,81.66612435479522,1
455.1211601819991,-8.345408499366357,81.31180228552365,1
473.3260065892791,-8.02657085403512,80.9505895053344,1
492.25904685285025,-7.774262697146866,80.67844281753608,1
511.9494087269643,-7.559278990628061,79.9276444341807,1
532.4273850760429,-7.183056765434085,79.72321731848582,1
553.7244804790846,-6.736842095951105,79.74292462328714,1
575.873459698248,-6.3983251959260325,79.65514843996698,1
598.908398086178,-6.052971443807468,79.06360352558735,1
622.8647340096251,-5.672440596806612,78.91880086746147,1
647.77932337001,-5.395342390099464,78.17083279617285,1
673.6904963048105,-5.1148511685395555,77.91300539110443,1
700.638116157003,-4.791511101416327,77.20609209819881,1
728.6636408032831,-4.587130148480331,76.4759354227822,1
757.8101864354145,-4.314737339151929,75.87030762928227,1
788.1225938928311,-3.9612858209448354,75.16349150919235,1
819.6474976485443,-3.5945662734847454,74.8856050524484,1
852.4333975544862,-3.3169120815801194,74.156229706405,1
886.5307334566656,-2.9828528086461548,73.7347463818938,1
921.9919627949323,-2.558111162066417,73.68968702086255,1
958.8716413067297,-2.3175339064904383,72.947100163369,1
997.2265069589989,-1.985940010920511,72.37359462875646,1
1037.1155672373588,-1.6047003911794908,71.89206019215476,1
1078.6001899268533,-1.3368164459705643,71.14809526026082,1
1121.7441975239276,-0.9717019898159442,70.52164663486691,1
1166.6139654248848,-0.631496269224329,69.71015211264205,1
1213.2785240418802,-0.2965311429421475,68.80390548838875,1
1261.8096650035554,0.02001308613791058,68.16829531657487,1
1312.2820516036977,0.3397638881478396,67.41704195566422,1
1364.7733336678457,0.6399429621770217,66.26111015929388,1
1419.3642670145596,0.9346400156272099,65.33592560504954,1
1476.138837695142,1.2700411234300988,64.46173720363426,1
1535.1843912029478,1.6496083509136232,63.60338441933938,1
1596.5917668510658,1.9052691307392073,62.11170329010461,1
1660.4554375251084,2.333828597198274,61.194212203422296,1
1726.8736550261128,2.651253986164884,60.10521420586417,1
1795.9486012271575,2.9407297688215515,58.93382009467831,1
1867.786545276244,3.291980703759837,57.83179858203448,1
1942.4980070872937,3.6607564446052456,56.44469374622551,1
2020.1979273707855,4.033343718203781,55.14653956562594,1
2101.005844465617,4.039591786522244,55.16653730966344,1
2185.046078244242,4.751901005793769,51.965728236235904,1
2272.4479213740115,4.889852122544,48.168581391657256,1
2363.345838228972,5.506350840358715,49.49838564422389,1
2457.879671758131,6.229481816700583,44.48760840642781,1
2556.194858628456,6.34871355789519,44.13407666677188,1
2658.4426529735942,6.764435988885594,43.09398922189016,1
2764.780359092538,7.012989127590309,42.23697879883707,1
2875.3715734562397,7.661796171004432,38.151402292483425,1
2990.3864363944895,7.90024767376831,34.99955703674303,1
3110.001893850269,8.520905004963005,32.451317241611704,1
3234.4019696042797,9.046018816023981,29.458869004466692,1
3363.7780483884508,9.537927618044193,26.0261309395064,1
3498.329170323989,10.099168808476959,26.790259823892427,1
3638.2623371369486,10.575207461047187,17.784942429190316,1
3783.7928306224267,11.0714369342994,12.398101794023049,1
3935.144543847324,11.598897772732707,7.208717310261335,1
4092.550325601217,12.047188511715587,6.94458719869332,1
4256.252338625266,12.490593182197882,-5.895447827617858,1
4426.502432170277,12.939497360153913,-13.109805373427015,1
4603.562529457088,13.1583346915689,-22.066249854009442,1
4787.705030635372,13.323841366047322,-30.91526468773529,1
