Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.982510708371514,88.63003619979727,2
41.6,-29.5844500095912,91.41288299552514,2
43.264,-29.549949112491454,90.52187354453758,2
44.99456000000001,-28.643762920882025,88.29654053155184,2
46.79434240000001,-28.51898762823653,91.62550057745091,2
48.66611609600002,-27.961514858427673,90.33991765792325,2
50.61276073984002,-27.796896952579154,89.47708470224916,2
52.637271169433625,-27.687702278925606,89.7069598107243,2
54.742762016210975,-26.892920948521848,88.81283668072686,2
56.93247249685942,-26.59974157691236,89.78191209014614,1
59.2097713967338,-26.57641598032505,89.27282764686953,2
61.57816225260316,-25.933942733971246,89.81412226679916,2
64.04128874270728,-25.8256427575796,88.77429686824948,2
66.60294029241557,-25.38678602290863,93.58690734006944,2
69.26705790411219,-25.067506938607192,87.64723296066666,2
72.03774022027669,-24.552397519807478,88.70690803220913,2
74.91924982908776,-24.4763223319126,87.9455308881204,2
77.91601982225127,-23.984760969968317,86.94013006938215,2
81.03266061514132,-23.87250377571131,88.64836789546214,2
84.27396703974698,-23.19999743075239,86.28787786252354,2
87.64492572133686,-23.07941365091588,88.47757998746462,1
91.15072275019034,-22.607995214219255,88.27923693797196,1
94.79675166019796,-22.281545128216525,88.63352675502543,1
98.58862172660588,-22.06378045053502,87.56514546372358,1
102.53216659567012,-21.7192156973454,87.353509485219,1
106.63345325949693,-21.469267112573796,87.69320848501218,1
110.89879138987682,-20.894713762384956,86.92221746647056,1
115.3347430454719,-20.49113864702327,87.38118709154992,1
119.94813276729077,-20.251817968775427,88.41340626272606,1
124.74605807798241,-19.933194723073925,87.43602324643427,1
129.7359004011017,-19.559128610336437,87.86819714839112,1
134.9253364171458,-19.291420032661172,87.15430590122838,1
140.32234987383163,-19.041688677967258,86.99567612911369,1
145.9352438687849,-18.656950236780713,86.88583505882289,1
151.7726536235363,-18.34248590731104,86.40118670833398,1
157.84355976847777,-17.894305586351475,86.36490189280315,1
164.1573021592169,-17.493726276052467,86.44025895465342,1
170.7235942455856,-17.29516053964076,86.21507292777459,1
177.55253801540903,-16.91361295311895,85.85868923632013,1
184.6546395360254,-16.58306989145245,86.14436729887177,1
192.04082511746643,-16.350636497118252,85.49601128000782,1
199.72245812216508,-15.89662755795042,85.07413712671148,1
207.71135644705168,-15.480700493008113,85.37314085908899,1
216.01981070493375,-15.317259423549249,84.85987325958511,1
224.6606031331311,-15.032380778522041,85.01300212893325,1
233.64702725845635,-14.728295186619485,84.39660727280162,1
242.9929083487946,-14.353730319473774,84.64524486414504,1
252.7126246827464,-14.033161658282657,84.14289402815825,1
262.8211296700563,-13.641880729022072,83.87362932395904,1
273.33397485685856,-13.380879055645522,83.5161759897755,1
284.2673338511329,-13.009068575399978,83.81916659540502,1
295.6380272051782,-12.626118430885207,83.75925673359404,1
307.4635482933854,-12.195836993572964,83.20079349369661,1
319.7620902251208,-11.913745314052491,83.10845330930991,1
332.55257383412567,-11.666881535532836,82.73592987027635,1
345.8546767874907,-11.245265295944407,81.96625818887037,1
359.6888638589903,-10.913187371022232,82.60871770379991,1
374.0764184133499,-10.639492871287857,82.0878662364379,1
389.0394751498839,-10.166724910377571,81.61808802316631,1
404.6010541558793,-9.93834217401449,81.25892155420344,1
420.7850963221145,-9.68339989221836,80.78268217259888,1
437.6165001749991,-9.290950629037114,80.43431688230854,1
455.1211601819991,-8.948470216173746,80.51175456216845,1
473.3260065892791,-8.710198425540321,80.07353960367655,1
492.25904685285025,-8.378422513372836,79.74055322172092,1
511.9494087269643,-8.153351002524797,78.9742340747785,1
532.4273850760429,-7.7448285323811845,78.85511202048369,1
553.7244804790846,-7.3688233411499935,78.95188539420576,1
575.873459698248,-6.972252691703535,78.80983435375339,1
598.908398086178,-6.627984636369734,78.15050331184302,1
622.8647340096251,-6.316111617725393,77.6552388407992,1
