Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.195685720041258,-90.30835352962322,2
41.6,-30.166710259325235,-89.38505873896875,2
43.264,-29.765808123537877,-94.65820360091195,2
44.99456000000001,-29.91810330677405,-91.98825130785237,2
46.79434240000001,-29.06563185708423,-91.76345064882773,2
48.66611609600002,-28.538993639068774,-93.96327181481828,2
50.61276073984002,-28.630502870143065,-90.8903675674733,2
52.637271169433625,-27.906899039409087,-92.19824055126705,2
54.742762016210975,-27.997150394856334,-92.37561020049283,2
56.93247249685942,-27.525590901336162,-92.80424065404341,2
59.2097713967338,-27.296190086417894,-91.3656856231706,2
61.57816225260316,-26.975176002874083,-93.44790724502798,2
64.04128874270728,-26.588561612191572,-92.70648626720174,2
66.60294029241557,-26.11407418310966,-92.815073516719,2
69.26705790411219,-25.699259457506304,-92.38908863788384,2
72.03774022027669,-25.445105392082283,-93.70541194228247,2
74.91924982908776,-25.04056254470645,-94.32145185964492,2
77.91601982225127,-24.75726313001137,-93.57860753496377,2
81.03266061514132,-24.53291590427087,-93.9837381761431,2
84.27396703974698,-24.084396253434512,-93.68046764991462,2
87.64492572133686,-23.790982972860306,-93.32873523887672,2
91.15072275019034,-23.477275770615467,-93.79948355055768,2
94.79675166019796,-22.87726339564654,-94.70604830156118,2
98.58862172660588,-22.76128151720506,-94.54678657690751,1
102.53216659567012,-22.40852040873752,-94.17338464930783,1
106.63345325949693,-22.098117588359226,-94.87281694487609,1
110.89879138987682,-21.607448091173346,-93.95855855553452,1
115.3347430454719,-21.1828811819959,-94.65480207571464,1
119.94813276729077,-20.93826177100362,-95.10646232333383,1
124.74605807798241,-20.45228554375305,-95.16744885703886,1
129.7359004011017,-20.222147633465074,-94.75489115727488,1
134.9253364171458,-19.975101861524628,-95.03708993385378,1
140.32234987383163,-19.60881916711493,-96.12261956262893,1
145.9352438687849,-19.302341343440872,-96.5697882935997,1
151.7726536235363,-18.947375347621453,-96.59631281361641,1
157.84355976847777,-18.54714434485356,-96.47422415631078,1
164.1573021592169,-18.145853168648507,-96.35338413365541,1
170.7235942455856,-17.968453377857205,-96.52622574141162,1
177.55253801540903,-17.603438915102707,-97.18272993531426,1
184.6546395360254,-17.20681075919021,-97.69439874218764,1
192.04082511746643,-16.874746670960214,-97.79022761469344,1
199.72245812216508,-16.4665422809031,-98.44881438154039,1
207.71135644705168,-16.11228028578281,-98.78513065396835,1
216.01981070493375,-15.840939625470822,-99.20084367037458,1
224.6606031331311,-15.514880505904834,-99.26368059832748,1
233.64702725845635,-15.186759151987486,-99.62350847976748,1
242.9929083487946,-14.785788659427661,-100.8250219523623,1
252.7126246827464,-14.423974610803441,-100.58574770467126,1
262.8211296700563,-14.016407757546498,-101.11378529203728,1
273.33397485685856,-13.738812828382914,-101.48572394855421,1
284.2673338511329,-13.327129281836134,-102.3020534989908,1
295.6380272051782,-12.89665371236957,-102.19301183812951,1
307.4635482933854,-12.432549253792978,-102.81217002095843,1
319.7620902251208,-12.082819338155998,-103.52351326772728,1
332.55257383412567,-11.806377050334795,-103.98061609705354,1
345.8546767874907,-11.347276879532668,-104.90228251187885,1
359.6888638589903,-10.968471088502193,-105.1500223305271,1
374.0764184133499,-10.64713292340656,-105.98587003097882,1
389.0394751498839,-10.186088927311385,-106.63276714028042,1
404.6010541558793,-9.833645187681114,-107.649935775242,1
420.7850963221145,-9.467949783935802,-108.03136394566968,1
437.6165001749991,-8.900777076080702,-109.05771617145173,1
455.1211601819991,-8.522456695144609,-109.83941586646594,1
473.3260065892791,-8.117192355445816,-110.7803305450555,1
492.25904685285025,-7.735683488526576,-111.73721705986846,1
511.9494087269643,-6.542084764670684,-109.69995732333615,1
532.4273850760429,-5.878235857705053,-109.94578092124732,1
553.7244804790846,-5.429601110795249,-111.0592556108505,1
575.873459698248,-4.880561645551554,-111.84339176421307,1
598.908398086178,-4.411588440745217,-112.92445278222354,1
622.8647340096251,-3.8883842559383903,-114.6228692603523,1
