Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.454213675734433,-90.47941515205179,2
41.6,-30.022820156359252,-92.0076828956794,2
43.264,-29.983124070017244,-92.26697551027237,2
44.99456000000001,-29.206893225547706,-93.135304152792,2
46.79434240000001,-28.75309697894385,-91.50170440153953,2
48.66611609600002,-28.36959068469845,-90.88817572318378,2
50.61276073984002,-28.178422295489863,-90.56446272010481,2
52.637271169433625,-27.76828293706682,-92.35249707826381,2
54.742762016210975,-27.614375659628383,-91.51032347238407,2
56.93247249685942,-27.139156746837376,-90.28623855252424,2
59.2097713967338,-27.18318886959685,-91.9191005709468,2
61.57816225260316,-26.629429349194037,-91.49251538972331,2
64.04128874270728,-26.241059988165578,-90.29044778783947,2
66.60294029241557,-25.981106297669673,-92.5728687875336,2
69.26705790411219,-25.62331453731113,-91.55212981500135,2
72.03774022027669,-25.025879785345712,-90.38584620257771,2
74.91924982908776,-25.258879179337637,-92.57170146865083,2
77.91601982225127,-24.70238071995007,-92.60383759315195,2
81.03266061514132,-24.319390540285784,-91.54866568069224,2
84.27396703974698,-23.70871429568361,-91.54101972940626,1
87.64492572133686,-23.50342551124778,-91.54781121096647,2
91.15072275019034,-23.253877345635832,-92.27529242270305,2
94.79675166019796,-22.94867340841459,-92.38871550204644,1
98.58862172660588,-22.615683221771913,-92.70609667209138,1
102.53216659567012,-22.31885014595076,-93.82853427718582,1
106.63345325949693,-21.972726406858893,-92.63113896202455,1
110.89879138987682,-21.620358605226677,-93.4341907285052,1
115.3347430454719,-21.15080192822992,-93.70270849929796,1
119.94813276729077,-20.756396019710152,-93.67945533685263,1
124.74605807798241,-20.43981212240402,-93.7783813723119,1
129.7359004011017,-20.2357668711817,-93.60681372652573,1
134.9253364171458,-19.764853730146164,-93.41080136365721,1
140.32234987383163,-19.571008431355324,-93.96383144334449,1
145.9352438687849,-19.36615342392119,-94.62901959490225,1
151.7726536235363,-19.00546822249584,-93.65789054671211,1
157.84355976847777,-18.65611508887658,-94.30438600507604,1
164.1573021592169,-18.142519242420523,-94.52040318377368,1
170.7235942455856,-17.930863194998587,-94.63951303092875,1
177.55253801540903,-17.60476547108992,-95.46114812660615,1
184.6546395360254,-17.246327283310336,-95.14877242661841,1
192.04082511746643,-16.983601006974673,-95.23205965961068,1
199.72245812216508,-16.57479194843171,-95.52882338157758,1
207.71135644705168,-16.203403434735726,-95.32004087843072,1
216.01981070493375,-15.982410153370804,-95.89384828264247,1
224.6606031331311,-15.694808041495364,-96.52988382337833,1
233.64702725845635,-15.335431950627438,-96.6994888230426,1
242.9929083487946,-15.026351203366572,-96.95972059133709,1
252.7126246827464,-14.582166374184197,-96.91076376337872,1
262.8211296700563,-14.359135693531636,-97.81886363111755,1
273.33397485685856,-13.964538182819892,-98.43633184864211,1
284.2673338511329,-13.602314060452422,-98.33149496015113,1
295.6380272051782,-13.25782227444357,-98.04143397995355,1
307.4635482933854,-12.82506862812708,-98.75400189868395,1
319.7620902251208,-12.533095318444792,-99.03823653173518,1
332.55257383412567,-12.315584494732256,-99.40017379882724,1
345.8546767874907,-11.870755713156425,-99.86121493942595,1
359.6888638589903,-11.529485683735025,-100.28827264982984,1
374.0764184133499,-11.230520270416084,-100.6422765908028,1
389.0394751498839,-10.767717427358033,-100.46972928436395,1
404.6010541558793,-10.603372918908477,-101.22291875201182,1
420.7850963221145,-10.29606488233668,-101.67275341709029,1
437.6165001749991,-9.92109777761862,-101.88120659445104,1
455.1211601819991,-9.598648204894904,-102.61823135954752,1
473.3260065892791,-9.268230431153405,-103.29010777503363,1
492.25904685285025,-9.033736430997292,-103.65164073049448,1
511.9494087269643,-8.765333658526313,-104.73547401698033,1
532.4273850760429,-8.384795909006458,-105.08423832634033,1
553.7244804790846,-8.014795295514652,-104.96661242344098,1
575.873459698248,-7.600854032068072,-105.8095928122194,1
598.908398086178,-7.282099971477213,-106.03802240363225,1
622.8647340096251,-6.961939175628583,-106.50794813778973,1
647.77932337001,-6.619643717838331,-107.32119604717757,1
673.6904963048105,-6.348361799840685,-107.81883957716961,1
700.638116157003,-6.06536907829607,-108.53672467233116,1
728.6636408032831,-5.805465986590301,-109.49653351736409,1
757.8101864354145,-5.546544808693466,-110.3351403054888,1
788.1225938928311,-5.194231200274516,-111.04606522896056,1
819.6474976485443,-4.75909948148583,-111.57555984321837,1
852.4333975544862,-4.558423615038383,-112.52297763844214,1
886.5307334566656,-4.254028571194469,-113.1429733277514,1
921.9919627949323,-3.8247054349283798,-113.93760315662931,1
958.8716413067297,-3.6037164588733734,-115.01262531262671,1
997.2265069589989,-3.2559425282198045,-115.62656150985038,1
1037.1155672373588,-2.910410552763217,-116.54152367507102,1
1078.6001899268533,-2.706837159222456,-117.57374845735117,1
1121.7441975239276,-2.329586898924572,-118.31797066527363,1
1166.6139654248848,-1.9808030458605277,-119.27130061082107,1
1213.2785240418802,-1.7263533808927536,-120.32329189738662,1
1261.8096650035554,-1.3805190964432401,-121.3803996016963,1
1312.2820516036977,-1.0920409042829595,-122.32002829804777,1
1364.7733336678457,-0.7409695161835615,-123.33269995817389,1
1419.3642670145596,-0.49939153872359726,-124.74158515190047,1
1476.138837695142,-0.20059703044829372,-125.89331526870242,1
1535.1843912029478,0.16941595915901636,-126.77363674455204,1
1596.5917668510658,0.446840421819776,-128.07057404188959,1
1660.4554375251084,0.7911811593308157,-129.6031757190944,1
1726.8736550261128,1.0832472044190613,-130.97772208808613,1
1795.9486012271575,1.3931373134155378,-132.51739594598524,1
1867.786545276244,1.6855067291267696,-133.9891526141205,1
1942.4980070872937,2.012661001689418,-135.50212548903357,1
2020.1979273707855,2.330868037690609,-137.08138397627766,1
2101.005844465617,2.3292241674562115,-137.0259712514679,1
2185.046078244242,3.0269363384228534,-140.78085346941606,1
2272.4479213740115,3.7366717357140837,-140.62308736406032,1
2363.345838228972,3.6284051836799702,-143.91644278492245,1
2457.879671758131,4.025276771685965,-149.21220277202625,1
2556.194858628456,4.5487134619882115,-148.9019594875872,1
2658.4426529735942,4.815242630401046,-150.59021699400404,1
2764.780359092538,5.077784912169417,-153.6547200184297,1
2875.3715734562397,5.580030908028691,-155.31148428758354,1
2990.3864363944895,5.999200818969069,-158.84396555399627,1
3110.001893850269,6.463821557723015,-161.09451019535473,1
3234.4019696042797,6.824484174390152,-159.8167799890982,1
3363.7780483884508,7.325922921533636,-167.57139011649784,1
3498.329170323989,7.84402497628225,-171.0697787228376,1
3638.2623371369486,8.268499634164638,-175.27197206846,1
3783.7928306224267,8.726960921555083,-179.96759888618448,1
3935.144543847324,9.226235480920048,174.44011118358424,1
4092.550325601217,9.636634124279555,175.08126029551698,1
4256.252338625266,9.958637008989962,162.46302192387088,1
4426.502432170277,10.257722424302212,155.16118396428016,1
4603.562529457088,10.596005091500023,147.79309922165035,1
4787.705030635372,10.74927924687625,139.44017518280015,1
4979.213231860787,10.607386614251544,130.48080057518206,1
5178.381761135219,10.576828997083881,123.1807749149213,1
5385.517031580628,10.086917840970575,112.87716396109235,1
5600.937712843854,9.47224364947946,104.97877340245549,1
5824.975221357608,9.235308575816319,97.18287121987623,1
6057.974230211912,8.314552469806205,90.78718484172755,1
6300.293199420389,7.88708810646594,83.97693324641662,1
6552.304927397205,7.269568086391449,79.58996563332573,1
6814.397124493093,6.458961644016402,72.52880972630899,1
7086.973009472817,5.737482189643016,66.37482495743035,1
7370.45192985173,5.0438407172618485,62.71876294545002,1
7665.2700070457995,4.449717522639863,57.79745805620871,1
7971.880807327631,3.7998806106229437,52.54250926469247,1
8290.756039620737,3.2392279815904272,49.526203634046794,1
8622.386281205567,2.6918066061231736,45.00918767952142,1
8967.28173245379,2.1391393774464533,41.42367816774299,1
9325.973001751941,1.6612055120954607,37.386414752752344,1
9699.011921822019,1.0644640044535847,31.039580226885768,1
