Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.93705138032081,-92.225419374951,1
40.8,-20.58985987371964,-91.71315778642492,1
41.616,-20.357797123760147,-91.5498271766788,1
42.44832,-20.38247951784233,-91.30813546709294,1
43.297286400000004,-20.214312718107188,-91.78961497877029,1
44.163232128000004,-20.050807002332498,-91.46643544561863,1
45.046496770560005,-19.80581016438763,-91.64664250315995,1
45.9474267059712,-19.55223210932067,-90.65929914553402,1
46.866375240090626,-19.4362525029932,-91.59637027479728,1
47.80370274489244,-19.463899155232976,-91.13290926219264,1
48.75977679979029,-18.99033518094811,-91.68522943160511,1
49.7349723357861,-19.075422799208596,-91.90198134118486,1
50.72967178250182,-18.70753015959585,-91.66583270947709,1
51.74426521815185,-18.50227540343547,-92.43424451299768,1
52.77915052251489,-18.319942704639065,-91.76002627889616,1
53.83473353296519,-18.354874307135702,-92.17994455410457,1
54.911428203624496,-18.09273190766722,-91.795789926583,1
56.00965676769699,-18.02313965409959,-92.4038035909141,1
57.12984990305093,-17.671976130834487,-91.41076298524884,1
58.27244690111195,-17.641178049759894,-91.77529099242608,1
59.437895839134185,-17.354052667812912,-91.87172345739013,1
60.62665375591687,-17.295114876229242,-92.05138797365998,1
61.83918683103521,-16.902173884031836,-92.08859293350048,1
63.075970567655915,-16.85116910230535,-92.8949628674668,1
64.33748997900904,-16.68779670096407,-91.41412530017291,1
65.62423977858921,-16.57780019932342,-92.04117955583274,1
66.936724574161,-16.294982625299035,-91.81224292135053,1
68.27545906564423,-16.263426330355543,-92.18139348762037,1
69.64096824695712,-15.967592878350438,-92.42243003098119,1
71.03378761189626,-15.917206258739593,-92.14109920451335,1
72.45446336413418,-15.651216476032978,-91.94745336379502,1
73.90355263141687,-15.547210649543999,-92.03499802279437,1
75.38162368404521,-15.382520776634532,-91.8974053396318,1
76.88925615772611,-15.045623005954546,-91.62187846310803,1
78.42704128088063,-15.133300673692206,-92.2114873943656,1
79.99558210649825,-14.83048080247757,-92.15618669483976,1
81.59549374862821,-14.62000502775533,-92.49024357904457,1
83.22740362360078,-14.5214426898424,-92.34343470136875,1
84.8919516960728,-14.278614104565603,-92.1841933423935,1
86.58979072999425,-14.056964579020113,-92.32567285261976,1
88.32158654459414,-14.034195655945107,-92.3364813075016,1
90.08801827548602,-13.745278368422715,-92.94642306321919,1
91.88977864099574,-13.51593140552734,-92.36693838241439,1
93.72757421381566,-13.481587166196068,-92.31006319476732,1
95.60212569809197,-13.373470866410802,-92.72482608827403,1
97.5141682120538,-13.191415990234123,-92.6403759917674,1
99.46445157629488,-12.914092006012888,-92.6306593000271,1
101.45374060782078,-12.73096961428438,-92.41752377582526,1
