Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.2579343620566,-93.47934537179145,1
40.8,-22.91237054666913,-93.42065539958837,1
41.616,-22.901348176939166,-92.4555665014063,2
42.44832,-22.735981441184265,-92.7889450479608,1
43.297286400000004,-22.54920140581729,-92.8977660696026,1
44.163232128000004,-22.33717078499937,-93.1509386425302,1
45.046496770560005,-22.12398298059044,-92.32571158963759,1
45.9474267059712,-21.840016813760613,-93.48607957759327,1
46.866375240090626,-21.722376499748805,-94.32605718884169,1
47.80370274489244,-21.575184454160517,-93.74732588764886,1
48.75977679979029,-21.608714837044168,-92.946512082883,1
49.7349723357861,-21.183843822406857,-94.00481690451122,1
50.72967178250182,-21.052787432533705,-92.58782977187218,1
51.74426521815185,-20.830908505867058,-94.38038795625044,1
52.77915052251489,-20.745050108315695,-92.62727480526115,1
53.83473353296519,-20.535566159603498,-92.87781054252022,1
54.911428203624496,-20.281731623381813,-94.04256822438093,1
56.00965676769699,-20.355609501609845,-94.53291773771764,1
57.12984990305093,-19.989549703471546,-93.39758996463418,1
58.27244690111195,-19.97401600915207,-93.63511875592752,1
59.437895839134185,-19.74051783724275,-92.88525505975085,1
60.62665375591687,-19.52497656342446,-93.51773285499183,1
61.83918683103521,-19.31591881085355,-94.08809034363865,1
63.075970567655915,-19.182162419595375,-93.90732763400369,1
64.33748997900904,-18.989400422808544,-94.1292274347241,1
65.62423977858921,-19.017556566486697,-94.09755133088868,1
66.936724574161,-18.569539288044115,-93.97050266372759,1
68.27545906564423,-18.684125152894985,-94.2967772026108,1
69.64096824695712,-18.225034708551423,-94.59088246807995,1
71.03378761189626,-18.2493434680667,-94.35744272422983,1
72.45446336413418,-17.992839211509438,-94.25914670699419,1
73.90355263141687,-17.772862282099133,-94.75778356676288,1
75.38162368404521,-17.738046098440353,-94.07187974712906,1
76.88925615772611,-17.452412773344832,-94.19414245393634,1
78.42704128088063,-17.445384026859553,-94.50746899821145,1
79.99558210649825,-17.144093940329817,-94.49492389849814,1
81.59549374862821,-16.922906642079425,-94.8232012834126,1
