Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.793017851553888,-92.27556124706905,2
41.6,-26.54144319049517,-93.31324470974157,2
43.264,-26.290897038862724,-94.69493493072916,2
44.99456000000001,-25.984401203618347,-93.44605796874588,2
46.79434240000001,-25.823493899232833,-94.2760846741951,2
48.66611609600002,-25.081805520623014,-92.46241134972216,2
50.61276073984002,-24.780208915878667,-93.62349307711904,2
52.637271169433625,-24.332279955249586,-94.24169974517102,2
54.742762016210975,-23.804468856137603,-93.66249168735348,2
56.93247249685942,-23.81578351905039,-93.8108553129512,2
59.2097713967338,-23.43029669051472,-94.82142767312263,1
61.57816225260316,-23.043541314557537,-94.54554907738793,1
64.04128874270728,-22.877721085791965,-94.6024535384053,2
66.60294029241557,-22.463868130169253,-94.552032087886,1
69.26705790411219,-21.94950891849465,-94.2503223307434,1
72.03774022027669,-21.730695166693888,-95.05694999178273,1
74.91924982908776,-21.26596795244651,-94.75712349452239,1
77.91601982225127,-21.01357900973202,-95.72803188404717,1
81.03266061514132,-20.808225012730503,-95.43614133394425,1
84.27396703974698,-20.273463050585026,-95.23860813337305,1
87.64492572133686,-20.01993393959423,-95.57955201399196,1
91.15072275019034,-19.62546115438699,-95.93227268794942,1
94.79675166019796,-19.18492856367199,-95.79809490610242,1
98.58862172660588,-19.004807460743443,-95.89675930882787,1
102.53216659567012,-18.665463916291888,-97.20005896468135,1
106.63345325949693,-18.3116895057024,-97.2670851229405,1
110.89879138987682,-17.83590743879674,-96.75697305706618,1
115.3347430454719,-17.508393049187728,-97.25867463967043,1
119.94813276729077,-17.046987941068107,-97.06731903758318,1
124.74605807798241,-16.666635690703988,-97.867074529707,1
129.7359004011017,-16.442862906574135,-98.52188533663474,1
134.9253364171458,-16.112563316887602,-98.34954725984471,1
140.32234987383163,-15.680662758863003,-98.93517167336982,1
145.9352438687849,-15.431462021106654,-99.27604576698532,1
151.7726536235363,-15.123038630601025,-99.9794409990646,1
157.84355976847777,-14.61591321826749,-100.0303949167146,1
164.1573021592169,-14.27196333188815,-100.23673512602636,1
170.7235942455856,-13.997197260752417,-100.90055148464523,1
177.55253801540903,-13.546800413655184,-101.33408541233037,1
184.6546395360254,-13.184956512141365,-101.88192212386633,1
192.04082511746643,-12.91008001005072,-102.50001093982411,1
199.72245812216508,-12.457805416556045,-102.86737693948288,1
207.71135644705168,-12.074296267613123,-102.9832650409899,1
216.01981070493375,-11.850832969808888,-103.79627005875426,1
224.6606031331311,-11.473561284273252,-104.49317651935172,1
233.64702725845635,-11.047290137056478,-105.32691715430511,1
242.9929083487946,-10.667009764031713,-106.00998486614537,1
252.7126246827464,-10.229720811767047,-106.66571606230781,1
262.8211296700563,-9.844190783985688,-107.23263014885134,1
273.33397485685856,-9.470165835862973,-107.89166573957965,1
284.2673338511329,-9.032072868663569,-109.09135183651853,1
295.6380272051782,-8.534714759250578,-109.70955074200323,1
