Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.19027725720029,91.00831047619978,2
40.8,-26.60947645194557,90.25511281492322,1
41.616,-26.715510594747766,89.90361704055283,2
42.44832,-26.732911792030585,89.86218029002029,2
43.297286400000004,-26.50297675709247,91.216671993571,2
44.163232128000004,-26.29344793962184,90.24111538001077,2
45.046496770560005,-26.048189133086055,89.70462563191322,2
45.9474267059712,-25.744449137045642,91.35378811122543,1
46.866375240090626,-25.8310854864708,90.45192508519347,2
47.80370274489244,-25.61256680414069,90.48309662098362,2
48.75977679979029,-25.13414230525695,90.73352793792094,2
49.7349723357861,-25.07202035036106,89.1404169350196,2
50.72967178250182,-25.013694849381384,89.16215110231167,2
51.74426521815185,-24.841898142451612,90.86214258176494,2
52.77915052251489,-24.35329316786822,91.45349581195131,2
53.83473353296519,-24.592613727206754,88.81934824591578,2
54.911428203624496,-24.281424071489994,90.03631456910442,2
56.00965676769699,-24.231392106876847,89.95230580927884,2
57.12984990305093,-24.042611355492365,90.37583555618016,2
58.27244690111195,-23.870859553446834,89.41408134014743,1
59.437895839134185,-23.4826458086428,89.35242236932473,1
60.62665375591687,-23.608474067107277,89.98087078049218,1
61.83918683103521,-23.408519352576263,89.85233605668441,1
63.075970567655915,-23.02539241603352,89.35801637634287,1
64.33748997900904,-22.813815047771303,90.00405480678205,1
65.62423977858921,-22.788790845245217,88.9916919604735,1
66.936724574161,-22.42310774641665,88.82203242691617,1
68.27545906564423,-22.5942640479526,89.59214568458621,1
69.64096824695712,-22.164528857998658,88.61106719980326,1
71.03378761189626,-22.238931891473573,89.02169007456006,1
72.45446336413418,-21.848289048538472,89.42806607245086,1
73.90355263141687,-21.75954296378568,88.95819058843561,1
75.38162368404521,-21.62672166009176,89.17211845204845,1
76.88925615772611,-21.402530924520182,89.34465379400069,1
78.42704128088063,-21.368923712219367,88.77607977780363,1
79.99558210649825,-21.049563081085036,87.96588800634107,1
81.59549374862821,-20.699444471873107,90.03890518500253,1
83.22740362360078,-20.84491918694132,89.54687586957584,1
84.8919516960728,-20.49354985489276,89.13774499138428,1
86.58979072999425,-20.373003220988252,88.40792602027147,1
88.32158654459414,-20.307559956481064,88.78080225506537,1
90.08801827548602,-19.960430657733543,89.89426555917714,1
91.88977864099574,-19.75570094455288,89.08139151759258,1
93.72757421381566,-19.65570229332508,89.15306242051244,1
