Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.88394226499179,-94.18263658313981,1
40.8,-20.62383556200317,-94.08604693518737,1
41.616,-20.565802047049004,-93.8249963673912,1
42.44832,-20.504476541165552,-94.91118484425317,1
43.297286400000004,-20.189144791488367,-94.27958810381898,1
44.163232128000004,-20.077197618865505,-94.29334959527881,1
45.046496770560005,-19.917159198830806,-95.21236754353755,1
45.9474267059712,-19.689831041446865,-94.53958668594117,1
46.866375240090626,-19.519776920463435,-94.44662668602889,1
47.80370274489244,-19.305326746976498,-94.53158151497767,1
48.75977679979029,-19.14411348380272,-95.3910466812673,1
49.7349723357861,-18.903318695280586,-95.1400195985377,1
50.72967178250182,-18.7765895213698,-95.04768136882713,1
51.74426521815185,-18.762994790545108,-94.82872302080494,1
52.77915052251489,-18.352335442028537,-94.78180988066697,1
53.83473353296519,-18.37075118280123,-95.5940445766982,1
54.911428203624496,-17.860186500811267,-95.69223117005329,1
56.00965676769699,-17.963412211107226,-95.69654546412903,1
57.12984990305093,-17.640994250343457,-95.31497697625397,1
58.27244690111195,-17.67281139663342,-95.9906779011343,1
59.437895839134185,-17.370516847312498,-95.5295425547284,1
60.62665375591687,-17.251565461420917,-96.15948883934618,1
61.83918683103521,-17.022888095499543,-95.889320894251,1
63.075970567655915,-16.92723038682324,-96.37919945389632,1
64.33748997900904,-16.635624177229342,-95.94514357536914,1
65.62423977858921,-16.57708882191146,-96.42990681973856,1
66.936724574161,-16.334054552579044,-96.26426783654807,1
68.27545906564423,-16.242884647736,-97.15226185263707,1
69.64096824695712,-15.92136856091395,-97.10731959378862,1
71.03378761189626,-15.985201616427515,-96.87031250691365,1
72.45446336413418,-15.583628344988716,-96.81855240594395,1
73.90355263141687,-15.430483824578157,-97.12202515131794,1
75.38162368404521,-15.367087196893028,-97.24149203935758,1
76.88925615772611,-15.080618979837784,-97.26104658447969,1
78.42704128088063,-14.993199835982539,-97.38056067378308,1
79.99558210649825,-14.74546571640702,-97.66061217566744,1
81.59549374862821,-14.562011995049147,-97.72251706013813,1
83.22740362360078,-14.465510893133535,-97.87444978658428,1
84.8919516960728,-14.201856655696158,-98.02057406186033,1
86.58979072999425,-14.00016949094547,-97.99378051961672,1
88.32158654459414,-13.924561327549526,-98.61008214907307,1
90.08801827548602,-13.684963947412603,-98.6188062814627,1
91.88977864099574,-13.42927257147759,-98.70521653852569,1
93.72757421381566,-13.328800673228725,-99.02822026902714,1
