Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.33461337105569,-91.71943690803789,2
40.8,-27.01823405714484,-93.44808144246977,2
41.616,-26.91262048675526,-93.92987394638348,2
42.44832,-26.77988426086484,-93.45695903620776,2
43.297286400000004,-26.75420210025592,-91.81102372238375,2
44.163232128000004,-26.625193145434025,-93.21685499358176,2
45.046496770560005,-26.196479241449527,-90.92569198399782,2
45.9474267059712,-26.29937652927436,-96.49117651587318,2
46.866375240090626,-25.804603051981076,-92.63465893974602,2
47.80370274489244,-25.716645917440548,-93.70736274457802,2
48.75977679979029,-25.328027989925005,-91.64313189088803,2
49.7349723357861,-25.25683654479271,-93.46215849544564,2
50.72967178250182,-25.447216033542258,-93.98710086791542,2
51.74426521815185,-25.059164213038507,-92.75174157816195,2
52.77915052251489,-24.582908024314694,-93.22962748859715,2
53.83473353296519,-25.05679363746633,-92.89104042262547,2
54.911428203624496,-24.35324157018763,-93.1507767937926,1
56.00965676769699,-24.481661456002183,-93.87061316965782,2
57.12984990305093,-23.985166397623683,-92.82532841411387,2
58.27244690111195,-24.140860428381096,-91.52415745751473,2
59.437895839134185,-23.828272915941714,-93.25981344304896,2
60.62665375591687,-23.810812281923123,-92.88634727883351,2
61.83918683103521,-23.523308823190057,-92.98702256622155,2
63.075970567655915,-23.500275297297517,-92.84439867196853,2
64.33748997900904,-23.15842407914698,-92.99884827718721,2
65.62423977858921,-23.025215518797797,-93.41129970955564,1
66.936724574161,-22.691825281360526,-92.80301569812707,2
68.27545906564423,-22.74271564974048,-93.72328858219038,1
69.64096824695712,-22.516006139788384,-93.30596780867504,1
71.03378761189626,-22.355531310084015,-93.29326344911345,1
72.45446336413418,-22.00313260678855,-94.59192521374209,1
73.90355263141687,-22.07141061375167,-93.34817035767709,1
75.38162368404521,-21.922187623609933,-93.92745714041018,1
76.88925615772611,-21.66546184449481,-92.51734212820979,1
78.42704128088063,-21.62287749087578,-93.65773778625959,1
79.99558210649825,-21.21970824443029,-92.55600066850923,1
81.59549374862821,-21.093536022497908,-92.3517910705965,1
83.22740362360078,-20.997967165852952,-93.57705674859206,1
84.8919516960728,-20.704887937297467,-93.99234850706385,1
86.58979072999425,-20.56206905886684,-93.75251461919582,1
