Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.31302564171083,-94.23767467399591,2
41.6,-26.784594188492463,-93.29293310812336,2
43.264,-26.807018043355487,-92.69118717836511,2
44.99456000000001,-26.482450816029658,-92.48228131552912,2
46.79434240000001,-25.852275482502886,-94.22731023885937,2
48.66611609600002,-25.127585994431364,-91.55938063219105,2
50.61276073984002,-25.066320282076802,-93.47088480332457,2
52.637271169433625,-24.557759284587558,-93.07279984640344,2
54.742762016210975,-24.56253001573657,-91.3674572654959,1
56.93247249685942,-24.005684412914494,-91.07877180778571,1
59.2097713967338,-23.640048508977145,-92.33708605573581,2
61.57816225260316,-23.630967421510427,-91.9844305164525,2
64.04128874270728,-23.231684456556096,-92.21910215030879,2
66.60294029241557,-22.7921801708833,-93.04070088715156,1
69.26705790411219,-22.612035962233673,-92.25931053405623,1
72.03774022027669,-22.054648680891123,-92.88354901821135,1
74.91924982908776,-21.693656280957864,-92.89570179120832,1
77.91601982225127,-21.365184778075026,-92.80519001666278,1
81.03266061514132,-21.197855905113443,-93.5223216387443,1
84.27396703974698,-20.742479532304284,-93.75600190951869,1
87.64492572133686,-20.510740732426573,-92.64475309145466,1
91.15072275019034,-20.193019438519098,-92.41334637721678,1
94.79675166019796,-19.9075957497417,-92.27416659117979,1
98.58862172660588,-19.643067298463937,-93.53175486635942,1
102.53216659567012,-19.26750362968262,-93.72438681108943,1
106.63345325949693,-19.03897627688616,-93.53410918959466,1
110.89879138987682,-18.445115828644365,-93.59199073075803,1
115.3347430454719,-18.109027929578186,-93.94983802641335,1
119.94813276729077,-17.781824054977644,-93.99551138578502,1
124.74605807798241,-17.497635980461204,-93.71180777367768,1
129.7359004011017,-17.098058891269787,-94.07808403701742,1
134.9253364171458,-16.76953782649238,-94.59951991199651,1
140.32234987383163,-16.519609257145458,-94.94890825990936,1
145.9352438687849,-16.267971364188273,-94.79763721945686,1
151.7726536235363,-15.96361740625044,-95.54533333463718,1
157.84355976847777,-15.546490232718247,-95.33158467919256,1
164.1573021592169,-15.129202257750617,-95.26601171305064,1
170.7235942455856,-14.85996143849284,-95.69764602433315,1
177.55253801540903,-14.407668496481406,-96.05618973954152,1
184.6546395360254,-14.109545074086112,-96.3947602651034,1
192.04082511746643,-13.823249069610243,-96.34498297552699,1
199.72245812216508,-13.419989742558315,-96.74428825965794,1
207.71135644705168,-13.069061438719649,-96.69300522933355,1
216.01981070493375,-12.858245001561755,-97.12403404200396,1
224.6606031331311,-12.572773728944922,-97.47374345095534,1
233.64702725845635,-12.216021110601243,-97.80537727633688,1
242.9929083487946,-11.869201615325826,-98.11375554190232,1
252.7126246827464,-11.520498807128044,-98.31839399844878,1
262.8211296700563,-11.164168039757136,-98.47124972329681,1
273.33397485685856,-10.840196358312678,-98.73103033945935,1
284.2673338511329,-10.492925785973352,-99.19228560875905,1
295.6380272051782,-10.075971131159038,-99.63971635297462,1
307.4635482933854,-9.685713641176115,-99.53533815061286,1
319.7620902251208,-9.348844274480854,-100.01160583948655,1
332.55257383412567,-9.121223642176513,-100.76375964143065,1
345.8546767874907,-8.67452485001703,-100.60422985741666,1
359.6888638589903,-8.383485427093964,-101.27427855699544,1
374.0764184133499,-8.06516232463542,-101.65484757202208,1
389.0394751498839,-7.624211783591794,-102.11689875081423,1
404.6010541558793,-7.3180617803412975,-102.48955597355115,1
420.7850963221145,-7.031303898672461,-103.11935415248848,1
437.6165001749991,-6.600170208265431,-103.48796322119922,1
455.1211601819991,-6.268035739083457,-103.73591110255813,1
473.3260065892791,-5.953330104772909,-104.43336375352901,1
492.25904685285025,-5.63417698161644,-104.93355000232418,1
511.9494087269643,-5.380814842239728,-105.78451497177971,1
532.4273850760429,-5.027820630311665,-106.41991579817136,1
553.7244804790846,-4.59352445777295,-106.54302186630338,1
575.873459698248,-4.157302537353471,-107.05344939440292,1
598.908398086178,-3.8427023822393536,-107.86703542106952,1
622.8647340096251,-3.4852928045163174,-108.3232350352199,1
647.77932337001,-3.081495709288623,-108.91650002318443,1
673.6904963048105,-2.807165599222976,-109.53685224078161,1
700.638116157003,-2.5103964818617683,-110.24511261911044,1
728.6636408032831,-2.2255083383961463,-111.33125642780988,1
757.8101864354145,-1.9457315283789451,-112.07493475070933,1
788.1225938928311,-1.543950139302498,-112.78742553557713,1
819.6474976485443,-1.1423689465415616,-113.47545221876273,1
852.4333975544862,-0.8527130918097157,-114.60021497544275,1
886.5307334566656,-0.47870878516838244,-115.1901314866967,1
921.9919627949323,-0.11996730611802689,-116.03015605783409,1
958.8716413067297,0.18956580163056902,-116.92019588632587,1
997.2265069589989,0.5604249363666914,-117.85583094847163,1
1037.1155672373588,0.9047260361889028,-118.9197697788643,1
1078.6001899268533,1.2013785916845676,-120.00729120702982,1
1121.7441975239276,1.5370173782778376,-121.33295120270913,1
1166.6139654248848,1.909536113088286,-122.31571753061745,1
1213.2785240418802,2.251920934347215,-123.52510947601591,1
1261.8096650035554,2.6101748140343446,-124.51074291393253,1
1312.2820516036977,2.913641050318822,-125.76530799491132,1
1364.7733336678457,3.242979875873816,-127.01678791602413,1
1419.3642670145596,3.51906864172431,-128.68635486450628,1
1476.138837695142,3.8881924598201376,-129.98022692098306,1
1535.1843912029478,4.252076704266746,-131.24934718627327,1
1596.5917668510658,4.551242521584168,-132.77222475891472,1
1660.4554375251084,4.931691878447558,-134.22271229793117,1
1726.8736550261128,5.264231870075657,-135.89972087822207,1
1795.9486012271575,5.618672032767466,-137.71215131136915,1
1867.786545276244,5.9849806422916645,-139.10221307060192,1
1942.4980070872937,6.341185295648009,-140.91195404452787,1
2020.1979273707855,6.763942019099593,-142.41341597324725,1
2101.005844465617,7.1621283173158385,-145.76025927803184,1
2185.046078244242,7.512588631821721,-145.8872919442612,1
2272.4479213740115,7.905851683398766,-148.18588572952126,1
2363.345838228972,8.392017931103183,-151.40701061959953,1
2457.879671758131,8.743289819656637,-152.16192473327175,1
2556.194858628456,9.248381922070486,-155.9103625188862,1
2658.4426529735942,9.646344423250522,-157.81340082176,1
2764.780359092538,10.102916291443133,-160.89675483780775,1
2875.3715734562397,10.641864621258827,-163.66112694503164,1
2990.3864363944895,11.091120556124977,-166.77730760611115,1
3110.001893850269,11.645430608196348,-170.5482214779892,1
3234.4019696042797,12.15129390886019,-174.1470472798369,1
3363.7780483884508,12.700148188514587,-178.54754528458088,1
3498.329170323989,13.260403508717486,176.77163893359904,1
3638.2623371369486,13.843947787240195,171.61594574655197,1
3783.7928306224267,14.383645959190464,165.8753594458896,1
3935.144543847324,15.016167925087975,158.87680968488792,1
4092.550325601217,15.43309105281061,150.98143019882934,1
4256.252338625266,15.73510716095371,142.35445168184478,1
4426.502432170277,16.125235716321114,133.22876529766316,1
4603.562529457088,16.147404459822486,123.17289408056217,1
4787.705030635372,15.946410862470477,112.09287581142853,1
4979.213231860787,15.62045511556772,101.58227244138052,1
5178.381761135219,14.955101302931496,90.73134244910001,1
5385.517031580628,14.612120965013379,83.74175841017473,1
5600.937712843854,13.67821033469716,72.50658134047711,1
5824.975221357608,12.932507091640876,65.52277898067,1
6057.974230211912,12.063153742652892,56.41981874065415,1
6300.293199420389,11.15238117684206,49.37363926930493,1
6552.304927397205,10.248819641023632,40.66344581934827,1
6814.397124493093,9.126791021962472,33.33821831070994,1
7086.973009472817,8.042856781912617,24.206140906352218,1
7370.45192985173,6.582518313786326,16.61840872848589,1
7665.2700070457995,5.026004207070308,8.962626416130023,1
7971.880807327631,3.190807476150066,2.879339993255954,1
8290.756039620737,1.2260142569282593,-1.2376257868539682,1
8622.386281205567,-0.7396802573636866,-3.2185826826268347,1
8967.28173245379,-2.510581971039791,-3.056003389478576,1
9325.973001751941,-4.077646873965399,-1.416538627924183,1
9699.011921822019,-5.304580959555512,1.576330935259044,1
10086.9723986949,-6.352704008945088,3.6105938086112985,1
10490.451294642695,-7.100118531809532,6.31651977752972,1
10910.069346428403,-7.785633034958603,7.98703680332747,1
