Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.89389696135154,87.57995819949315,2
41.6,-26.96876843280557,88.13969562576189,2
43.264,-26.210351075031493,89.51952609684977,2
44.99456000000001,-25.99098784540069,88.80932292664488,2
46.79434240000001,-25.755097347932644,90.15107742106733,2
48.66611609600002,-25.294603230755165,88.87927042362344,2
50.61276073984002,-25.038404803201647,88.52092707689451,2
52.637271169433625,-24.45089774651041,87.42741892417524,2
54.742762016210975,-24.36414687602831,87.70321022771694,2
56.93247249685942,-23.805674456346097,87.89055426724582,2
59.2097713967338,-23.7829565701485,87.63458487336948,2
61.57816225260316,-23.163575655651588,87.92673027526746,2
64.04128874270728,-22.95389419244707,87.06500207513044,2
66.60294029241557,-22.460488111712856,87.67330937201629,1
69.26705790411219,-22.14615902937376,87.49852755840321,1
72.03774022027669,-21.9755897022652,87.18293646951406,1
74.91924982908776,-21.610446299226172,88.05396648675038,1
77.91601982225127,-21.298143105818255,86.47514190653398,1
81.03266061514132,-21.018304027995868,85.80188804955814,1
84.27396703974698,-20.442256086859512,85.59354109606531,1
87.64492572133686,-20.144167183724146,85.61778041706712,1
91.15072275019034,-19.95644745340824,85.66624610348127,1
94.79675166019796,-19.468628849456163,85.3508963971678,1
98.58862172660588,-19.167647051690157,84.79750847625417,1
102.53216659567012,-18.735041484078195,85.52771899632467,1
106.63345325949693,-18.437461204337108,84.41932637094212,1
110.89879138987682,-18.056754075802836,84.39069152105104,1
115.3347430454719,-17.57231528683732,84.01681122688905,1
119.94813276729077,-17.259209975978713,84.23577964911938,1
124.74605807798241,-16.91424242336524,83.8949786785335,1
129.7359004011017,-16.58999344900209,83.64161744058408,1
134.9253364171458,-16.29495441168392,83.25556274335167,1
140.32234987383163,-15.907916900795168,82.76913833704836,1
145.9352438687849,-15.64315668565261,82.56766724207488,1
151.7726536235363,-15.272032091809805,81.93320901299685,1
157.84355976847777,-14.853004454568103,81.35059110063268,1
164.1573021592169,-14.38783949454048,81.50597736421935,1
170.7235942455856,-14.207566487316761,80.749587876775,1
177.55253801540903,-13.755245729627857,80.65127094772865,1
184.6546395360254,-13.299708587525021,79.735210414839,1
192.04082511746643,-12.992494900596968,79.57622522654299,1
199.72245812216508,-12.575619346008839,78.91103391411916,1
207.71135644705168,-12.189624897608516,78.66269499072227,1
216.01981070493375,-11.927661905033826,77.75061229274998,1
224.6606031331311,-11.572071367207693,77.01845862054554,1
233.64702725845635,-11.143225405881362,76.73698596253864,1
242.9929083487946,-10.723439533838222,76.10984466465709,1
252.7126246827464,-10.302560897089991,75.30921318508804,1
262.8211296700563,-9.970236366706745,74.48977488089906,1
273.33397485685856,-9.48319952724785,73.74583522933241,1
284.2673338511329,-9.071318516072106,72.92055257247691,1
295.6380272051782,-8.62895783491005,72.16628011772453,1
307.4635482933854,-8.044420563101669,71.52541527551728,1
319.7620902251208,-7.691503114291643,70.56412144196972,1
332.55257383412567,-7.309550203472083,69.26709482790375,1
345.8546767874907,-6.763072894345513,68.12987955412854,1
359.6888638589903,-6.30355117097819,67.234882110095,1
374.0764184133499,-5.8679708557593475,65.80640486414588,1
389.0394751498839,-5.275959371028483,64.41715633737266,1
404.6010541558793,-4.823167994685978,62.9918377182608,1
420.7850963221145,-4.344830611837343,61.1347319548807,1
437.6165001749991,-3.7305568519923993,59.45044207086264,1
455.1211601819991,-3.1723114416919835,57.52488112072477,1
473.3260065892791,-2.6554713232153997,55.28176703162727,1
492.25904685285025,-2.1173178620025777,52.601301105357926,1
511.9494087269643,-1.5511405513523002,49.39730705166457,1
532.4273850760429,-0.9230893243285602,46.639374667499865,1
553.7244804790846,-0.23625560901079196,43.53478282527391,1
575.873459698248,0.4253671648123743,39.635176454901156,1
598.908398086178,1.0356726900578377,35.305449245278425,1
622.8647340096251,1.6442837789293863,30.324663808842843,1
647.77932337001,2.2248389272869162,24.58227076225735,1
673.6904963048105,2.748597055238666,17.90262274752591,1
700.638116157003,3.1622233275292326,10.903457863774427,1
728.6636408032831,3.4989670232244734,3.1430461631605056,1
757.8101864354145,3.6837899953166007,-4.954862657954237,1
788.1225938928311,3.7404332429270335,-13.442740190431198,1
819.6474976485443,3.6360337424013367,-22.009556889207204,1
852.4333975544862,3.331491064377336,-29.672748668232686,1
886.5307334566656,2.966153683265514,-37.1201293850128,1
921.9919627949323,2.516182973939122,-44.31475723177675,1
958.8716413067297,1.9223905433410884,-50.332150742722774,1
997.2265069589989,1.3879910122650654,-56.14569880623244,1
1037.1155672373588,0.7652334361692318,-61.12028417549286,1
1078.6001899268533,0.05249481953454524,-65.48889113225718,1
1121.7441975239276,-0.5049918623167513,-69.78543895825578,1
1166.6139654248848,-1.0744435030058843,-73.71161708568377,1
1213.2785240418802,-1.672181864448932,-76.95486952569824,1
1261.8096650035554,-2.2697044407880638,-80.1675497345625,1
1312.2820516036977,-2.834775160022295,-83.12224724834505,1
1364.7733336678457,-3.423771887470438,-86.00671759927866,1
1419.3642670145596,-3.999716928671285,-88.53154347439673,1
1476.138837695142,-4.561859626295387,-90.8550529378783,1
1535.1843912029478,-5.045082811424247,-93.54462709772035,1
1596.5917668510658,-5.636417923332771,-95.7552801583272,1
1660.4554375251084,-6.061142251885123,-97.97816369240697,1
1726.8736550261128,-6.587451244240235,-100.23164025552677,1
1795.9486012271575,-7.131203818454441,-102.44265274128605,1
1867.786545276244,-7.600094191177574,-104.4019003135663,1
1942.4980070872937,-8.070172688110498,-106.65607829188946,1
2020.1979273707855,-8.55485536715049,-108.63053640407281,1
2101.005844465617,-9.192869793004556,-112.64513988975924,1
2185.046078244242,-9.522866614514163,-112.44215659687407,1
2272.4479213740115,-9.94707720852201,-114.48161103660723,1
2363.345838228972,-10.487636695562264,-119.04070317144202,1
2457.879671758131,-10.871501671248843,-118.16304721996227,1
2556.194858628456,-11.414163535508633,-122.58843184192057,1
2658.4426529735942,-11.801771608053196,-123.70969992082537,1
2764.780359092538,-12.272496471109175,-125.54014832192775,1
2875.3715734562397,-12.741330595026584,-129.06905351066698,1
2990.3864363944895,-13.153949286628793,-129.89009239433483,1
3110.001893850269,-13.673447626384483,-133.42443329504462,1
3234.4019696042797,-14.042920949811377,-135.0322141156983,1
3363.7780483884508,-14.506656097491703,-138.33375218141396,1
3498.329170323989,-14.956832344207111,-140.74234696892324,1
3638.2623371369486,-15.444746546431245,-143.83933625051918,1
3783.7928306224267,-15.860960347908476,-147.5353503214544,1
3935.144543847324,-16.420402367217626,-150.63443940547077,1
4092.550325601217,-16.80398197311561,-154.68510430565408,1
4256.252338625266,-17.342533798155557,-158.73326012952737,1
4426.502432170277,-17.825317844669318,-163.61275101016275,1
4603.562529457088,-18.415825311753405,-169.44173279230148,1
4787.705030635372,-19.194267042937007,-174.73612145513405,1
4979.213231860787,-20.181745794321106,179.39452002754112,1
5178.381761135219,-21.211631835637824,173.98533695862255,1
5385.517031580628,-22.529650838542437,168.41803370739336,1
5600.937712843854,-23.803638261707526,165.28227990050434,1
5824.975221357608,-25.240511899910768,162.18393471242334,1
6057.974230211912,-26.830323647072113,160.12165513678073,1
6300.293199420389,-27.94329541265196,159.7412096585426,2
6552.304927397205,-29.17704436764506,160.23268552703342,2
6814.397124493093,-30.270588162474784,158.89108145751683,2
7086.973009472817,-31.466657441995654,159.45601633581256,2
7370.45192985173,-32.08453780590288,157.96196012915914,2
7665.2700070457995,-32.62037037340189,158.03392565071576,2
7971.880807327631,-34.01257867145995,157.31535228422007,2
8290.756039620737,-34.55674400358776,151.58576024322178,2
8622.386281205567,-35.67754002096532,154.81053064144655,2
8967.28173245379,-36.27233593893742,151.69252319290499,2
9325.973001751941,-36.909558701680375,149.09211551644705,2
9699.011921822019,-37.99774850799508,147.58054540875744,2
10086.9723986949,-37.9123782636765,136.8220859040409,2
10490.451294642695,-39.44390408826809,135.3395697523025,2
10910.069346428403,-40.30257154350898,130.92559267331055,2
11346.47212028554,-40.402395677851686,129.6943654762165,2
11800.331005096961,-40.71480427880554,125.8613178235863,2
12272.34424530084,-41.259971667934025,122.1482603475792,2
12763.238015112873,-42.373020768982386,113.44237202962042,2
13273.767535717388,-41.841370680881006,106.43769620664575,2
13804.718237146084,-42.28110020001857,106.51254572349887,2
14356.906966631928,-42.51396990752888,100.83389310846236,2
14931.183245297207,-41.75400392353419,99.56015674281582,2
15528.430575109096,-41.81544395196857,96.18818960649074,2
16149.567798113461,-40.8823669751689,95.21740932482145,2
16795.550510038,-40.70265053384437,87.13884865408386,2
