Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.691776331408974,89.87969883749446,2
41.6,-26.363496470616475,90.86416945589067,2
43.264,-26.570939080542026,90.69567165110251,2
44.99456000000001,-26.10028412099372,88.47919720556519,2
46.79434240000001,-25.287248900052585,91.15774062903199,2
48.66611609600002,-25.3296138907182,90.29375680303349,1
50.61276073984002,-24.825339917891277,89.53188674772366,2
52.637271169433625,-24.61171589824407,89.71186509991628,2
54.742762016210975,-24.032670170986783,90.20715064873585,2
56.93247249685942,-23.8937674804557,91.25736908733819,2
59.2097713967338,-23.717052404330904,89.65544508509508,2
61.57816225260316,-23.408537129103227,90.30570529491575,2
64.04128874270728,-22.897553344251946,89.74974338429243,1
66.60294029241557,-22.689767696632767,92.12566329276613,1
69.26705790411219,-22.197278542261024,88.65230317724043,1
72.03774022027669,-21.733340935584412,89.57728476693933,1
74.91924982908776,-21.542547408366783,89.79153212768277,1
77.91601982225127,-21.138762806265248,89.03387056462388,1
81.03266061514132,-20.8519914165062,89.63096958488515,1
84.27396703974698,-20.38608956348335,89.23337588986529,1
87.64492572133686,-20.19830383289769,89.16401263871309,1
91.15072275019034,-19.838920848669904,88.88991573318975,1
94.79675166019796,-19.361923309161064,89.11509554312141,1
98.58862172660588,-19.222040094257686,88.20589931637438,1
102.53216659567012,-18.8197885584066,88.03300461781822,1
106.63345325949693,-18.503960355106116,88.46842903695274,1
110.89879138987682,-18.060619767103407,87.92370382186276,1
115.3347430454719,-17.755304788185644,88.57217553422811,1
119.94813276729077,-17.293905110330282,88.5954780044469,1
124.74605807798241,-16.929300428581286,87.96461957745674,1
129.7359004011017,-16.671453040353562,88.20106822587961,1
134.9253364171458,-16.317115981278175,87.79130332166693,1
140.32234987383163,-15.984463975181312,87.46128954796538,1
145.9352438687849,-15.755394465675405,87.71489549018752,1
151.7726536235363,-15.517459773690927,87.34026738443323,1
157.84355976847777,-15.038785318093437,87.35398738308817,1
164.1573021592169,-14.568172487888077,87.32287318348773,1
170.7235942455856,-14.38715864306192,86.86029268105585,1
177.55253801540903,-13.951792227045305,86.8495980226099,1
184.6546395360254,-13.66704863699542,86.69708262693382,1
192.04082511746643,-13.343280486405565,86.71124852970496,1
199.72245812216508,-12.990510384102206,86.6466116690127,1
207.71135644705168,-12.608185892607446,86.13021529352686,1
216.01981070493375,-12.410706217666545,86.01957920387396,1
224.6606031331311,-12.081925852844739,85.74580278234455,1
233.64702725845635,-11.686549992293886,85.53024347209745,1
242.9929083487946,-11.388242844503974,85.63034304684302,1
252.7126246827464,-11.049415954620653,85.47317303830232,1
262.8211296700563,-10.630776233869693,85.01369295809675,1
273.33397485685856,-10.31619974217392,85.2097165650961,1
284.2673338511329,-9.993959217309207,84.58861973304954,1
295.6380272051782,-9.56144205918817,84.66389398599253,1
307.4635482933854,-9.151867367045229,84.29073876054372,1
319.7620902251208,-8.83713207322195,84.22986820210852,1
332.55257383412567,-8.619108097964535,83.78132587234305,1
345.8546767874907,-8.167695845831265,83.67833781486411,1
359.6888638589903,-7.808180871739081,83.25088021692886,1
374.0764184133499,-7.572620619234454,82.99814460554259,1
389.0394751498839,-7.235141530906681,82.66105071047679,1
404.6010541558793,-6.831313576929115,82.3241903954357,1
420.7850963221145,-6.54318242575219,82.21800418515286,1
437.6165001749991,-6.09408377484452,81.71354385222486,1
455.1211601819991,-5.743675264013807,81.51334763308692,1
473.3260065892791,-5.475679813788815,80.9509571263074,1
492.25904685285025,-5.141891334050951,80.56753604133449,1
511.9494087269643,-4.895097797419347,80.04061493037938,1
532.4273850760429,-4.480812818332724,79.80730231403118,1
553.7244804790846,-4.052709729665191,79.4152619485038,1
575.873459698248,-3.641811909041355,79.07855292976973,1
