Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.10938788498861,-91.37564002392082,1
40.8,-21.84625394794051,-91.33245940049821,1
41.616,-21.600581581966992,-91.01723760150941,1
42.44832,-21.532305589159865,-91.32267241336353,1
43.297286400000004,-21.570279566581814,-90.74333083653937,1
44.163232128000004,-21.295177938278165,-92.1845316918625,1
45.046496770560005,-21.158338443588924,-91.21000700890146,1
45.9474267059712,-20.944981666896748,-91.49020013726192,1
46.866375240090626,-20.822339989559215,-91.80091392579038,1
47.80370274489244,-20.563863241589086,-92.55027098460499,1
48.75977679979029,-20.35566434222614,-91.3513515083036,1
49.7349723357861,-20.180342064328308,-91.76208554799028,1
50.72967178250182,-19.93128190477783,-91.44727425843345,1
51.74426521815185,-19.979722285018585,-92.2331591911875,1
52.77915052251489,-19.886974658245144,-91.89524386382934,1
53.83473353296519,-19.755690935998913,-92.64231907699511,1
54.911428203624496,-19.277986652627124,-91.54725492780935,1
56.00965676769699,-19.222597438413263,-91.74605696956564,1
57.12984990305093,-18.928663479250517,-92.90552406292909,1
58.27244690111195,-18.928318588421867,-91.84076701492872,1
59.437895839134185,-18.628538835265267,-91.72069896827911,1
60.62665375591687,-18.54237817776896,-92.04160278524364,1
61.83918683103521,-18.2474931423718,-92.17447895831121,1
63.075970567655915,-18.170445187582228,-92.76955710020803,1
64.33748997900904,-18.002494285272697,-92.26965537414088,1
65.62423977858921,-17.94061921172372,-92.29958670456625,1
66.936724574161,-17.551295425263707,-91.86588742248468,1
68.27545906564423,-17.572755177373566,-92.93533129459168,1
69.64096824695712,-17.217422331426395,-92.97777779710606,1
71.03378761189626,-17.229601959305047,-92.90097263614342,1
72.45446336413418,-16.885976189896184,-92.84866343488177,1
73.90355263141687,-16.847272932196873,-92.96170415615775,1
75.38162368404521,-16.643586509256377,-93.00926369684953,1
76.88925615772611,-16.390890169528998,-93.32816883402207,1
78.42704128088063,-16.392170578061577,-92.93869501063881,1
79.99558210649825,-16.12600129551488,-92.64076470249456,1
81.59549374862821,-15.927008207521652,-92.4852330850627,1
83.22740362360078,-15.840555905097958,-92.59451349601125,1
84.8919516960728,-15.533641107943758,-93.06941011144146,1
86.58979072999425,-15.398477185161676,-93.15186357576708,1
88.32158654459414,-15.380353813327611,-93.37593302454142,1
90.08801827548602,-15.024763886475633,-93.21657590054622,1
91.88977864099574,-14.858459307874858,-93.01525309337651,1
93.72757421381566,-14.80187734488786,-93.56490757072297,1
95.60212569809197,-14.6203431374399,-93.90669850399513,1
97.5141682120538,-14.494738823262404,-93.4777006796271,1
99.46445157629488,-14.213057035704814,-93.3875633618367,1
101.45374060782078,-14.019505364883965,-93.66951744628207,1
103.4828154199772,-13.904494898359825,-93.69157582420814,1
105.55247172837674,-13.637250161164983,-93.68480241665894,1
107.66352116294428,-13.676527454773286,-93.77094227207222,1
109.81679158620317,-13.283136114005913,-93.79379256606504,1
112.01312741792724,-13.360437836577168,-94.10160349363832,1
114.25338996628578,-12.922537155075018,-94.29804999952985,1
116.5384577656115,-12.910883945069042,-94.30149273483565,1
118.86922692092372,-12.684729028720916,-94.4206182181255,1
121.2466114593422,-12.58227026132463,-94.50779431682213,1
123.67154368852906,-12.321932223465138,-94.34683646421776,1
126.14497456229964,-12.215726789409924,-94.63476207796118,1
128.66787405354563,-12.003009691085003,-94.60527492084431,1
131.24123153461656,-11.941943259468864,-94.8910895335597,1
133.8660561653089,-11.61702286304761,-94.82844040843831,1
136.54337728861506,-11.600433342686557,-94.9523866637298,1
139.27424483438736,-11.233757978169294,-95.12561358061745,1
142.05972973107512,-11.27206715191847,-95.0864459621447,1
144.90092432569662,-10.919906745146472,-95.2480023213896,1
147.79894281221056,-10.879615187662193,-95.1953395018459,1
150.75492166845476,-10.686644116029498,-95.39187852250518,1
153.77002010182386,-10.446821206221099,-95.57380022166379,1
156.84542050386034,-10.405505360616113,-95.81157022389485,1
159.98232891393755,-10.11284213593616,-95.39640980634628,1
163.1819754922163,-9.954889758845278,-95.64614412897537,1
166.44561500206063,-9.923704848179499,-96.08559821273019,1
169.77452730210186,-9.616212556863957,-96.1246887755184,1
173.17001784814389,-9.455259948949053,-96.19106369541014,1
176.63341820510678,-9.371041349021487,-96.21316541660266,1
180.16608656920891,-9.130831426071431,-96.31513754846952,1
183.76940830059308,-8.9106542847979,-96.27092735836544,1
187.44479646660494,-8.86963534983122,-96.60230585467137,1
191.19369239593703,-8.721843697210826,-96.70847571950094,1
195.01756624385578,-8.432730762768866,-96.8594468159515,1
198.9179175687329,-8.221153653364544,-97.20655995856048,1
202.89627592010754,-8.065084338681064,-97.12557390128326,1
206.9542014385097,-7.984878435333432,-97.30592545857324,1
211.09328546727988,-7.853114101173654,-97.53777768791315,1
215.31515117662548,-7.735766645171585,-97.71509485584728,1
219.62145420015798,-7.332217398114624,-97.60304284550534,1
224.01388328416115,-7.389743292159413,-97.87052676094993,1
228.49416094984437,-7.045399621627547,-97.98448163915577,1
233.06404416884126,-7.039269775787449,-98.36519706733505,1
237.7253250522181,-6.739732852081923,-98.3300907036888,1
242.47983155326247,-6.654080415822929,-98.47801337983526,1
247.32942818432772,-6.42222236773619,-98.66928261603452,1
252.27601674801429,-6.335218768585798,-98.81857732081502,1
257.3215370829746,-6.1164276724701825,-98.80846788391183,1
262.4679678246341,-5.985648889610337,-99.20362336308239,1
267.7173271811268,-5.727309364290173,-99.22751278026463,1
273.07167372474936,-5.690415259893074,-99.58823128542022,1
