Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.815062491606113,-90.81267449751329,1
40.8,-21.95318892536442,-91.36784984831016,1
41.616,-21.51635229839861,-91.07790151530871,1
42.44832,-21.41408299663154,-91.39708439936089,1
43.297286400000004,-21.45687430219716,-91.27712566015573,1
44.163232128000004,-21.001639489904637,-90.55330729525247,1
45.046496770560005,-20.75399804657466,-91.83671308345953,1
45.9474267059712,-20.795897307402935,-91.47835215866667,1
46.866375240090626,-20.52868328522676,-91.57917767887446,1
47.80370274489244,-20.47046025205645,-90.79636151864608,1
48.75977679979029,-20.046444956957615,-91.06109192270489,1
49.7349723357861,-19.836516127341667,-91.42978615273756,1
50.72967178250182,-19.658669975957352,-91.9590224258571,1
51.74426521815185,-19.653378206637875,-91.47954914145566,1
52.77915052251489,-19.503027879214198,-91.71183925410818,1
53.83473353296519,-19.454930195757214,-90.68296976178581,1
54.911428203624496,-18.979317412454733,-91.0806766557795,1
56.00965676769699,-19.04274433993154,-91.702042792709,1
57.12984990305093,-18.733350132939318,-91.40765918790304,1
58.27244690111195,-18.81111971205368,-91.53808360638683,1
59.437895839134185,-18.456091527182704,-91.41626624799079,1
60.62665375591687,-18.33455912573407,-91.460598134539,1
61.83918683103521,-17.989857964587433,-91.46188206303363,1
63.075970567655915,-17.955822847561425,-92.56516500600642,1
64.33748997900904,-17.637025078957233,-91.96035192675443,1
65.62423977858921,-17.49365512932713,-92.15618840750113,1
66.936724574161,-17.32358694440051,-91.60394072378939,1
68.27545906564423,-17.291530490220794,-92.35191432885227,1
69.64096824695712,-17.085639570976877,-91.64593086383286,1
71.03378761189626,-17.001239927634447,-91.69702037528475,1
72.45446336413418,-16.703018639448363,-92.13552160846857,1
73.90355263141687,-16.58182206172721,-92.03238692849051,1
75.38162368404521,-16.515954066018065,-92.32509170574798,1
76.88925615772611,-16.14989003042329,-92.2359936569861,1
78.42704128088063,-16.12616881586196,-91.58981299578531,1
79.99558210649825,-15.890454346075217,-91.8647854460593,1
81.59549374862821,-15.669481983811677,-92.36543867394799,1
83.22740362360078,-15.635908884399468,-92.3683264240671,1
84.8919516960728,-15.296344575221168,-92.11842829749258,1
86.58979072999425,-15.0561056827575,-92.32876168478276,1
88.32158654459414,-15.089722986361195,-93.09989826355711,1
90.08801827548602,-14.81171256502763,-92.71704903116692,1
91.88977864099574,-14.631934407142781,-92.4866096784765,1
93.72757421381566,-14.498257864868567,-92.96150692152794,1
95.60212569809197,-14.378196684006808,-92.95536485577833,1
97.5141682120538,-14.233134953789502,-92.99503070823003,1
99.46445157629488,-13.943226548248411,-92.93053216943858,1
101.45374060782078,-13.785709315418579,-92.9480000934439,1
103.4828154199772,-13.714157575191313,-92.63424416000984,1
105.55247172837674,-13.419384393934891,-92.56510430146496,1
107.66352116294428,-13.389656270818463,-93.60924741976524,1
109.81679158620317,-12.998552141117298,-92.71591564670723,1
112.01312741792724,-13.055332431685306,-93.03069868374718,1
114.25338996628578,-12.68013907735345,-93.23858108281195,1
116.5384577656115,-12.715836326189994,-93.41235834320764,1
118.86922692092372,-12.402480211264772,-93.64012414571637,1
121.2466114593422,-12.324044471685864,-93.70395235307137,1
123.67154368852906,-12.04134672953191,-93.34094813414369,1
126.14497456229964,-12.029604849393728,-93.35683542775605,1
128.66787405354563,-11.763455491583045,-93.86324688329884,1
131.24123153461656,-11.688938035210523,-93.59382738737929,1
133.8660561653089,-11.36800244119577,-93.65979863570843,1
136.54337728861506,-11.346191535046932,-93.53545397192278,1
139.27424483438736,-10.98338933074681,-93.72768298166528,1
142.05972973107512,-11.021310690531926,-94.3357173068971,1
144.90092432569662,-10.709646806665415,-94.02860320035347,1
147.79894281221056,-10.646833986527744,-94.13736538293344,1
150.75492166845476,-10.486839563388441,-94.2140060887333,1
153.77002010182386,-10.231147251662847,-94.33981931868499,1
156.84542050386034,-10.207478654294043,-94.24727298774661,1
159.98232891393755,-9.85798378904246,-94.62941358111206,1
163.1819754922163,-9.736779286642127,-94.4968077158681,1
166.44561500206063,-9.676724137500814,-94.60008903052787,1
169.77452730210186,-9.36789751735522,-94.46668173274902,1
173.17001784814389,-9.22203386480966,-94.79143292627825,1
176.63341820510678,-9.140766245108043,-94.79595791518909,1
180.16608656920891,-8.923112415338553,-94.83114207657275,1
183.76940830059308,-8.674542110403522,-95.0499912564388,1
187.44479646660494,-8.546499411035397,-95.26536369940014,1
191.19369239593703,-8.476028708515493,-95.31448984561297,1
195.01756624385578,-8.262199903290204,-95.8227720796083,1
198.9179175687329,-8.000717015707005,-95.52500487164612,1
202.89627592010754,-7.880535146298453,-95.40730174894702,1
206.9542014385097,-7.759906433565938,-95.5896825093698,1
211.09328546727988,-7.688057563995283,-95.75835262261694,1
215.31515117662548,-7.549567388476564,-96.11857028981944,1
219.62145420015798,-7.097769686571034,-95.66398193018672,1
224.01388328416115,-7.146736741821573,-96.23175512118672,1
228.49416094984437,-6.791213394788833,-96.18357425085884,1
233.06404416884126,-6.807011540248314,-96.22683098838183,1
237.7253250522181,-6.487621759494842,-96.25444600242106,1
242.47983155326247,-6.395301326057511,-96.52373036781592,1
247.32942818432772,-6.171780600497262,-96.64557947715431,1
252.27601674801429,-6.073372372784203,-96.77234123621318,1
257.3215370829746,-5.845184667703149,-96.8148058813038,1
262.4679678246341,-5.763296576741277,-97.01620367470241,1
267.7173271811268,-5.490000453392494,-97.08330618742434,1
273.07167372474936,-5.485211199306087,-97.23086102436747,1
278.53310719924434,-5.134174715807569,-97.38333156054989,1
284.10376934322926,-5.144680062526154,-97.72573386455645,1
289.78584473009386,-4.805294315691943,-97.40968324462219,1
295.5815616246957,-4.748313083568311,-97.70916071656465,1
301.4931928571896,-4.546038046029993,-97.96928732982104,1
307.52305671433345,-4.311431913675206,-98.05387557965321,1
313.6735178486201,-4.304564470452847,-98.26172923480812,1
319.9469882055925,-3.991454415592101,-98.31144737029774,1
326.34592796970435,-3.882374769395954,-98.37512936980812,1
332.87284652909847,-3.7970383690559455,-98.89000175616394,1
339.53030345968045,-3.5053737186950698,-98.60534104653377,1
346.3209095288741,-3.35014460624273,-98.86476675181348,1
353.24732771945156,-3.2768045198449967,-99.1731960198077,1
360.3122742738406,-3.0793659248760035,-99.18875965278124,1
367.5185197593174,-2.8338725055218568,-99.39482798286221,1
374.8688901545038,-2.7457795617025287,-99.5569117600808,1
382.3662679575939,-2.6287703650669147,-99.96620967507312,1
390.01359331674576,-2.426782298511685,-100.07931382055723,1
397.8138651830807,-2.1683705608819737,-100.03191001426833,1
405.7701424867423,-2.046892262529898,-100.33739153730126,1
413.88554533647715,-1.9566763485942458,-100.48366033666441,1
422.1632562432067,-1.8349192826426912,-100.72036613856119,1
430.60652136807084,-1.6270017549402214,-100.88421493483396,1
439.21865179543227,-1.430762926483619,-101.03252929906449,1
448.0030248313409,-1.2086967799472363,-101.06955813770168,1
456.96308532796775,-1.0385825316355812,-101.24607358228228,1
466.1023470345271,-0.8643426603529126,-101.37193087659314,1
475.42439397521764,-0.7221874888476737,-101.75633093258384,1
484.932881854722,-0.5691180970896415,-101.85600709050551,1
494.63153949181645,-0.43780781673737107,-102.05825780780505,1
504.5241702816528,-0.24313363616358433,-102.31163048225173,1
514.6146536872859,-0.20304996665836336,-102.87268665251383,1
524.9069467610317,0.13512918839459903,-102.41543987525418,1
535.4050856962523,0.07170919238915462,-103.33064457658475,1
546.1131874101774,0.4444165518134417,-103.02307862829849,1
557.035451158381,0.47007108284149246,-103.49679402352206,1
568.1761601815485,0.7108703369620433,-103.66813529840613,1
579.5396833851795,0.8633734004304937,-103.96751551117057,1
591.1304770528831,0.9889557850481209,-104.11422943735684,1
602.9530865939407,1.2206622226934565,-104.25397923778533,1
615.0121483258196,1.2711274337518783,-104.71283930165455,1
627.312391292336,1.5493527403089535,-104.43257410541176,1
639.8586391181827,1.6086371334057943,-105.21303879339116,1
652.6558119005464,1.8505312663916613,-105.20555216866936,1
665.7089281385573,1.9741198773004474,-105.61564786116514,1
679.0231067013285,2.1001842725875077,-105.83886508045101,1
692.6035688353551,2.332647176685393,-105.93101997774745,1
706.4556402120622,2.385998556823208,-106.49200018524908,1
720.5847530163035,2.682630977163069,-106.30915967514014,1
734.9964480766296,2.667340810474075,-106.90018062994514,1
749.6963770381622,2.9706876228412997,-106.96642410236726,1
764.6903045789254,3.0686340986493605,-107.32565566757654,1
779.9841106705039,3.167598042868526,-107.85807473049759,1
795.583792883914,3.4563424514823273,-107.73445102785708,1
811.4954687415924,3.5079328307734046,-108.39156329859821,1
