Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.656478397270472,87.2582475637351,2
40.8,-29.468693064246406,86.13839509544476,2
41.616,-29.475442879865202,87.27947928738746,2
42.44832,-29.539560631196697,87.04396754865857,2
43.297286400000004,-29.23223649277905,87.34985343907653,2
44.163232128000004,-28.8013646209359,85.90890720898774,2
45.046496770560005,-28.76652013813799,88.09709338512855,2
45.9474267059712,-28.67459756115239,85.24659961758657,2
46.866375240090626,-28.084906523241678,85.11336644812104,2
47.80370274489244,-28.13439166484265,87.25829770583594,2
48.75977679979029,-28.285281705880266,85.75132017604358,2
49.7349723357861,-27.56705919720769,85.9233416599489,2
50.72967178250182,-27.521410599680276,85.89706032027567,2
51.74426521815185,-27.393079317849303,86.10950329989392,2
52.77915052251489,-27.339292690831083,87.51897228142855,2
53.83473353296519,-27.288568025390575,86.19921936914986,2
54.911428203624496,-26.89915566729746,85.66888300030254,2
56.00965676769699,-26.703270312271666,87.03992804285848,2
57.12984990305093,-26.590068720068437,85.57271111518764,2
58.27244690111195,-26.438551225687,85.47425638393192,2
59.437895839134185,-26.161161709016547,85.93661774612589,2
60.62665375591687,-26.161972832001126,86.77487712078536,2
61.83918683103521,-25.666584523342294,85.71599586373452,2
63.075970567655915,-25.534052078613215,85.28619224742934,2
64.33748997900904,-25.448802004617367,85.20570737774915,2
65.62423977858921,-25.551755451680727,85.06154840530137,2
66.936724574161,-25.066513588213265,84.78816697982393,2
68.27545906564423,-25.18224891278111,84.54294977088846,2
69.64096824695712,-24.662562210734677,85.64033577250149,2
71.03378761189626,-24.617617180039005,83.79709569725263,2
72.45446336413418,-24.370651682551884,84.83878222986652,2
73.90355263141687,-24.33413851379893,84.5036977053971,1
75.38162368404521,-24.09817057562872,84.46854824342391,2
76.88925615772611,-23.98735404573788,84.42746294943356,2
78.42704128088063,-23.800688326255127,83.43888996606245,2
79.99558210649825,-23.699311061091926,84.59884497965596,2
81.59549374862821,-23.285985142915404,84.17056072731543,1
83.22740362360078,-23.263337867931103,82.53970921791885,2
84.8919516960728,-23.140945207550853,83.54510082515625,2
86.58979072999425,-22.93864771863728,83.29438009161106,1
88.32158654459414,-22.821616148770378,83.55520259008047,1
90.08801827548602,-22.630737531506696,82.98730426677824,1
91.88977864099574,-22.336847927806684,84.07705735273902,1
93.72757421381566,-22.308591383812832,82.10882549625654,1
95.60212569809197,-22.279424751331177,83.34346419485317,1
97.5141682120538,-21.936926092654623,81.9257769954354,1
99.46445157629488,-21.7236839476027,83.2741635970089,1
101.45374060782078,-21.540828346405583,82.73157210987131,1
103.4828154199772,-21.36484011437355,82.10050886871848,1
105.55247172837674,-21.09717494291891,83.23820639324833,1
107.66352116294428,-21.19563500408249,82.0210738321739,1
109.81679158620317,-20.70104574429771,81.48092884276679,1
112.01312741792724,-20.79576723449735,81.75829004503771,1
114.25338996628578,-20.359118054239616,81.42318162786347,1
116.5384577656115,-20.506517891364005,80.83798208942882,1
118.86922692092372,-20.033930114844146,81.29854910808453,1
121.2466114593422,-19.971783483292057,81.2497262735385,1
123.67154368852906,-19.741878422278024,81.43174680121263,1
126.14497456229964,-19.682326359613278,80.36763180710079,1
128.66787405354563,-19.477958089792374,80.69350286048672,1
131.24123153461656,-19.338809364385458,79.92422778453258,1
133.8660561653089,-19.08004904749627,80.06195564958449,1
136.54337728861506,-18.980022297744558,79.70713659789581,1
139.27424483438736,-18.591302239039464,79.63153618970946,1
142.05972973107512,-18.567718138968154,79.55038210708926,1
144.90092432569662,-18.273385001514196,79.61829737412216,1
147.79894281221056,-18.33119804712513,79.05111138895298,1
150.75492166845476,-18.130793738782394,79.10290403818247,1
153.77002010182386,-17.77283953218307,78.50460104016503,1
156.84542050386034,-17.759152099543467,78.07787134388175,1
159.98232891393755,-17.461838508414136,77.44419696180061,1
163.1819754922163,-17.261453114217687,77.21428851414436,1
166.44561500206063,-17.229127834008246,77.76612887924904,1
169.77452730210186,-17.003664305163966,77.87559281217924,1
173.17001784814389,-16.667593296868358,77.20325323340757,1
176.63341820510678,-16.611249261428803,77.04452321710116,1
180.16608656920891,-16.37550416944015,77.00240262859819,1
183.76940830059308,-16.178410090544535,76.40419106735646,1
187.44479646660494,-16.071712504890396,76.39565454109528,1
191.19369239593703,-15.896214839740294,75.65620563940712,1
195.01756624385578,-15.697057682911929,75.48131671550372,1
198.9179175687329,-15.466813152960482,75.03230549656134,1
202.89627592010754,-15.200490014697104,74.99786804915857,1
206.9542014385097,-15.060300383854848,74.45298402676909,1
211.09328546727988,-15.022093537583514,73.95150230535128,1
215.31515117662548,-14.864299389585831,74.18024257178615,1
219.62145420015798,-14.477884405514047,74.28553587450912,1
224.01388328416115,-14.523132384148177,72.68217271617064,1
228.49416094984437,-14.163721135279179,72.82962665055396,1
233.06404416884126,-14.13103710223229,71.98942127887423,1
237.7253250522181,-13.782774678902692,72.0524071070699,1
242.47983155326247,-13.728623408617358,71.45435361977913,1
247.32942818432772,-13.440657640144954,71.43337091252903,1
252.27601674801429,-13.389952703083845,70.64036460852887,1
257.3215370829746,-13.078156810842772,70.4957213584823,1
262.4679678246341,-12.988611553548676,69.46207232598614,1
267.7173271811268,-12.626798246377152,69.45920233122467,1
273.07167372474936,-12.645242788886442,68.73891989846808,1
278.53310719924434,-12.271644557417746,68.66093298465978,1
284.10376934322926,-12.283497929019406,67.9820597368445,1
289.78584473009386,-11.907975105128278,67.78269135522152,1
295.5815616246957,-11.789306297725004,66.95440490098937,1
301.4931928571896,-11.657591928688875,66.4190881950716,1
307.52305671433345,-11.315797359969066,66.48323419640474,1
313.6735178486201,-11.25361579300482,65.41803219347474,1
319.9469882055925,-10.967065095698697,65.28772285817627,1
326.34592796970435,-10.751569674580072,64.57295362694418,1
332.87284652909847,-10.660876710186395,63.953315647520526,1
339.53030345968045,-10.419393455187532,63.70487128819309,1
346.3209095288741,-10.098260167577665,63.135960512073666,1
353.24732771945156,-10.07812510405916,62.13493474356456,1
360.3122742738406,-9.807642175220193,61.80348422031061,1
367.5185197593174,-9.543481613047543,61.33505346766378,1
374.8688901545038,-9.379311124176223,60.408531292494814,1
382.3662679575939,-9.238343672761646,59.465722060886236,1
390.01359331674576,-8.954002036705829,59.0661398838954,1
397.8138651830807,-8.699536434341203,58.37900813080859,1
405.7701424867423,-8.466993864976086,57.688495477928655,1
413.88554533647715,-8.309109716105699,56.65953515866975,1
422.1632562432067,-8.121674852511084,55.92461530142188,1
430.60652136807084,-7.888562279280368,54.94658971147314,1
439.21865179543227,-7.686684175663091,54.25871248610669,1
448.0030248313409,-7.394787944361889,53.58708249296127,1
456.96308532796775,-7.169053952966423,52.49586314488993,1
466.1023470345271,-6.92995762765725,51.759082566662755,1
475.42439397521764,-6.725273761792685,50.795582725984104,1
484.932881854722,-6.498778893474268,49.69657780915708,1
494.63153949181645,-6.227847097094856,48.58411601962112,1
504.5241702816528,-5.994690084379608,47.670971895942046,1
514.6146536872859,-5.843990643848625,46.096435461873625,1
524.9069467610317,-5.498761826648827,45.509175391963694,1
535.4050856962523,-5.37825423038863,43.48791545537412,1
